BIOCHEMICAL	PUBCHEM	KEGG	HMDB
N-acetylalanine	88064	C02847	HMDB00766
N-acetylaspartate (NAA)	65065	C01042	HMDB00812
N-acetylcysteine	12035	C06809	HMDB01890
N-acetylglucosamine	24139	C00140	HMDB00215
N-acetylisoleucine	2802421		
N-acetylmethionine	448580	C02712	HMDB11745
N-acetylneuraminate		C00270	HMDB00230
N-acetylserine	65249		HMDB02931
N-acetylthreonine	4651717	C01118	
N-acetyltryptophan	700653	C03137	
N-ethylglycinexylidide*	24415	C16561	
N1-methyladenosine	5460178	C02494	HMDB03331
N1-methylguanosine	96373		HMDB01563
"N2,N2-dimethylguanosine"	92919		HMDB04824
N2-methylguanosine	3035422		HMDB05862
N6-acetyllysine	"699,197,892,832"	C02727	HMDB00206
nicotinamide	936	C00153	HMDB01406
nicotinamide adenine dinucleotide (NAD+)	"1,089,765,158,925,280,000"	C00003	HMDB00902
nicotinamide ribonucleotide (NMN)	14180	C00455	HMDB00229
nonadecanoate (19:0)	12591	C16535	HMDB00772
octanoylcarnitine	123702	C02838	HMDB00791
oleate (18:1n9)	445639	C00712	HMDB00207
oleoylcarnitine			HMDB05065
ophthalmate	9817431		HMDB05765
ornithine	6262	C00077	HMDB03374
p-acetamidophenylglucuronide	4022661		HMDB10316
p-cresol sulfate	4615422	C01468	
palmitate (16:0)	985	C00249	HMDB00220
"palmitate, methyl ester"	8181	C16995	
palmitoleate (16:1n7)	445638	C08362	HMDB03229
palmitoyl sphingomyelin	9939941		
palmitoylcarnitine	462	C02990	HMDB00222
pantothenate	6613	C00864	HMDB00210
pelargonate (9:0)	5461016	C01601	HMDB00847
penicillin G	2349	C05551	
pentadecanoate (15:0)	13849	C16537	HMDB00826
phenol red	4766	C12600	
phenol sulfate	74426	C02180	
phenylacetylglutamine	306137	C05597	HMDB06344
phenylacetylglycine	68144	C05598	HMDB00821
phenylalanine	"69,256,656,140"	C00079	HMDB00159
phenyllactate (PLA)	3848	C05607	HMDB00779
phosphate	1061	C00009	HMDB01429
phosphoethanolamine	"52,323,241,015"	C00346	HMDB00224
pipecolate	849	C00408	HMDB00070
pregnen-diol disulfate*		C05484	HMDB04025
pro-hydroxy-pro	11673055		HMDB06695
proline	"1,457,426,971,047"	C00148	HMDB00162
prolylleucine	"4,441,097,082,009"		
propionylcarnitine	107738	C03017	HMDB00824
prostaglandin E2	5280360	C00584	HMDB01220
pseudouridine		C02067	HMDB00767
putrescine		C00134	HMDB01414
pyridoxal	1050	C00250	HMDB01545
pyridoxate	6723	C00847	HMDB00017
pyroglutamine*	134508		
pyroglutamylvaline	152416		
pyruvate	107735	C00022	HMDB00243
raffinose	439242	C00492	HMDB03213
ranitidine	3001055	D00422	HMDB01930
riboflavin (Vitamin B2)	493570	C00255	HMDB00244
ribose	5311110	C00121	HMDB00283
ribose 5-phosphate	447634	C00117	HMDB00618
S-adenosylhomocysteine (SAH)		C00021	HMDB00939
sarcosine (N-Methylglycine)	"10,887,311,726"	C00213	HMDB00271
scyllo-inositol		C06153	HMDB06088
sebacate (decanedioate)	5192	C08277	HMDB00792
serine	"59,516,857,581"	C00065	HMDB03406
spermidine	1102	C00315	HMDB01257
spermine	1103	C00750	HMDB01256
sphinganine	3126	C00836	HMDB00269
sphingosine	5353955	C00319	HMDB00252
squalene	638072	C00751	HMDB00256
stachydrine	115244	C10172	HMDB04827
stearamide	31292	C13846	
stearate (18:0)	5281	C01530	HMDB00827
stearidonate (18:4n3)	5312508	C16300	HMDB06547
stearoyl sphingomyelin	6453725	C00550	HMDB01348
stearoylcarnitine			HMDB00848
succinate	1110	C00042	HMDB00254
succinylcarnitine			
taurine	"11,234,068,592"	C00245	HMDB00251
taurochenodeoxycholate	387316	C05465	HMDB00951
taurocholate		C05122	HMDB00036
taurocholenate sulfate*			
taurodeoxycholate	2733768	C05463	HMDB00896
tauroursodeoxycholate			HMDB00874
tetradecanedioate	13185		HMDB00872
threonine	"69,710,196,288"	C00188	HMDB00167
threonylphenylalanine	"40,997,994,099,798"		
thymidine	5789	C00214	HMDB00273
thymidine 3'-monophosphate	5463		
thymine	1135	C00178	HMDB00262
tiglyl carnitine			HMDB02366
trans-4-hydroxyproline	"58,106,971,053"	C01157	HMDB00725
tryptophan	"69,235,166,305"	C00078	HMDB00929
tryptophan betaine 	442106	C09213	
tyrosine	"60,576,942,100"	C00082	HMDB00158
undecanedioate	15816		HMDB00888
undecanoate (11:0)	8180		HMDB00947
uracil	1174	C00106	HMDB00300
urate		C00366	HMDB00289
urea	"117,616,150,869"	C00086	HMDB00294
uridine	6029	C00299	HMDB00296
valerylcarnitine	6426903		HMDB13128
valine	"69,710,186,287"	C00183	HMDB00883
venlafaxine	5656	C07187	HMDB05016
VGAHAGEYGAEALER*			
xanthine	1188	C00385	HMDB00292
xanthosine	64959	C01762	HMDB00299
