,PubChem CID,KEGG,Human Metabolome Database,ChEBI
pseudouridine,15047,C02067,HMDB00767,CHEBI:17802
putrescine,1045,C00134|C02896,HMDB01414,CHEBI:17148
pyroglutamine*,134508,NA,NA,NA
ribitol,827,C00474,HMDB00508|HMDB00568,CHEBI:15963
riboflavin (Vitamin B2),493570,C00255,HMDB00244,CHEBI:17015
ribose,5311110|5779,C00121,HMDB00283,CHEBI:47013
ribose 5-phosphate,447634|439167|53477706,C00117,HMDB00618|HMDB01548,CHEBI:52742
ribulose,79021|439203|151261|439204,C00309|C00310,HMDB00621|HMDB03371,CHEBI:17173
S-adenosylhomocysteine (SAH),25246222|439155,C00021,HMDB00939,CHEBI:16680|CHEBI:57856
S-lactoylglutathione,1083|440018,C03451,HMDB01066,CHEBI:15694
S-methylcysteine,705|817|424|417|24417|7058174,NA,HMDB02108,NA
scyllo-inositol,NA,C06153,HMDB06088,CHEBI:10642|CHEBI:23927
sebacate (decanedioate),5192,C08277,HMDB00792,CHEBI:41865
serine,59|516|857|581|5951|6857581|6857549|71077,C00065|C00740,HMDB03406|HMDB00187,CHEBI:17115|CHEBI:33384|CHEBI:16523|CHEBI:35247
serylleucine,NA,NA,NA,NA
serylphenyalanine,NA,NA,NA,NA
sorbitol,107428|5780,C00794,HMDB00247,CHEBI:17924
spermidine,1102,C00315,HMDB01257,CHEBI:16610
spermine,1103,C00750,HMDB01256,CHEBI:15746
sphinganine,3126|91486,C00836,HMDB00269,CHEBI:16566
sphingosine,5353955|5280335,C00319,HMDB00252,CHEBI:16393|CHEBI:26743|CHEBI:46964
squalene,638072|11975273,C00751,HMDB00256,CHEBI:15440
stachydrine,115244,C10172,HMDB04827,CHEBI:35280
stearamide,31292,C13846,NA,NA
stearate (18:0),5281,C01530,HMDB00827,CHEBI:28842
stearoyl sphingomyelin,6453725|5283588,C00550,HMDB01348,NA
stearoylcarnitine,6426855,NA,HMDB00848,NA
succinate,1110|21952380,C00042,HMDB00254,CHEBI:15741
succinylcarnitine,NA,NA,NA,NA
taurine,11|234|068|592|1123|4068592,C00245,HMDB00251,CHEBI:15891|CHEBI:507393
taurochenodeoxycholate,387316,C05465,HMDB00951,CHEBI:16525
taurocholate,53297338|440567,C05122,HMDB00036,NA
taurocholenate sulfate*,NA,NA,NA,NA
taurodeoxycholate,2733768|440687,C05463,HMDB00896,CHEBI:9410
tetradecanedioate,13185,NA,HMDB00872,NA
tetraethylene glycol,8200,NA,NA,NA
threitol,169019,C16884,HMDB04136,CHEBI:48300
threonine,69|710|196|288|6288|6971019,C00188,HMDB00167,CHEBI:16857|CHEBI:57926
threonylleucine,4420322,NA,NA,NA
threonylphenylalanine,40|997|994|099|798,NA,NA,NA
thromboxane B2,5283137|5280890,C05963,HMDB03252,CHEBI:28728
thymine,1135,C00178,HMDB00262,CHEBI:17821
trans-4-hydroxyproline,58|106|971|053|5810|6971053,C01157,HMDB00725,CHEBI:18095|CHEBI:58375
tryptophan,69|235|166|305|6305|6923516,C00078,HMDB00929,CHEBI:16828|CHEBI:57912
tryptophan betaine ,442106,C09213,NA,NA
tyrosine,60|576|942|100|6057|6942100,C00082,HMDB00158,CHEBI:17895|CHEBI:58315
tyrosylleucine,870|717|009|561,NA,NA,NA
UDP-glucuronate,17473,C00167,HMDB00935,CHEBI:17200
undecanedioate,15816,NA,HMDB00888,NA
undecanoate (11:0),8180,C17715,HMDB00947,CHEBI:32368
uracil,1174,C00106,HMDB00300,CHEBI:17568
urate,1175,C00366,HMDB00289,CHEBI:17775|CHEBI:46811|CHEBI:46814|CHEBI:46817|CHEBI:46823|CHEBI:62589
urea,117|616|150|869|1176,C00086,HMDB00294,CHEBI:16199|CHEBI:48376
uridine,6029,C00299,HMDB00296,CHEBI:16704
uridine monophosphate (5' or 3'),NA,NA,NA,NA
valerylcarnitine,6426903|53481619,NA,HMDB13128,NA
valine,69|710|186|287|6287|6971018,C00183,HMDB00883,CHEBI:16414|CHEBI:57762
valylaspartate,9964657,NA,NA,NA
valylisoleucine,52|460|125|246|013,NA,NA,NA
valylleucine,352039,NA,NA,NA
valylmethionine,292427,NA,NA,NA
valylphenylalanine,69|931|196|993|120,NA,NA,NA
valylserine,139506,NA,NA,NA
valyltryptophan,3360287,NA,NA,NA
valyltyrosine,4065033,NA,NA,NA
valylvaline,4|096|824|280|382,NA,NA,NA
VGAHAGEYGAEALER*,NA,NA,NA,NA
xanthine,1188,C00385,HMDB00292,CHEBI:17712|CHEBI:48517
xanthosine,64959,C01762,HMDB00299,CHEBI:18107
xylitol,6912|827,C00379|C00474,HMDB00568,CHEBI:17151
xylonate,6602431|6971043,C00502|C05411,NA,CHEBI:48093|CHEBI:48092
xylose,95259|135191,C00181,HMDB00098,CHEBI:53455
xylulose,5289590|439204,C00310,HMDB00654|HMDB03371,NA
