"","NumStudies","NumPositiveCor","NumNegativeCor","NumTotalCor"
"spermine",6,2,0,2
"taurine",8,2,0,2
"thymine",6,2,0,2
"tryptophan",8,2,0,2
"uridine",7,2,0,2
"xanthosine",6,2,0,2
"1-oleoylglycerophosphocholine",5,0,1,1
"1-oleoylglycerophosphoethanolamine",5,1,0,1
"1-palmitoylglycerophosphocholine",5,0,1,1
"1-stearoylglycerophosphocholine",5,0,1,1
"1-stearoylglycerophosphoinositol",5,1,0,1
"2-aminoadipate",7,1,0,1
"2-aminobutyrate",5,1,0,1
"2-linoleoylglycerophosphocholine*",5,0,1,1
"2-methylbutyroylcarnitine",5,1,0,1
"2-oleoylglycerophosphoethanolamine*",5,1,0,1
"3-(4-hydroxyphenyl)lactate",5,1,0,1
"3-methylhistidine",5,1,0,1
"4-methyl-2-oxopentanoate",5,1,0,1
"5-methylthioadenosine (mta)",5,0,1,1
"6-phosphogluconate",7,1,0,1
"alpha-tocopherol",5,1,0,1
"arachidonate (20:4n6)",6,1,0,1
"ascorbate (vitamin c)",7,1,0,1
"aspartate",8,1,0,1
"azelate (nonanedioate)",5,1,0,1
"betaine",6,1,0,1
"butyrylcarnitine",5,1,0,1
"carnitine",8,1,0,1
"c-glycosyltryptophan*",5,1,0,1
"cholesterol",6,1,0,1
"citrate",7,1,0,1
"cysteine",7,1,0,1
"cytidine",7,1,0,1
"cytidine 5'-monophosphate (5'-cmp)",8,1,0,1
"dimethylarginine (sdma + adma)",6,1,0,1
"docosadienoate (22:2n6)",5,1,0,1
"docosahexaenoate (dha; 22:6n3)",5,1,0,1
"erythritol",5,1,0,1
"ethanolamine",5,1,0,1
"flavin adenine dinucleotide (fad)",6,1,0,1
"fructose",6,1,0,1
"fructose-6-phosphate",7,1,0,1
"gamma-aminobutyrate (gaba)",6,1,0,1
"gamma-glutamylglutamate",5,1,0,1
"gamma-glutamylglutamine",5,1,0,1
"glucose",6,1,0,1
"glucose-6-phosphate (g6p)",6,1,0,1
"glutathione, oxidized (gssg)",6,1,0,1
"glutathione, reduced (gsh)",7,1,0,1
"glycerol",6,1,0,1
"glycerol 3-phosphate (g3p)",7,1,0,1
"hypoxanthine",8,1,0,1
"inositol 1-phosphate (i1p)",5,1,0,1
"isobutyrylcarnitine",5,1,0,1
"kynurenine",8,1,0,1
"linoleate (18:2n6)",6,1,0,1
"malate",7,1,0,1
"maltotetraose",5,1,0,1
"maltotriose",5,1,0,1
"mannose-6-phosphate",6,1,0,1
"myristate (14:0)",6,1,0,1
"n1-methyladenosine",6,1,0,1
"n6-acetyllysine",6,1,0,1
"n-acetylaspartate (naa)",6,1,0,1
"n-acetylmethionine",5,1,0,1
"nicotinamide",7,1,0,1
"nicotinamide adenine dinucleotide (nad+)",7,1,0,1
"palmitoleate (16:1n7)",6,1,0,1
"proline",8,1,0,1
"riboflavin (vitamin b2)",6,1,0,1
"s-adenosylhomocysteine (sah)",7,1,0,1
"s-adenosylmethionine (sam)",5,1,0,1
"succinate",7,1,0,1
"xanthine",8,1,0,1
"alpha-ketoglutarate",5,1,0,1
"10-heptadecenoate (17:1n7)",5,0,0,0
"10-nonadecenoate (19:1n9)",5,0,0,0
"1-arachidonoylglycerophosphoethanolamine*",5,0,0,0
"1-linoleoylglycerophosphocholine",5,0,0,0
"1-stearoylglycerol (1-monostearin)",5,0,0,0
"2-arachidonoylglycerophosphocholine*",5,0,0,0
"2-arachidonoylglycerophosphoethanolamine*",5,0,0,0
"2-hydroxypalmitate",5,0,0,0
"2-oleoylglycerophosphocholine*",5,0,0,0
"2-palmitoylglycerol (2-monopalmitin)",5,0,0,0
"2-palmitoylglycerophosphocholine*",5,0,0,0
"adenine",5,0,0,0
"alanylleucine",5,0,0,0
"beta-alanine",5,0,0,0
"choline phosphate",5,0,0,0
"cysteine-glutathione disulfide",5,0,0,0
"cystine",5,0,0,0
"cytidine 5'-diphosphocholine",5,0,0,0
"deoxycarnitine",5,0,0,0
"dihomo-linoleate (20:2n6)",5,0,0,0
"dihomo-linolenate (20:3n3 or n6)",5,0,0,0
"docosatrienoate (22:3n3)",5,0,0,0
"eicosenoate (20:1n9 or 11)",5,0,0,0
"gamma-glutamylleucine",5,0,0,0
"glycerol 2-phosphate",5,0,0,0
"glycerophosphorylcholine (gpc)",7,0,0,0
"glycylleucine",5,0,0,0
"heme*",5,0,0,0
"histamine",7,0,0,0
"isovalerylcarnitine",5,0,0,0
"mannose",6,0,0,0
"margarate (17:0)",6,0,0,0
"myo-inositol",6,0,0,0
"n1-methylguanosine",5,0,0,0
"n-acetyl-aspartyl-glutamate (naag)",5,0,0,0
"n-acetylglucosamine",6,0,0,0
"n-acetylneuraminate",6,0,0,0
"n-acetylserine",5,0,0,0
"n-acetylthreonine",5,0,0,0
"oleate (18:1n9)",7,0,0,0
"oleoylcarnitine",5,0,0,0
"ophthalmate",5,0,0,0
"palmitate (16:0)",7,0,0,0
"phosphate",5,0,0,0
"phosphoethanolamine",6,0,0,0
"propionylcarnitine",5,0,0,0
"ribose",6,0,0,0
"sarcosine (n-methylglycine)",5,0,0,0
"sorbitol",5,0,0,0
"sphingosine",5,0,0,0
"stearate (18:0)",5,0,0,0
"stearoylcarnitine",5,0,0,0
"succinylcarnitine",5,0,0,0
"valerylcarnitine",5,0,0,0
"xylitol",5,0,0,0
