"","SigStudies","SigTissues","NumUp","PctUp","NumDown","PctDown","PctUpFC","PctDownFC","TotalDiff","TotalDiffFC","notNA","FC KIRC","FC BLCA","FC BRCA","FC BRCATang","FC OV","FC PAAD","FC PAADHussain1","FC PAADHussain2","FC PRAD","FC PRADLODA","Padj KIRC","Padj BLCA","Padj BRCA","Padj BRCATang","Padj OV","Padj PAAD","Padj PAADHussain1","Padj PAADHussain2","Padj PRAD","Padj PRADLODA"
"1-arachidonoylglycerophosphoinositol*","KIRC;BRCA;BRCATang","Kidney;Breast",2,0.333333333333333,1,0.166666666666667,0.333333333333333,0,3,2,6,-0.87064749758615,NA,1.43878195017264,1.70351547349624,0.787435893420611,NA,NA,-2.46879987636186,NA,-0.0577508403437598,7.58673880932911e-22,NA,0.000230220100973216,0.00427975250837792,0.293810314964646,NA,NA,0.0701750345042928,NA,0.481692399682167
"1-arachidonylglycerol","","",0,0,0,0,0,0,0,0,2,-0.436102909338774,NA,NA,NA,NA,NA,NA,NA,NA,0.118556475254335,0.0608976456388878,NA,NA,NA,NA,NA,NA,NA,NA,0.391036973185112
"1-docosahexaenoylglycerophosphocholine*","KIRC","Kidney",0,0,1,1,0,0,1,0,1,-0.931894513930347,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.97871478650465e-09,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1-heptadecanoylglycerophosphocholine","KIRC","Kidney",0,0,1,0.25,0,0.25,1,1,4,-1.98611294478919,NA,NA,0.0607831483547995,NA,NA,-1.98450262345963,-1.58641107185545,NA,NA,1.86284693855365e-16,NA,NA,0.584118740876569,NA,NA,0.483926562093791,0.295664361814341,NA,NA
"1-heptadecanoylglycerophosphoethanolamine*","KIRC","Kidney",0,0,1,0.333333333333333,0,0.333333333333333,1,1,3,-4.53979100615735,NA,NA,NA,NA,NA,NA,-1.10006530119075,NA,0.565387215100412,3.99179737211877e-40,NA,NA,NA,NA,NA,NA,0.0676910038094682,NA,0.0773911265132249
"1-linoleoylglycerol (1-monolinolein)","KIRC","Kidney",1,0.333333333333333,0,0,0,0,1,0,3,0.771350350795155,NA,NA,1.28549588892788,NA,NA,NA,NA,NA,0.696001497749002,0.000865444357040986,NA,NA,0.136423212733433,NA,NA,NA,NA,NA,0.213065798039777
"1-linoleoylglycerophosphocholine","KIRC;BRCA","Kidney;Breast",1,0.142857142857143,1,0.142857142857143,0.142857142857143,0,2,1,7,-0.691952443332476,NA,1.41001642742542,-1.38051901115093,0.00141487982195439,NA,-0.346542615492882,-2.2558357287781,NA,0.868875522125642,0.00342029295799842,NA,0.00324702054913215,0.181561155699087,0.514582207812266,NA,0.581144084076115,0.120014098521837,NA,0.282376843295943
"1-linoleoylglycerophosphoethanolamine*","KIRC;PRADLODA","Kidney;Prostate",1,0.333333333333333,1,0.333333333333333,0,0.333333333333333,2,1,3,-2.98398792582585,NA,NA,1.07183349403582,NA,NA,NA,NA,NA,0.50078743257434,4.33947885257652e-36,NA,NA,0.0763257820005037,NA,NA,NA,NA,NA,0.0142723893554332
"1-methylimidazoleacetate","KIRC;OV","Kidney;Ovary",0,0,2,0.5,0,0.25,2,1,4,-0.770953225084485,NA,0.195887096892419,NA,-1.99201617356806,NA,0.34210925818005,NA,NA,NA,8.81097254688502e-14,NA,0.515614023750602,NA,0.00114739891412029,NA,0.198863484821349,NA,NA,NA
"1-myristoylglycerophosphocholine","KIRC;BRCA;PRADLODA","Kidney;Breast;Prostate",2,0.285714285714286,1,0.142857142857143,0.142857142857143,0.142857142857143,3,2,7,-1.4056443815075,NA,1.64716569730598,0.685286851958065,0.0990333938508355,NA,-1.7041401485572,-0.935119384383767,NA,0.78653601776618,7.05710936431664e-13,NA,3.00339809618931e-07,0.748007348452588,0.682380922716655,NA,0.385450226872044,0.330140905061112,NA,0.0365627665221923
"1-myristoylglycerophosphoethanolamine","KIRC","Kidney",0,0,1,1,0,1,1,1,1,-2.72242004622157,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.92235910941797e-27,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1-oleoylglycerol (1-monoolein)","KIRC;BRCA;PAADHussain1","Kidney;Breast;Pancreas",2,0.4,1,0.2,0.2,0.2,3,2,5,0.754197461265649,NA,4.28497615010775,1.95130648859583,1.77933471861887,NA,-1.32057795972194,NA,NA,NA,0.000134704565075727,NA,5.88797022400122e-08,0.0840381553125618,0.145927159548677,NA,0.0475753764327604,NA,NA,NA
"1-oleoylglycerophosphocholine","KIRC;BRCA","Kidney;Breast",1,0.142857142857143,1,0.142857142857143,0.142857142857143,0.142857142857143,2,2,7,-1.80958153043408,NA,3.11024535687059,-0.0110323202681761,-0.52467385777378,NA,-1.29541086083916,-1.10344826946687,NA,0.991771236333825,6.63989838235333e-17,NA,9.19154788858961e-09,0.814344861769968,0.435633153558323,NA,0.585306640895125,0.348263804621581,NA,0.135065538011108
"1-oleoylglycerophosphoethanolamine","KIRC;BRCA;BRCATang;PAADHussain2","Kidney;Breast;Pancreas",2,0.285714285714286,2,0.285714285714286,0.285714285714286,0.285714285714286,4,4,7,-4.28899913633595,NA,2.66089037480181,2.67705656754512,-0.594041923417697,NA,-0.822155722396401,-1.13249627793642,NA,0.239495687596103,9.91445756207608e-41,NA,0.000130977541867984,0.000560973074716203,0.903100016180108,NA,0.503574950923544,0.018966095398817,NA,0.441556022198879
"1-oleoylglycerophosphoinositol*","KIRC;PAADHussain2","Kidney;Pancreas",0,0,2,0.5,0,0.5,2,2,4,-1.5362198502181,NA,NA,NA,NA,NA,-2.28819672890087,-4.46591882309976,NA,0.649048792955136,8.14012585855667e-34,NA,NA,NA,NA,NA,0.188568838265222,0.000473105900296284,NA,0.0881562474363277
"1-oleoylglycerophosphoserine","KIRC;PRADLODA","Kidney;Prostate",1,0.5,1,0.5,0,0.5,2,1,2,-1.1263298258372,NA,NA,NA,NA,NA,NA,NA,NA,0.681926063911307,1.07679528870063e-23,NA,NA,NA,NA,NA,NA,NA,NA,0.0247405000547431
"1-palmitoleoylglycerophosphocholine*","KIRC","Kidney",0,0,1,0.2,0,0.2,1,1,5,-1.27818069587379,NA,NA,0.619824519883435,-0.1249221876804,NA,-1.37448438054422,-1.098425349237,NA,NA,9.39396794382553e-10,NA,NA,0.536028058971206,0.633755776424711,NA,0.257206889211651,0.331925368907761,NA,NA
"1-palmitoleoylglycerophosphoethanolamine*","KIRC","Kidney",0,0,1,1,0,1,1,1,1,-3.64448453273918,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.23272410775178e-33,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1-palmitoylglycerol (1-monopalmitin)","KIRC;BRCA;PAADHussain2","Kidney;Breast;Pancreas",1,0.166666666666667,2,0.333333333333333,0.166666666666667,0.166666666666667,3,2,6,-0.337575339063413,NA,4.1654428986518,1.31616528307058,-0.161829365158251,NA,NA,-2.81980643541095,NA,0.134174999518056,0.00647877542231794,NA,3.33168403214709e-07,0.0794559408426224,0.819027192454614,NA,NA,0.000425131285943956,NA,0.671239492835229
"1-palmitoylglycerophosphocholine","KIRC;BRCA","Kidney;Breast",1,0.142857142857143,1,0.142857142857143,0.142857142857143,0.142857142857143,2,2,7,-1.54466677924541,NA,3.28214565207199,-0.402279635287838,-0.784018049413895,NA,-1.16235217069549,-1.76098135745431,NA,0.345338386077991,3.41543767941674e-16,NA,4.622157783994e-09,0.751381847933572,0.195204799965404,NA,0.358448587997597,0.104381552419779,NA,0.3826430288579
"1-palmitoylglycerophosphoethanolamine","KIRC;BRCATang;PAADHussain2","Kidney;Breast;Pancreas",1,0.166666666666667,2,0.333333333333333,0.166666666666667,0.333333333333333,3,3,6,-5.14041318708442,NA,NA,2.84699358793597,-0.462500451874335,NA,-0.983193066509248,-1.50977183456885,NA,-0.144456031740383,2.99886332644069e-41,NA,NA,0.000162635051073185,0.869234643171419,NA,0.228083909311595,0.00875975223279332,NA,0.961834158485846
"1-palmitoylglycerophosphoinositol*","KIRC;BRCATang;PAADHussain2","Kidney;Breast;Pancreas",1,0.166666666666667,2,0.333333333333333,0.166666666666667,0.333333333333333,3,3,6,-2.20933931129301,NA,NA,2.65451970614833,1.27790591339982,NA,-2.04200102043654,-4.52064532456906,NA,0.501188606166555,1.72076076625053e-39,NA,NA,0.000162635051073185,0.572969594506433,NA,0.149374954398268,0.0113386596362145,NA,0.107654994573347
"1-palmitoylplasmenylethanolamine*","KIRC;BRCATang;PAADHussain2","Kidney;Breast;Pancreas",1,0.25,2,0.5,0.25,0.5,3,3,4,-3.07414734852425,NA,NA,2.55863293834283,NA,NA,-1.12076565678177,-1.61163466307402,NA,NA,2.44565280549613e-37,NA,NA,0.000235301776020778,NA,NA,0.341172681445002,0.0143112355327775,NA,NA
"1-pentadecanoylglycerophosphocholine*","KIRC","Kidney",0,0,1,0.333333333333333,0,0.333333333333333,1,1,3,-1.87061802905977,NA,NA,NA,NA,NA,-2.06046235485459,-1.41583127822874,NA,NA,2.8611495098507e-16,NA,NA,NA,NA,NA,0.280287386522076,0.285985558079244,NA,NA
"1-stearoylglycerol (1-monostearin)","KIRC;BRCA;PAADHussain1;PAADHussain2","Kidney;Breast;Pancreas",1,0.142857142857143,3,0.428571428571429,0.142857142857143,0.285714285714286,4,3,7,-0.689688950692859,NA,2.46136478709337,0.635309986688598,0.713516995541317,NA,-1.53989757878217,-2.39754162644532,NA,-0.0124500878906363,6.29701720559295e-11,NA,4.84620142026127e-08,0.0988991350621668,0.19784692412538,NA,0.027482137172568,0.00127535290086283,NA,0.961834158485846
"1-stearoylglycerophosphocholine","KIRC;BRCA","Kidney;Breast",1,0.142857142857143,1,0.142857142857143,0.142857142857143,0.142857142857143,2,2,7,-1.46850232403998,NA,3.41016520667666,0.137330928598152,-0.400013208749097,NA,-1.20076739183009,-1.43005473048991,NA,0.161467266541837,9.37761410500826e-09,NA,2.56841540822051e-10,0.779863110421969,0.482884883139825,NA,0.585306640895125,0.244528624458385,NA,0.531810275253427
"1-stearoylglycerophosphoethanolamine","KIRC;BRCA;BRCATang;PAADHussain2","Kidney;Breast;Pancreas",2,0.285714285714286,2,0.285714285714286,0.285714285714286,0.285714285714286,4,4,7,-3.39673096058071,NA,2.61206497264265,2.72365222540847,0.0838086952473546,NA,-0.896368274360548,-1.46902201503744,NA,0.00858829425874629,1.30484399316118e-32,NA,8.78109118701302e-12,0.000162635051073185,1,NA,0.429565851385565,0.0196780567258155,NA,0.72574578099198
"1-stearoylglycerophosphoinositol","KIRC;BRCA;BRCATang;PAADHussain2;PRADLODA","Kidney;Breast;Pancreas;Prostate",3,0.428571428571429,2,0.285714285714286,0.285714285714286,0.285714285714286,5,4,7,-1.75483786327597,NA,2.39855051164497,2.55721256477517,0.806817422404679,NA,-1.34482009006943,-2.38290045779676,NA,0.423815569673184,1.00546426708493e-35,NA,7.40088516279666e-07,0.000235301776020778,0.789927944329517,NA,0.241873110930864,0.0158297126004736,NA,0.0326175871569824
"2-aminoadipate","KIRC;BRCA;BRCATang;PRADLODA","Kidney;Breast;Prostate",4,0.444444444444444,0,0,0.222222222222222,0,4,2,9,2.22011988685884,NA,0.869593785055273,1.31558544748623,0.811623749797296,0.0591010427829075,-0.237558233705526,0.00124192503010763,1.01371794879335,0.487611417748077,6.39674724035596e-11,NA,1.87321173266329e-07,0.000884734677838126,0.956471798786175,0.849659750544624,0.598019729371069,0.948513070313995,0.178948872882052,0.0236873859186983
"2-aminobutyrate","KIRC;BRCA;BRCATang;OV","Kidney;Breast;Ovary",4,0.571428571428571,0,0,0.428571428571429,0,4,3,7,0.430110934459523,NA,1.05267705569656,1.99828016988984,1.00226494501162,NA,-0.529820203279732,-0.695335607904424,NA,-0.0409703330532957,1.43870728458929e-05,NA,1.55842190580675e-10,0.00190902571854953,0.0103700781188353,NA,0.222089946583201,0.144670800252558,NA,0.698274444708943
"2-arachidonoylglycerophosphocholine*","BRCA","Breast",1,0.142857142857143,0,0,0.142857142857143,0,1,1,7,0.332282310441627,NA,2.07854323720058,0.357146964715557,-0.81888630319893,NA,-1.10081568213507,-0.15125736664984,NA,0.147604029994677,0.429982518206263,NA,2.34555829877624e-08,0.301408200693705,0.19784692412538,NA,0.469679300342168,0.369009180724462,NA,0.890833776145276
"2-arachidonoylglycerophosphoethanolamine*","KIRC;BRCA;BRCATang;OV","Kidney;Breast;Ovary",2,0.285714285714286,2,0.285714285714286,0.285714285714286,0.142857142857143,4,3,7,-0.165232172619027,NA,1.9119130303899,1.50082270437824,-1.04291589239842,NA,-0.201614359945155,2.23308443493486,NA,-0.0223773482761465,0.00151077925173818,NA,4.61498730757997e-09,0.00427975250837792,0.0376467335277247,NA,0.487165549814272,0.0500708575063046,NA,0.807719718139736
"2'-deoxyadenosine 3'-monophosphate","","",0,0,0,0,0,0,0,0,1,0.27692591975212,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0828375197713285,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2'-deoxycytidine 3'-monophosphate","","",0,0,0,0,0,0,0,0,1,0.274563935861489,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.367265553000926,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2'-deoxyguanosine","BRCA","Breast",1,0.166666666666667,0,0,0.166666666666667,0,1,1,6,0.251459676909539,NA,1.84497176909185,0.652923865773967,1.36924575374738,NA,-1.62469569788979,-1.04482792796945,NA,NA,0.404317576167802,NA,4.07847913151789e-08,0.0959523910887263,0.534233365030241,NA,0.0656268232929283,0.194109411679681,NA,NA
"2'-deoxyinosine","BRCA;BRCATang;OV;PRADLODA","Breast;Ovary;Prostate",3,0.428571428571429,1,0.142857142857143,0.285714285714286,0,4,2,7,0.393444554856177,NA,0.344537150491684,2.24846334820044,1.54936389139434,NA,-1.4647177912841,0.13530701962295,NA,-0.350580543394079,0.0727248486975263,NA,0.00364205726915045,0.00773125287071666,0.0193905056035621,NA,0.0656268232929283,0.916627247116181,NA,0.000400264051493075
"2-docosahexaenoylglycerophosphocholine*","","",0,0,0,0,0,0,0,0,1,-0.246004592926791,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0502168564063868,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-docosahexaenoylglycerophosphoethanolamine*","BRCA","Breast",1,0.2,0,0,0.2,0,1,1,5,0.14157272386941,NA,2.49400575978293,-0.24654398179572,-0.194718566831767,NA,NA,NA,NA,-0.147160640342881,0.89453120569376,NA,1.48685988157286e-07,0.536028058971206,0.507566999283617,NA,NA,NA,NA,0.922417812327471
"2-docosapentaenoylglycerophosphocholine*","","",0,0,0,0,0,0,0,0,1,0.12375455542314,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.60593911374977,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-docosapentaenoylglycerophosphoethanolamine*","KIRC;BRCA","Kidney;Breast",2,0.4,0,0,0.2,0,2,1,5,0.774572385346517,NA,2.94629353906576,NA,-0.296349824866622,NA,NA,1.65484935482256,NA,-0.0133919156145042,0.00301921856106416,NA,1.65750794373683e-10,NA,0.369044910176022,NA,NA,0.246480423043675,NA,0.974212976433049
"2-eicosatrienoylglycerophosphocholine*","","",0,0,0,0,0,0,0,0,1,0.25212318382676,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.610987138696173,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-ethylhexanoate","KIRC;BRCATang;PRADLODA","Kidney;Breast;Prostate",0,0,3,1,0,0.333333333333333,3,1,3,-0.0893560240442336,NA,NA,-1.64060549557231,NA,NA,NA,NA,NA,-0.350580543394079,6.48716264311542e-06,NA,NA,0.0335262634113209,NA,NA,NA,NA,NA,0.000400264051493075
"2-hydroxyacetaminophen sulfate*","KIRC","Kidney",0,0,1,0.166666666666667,0,0,1,0,6,-0.00142500063091002,NA,0.0526656103781715,1.66687570661135,-0.975422987036075,NA,-0.00631119651450676,NA,NA,-0.717732506114776,0.0328021323340202,NA,0.244091253622073,0.306569055141494,0.258519958595517,NA,0.414974689609167,NA,NA,0.0844935296888826
"2-hydroxybutyrate (ahb)","BRCA;OV;PAADHussain2;PRAD","Breast;Ovary;Pancreas;Prostate",4,0.444444444444444,0,0,0.333333333333333,0,4,3,9,0.065459761692986,-0.260548688310678,1.15358264041211,0.177817518987433,1.31545404853657,NA,0.307548483322655,0.597583140520922,1.76421780250761,-0.476550963601792,0.595908092281274,0.223373342680329,5.78653260457889e-06,0.718680280513063,0.00335451506867493,NA,0.644961744758201,0.0487753073154087,0.0376381918695507,0.135615691661293
"2-hydroxyglutarate","KIRC;BRCA;BRCATang;OV","Kidney;Breast;Ovary",4,0.8,0,0,0.8,0,4,4,5,2.6136127669008,NA,4.22329320319583,6.48658071482284,3.8792820990526,NA,NA,NA,NA,-0.479789170112492,7.51384822456372e-24,NA,5.1167931884994e-10,0.000560973074716203,0.00317045178560464,NA,NA,NA,NA,0.165586614629067
"2-hydroxyhippurate (salicylurate)","KIRC;PRADLODA","Kidney;Prostate",0,0,2,0.5,0,0,2,0,4,-0.769079574495294,NA,0.079166638979808,-0.0841158873676061,NA,NA,NA,NA,NA,-0.384298327609712,0.0022333332931311,NA,0.10493096645653,0.694159406370734,NA,NA,NA,NA,NA,0.0161457070354965
"2-hydroxyisobutyrate","KIRC","Kidney",0,0,1,1,0,1,1,1,1,-1.30103495817231,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00616556050937e-26,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-hydroxypalmitate","KIRC;BRCA","Kidney;Breast",2,0.285714285714286,0,0,0.142857142857143,0,2,1,7,0.865429921840879,NA,1.46283822200454,1.20820348039179,0.838703952204952,NA,-0.243624805303398,-0.260348144881374,NA,0.36670118823956,1.36714585594242e-08,NA,2.76022810749086e-12,0.136423212733433,0.177725525840167,NA,0.845427503495271,0.720628393917224,NA,0.258405347462809
"2-isopropylmalate","KIRC","Kidney",0,0,1,1,0,0,1,0,1,-0.763769079835051,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.62534868613492e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-linoleoylglycerol (2-monolinolein)","KIRC;PAADHussain2","Kidney;Pancreas",1,0.25,1,0.25,0.25,0.25,2,2,4,1.20661269033024,NA,NA,NA,0.517652229441462,NA,-0.962603195781722,-3.49197783659668,NA,NA,0.000267163167392492,NA,NA,NA,0.726186205625416,NA,0.0656268232929283,0.00113934263453912,NA,NA
"2-linoleoylglycerophosphocholine*","BRCA","Breast",1,0.142857142857143,0,0,0.142857142857143,0,1,1,7,0.119289852649134,NA,1.65264402586233,0.506528146232885,0.40864751197663,NA,-1.21498682834694,-1.09984083150588,NA,0.699000148940001,0.789339349602848,NA,1.18925567035054e-05,0.58947878496489,0.862998988857599,NA,0.659909775428006,0.621297406867174,NA,0.248784728804053
"2-linoleoylglycerophosphoethanolamine*","KIRC;BRCA;BRCATang","Kidney;Breast",2,0.4,1,0.2,0.4,0.2,3,3,5,-1.4224176661969,NA,1.52335230455077,1.26319402058028,1.34684082947414,NA,NA,0.782972825933076,NA,NA,2.30939964947781e-24,NA,0.000170445751873051,0.0383241401303799,0.878178695605378,NA,NA,0.439587552811357,NA,NA
"2-methoxyacetaminophen sulfate*","PRADLODA","Prostate",0,0,1,0.166666666666667,0,0,1,0,6,0,NA,-0.012572313723696,0.462108421620058,-0.344029386972287,NA,0.0267999343216774,NA,NA,-0.350580543394079,NA,NA,0.99213887093734,0.943713430469656,0.781369996714932,NA,0.562852675456899,NA,NA,0.000400264051493075
"2-methylbutyroylcarnitine","KIRC;BRCA;BRCATang;OV;PAADHussain2","Kidney;Breast;Ovary;Pancreas",4,0.571428571428571,1,0.142857142857143,0.571428571428571,0.142857142857143,5,5,7,-1.51025922256279,NA,1.73964531178272,3.02293525703864,3.14286018005079,NA,0.272924844138482,1.59399031198076,NA,0.221550592660926,1.31647718745085e-30,NA,6.64328021963595e-06,0.0101219645345887,0.00106867271981396,NA,0.925919558143422,0.0248100093152588,NA,0.223151694171242
"2-myristoylglycerophosphocholine*","KIRC;BRCA","Kidney;Breast",2,0.666666666666667,0,0,0.333333333333333,0,2,1,3,0.780866932884426,NA,1.52103663295993,0.312007945251179,NA,NA,NA,NA,NA,NA,1.15745884711952e-05,NA,7.68475106185684e-06,0.617862378738936,NA,NA,NA,NA,NA,NA
"2-oleoylglycerol (2-monoolein)","KIRC;PAADHussain1;PAADHussain2","Kidney;Pancreas",1,0.2,2,0.4,0.2,0.2,3,2,5,1.39171154050267,NA,0.163863693875907,NA,0.922566071877326,NA,-1.14069893249651,-0.769412022080904,NA,NA,2.88935479960049e-05,NA,0.0591734385143198,NA,0.238469155992595,NA,0.0475753764327604,0.0286910183352266,NA,NA
"2-oleoylglycerophosphocholine*","KIRC;BRCA","Kidney;Breast",1,0.142857142857143,1,0.142857142857143,0.142857142857143,0,2,1,7,-0.338419080364072,NA,2.7475260789919,0.926204766073656,0.329516862143348,NA,-0.853830092621385,0.364351767281533,NA,0.939275645128116,0.0195915869854919,NA,1.87321173266329e-07,0.363121165321292,0.869234643171419,NA,0.562852675456899,0.618901438317116,NA,0.229193761887514
"2-oleoylglycerophosphoethanolamine*","KIRC;BRCA;BRCATang;PAADHussain2","Kidney;Breast;Pancreas",2,0.285714285714286,2,0.285714285714286,0.285714285714286,0.285714285714286,4,4,7,-3.43737436804253,NA,2.58768101603317,3.1016515608386,0.206295110453432,NA,-0.279153480968839,-1.49330103098832,NA,0.364458073038072,1.62454497312811e-39,NA,3.68882634475973e-07,0.00256506576935023,0.991555028725614,NA,0.935672036946207,0.0280141118358519,NA,0.293403006407071
"2-oleoylglycerophosphoserine*","KIRC","Kidney",0,0,1,1,0,0,1,0,1,-0.0398022025246369,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000310060371194243,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-palmitoleoylglycerophosphocholine*","KIRC;BRCA","Kidney;Breast",2,0.666666666666667,0,0,0.666666666666667,0,2,2,3,1.46677244823783,NA,2.868587524646,1.82983761544822,NA,NA,NA,NA,NA,NA,2.36675421214747e-13,NA,1.3658540087123e-05,0.339563460905798,NA,NA,NA,NA,NA,NA
"2-palmitoylglycerol (2-monopalmitin)","BRCA;PAADHussain1;PAADHussain2","Breast;Pancreas",1,0.142857142857143,2,0.285714285714286,0.142857142857143,0.285714285714286,3,3,7,0.0338544224211575,NA,2.02156831099463,0.776542464763985,-0.974875950948975,NA,-1.43140949309568,-3.49551415216394,NA,-1.15672215026971,0.94764969988361,NA,1.57407197534692e-05,0.0597640193572249,0.526336082214566,NA,0.027482137172568,0.00021044805909166,NA,0.213813126619541
"2-palmitoylglycerophosphocholine*","BRCA","Breast",1,0.142857142857143,0,0,0.142857142857143,0,1,1,7,-0.639604082579425,NA,2.2186932471889,-0.374249686341823,-0.333936083358811,NA,-2.16909346135959,-1.32682420760295,NA,0.0907618637618188,0.0610074898174278,NA,5.18214198839853e-09,0.584118740876569,0.526336082214566,NA,0.294209380023633,0.164717015483495,NA,0.551705439045431
"2-palmitoylglycerophosphoethanolamine*","KIRC;BRCATang;PAADHussain2","Kidney;Breast;Pancreas",1,0.166666666666667,2,0.333333333333333,0.166666666666667,0.333333333333333,3,3,6,-5.18656690910784,NA,NA,1.64027863786174,-1.28690282329351,NA,-0.736765767099677,-2.03852510934408,NA,0.0474660615463808,1.04640459559734e-38,NA,NA,0.0388874017984809,0.0582940856083637,NA,0.280287386522076,0.00583542754016213,NA,0.673605053229233
