,PubChem CID,KEGG,Human Metabolome Database,ChEBI
GLYCEROPHOSPHORYLCHOLINE (GPC),657272|439285|58381695|71920,C00670|D07349,HMDB00086,CHEBI:30909|CHEBI:55397|CHEBI:64483|CHEBI:64539|CHEBI:64540|CHEBI:64541|CHEBI:64544|CHEBI:64563|CHEBI:64565|CHEBI:64566|CHEBI:64567|CHEBI:64568|CHEBI:67053|CHEBI:67054|CHEBI:67055|CHEBI:67056|CHEBI:67057|CHEBI:67058|CHEBI:67059|CHEBI:67060|CHEBI:67061|CHEBI:67064|CHEBI:67065|CHEBI:67066|CHEBI:67067|CHEBI:67068|CHEBI:67069|CHEBI:67070|CHEBI:67071|CHEBI:67073|CHEBI:67074|CHEBI:67075|CHEBI:67076|CHEBI:67077|CHEBI:67082|CHEBI:67083|CHEBI:67084|CHEBI:67085|CHEBI:67086|CHEBI:67087|CHEBI:67088|CHEBI:68489|CHEBI:72736|CHEBI:72737|CHEBI:74349|CHEBI:76083|CHEBI:16870
GLYCINE,750|5257127,C00037|D00011,HMDB00123,CHEBI:15428|CHEBI:15705|CHEBI:16228|CHEBI:57305|CHEBI:59869|CHEBI:59871|CHEBI:62031|CHEBI:66884|CHEBI:66933
GLYCOCHOLATE (GCA),,C01921,,
GUANINE,764,C00242,HMDB00132,CHEBI:16235
GUANOSINE,6802,C00387,HMDB00133,CHEBI:16750
HEPTADECANOATE (MARGARATE; 17:0),10465,NA,HMDB02259,CHEBI:32365
HEXANOYLCARNITINE (C6 AC),6426853|8892,C01585,HMDB00705|HMDB00535,CHEBI:70749|CHEBI:30776
HIPPURATE (BENZOYLGLYCINE),464,C01586,HMDB00714,CHEBI:18089
HISTAMINE,774|156615,C00388|D08040,HMDB00870,CHEBI:18295|CHEBI:73337
HISTIDINE,6274|6971009,C00135|D00032,HMDB00177,CHEBI:15971|CHEBI:57595
HISTIDINOL,,,,
HOMOCYSTEINE,6971015|91552|49791978|778,C00155|C05330,HMDB00742,CHEBI:17588|CHEBI:58199|CHEBI:17230|CHEBI:58065
HOMOSERINE LACTONE,,,,
HYDROXYPHENYLPYRUVATE,,,,
HYDROXYPROLINE,6971053|5810,C01157,HMDB00725,CHEBI:18095|CHEBI:58375
HYPOTAURINE,107812|25244088,C00519,HMDB00965,CHEBI:16668|CHEBI:57853
HYPOXANTHINE,790,C00262,HMDB00157,CHEBI:17368
IMIDAZOLELACTATE,,,,
INDOLELACTATE,92904,C02043,HMDB00671,CHEBI:24813
INDOXYLSULFATE,,,,
INOSINE,6021,C00294|D00054,HMDB00195,CHEBI:17596
INOSITOL-1-PHOSPHATE (I1P),,,,
"ISOBAR 1 INCLUDES MANNOSE, FRUCTOSE, GLUCOSE, GALACTOSE",,,,
"ISOBAR 17 INCLUDES ARGININE, N-ALPHA-ACETYL-ORNITHINE",,,,
"ISOBAR 18 INCLUDES D-FRUCTOSE 1-PHOSPHATE, BETA-D-FRUCTOSE 6-PHOSPHATE",,,,
"ISOBAR 19 INCLUDES D-SACCHARIC ACID,1,5-ANHYDRO-D-GLUCITOL",,,,
"ISOBAR 2 INCLUDES 2-AMINOISOBUTYRIC ACID,3-AMINO-ISOBUTYRATE",,,,
"ISOBAR 21 INCLUDES GAMMA-AMINOBUTYRYL-L-HISTIDINE, L-ANSERINE",,,,
"ISOBAR 22 INCLUDES GLUTAMIC ACID, O-ACETYL-L-SERINE",,,,
"ISOBAR 24 INCLUDES L-ARABITOL, ADONITOL",,,,
"ISOBAR 28 INCLUDES L-THREONINE, L-ALLOTHREONINE, L-HOMOSERINE",,,,
"ISOBAR 29 INCLUDES R,S-HYDROOROTIC ACID, 5,6-DIHYDROOROTIC ACID",,,,
"ISOBAR 3 INCLUDES INOSITOL 1-PHOSPHATE, MANNOSE 6-PHOSPHATE",,,,
"ISOBAR 30 INCLUDES MALTOTETRAOSE, STACHYOSE",,,,
"ISOBAR 31 INCLUDES 1-KESTOSE,MALTOTRIOSE, MELEZITOSE",,,,
"ISOBAR 32 INCLUDES N-ACETYL-D-GLUCOSAMINE, N-ACETYL-D-MANNOSAMIN",,,,
"ISOBAR 35 INCLUDES D-ARABINOSE 5-PHOSPHATE, D-RIBULOSE 5-PHOSPHATE",,,,
"ISOBAR 4 INCLUDES GLUCONIC ACID, DL-ARABINOSE, D-RIBOSE, L-XYLOSE",,,,
"ISOBAR 40 INCLUDES MALTOTETRAOSE, STACHYOSE",,,,
"ISOBAR 6 INCLUDES VALINE, BETAINE",,,,
ISOBAR GLYCOCHENODEOXYCHOLIC ACID/GLYCODEOXYCHOLIC ACID,,,,
ISOLEUCINE,6306|7043901,C00407|D00065,HMDB00172,CHEBI:17191|CHEBI:58045
KYNURENATE,,,,
KYNURENINE,161166|6971029,C00328,HMDB00684,CHEBI:16946|CHEBI:57959
LACTATE,107689,C00186,HMDB00190,CHEBI:422
LAURATE (12:0),3893,C02679,HMDB00638,CHEBI:30805
LEUCINE,6106|7045798,C00123|D00030,HMDB00687,CHEBI:15603|CHEBI:57427
LINOLEATE (18:2N6),5280450,C01595,HMDB00673,CHEBI:17351
LYSINE,5962,C00047|D02304,HMDB00182,CHEBI:18019
MALATE,222656,C00149,HMDB00156,CHEBI:30797
MANNOSE,18950,C00159,HMDB00169,CHEBI:4208
MANNOSE-6-PHOSPHATE,65127|439198,C00275,HMDB01078,CHEBI:48066|CHEBI:49728
METHIONINE,6137|6992087,C00073|D00019,HMDB00696,CHEBI:16643|CHEBI:57844
METHYLGLUTARATE,,,,
MYO-INOSITOL,,C00137|D08079,HMDB00211,CHEBI:17268
MYRISTATE (14:0),11005,C06424,HMDB00806,CHEBI:28875
N-6-TRIMETHYLLYSINE,159659|440120,C03793,HMDB01325,
N-ACETYLASPARTATE (NAA),65065,C01042,HMDB00812,CHEBI:21547
N-ACETYLGALACTOSAMINE,,,,
N-ACETYLGLUCOSAMINE,24139|11861101,C03878,HMDB00215|HMDB00803,CHEBI:17029|CHEBI:28009|CHEBI:61631
N-ACETYLGLUCOSAMINYLAMINE,,,,
N-ACETYLNEURAMINATE,439197|445063,C00270|C19910,HMDB00230,CHEBI:17012|CHEBI:45744
N-CARBAMOYLASPARTATE,,,,
NICOTINAMIDE,936,C00153|D00036,HMDB01406,CHEBI:17154
NICOTINAMIDE ADENINE DINUCLEOTIDE (NAD+),5893,C00003|D00002,HMDB00902,CHEBI:15846
NICOTINAMIDE RIBONUCLEOTIDE (NMN),14180,C00455,HMDB00229,CHEBI:16171
OCTADECANOIC ACID,,,,
OFLOXACIN,,,,
OLEATE (18:1N9),445639,C00712|D02315,HMDB00207|HMDB00573,CHEBI:16196
ORNITHINE,6262|71082,C00077|D08302|C00515,HMDB03374|HMDB00214,CHEBI:15729|CHEBI:16176
OROTIDINE-5'-PHOSPHATE,,,,
ORTHOPHOSPHATE (PI),,,,
OXALATE (ETHANEDIOATE),,,,
OXOPROLINE,,,,
PALMITATE (16:0),985,C00249|D05341,HMDB00220,CHEBI:15756
PALMITOLEATE (16:1N7),445638,C08362,HMDB03229,CHEBI:28716
PANTOTHENATE,6613|988,C00864|D07413,HMDB00210,CHEBI:46905|CHEBI:7916
PARAXANTHINE,,,,
PHENYLALANINE,6925665|6140,C00079|D00021,HMDB00159,CHEBI:17295|CHEBI:58095
PHOSPHOENOLPYRUVATE (PEP,1005|58114173|59658623,C00074,HMDB00263,CHEBI:44897
PHOSPHOETHANOLAMINE,1015|5232324,C00346,HMDB00224,CHEBI:17553
PHOSPHOSERINE,,,,
P-HYDROXYPHENYLACETATE (HPA),,,,
P-HYDROXYPHENYLLACTATE (HPLA),,,,
PICOLINATE,,,,
PIPECOLATE,439227|6931663|25200477|849,C00408,HMDB00070|HMDB00716,CHEBI:30913|CHEBI:46876|CHEBI:61185|CHEBI:17964
PROLINE,145742|6971047,C00148|D00035,HMDB00162,CHEBI:17203|CHEBI:60039
PUTRESCINE,1045,C00134|C02896,HMDB01414,CHEBI:17148
PYRIDOXAMINE,,,,
PYROPHOSPHATE (PPI),1023|21961011|644102,C00013,HMDB00250,CHEBI:29888|CHEBI:16838|CHEBI:18361
QUINOLINATE,1066,C03722,HMDB00232,CHEBI:16675
RIBOFLAVIN (VITAMIN B2),493570,C00255|D00050,HMDB00244,CHEBI:17015
RIBOSE,5779,C00121,HMDB00283,CHEBI:47013
S-ADENOSYLHOMOCYSTEINE (SAH),25246222|439155,C00021,HMDB00939,CHEBI:16680|CHEBI:57856
S-ADENOSYLMETHIONINE (SAM),34755|25791610|16757548,C00019,HMDB01185,CHEBI:67040
SARCOSINE (N-METHYLGLYCINE),7311726|1088,C00213,HMDB00271,CHEBI:15611|CHEBI:57433
SERINE,5951|6857581|6857549|71077,C00065|D00016|C00740,HMDB03406|HMDB00187,CHEBI:17115|CHEBI:33384|CHEBI:16523|CHEBI:35247
SORBITOL,5780,C00794|D00096,HMDB00247,CHEBI:17924
SPERMIDINE,1102,C00315,HMDB01257,CHEBI:16610
SPERMINE,1103,C00750,HMDB01256,CHEBI:15746
SUBERATE (OCTANEDIOATE),,,,
SUCCINATE,1110|21952380,C00042,HMDB00254,CHEBI:15741
SUCROSE/MALTOSE,,,,
TARTARATE,444305,C00898|D00103,HMDB00956,CHEBI:15671
TAURINE,1123|4068592,C00245|D00047,HMDB00251,CHEBI:15891|CHEBI:507393
THREONINE,6971019|6288,C00188|D00041,HMDB00167,CHEBI:16857|CHEBI:57926
THYMINE,1135,C00178,HMDB00262,CHEBI:17821
THYROXINE,,,,
TOPIRAMATE,,,,
"TRANS-2, 3, 4-TRIMETHOXYCINNAMATE",,,,
TRYPTOPHAN,6923516|6305,C00078|D00020,HMDB00929,CHEBI:16828|CHEBI:57912
TYROSINE,6057|6942100,C00082|D00022,HMDB00158,CHEBI:17895|CHEBI:58315
UDP-N-ACETYLMURAMINATE (UDP-MURNAC),,,,
URACIL,1174,C00106|D00027,HMDB00300,CHEBI:17568
URATE,1175,C00366,HMDB00289,CHEBI:17775|CHEBI:46811|CHEBI:46814|CHEBI:46817|CHEBI:46823|CHEBI:62589
UREA,1176,C00086|D00023,HMDB00294,CHEBI:16199|CHEBI:48376
URIDINE,6029,C00299,HMDB00296,CHEBI:16704
VALINE,6971018|6287,C00183|D00039,HMDB00883,CHEBI:16414|CHEBI:57762
XANTHINE,1188,C00385,HMDB00292,CHEBI:17712|CHEBI:48517
XANTHOSINE,64959,C01762,HMDB00299,CHEBI:18107
XYLITOL,827,C00379|D00061,HMDB00568,CHEBI:17151
