,KIRC Tumor,KIRC Normal,BRCA Tumor,BRCA Normal,BRCATang Tumor,OV Tumor,OV Metastasis,combined.p,adjusted.combined.p,combined.p.TUMOR.ONLY,adjusted.combined.p.TUMOR.ONLY
Serine,4.00E-04,0.2432,0.113,0.6042,0.6898,0.1984,0.5624,0.02107719,0.08734145,0.004607577,0.032417598
Aspartate-Glutamate,6.00E-04,0.5746,NA,NA,NA,0.498,0.714285714,0.042264755,0.139347939,0.005447564,0.037655091
Proline,2.00E-04,0.469,0.2332,0.9118,0.5774,0.325,0.8578,0.063471184,0.177472826,0.006016867,0.040873203
Sedoheptulose-7-Phosphate,0.0068,0.9992,0.02,NA,0.397,NA,NA,0.023446744,0.095782443,0.006382766,0.042623895
Glucarate (Saccharate),0.0048,0.008,NA,NA,NA,0.0804,0.1394,0.000557818,0.012001523,0.00683841,0.044169403
Isoleucylalanine,0.001,0.3258,NA,NA,0.382,NA,NA,0.01254902,0.064315221,0.006776749,0.044169403
Glycylproline,2.00E-04,0.0374,0.379,0.532,0.7804,0.1972,1,0.012801902,0.064315221,0.007492205,0.047611751
2'-Amp,0.025,0.9668,0.033,NA,0.169,0.0874,0.4298,0.036021801,0.127291763,0.007745016,0.047680253
Valerylcarnitine,2.00E-04,0.9198,0.827,0.594,0.6886,0.106,0.424,0.058610114,0.165569968,0.007690411,0.047680253
Glucose 6-Phosphate,0.0012,0.704,0.075,0.1488,0.5358,0.259,0.4266,0.022260152,0.091584624,0.007891223,0.047832949
N2-Methylguanosine,0.001,0.0366,NA,NA,NA,0.486,0.571428571,0.006745848,0.041841154,0.008387681,0.050071917
Butyrylcarnitine,6.00E-04,0.1354,0.319,0.5942,0.5316,0.1378,0.7266,0.0282064,0.109039507,0.008614517,0.050658505
N6-Carbamoylthreonyladenosine,0.001,0.0272,NA,NA,NA,0.556,0.857142857,0.008117145,0.047708931,0.009446153,0.054732124
Thymine,0.0012,0.1118,0.094,NA,0.437,0.4108,0.855,0.019399362,0.082209848,0.011363739,0.063961615
Xanthine,2.00E-04,0.8576,0.8066,0.5362,0.1852,0.6744,1,0.114853766,0.266757133,0.01132116,0.063961615
N-Acetylglycine,0.011,0.225,NA,NA,0.2008,0.051,0.7082,0.031712191,0.117091166,0.011584018,0.064283142
Histidine,0.003,0.0906,0.0484,0.5264,0.2986,0.5042,0.7182,0.026686237,0.105061945,0.012034184,0.065853732
2'-Deoxyinosine,0.002,0.207,NA,NA,0.6074,0.106,0.851,0.037092616,0.130276506,0.012896407,0.068256411
2-Ethylhexanoate,1,0.8484,NA,NA,0.8882,NA,NA,0.006117248,0.038720166,0.012992972,0.068256411
Xanthosine,2.00E-04,0.046,0.1438,0.997,0.9072,0.9072,0.8596,0.030528193,0.115685786,0.012771086,0.068256411
Cortisone,0.002,0.176,NA,NA,NA,0.4112,0.571428571,0.031929344,0.117142052,0.013328281,0.069096614
Valylvaline,0.004,0.3994,NA,NA,0.2114,NA,NA,0.027653094,0.107622851,0.013657225,0.069882424
Glutathione Disulfide,0.007,NA,0.27,0.3358,0.1514,0.099,1,0.053354002,0.158411881,0.014599232,0.072994741
Urea,0.0022,0.0012,0.6598,0.5146,0.7896,0.0248,0.2928,0.000977939,0.015647031,0.014636001,0.072994741
Acetylcarnitine Dl,0.0012,6.00E-04,0.6576,0.8548,0.414,0.0924,0.709,0.001663702,0.0184287,0.015303967,0.074441519
N-Acetylglucosamine 6-Phosphate,0.0096,0.9192,0.1226,0.769,0.2852,0.089,0.2956,0.092454659,0.233291919,0.015186479,0.074441519
15-Methylpalmitate (Isobar With 2-Methylpalmitate),0.9328,0.5424,NA,NA,0.9408,NA,NA,0.078988763,0.206806943,0.0156391,0.074748009
Valylasparagine,0.005,0.422,NA,NA,0.199,NA,NA,0.032755498,0.118661427,0.015746408,0.074748009
Riboflavin (Vitamin B2),0.0048,0.4206,0.144,0.736,NA,0.25,0.5616,0.105978136,0.254347526,0.016309007,0.076497011
Valylphenylalanine,0.0038,0.2014,NA,NA,0.289,NA,NA,0.019833277,0.082782373,0.017162851,0.079554864
Phosphoethanolamine,0.0222,0.3074,0.209,0.6586,0.0596,0.1338,0.291,0.050685326,0.156425276,0.017788004,0.081493877
Valylserine,0.009,0.47,NA,NA,0.1294,NA,NA,0.040191101,0.135592653,0.018063826,0.08180629
Nad+,0.5624,1,0.007,NA,0.9036,0.0108,0.7204,0.101059242,0.246259213,0.018287761,0.081879292
Lidocaine,0.0014,0.0204,NA,NA,0.5992,0.258,0.714285714,0.009494685,0.052085129,0.019496183,0.085349958
Vgahageygaealer*,0.878,NA,NA,NA,0.984,NA,NA,0.019410659,0.082209848,0.019410659,0.085349958
N-Acetylthreonine,0.006,0.006,0.3182,0.171,0.1684,0.1374,0.8596,0.00395959,0.030820592,0.020262247,0.086775275
Behenate (22:0),NA,NA,0.004,NA,NA,0.3308,1,0.078309412,0.205964482,0.020185951,0.086775275
5-Oxoproline,1,0.9252,0.6782,0.7826,0.9492,0.668,0.8636,0.000857477,0.014966863,0.021733824,0.09207663
Ascorbate (Vitamin C),0.0058,0.7108,0.116,NA,0.1862,0.4042,0.2788,0.055131269,0.161195994,0.022388672,0.092854071
Inosine,0.3428,1,0.075,0.4756,0.0638,0.0306,0.1466,0.066692766,0.182873393,0.022245539,0.092854071
Tryptophan,0.0046,0.032,0.0498,0.7504,0.4548,0.506,0.7264,0.03025702,0.115685786,0.023055947,0.094625448
Pseudouridine,0.004,0.2054,0.229,0.696,0.0846,0.7578,0.4318,0.068050914,0.184893048,0.024937986,0.101294498
Taurine,0.004,0.5636,0.0974,0.061,0.2572,0.5966,0.146,0.015078645,0.070042739,0.025263137,0.101568121
Stachydrine,0.0114,0.0056,0.6676,0.735,0.7448,0.0108,0.714285714,0.010871746,0.057982644,0.025701867,0.102288239
Glucose,0.0042,0.9834,0.4212,0.6744,0.4046,0.0938,0.141,0.092749738,0.233291919,0.0274772,0.108260169
Cysteine-Glutathione Disulfide,0.0732,0.592,0.0618,0.6028,0.4132,0.0378,0.5746,0.145914461,0.317157471,0.028509425,0.110224541
Hexanoylcarnitine (C6 Ac),6.00E-04,0.1526,0.4864,0.428,0.7468,0.3246,0.4192,0.047284461,0.151685658,0.028535287,0.110224541
Caprate (10:0),1,0.8834,NA,NA,0.6954,0.8656,0.7226,0.006070424,0.038720166,0.029940979,0.113430248
Fructose-6-Phosphate,0.0114,0.6164,0.0562,0.33,0.4572,0.2578,0.2852,0.075796344,0.20119214,0.029908415,0.113430248
2-Linoleoylglycerophosphoethanolamine*,0.0534,0.9532,0.1148,0.941,0.0682,0.188,0.851,0.297445348,0.542178862,0.030782332,0.114639714
Benzoic Acid,1,0.8496,NA,NA,0.8296,NA,NA,0.011000718,0.058132234,0.030842157,0.114639714
Spermidine,0.0028,4.00E-04,0.3682,0.6988,0.9186,0.0902,0.4176,0.001556185,0.01839464,0.032676643,0.120323341
Cystine,0.9854,0.302,0.4606,0.364,0.932,0.9058,0.285714286,0.31767314,0.564752248,0.033186224,0.121068263
Alanylphenylalanine,0.0118,0.006,NA,NA,0.223,NA,NA,0.002310677,0.022952993,0.036525091,0.129647621
Guanosine 5'- Monophosphate (5'-Gmp),1,0.977,NA,NA,0.8158,NA,NA,0.003285905,0.02867699,0.036228997,0.129647621
N1-Methylguanosine,0.033,0.2658,0.088,NA,0.1646,NA,NA,0.043333718,0.141819441,0.036209164,0.129647621
Leucylserine,0.011,0.138,NA,NA,0.262,NA,NA,0.031405596,0.116707248,0.039479197,0.138882174
"1,3-Dihydroxyacetone",0.007,0.391,0.426,0.168,NA,NA,NA,0.058654708,0.165569968,0.040645621,0.141254451
Alpha-Hydroxyisovalerate,0.0262,0.007,NA,NA,0.246,0.0868,0.5672,0.007387024,0.044322144,0.040870577,0.141254451
Leucylalanine,0.0088,0.2722,NA,NA,0.345,NA,NA,0.055025469,0.161195994,0.041272686,0.141403811
2-Palmitoylglycerol,0.229,0.9444,0.009,NA,0.235,0.2506,0.714285714,0.185900822,0.387966932,0.041956989,0.142509082
Ophthalmate,0.018,NA,0.268,0.343,0.2606,0.099,0.857142857,0.118703615,0.27349313,0.042706914,0.143816446
Gamma-Tocopherol,0.967,0.731,0.92,0.948,0.6728,0.589,0.575,0.008203198,0.047727698,0.043420877,0.144981574
2-Linoleoylglycerophosphocholine,0.0698,0.9976,0.0366,0.966,0.168,0.3038,0.571428571,0.323586555,0.569987326,0.04413276,0.146120229
2-Palmitoleoylglycerophosphocholine*,0.0158,0.9818,0.061,0.952,0.692,NA,NA,0.28206522,0.520500944,0.046754887,0.153511878
Glycerophosphocholine,0.5582,0.9998,0.0412,0.9302,0.2404,0.0284,0.5832,0.350094834,0.594861365,0.050284174,0.163735243
Glycerol,0.012,0.3274,0.0828,0.6974,0.278,0.589,0.4238,0.152436048,0.326405812,0.051548677,0.166476876
Phenylpyruvate,NA,NA,NA,NA,0.012,0.3448,0.428571429,0.097176804,0.241266548,0.053686513,0.171971433
Histidylleucine,0.0144,0.5564,NA,NA,0.295,NA,NA,0.119758971,0.274825367,0.054895264,0.174425275
"Bilirubin (Z,Z)",0.807,NA,NA,NA,NA,0.958,0.714285714,0.045016699,0.145672014,0.055887177,0.176156383
Glycylphenylalanine,0.012,0.014,NA,NA,0.366,NA,NA,0.007096866,0.04348718,0.056463294,0.176559823
N-Acetylmethionine,0.0032,0.7392,0.3088,0.583,0.4032,0.4958,0.5708,0.268970177,0.5013813,0.058998188,0.178976806
Putrescine,0.0042,0.118,0.282,0.543,0.8502,0.19,1,0.13353512,0.29583165,0.057705591,0.178976806
Serylleucine,0.0164,0.3258,NA,NA,0.2804,NA,NA,0.085850878,0.2207594,0.058696131,0.178976806
Stearidonate (18:4N3),0.7622,0.8702,0.0018,0.145,0.6614,NA,NA,0.104973172,0.252989737,0.059053261,0.178976806
Pro-Hydroxy-Pro,0.0024,0.0956,NA,NA,0.6636,0.5916,0.2848,0.040254069,0.135592653,0.060751226,0.182717428
"Isobar: Ribulose 5-Phosphate, Xylulose 5-Phosphate",0.167,0.998,0.038,NA,0.6326,0.0526,0.146,0.107452366,0.254701904,0.061782685,0.184411955
3-Indoxyl Sulfate,0.809,0.035,NA,NA,0.793,0.786,0.428571429,0.922015226,0.970170885,0.064610154,0.18910372
Deoxycarnitine,0.0106,0.3612,0.3814,0.7334,0.6246,0.0896,0.5646,0.225346005,0.438511145,0.064794422,0.18910372
Isoleucylglutamate,0.01,0.366,NA,NA,0.513,NA,NA,0.101325405,0.246259213,0.064357385,0.18910372
Gamma-Glutamylleucine,1,0.8562,0.667,0.521,0.7742,0.5784,0.428571429,0.054130076,0.159891916,0.069000884,0.19989962
Alanylleucine,0.011,0.0328,0.469,NA,0.191,0.289,0.428571429,0.031031502,0.116065879,0.075846978,0.218129264
Quinate,0.0096,0.0044,NA,NA,NA,0.6622,1,0.014462292,0.068280984,0.077025152,0.219912392
Pelargonate (9:0),1,0.9936,NA,NA,0.7898,0.6026,0.7148,0.010259711,0.055229846,0.079024566,0.22399769
Uridine,0.0474,0.9992,0.116,0.972,0.6174,0.0922,0.1448,0.256405918,0.48582174,0.080875755,0.227607483
Alanylalanine,0.067,0.7872,NA,NA,NA,0.104,1,0.474659002,0.707511119,0.083148127,0.232342994
2-Arachidonoylglycerophosphoethanolamine,0.007,0.7172,0.1974,0.4314,0.3118,0.8032,0.5782,0.301881281,0.543386306,0.086557407,0.236500724
Creatine,0.066,0.9618,0.0952,0.5748,0.4318,0.1286,0.1418,0.202575464,0.408158635,0.087037068,0.236500724
N-Acetylglucosamine,0.171,0.366,0.043,0.954,NA,NA,NA,0.308734437,0.552270296,0.086951385,0.236500724
Phosphate,0.0088,0.5656,0.2226,0.7858,0.7102,0.2474,0.5762,0.3556383,0.600726278,0.086241161,0.236500724
Leucylglycine,0.0096,0.3776,NA,NA,0.7838,NA,NA,0.136686028,0.30050058,0.088632258,0.239185683
Uridine Monophosphate (5' Or 3'),0.9978,0.9978,NA,NA,0.7174,NA,NA,0.009891508,0.053750084,0.089723602,0.240483667
Mannitol,NA,NA,0.186,0.173,0.16,0.056,0.443,0.112267751,0.261806577,0.092853249,0.247190406
C-Glycosyltryptophan,0.025,0.0034,0.0988,0.643,0.5284,0.3244,0.146,0.009028998,0.051314426,0.099099484,0.262048299
Glycylglycine,0.0124,0.0404,0.593,NA,0.26,NA,NA,0.030397857,0.115685786,0.102671396,0.269683532
Docosapentaenoate (N3 Dpa; 22:5N3),0.7584,0.998,0.0282,0.8404,0.0852,0.263,0.5646,0.535995837,0.743936391,0.107610664,0.280785442
"1,2-Propanediol",0.0114,0.0106,NA,NA,0.981,0.187,0.571428571,0.025044942,0.100838863,0.109601655,0.284099027
Acetyllysine,0.0528,0.5524,0.266,0.566,0.0924,0.4002,0.438,0.322161169,0.56921728,0.113488384,0.292251132
Beta-Tocopherol,0.95,0.435,0.717,0.773,NA,NA,NA,0.124808776,0.283245807,0.114613946,0.293233083
N-Acetyl-L-Alanine,0.0156,0.2788,0.25,NA,0.2838,0.4878,0.71,0.214458513,0.424495202,0.116428903,0.29595476
Adenosine,0.9826,0.9998,0.0694,0.555,0.3034,0.0266,0.2956,0.359524043,0.603311912,0.117905031,0.297785783
2-Hydroxybutyrate (Ahb),0.6938,0.0816,0.9626,0.352,0.8504,0.4092,0.7112,0.581191316,0.77780056,0.121274395,0.300826265
Amp,0.9726,0.887,0.016,NA,0.7056,0.0524,1,0.46551756,0.698276341,0.121399432,0.300826265
Succinate,0.0054,0.9226,0.2348,0.7636,0.9094,0.4922,0.1418,0.289569142,0.529497859,0.120311765,0.300826265
Nadh,0.742,0.755,NA,NA,0.9024,NA,NA,0.064009792,0.178114204,0.123696083,0.304601606
Leucylglutamate,0.0486,0.2354,NA,NA,0.2426,NA,NA,0.134415001,0.296640002,0.128290271,0.313952589
1-Stearoylglycerophosphoinositol,0.0154,0.9948,0.1888,0.387,0.3842,0.5808,0.7268,0.488453453,0.719078052,0.13131531,0.317770822
Glucuronate,0.0284,0.9314,0.431,0.105,NA,NA,NA,0.194202444,0.396668822,0.132270089,0.317770822
Threonylleucine,0.0182,0.3434,NA,NA,0.6704,NA,NA,0.179858917,0.37948255,0.131925472,0.317770822
Allo-Threonine,0.267,0.011,0.047,0.109,NA,NA,NA,0.00908693,0.051314426,0.134979913,0.32037401
Pyruvate,NA,NA,0.09,0.064,NA,0.1388,0.1398,0.039577838,0.135050546,0.134480548,0.32037401
1-Oleoylglycerol (1-Monoolein),0.5934,0.9988,0.013,NA,0.6454,0.1394,0.4298,0.361219928,0.603311912,0.137197461,0.323687423
Ergothioneine,0.2048,0.6738,NA,NA,0.5778,0.0244,1,0.507877423,0.727397583,0.13826636,0.324267535
Gamma-Glutamylphenylalanine,0.9998,0.9598,NA,NA,0.783,0.4966,0.571428571,0.041592602,0.138481728,0.140864057,0.328404961
N-Formylmethionine,NA,NA,NA,NA,0.1328,0.1086,0.71,0.329236096,0.572698507,0.151114408,0.350229862
N-Acetylaspartate (Naa),0.6572,1,0.039,NA,0.54,0.059,0.5688,0.445787669,0.688401334,0.152381069,0.35110024
Chiro-Inositol,0.031,0.082,NA,NA,0.399,0.271,0.714285714,0.145597291,0.317157471,0.153742323,0.352177181
Glycerol 2-Phosphate,0.2024,0.7508,0.182,0.539,0.7606,0.03,0.418,0.439971615,0.681246372,0.155232772,0.353535908
2-Arachidonoylglycerophosphocholine,0.0202,0.9864,0.164,0.872,0.4514,0.5786,0.4262,0.61316202,0.800864679,0.158138009,0.358082618
Glycine,0.0692,0.098,0.1246,0.5934,0.7626,0.1376,0.2958,0.151520677,0.32565638,0.162716616,0.366344839
Caprylate (8:0),1,0.2856,NA,NA,0.623,0.582,0.72,0.244068226,0.468610993,0.16597314,0.369094208
Dimethylglycine,0.0572,0.3096,NA,NA,NA,0.283,0.571428571,0.329124079,0.572698507,0.165874653,0.369094208
Threonylphenylalanine,0.0248,0.114,NA,NA,0.657,NA,NA,0.10053152,0.246259213,0.166748145,0.369094208
Stearoyl Sphingomyelin,NA,NA,0.634,0.164,0.9768,NA,NA,0.80105818,0.918429467,0.167914081,0.369598592
Dihomo-Linolenate,0.0884,0.9986,0.086,0.9308,0.3862,0.3284,0.1438,0.421514925,0.659762492,0.169440492,0.370886411
1-Palmitoylglycerol,0.7744,1,0.007,0.257,0.5678,0.3162,0.4298,0.388997154,0.633261005,0.170447932,0.371030306
Fumarate (Trans-Butenedioate),0.055,0.9638,0.3392,0.726,0.532,0.0992,0.8596,0.775116828,0.906824753,0.17170299,0.371708671
"4-Androsten-3Beta,17Beta-Diol Disulfate 1*",0.058,0.003,0.157,0.204,0.3696,0.3134,1,0.02435714,0.098800793,0.179353244,0.37512071
6'-Sialyllactose,0.0522,0.2022,NA,NA,0.346,NA,NA,0.163334521,0.347161196,0.181117327,0.37512071
Dimethylarginine,0.0512,0.1792,0.2472,0.9284,NA,0.3306,0.721,0.461979336,0.698276341,0.179689977,0.37512071
Glutarate (Pentanedioate),0.0242,0.4938,NA,NA,0.421,0.4186,0.714285714,0.447464079,0.689142539,0.18209571,0.37512071
Glycerate,0.1012,0.2852,0.0626,0.928,0.3978,0.4016,0.4298,0.401050926,0.643468895,0.17472865,0.37512071
Isoleucylserine,0.0228,0.8456,NA,NA,0.7952,NA,NA,0.426365132,0.663746801,0.181673881,0.37512071
Lysine,0.014,0.5254,0.3724,0.7744,0.4978,0.4044,0.7242,0.607081259,0.800180332,0.178792223,0.37512071
N-Acetyl-Aspartyl-Glutamate,0.332,0.9968,0.055,0.068,0.6214,0.0966,0.146,0.125064853,0.283245807,0.183752023,0.37512071
Phenol Sulfate,0.8012,0.088,0.3912,0.728,0.9982,0.5898,1,0.322134606,0.56921728,0.183385051,0.37512071
Pyroglutamine,0.0048,0.1798,0.5598,0.8164,0.5636,0.6788,0.2762,0.249677894,0.476330721,0.176461604,0.37512071
Triethyleneglycol,0.8186,0.873,NA,NA,0.7452,NA,NA,0.052382395,0.157969944,0.176938004,0.37512071
Arabonate,0.076,0.0022,NA,NA,NA,0.2462,0.1498,0.004596393,0.033512942,0.186312396,0.37838703
1-Linoleoylglycerophosphoethanolamine,0.5514,0.9888,NA,NA,0.0342,NA,NA,0.481479383,0.714773517,0.187478421,0.378802552
Malate,0.0636,0.1906,0.2436,0.5586,0.8106,0.0912,0.4386,0.28163674,0.520500944,0.188899655,0.379726858
"1,5-Anhydroglucitol",0.6808,0.2404,0.931,0.827,0.3312,0.8556,0.4402,0.254411286,0.483633335,0.191488046,0.382976091
2-Oleoylglycerophosphoethanolamine,0.156,0.9612,0.0646,0.497,0.4964,0.243,0.5692,0.623147588,0.808407682,0.19607781,0.390175035
3-(4-Hydroxyphenyl)Lactate,0.0436,0.001,0.1692,0.368,0.865,0.194,0.5702,0.013756694,0.067151318,0.19832108,0.392038902
Gamma-Glutamylvaline,0.999,0.98,NA,NA,0.8548,0.389,0.714285714,0.033400287,0.120241032,0.199999541,0.392038902
Sphinganine,0.335,0.914,0.026,NA,0.7694,0.187,0.5692,0.519841593,0.730314043,0.199838998,0.392038902
"Isobar: Fructose 1,6-Diphosphate, Glucose 1,6-Diphosphate",NA,NA,0.113,NA,NA,0.184,0.7228,0.421055688,0.659762492,0.202646607,0.395261205
1-Oleoyl-Gpe (18:1),0.3666,0.9424,0.04,NA,0.6264,0.1414,0.5794,0.53952251,0.747031168,0.20434323,0.395870118
Serylphenyalanine,0.0414,0.2214,NA,NA,0.5104,NA,NA,0.194200802,0.396668822,0.205263737,0.395870118
Xylonate,0.0632,0.0174,NA,NA,NA,0.3358,0.2898,0.038375716,0.13315911,0.205973031,0.395870118
N-Acetylserine,0.0552,0.7866,0.162,0.272,0.228,0.658,0.8596,0.55462115,0.760623291,0.208495316,0.398772594
Squalene,0.776,0.992,0.049,0.527,NA,0.1418,0.7112,0.824430365,0.921581999,0.214184952,0.407675705
Glycochenodeoxycholate,NA,NA,0.893,0.599,0.393,0.9116,1,0.05334281,0.158411881,0.215399956,0.408017224
Isobutyrylcarnitine,0.043,0.063,0.206,0.974,0.6234,0.2624,1,0.35705319,0.60135274,0.218672809,0.412234865
Pregn Steroid Monosulfate*,NA,NA,NA,NA,0.423,0.055,0.857142857,0.501662356,0.722393792,0.221520266,0.415614213
Palmitoyl Sphingomyelin,0.6378,0.9984,NA,NA,0.8874,NA,NA,0.040656435,0.136151781,0.223728053,0.417767075
2-Hydroxypalmitate,0.092,0.249,0.136,0.457,0.1876,0.6804,0.146,0.199491444,0.406032057,0.232150366,0.431449265
