,RCC1,RCC2,RCC3,RCC4,RCC5,RCC6,RCC7,RCC8,RCC9,RCC10,RCC11,RCC12,RCC13,RCC14,RCC15,RCC16,RCC17,RCC18,RCC19,RCC20,RCC21,RCC22
1-palmitoylglycerophosphocholine (16:0),2.9073,0.82,2.0184,1.1952,1.788,1.8098,0.0873,0.3674,0.4977,0.4973,2.9601,0.8606,2.74,0.6782,0.8866,0.2634,3.3152,1.4189,0.1748,0.6012,3.3509,1.1134
1-palmitoylglycerophosphoethanolamine,1.0572,1.2923,0.3712,0.9301,3.4534,4.3542,1.425,0.4306,1.3097,0.7735,2.2017,0.5575,1.2962,1.0153,0.8292,0.2103,0.9847,1.8791,0.3338,3.0407,0.1447,0.2279
1-palmitoylglycerophosphoglycerol*,3.6762,0.8619,1.1381,0.3998,3.3163,1.878,2.9533,0.371,1.2891,0.3369,6.9285,0.2407,2.6275,0.2884,2.6947,0.2497,4.1114,0.5241,1.2609,0.8489,0.3837,0.2166
1-palmitoylglycerophosphoinositol*,2.1735,1.0913,1.1587,0.9465,0.4169,1.3235,2.4391,0.6201,1.6462,0.8632,7.2056,0.4333,1.5006,0.6362,2.0585,0.5504,2.9231,1.0535,0.7082,0.7545,0.7314,0.3752
1-palmitoylplasmenylethanolamine*,1.8329,0.869,0.8601,0.4645,2.4979,2.2467,2.1092,0.2646,2.3034,0.3876,3.5529,0.4425,1.957,0.4347,1.7751,0.3404,2.0189,1.0403,0.9597,1.2767,0.1786,0.288
1-stearoylglycerophosphocholine (18:0),3.4276,0.7665,2.9504,0.8027,1.7092,2.198,0.128,0.2728,0.5658,0.3363,9.4747,0.7332,1.9651,0.6112,2.0432,0.1996,7.3996,1.1112,0.241,0.8888,4.1627,1.2381
1-stearoylglycerophosphoethanolamine,2.4797,1.3082,1.5704,0.8833,4.0247,5.2901,0.1648,0.2034,0.3786,0.4746,3.3727,0.7661,2.7367,1.1167,0.8207,0.1034,4.9356,2.9231,0.0808,2.9079,0.3033,0.5859
1-stearoylglycerophosphoglycerol,2.0065,0.5595,3.4918,0.1499,1.7311,1.0447,1.9559,0.3918,1.4605,0.0789,3.915,0.1463,4.1278,0.2501,3.5517,0.8121,6.2187,0.4976,3.3309,0.1983,0.9553,0.6493
1-stearoylglycerophosphoinositol,1.9316,1.2026,1.4765,0.8747,0.6466,1.7122,1.7237,0.5731,0.884,1.0599,4.0623,0.6674,1.4511,0.7606,1.3904,0.6629,3.1916,1.3961,0.5452,0.9401,0.7587,0.5355
1-stearoylglycerophosphoserine*,0.7602,1.8172,1.0004,1.3533,3.1019,5.7337,1.1262,0.7437,0.738,1.0582,2.6621,0.7045,0.6642,1.3594,0.81,0.5001,0.9996,2.1733,0.3496,3.0084,0.6336,0.5097
10-heptadecenoate (17:1n7),1.0408,1.1447,1.4024,0.8776,0.9892,1.2757,1.5071,0.635,0.5841,0.5746,2.0021,1.148,1.2188,0.7303,0.6654,0.7121,1.0108,1.0406,0.706,0.699,0.6212,1.3211
10-nonadecenoate (19:1n9),5.4142,0.8673,0.9682,0.6203,0.8596,2.2364,4.9456,0.5251,0.7072,0.7319,8.6519,1.08,1.1801,0.5919,2.4772,1.0318,1.1213,0.8173,0.7806,0.3634,1.239,1.3455
15-methylpalmitate (isobar with 2-methylpalmitate),0.614,0.9246,0.9081,0.7368,0.7703,2.2273,1.3597,1.5098,0.6179,0.7178,1.0642,1.1621,0.9358,1.2263,0.7201,1.2556,1.3605,1.6987,0.8276,0.7532,1.6208,1.3789
2-aminoadipate,0.5797,1.0576,3.6924,0.9424,0.2028,0.8347,0.2028,1.1221,0.3192,2.2012,0.3748,2.0328,0.4732,1.4567,0.8366,1.5002,0.585,2.0597,0.2028,0.9331,1.7547,4.9762
2-aminobutyrate,0.7391,0.9818,0.5234,0.5369,0.3256,1.2189,1.4144,1.285,1.2986,0.821,0.6244,0.3825,1.7985,1.3048,1.5721,0.8952,1.4973,0.9868,1.7074,1.0885,0.6993,1.0132
2-arachidonoylglycerophosphocholine*,1.022,0.9841,3.4378,2.9822,1.5634,1.6864,0.0649,0.2741,0.0918,0.5488,1.0159,0.9186,1.2684,0.7854,0.5626,0.3651,4.3628,2.3594,0.113,0.7352,2.6926,2.4309
2-arachidonoylglycerophosphoethanolamine*,1.6834,0.9719,1.6988,1.9602,1.5499,1.6905,0.0604,0.3015,0.1234,0.7371,1.0152,1.4472,2.3492,0.8492,0.3713,0.3747,2.4051,2.3265,0.1703,0.9848,0.9531,2.3341
2-docosahexaenoylglycerophosphocholine*,0.833,0.6631,0.9958,1.4955,1.0198,1.6108,0.2792,0.2792,0.2792,0.7517,1.3748,1,0.5459,0.8433,0.3013,0.6651,5.2475,2.2863,0.2792,1.0135,2.6161,1.0091
2-docosahexaenoylglycerophosphoethanolamine*,2.296,0.5683,0.9866,0.8921,1.0573,1.0134,0.1732,0.1874,0.1732,0.5507,1.5474,1.5736,1.1364,0.7648,0.1732,0.3148,4.7076,2.0842,0.2957,0.6876,1.7916,1.4772
2-docosapentaenoylglycerophosphoethanolamine*,2.7657,0.4213,3.6251,2.0773,1.1873,0.8127,0.3348,0.3348,0.3348,0.5453,0.7019,2.4094,0.6085,0.7648,0.3348,0.3348,4.8849,2.1624,0.3348,0.6269,0.3348,1.6936
2-eicosapentaenoylglycerophosphoethanolamine*,2.6686,0.5224,1.3927,1.4341,0.7148,0.8273,0.2288,0.2319,0.1992,0.3718,5.9296,2.4862,10.7835,1.0958,0.5949,0.1992,11.3888,2.9561,0.6014,1,0.8155,1.4145
2-hydroxyacetaminophen sulfate*,0.5482,1.3954,0.6046,1.7933,0.5482,0.5482,0.5482,0.5482,0.5482,0.5482,0.5482,0.5482,0.5482,0.5482,0.5482,0.5482,0.5482,0.5482,0.5482,0.5482,0.5482,0.5482
2-hydroxybutyrate (AHB),0.9262,1.3228,0.687,1.0248,0.4923,1.1965,1.3349,1.7844,0.4244,1.1648,0.3466,0.4415,0.6459,1.8169,0.5991,0.8429,1.6829,1.1487,0.6553,0.9752,1.4097,1.4
2-hydroxyglutarate,2.0093,0.7738,1.1739,0.8938,0.5323,0.7549,1.7921,0.7369,0.2428,1.0235,2.0234,1.5749,0.9765,1.1776,3.313,0.3074,3.0041,0.6401,1.3222,0.7324,2.3588,0.4645
2-hydroxypalmitate,0.381,1.5466,0.8369,4.2887,0.5109,1.5354,0.3792,0.718,0.5128,1.5073,0.5147,1.5151,1.0073,1.3347,0.2936,1.0969,0.6132,1.2137,0.2393,1.2809,0.9927,1.5597
2-linolenoylglycerophosphocholine(18:3n3)*,0.6727,0.6727,0.9244,0.6727,0.6727,0.8185,0.6727,0.6727,0.6727,0.7027,3.1128,1.2185,1.223,0.6727,0.6727,0.6727,1.4437,0.6727,0.6727,0.6727,1.0507,0.9493
2-linoleoylglycerophosphocholine*,1.6613,0.6532,0.8835,1.1575,1.2444,1.2666,0.0474,0.2673,0.1053,0.5243,5.1444,1.1165,3.3146,0.8116,0.4705,0.1901,4.0859,1.6189,0.1567,0.6597,2.7929,1.8175
2-linoleoylglycerophosphoethanolamine*,2.8743,0.6542,0.5983,0.7726,1.1219,1.0824,0.1923,0.1923,0.1923,0.8027,6.3072,2.0918,4.8095,0.9176,0.3536,0.1923,3.9153,1.5441,0.1923,0.8099,0.567,1.4904
2-methoxyacetaminophen sulfate*,0.4184,1.2346,0.7654,3.2537,0.4184,0.4184,0.4184,0.4184,0.4184,0.4184,0.4184,0.4184,0.4184,0.4184,0.4184,0.4184,0.4184,0.4184,0.4184,0.4184,0.4184,0.4184
2-methylbutyrylcarnitine (C5),0.4108,0.8692,0.3489,1.8402,0.3938,1.1043,0.3623,2.013,0.5179,1.0044,1.147,2.4173,0.7579,1.895,0.939,2.2695,0.5921,2.2427,0.8207,0.9956,2.1553,1.6139
2-myristoylglycerophosphocholine*,0.9012,0.7719,0.6283,1.589,1.0001,1.5702,0.3005,0.3005,0.3005,0.7013,1.2416,1,0.3005,0.3005,0.3005,0.3005,0.3005,1.0521,0.3005,0.3005,5.8606,0.8041
2-oleoylglycerophosphocholine*,1.5887,0.5226,0.9639,1.0183,1,0.8403,0.1894,0.2901,0.1894,0.3683,1.8523,1.1516,2.6903,0.5405,0.5478,0.1894,3.362,1.6832,0.1894,0.5307,2.9193,2.1373
2-oleoylglycerophosphoethanolamine*,1.0002,0.8265,0.491,0.5564,1.9872,3.2229,1.5867,0.5494,1.009,0.8202,3.0492,1.2005,1.1637,0.9817,0.7888,0.4563,1.0904,1.8649,0.8782,1.7742,0.4538,0.9998
2-palmitoylglycerophosphocholine*,2.4424,0.7598,1.0882,0.7125,0.9118,1.141,2.8681,0.361,2.285,0.422,4.1228,0.4763,1.8245,0.5777,1.9592,0.2112,2.3164,0.6987,1.183,0.4414,5.1136,0.4178
2-palmitoylglycerophosphoethanolamine*,0.7523,1.4066,0.5321,0.9299,3.8544,5.8309,1.4734,0.5661,1.0701,0.8209,2.2813,0.4636,1.1856,1.4674,0.589,0.2223,1.6632,3.3911,0.4664,2.6907,0.1454,0.235
2-stearoylglycerophosphocholine*,1.1265,1.0117,1.0179,0.7054,1.2041,0.777,0.1754,0.1754,0.1754,0.4536,6.0044,0.863,0.9883,0.4668,1.0616,0.1754,2.1172,0.6554,0.1754,0.7864,3.9539,1.2464
3'-dephosphocoenzyme A,1.9022,0.5603,0.5603,0.5603,0.5603,0.5603,0.9083,0.5603,1.2076,0.5603,0.9651,0.5603,2.96,0.5603,0.5603,0.5603,1.0349,0.6325,1.1513,0.5603,0.6608,0.5603
3-(4-hydroxyphenyl)lactate,2.472,0.598,1.016,0.8059,0.688,0.5061,2.1827,0.9295,1.2215,0.5741,1.7243,1.1359,1.4001,0.7932,1.4404,0.7552,2.0123,0.5203,1.2121,0.5942,1.8283,0.984
3-(cystein-S-yl)acetaminophen*,0.1379,1.5466,0.4534,1.6609,0.1379,0.1379,0.1379,0.1379,0.1379,0.1379,0.1379,0.1379,0.1379,0.1379,0.1379,0.1379,0.1379,0.1379,0.1379,0.1379,0.1379,0.1379
3-(N-acetyl-L-cystein-S-yl) acetaminophen*,0.192,1.654,0.346,1.6673,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192
3-aminoisobutyrate,0.3871,1.0916,0.3871,0.6617,0.6925,0.7652,0.599,8.4971,0.4803,2.9833,0.3871,3.161,0.4007,1.6798,0.8892,4.1844,0.3871,0.9084,0.3871,2.1341,4.9959,5.8234
3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF),0.3046,0.3046,0.3046,0.3046,0.3046,0.3046,0.3046,0.3046,0.3046,0.3046,0.903,2.211,0.3587,1.2895,0.3046,0.3046,2.0115,1.4363,0.7445,1.0819,0.7813,1
3-dehydrocarnitine*,1.0324,0.921,0.617,0.9241,0.7118,0.8547,1.3122,2.2268,0.7721,0.9676,3.1508,1.5174,1.2919,0.7693,2.4894,2.3435,1.3042,1.4408,0.7621,0.8682,0.8013,2.5655
3-hydroxybutyrate (BHBA),1.0488,1.4679,0.4441,0.488,0.7417,1.967,0.7278,2.2392,0.6672,1.4862,0.3946,0.3297,1.1918,1.9164,0.5365,0.5952,1.3456,1.8207,0.5431,1.2691,0.9512,1.3763
3-hydroxyhippurate,0.2479,0.9832,0.2479,1.6493,0.2479,0.2479,0.2479,0.8021,0.2479,0.2479,0.2479,0.2479,0.2479,1.9137,0.2479,1.0168,0.2479,0.2479,0.2479,0.2479,0.2479,0.2479
3-hydroxysebacate,0.5398,1.7867,0.5398,0.5398,0.5398,0.5671,0.5398,1.4605,0.5398,1.0346,0.5398,0.5398,0.5398,4.2693,0.5398,0.5398,0.5398,0.7077,0.5398,0.5398,0.5398,0.9654
3-indoxyl sulfate,0.3004,3.7138,0.2851,0.7471,1,2.82,0.2034,0.492,1.5409,6.0617,0.2759,0.9781,0.3225,11.3165,1.2917,1.8387,0.5765,1.7768,0.2034,1.428,0.2814,1.5371
3-methylglutarylcarnitine (C6),0.0732,1.8988,0.0732,1.4605,0.2953,1.19,0.0732,4.7023,0.0864,0.7388,0.3295,2.2973,0.0732,1.7045,0.0732,0.2231,0.1124,0.5448,0.0732,1,2.2696,1.2404
3-phosphoglycerate,0.7139,0.6881,1.2707,2.2282,0.8853,1.6641,0.5406,1.1561,0.5057,0.6764,0.5937,0.5338,1.3107,1.4572,0.5325,0.9939,1.5002,2.4962,0.576,1.0061,2.234,1.6317
3-ureidopropionate,0.4095,1.0913,0.4095,1.2112,0.4095,0.4542,0.4095,0.5582,0.4095,0.7926,0.4095,1,0.4095,0.4095,0.4095,1.4372,0.4095,0.4095,0.4095,0.4095,3.1482,0.4095
4-acetamidophenol,0.6925,0.91,1.09,1.8142,0.6925,0.6925,0.6925,0.6925,0.6925,0.6925,0.6925,0.6925,0.6925,0.6925,0.6925,0.6925,0.6925,0.6925,0.6925,0.6925,0.6925,0.6925
4-acetaminophen sulfate,0.1779,3.1034,2.245,4.4732,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714,0.5022,1.4978,0.0714,0.0714,0.0714,0.0714,0.1896,0.0714,0.0714,0.0714,0.0714,0.0714
"4-androsten-3beta,17beta-diol disulfate 1*",0.3997,1.2745,1.9518,2.3861,0.3997,1.9354,0.4589,1.4898,0.3997,0.3997,0.3997,0.3997,0.3997,1,0.3997,0.6918,0.6619,0.7959,0.3997,0.3997,0.3997,0.3997
4-hydroxybutyrate (GHB),0.2799,0.6935,1.0644,0.0881,0.7956,1.571,1.3037,0.3543,1.7705,0.686,3.8986,1.596,2.3825,0.3142,0.9356,0.2942,2.1544,0.7342,3.4745,0.3675,2.0768,1.1385
4-hydroxyhippurate,0.3329,5.6608,0.3329,0.5457,0.372,1.1157,0.3329,2.2162,0.3329,1.1805,0.3329,2.7255,0.3329,0.8843,0.3329,1.7535,0.3329,0.4016,0.3329,0.3329,0.3329,0.6024
"5,6-dihydrouracil",1.9067,0.3376,1.8885,0.1797,0.1797,0.1797,2.1417,0.1797,0.9611,0.1797,0.8103,1.0484,2.4445,0.2105,1.0311,0.4032,0.9689,0.1797,2.1412,0.1797,2.35,0.9044
5-methylthioadenosine (MTA),2.4518,0.8283,0.8207,0.9801,0.7575,0.8021,1.2195,0.6015,0.901,0.5898,1.1643,0.9747,2.1547,1.0387,1.4438,0.3139,1.4159,0.6928,1.4288,1.0199,2.155,1.1609
5-oxoproline,0.4242,1.4377,0.5036,2.3472,0.3917,1.1002,0.4461,1.6404,0.3753,1.7557,0.5717,1.2556,0.2934,2.7833,0.5037,1.857,0.599,1.918,0.5071,2.042,0.8998,1.2327
6-phosphogluconate,0.5831,2.6832,0.6356,1.4611,0.7081,3.2183,0.4473,1.4749,0.2934,1.8273,0.7312,1.7799,0.7541,2.0637,0.4757,1.1657,0.833,2.9064,0.5758,2.8332,1.0709,0.9291
Ac-Ser-Asp-Lys-Pro-OH,1.1823,1.546,1.339,0.9271,0.5953,0.9437,0.5953,0.5953,1.7903,0.7957,4.611,1,0.7096,0.5953,2.1009,0.8381,0.8802,0.5953,1.1681,0.5953,1.4104,0.9703
acetyl CoA,0.6269,1.3583,0.4012,2.5404,0.4012,0.9387,0.4012,1.0292,0.4012,1.7979,0.4012,0.4012,1.1263,3.4696,0.4012,0.6362,0.5133,1.6975,0.4012,0.4012,0.8,0.9708
acetylcarnitine,0.464,0.6891,0.6955,1.1056,1.1835,1.2285,0.3772,0.9803,0.5224,0.7531,1.0171,1.1686,1.408,1.1396,1.102,0.9829,0.6926,1.0739,0.7763,0.8483,1.0995,2.961
acisoga,1.1083,2.3915,0.4528,0.9753,0.4528,0.4528,1,0.9313,0.4528,0.5686,0.455,0.7248,0.4528,1.1887,0.4528,0.4528,0.4528,2.2068,0.4528,0.4528,1.6549,1.1571
adenine,14.169,0.7019,1.4383,0.4226,1.1548,1.2746,5.2315,0.4108,5.7648,0.6482,10.4492,0.3438,4.7082,0.5912,4.808,0.7431,2.4898,0.8452,3.676,0.647,0.4102,0.5662
adenosine,4.231,0.5364,1.0423,0.9158,0.6778,0.5007,3.6922,1.0435,3.5595,0.8418,1.5621,0.5802,5.1656,1.033,2.4351,0.702,1.8269,0.533,2.6487,0.967,0.6141,0.3802
adenosine 2'-monophosphate (2'-AMP),0.447,1.4863,1.1238,0.4508,1.4684,1.6165,0.9931,1.0067,1.0839,0.8134,1.1326,1.1777,0.6337,0.9216,0.903,0.5602,1,1.0283,0.447,0.9279,1.2653,0.5898
adenosine 5'-monophosphate (AMP),1.894,0.683,0.8067,1.0946,0.3221,0.5208,1.3781,0.954,1.046,0.8646,0.8967,0.8083,2.4761,1.2814,1.1556,0.7488,1.8897,0.898,1.3485,0.7115,1.4954,1.2372
adenosine 5'diphosphoribose,2.1189,0.4295,1.7138,0.4654,1.1069,0.4295,0.874,0.4295,0.7336,0.4295,1.1446,0.4295,0.7203,0.4295,0.9317,0.5021,1.0683,0.4295,0.4295,0.4295,1.7016,1.6499
adenylosuccinate,0.417,1.5386,0.417,0.9031,0.417,0.6093,0.417,0.9983,0.417,1.0516,0.417,0.5227,0.417,1.4943,0.417,0.4942,1.2108,1.5242,0.417,0.4955,1.0025,1.0017
adrenate (22:4n6),1.7936,0.8326,2.8139,1.0318,1.4144,4.2708,3.0782,0.6061,0.6198,0.6471,2.3791,0.7986,0.5223,1.4276,0.1854,0.4037,2.7903,0.9682,1.1345,0.9657,2.5167,0.2748
alanine,0.9702,1.1895,0.6905,1.4027,0.4194,1.0014,1.3489,1.1749,0.4635,0.926,1.1899,0.9986,0.9304,1.1496,0.6361,1.0601,1.2142,1.1421,1.7354,0.9168,0.6715,0.8616
alanylleucine,3.2278,0.7078,0.7796,0.3901,1,0.8183,5.1758,0.7428,4.3714,0.7291,4.274,1.6699,4.689,0.7397,3.3047,0.6496,2.2487,0.9151,2.3343,0.7137,12.0886,0.3901
alanylphenylalanine,0.7527,0.7527,0.7527,0.7527,0.7527,0.7527,0.7527,0.7527,1.2434,0.7527,0.7566,0.7527,0.7527,0.7527,0.7527,0.7527,0.7527,0.7527,0.7527,0.7527,2.1235,0.7527
alanyltyrosine,1.4755,0.3076,0.3602,0.3076,1.1199,0.905,2.0909,0.3076,0.6679,0.551,1.2133,0.3076,1.9731,0.3076,1.3277,0.5322,1.0936,0.3796,1,0.68,3.4132,0.3076
alpha-tocopherol,0.9937,0.3114,1.3354,1.0147,1.5982,1.2376,0.665,0.2931,0.6121,0.5479,0.7775,1.772,1.6056,0.4888,0.5462,0.3601,1.742,0.7839,1.0063,1.1564,2.5862,2.3976
androsterone sulfate,0.8304,2.6736,1.4585,2.4147,1.0043,2.6345,0.4544,1.3709,0.6021,0.9957,0.2315,1.1598,0.2315,1.8579,0.9256,1.4796,0.3639,0.5773,0.3513,1.3889,0.2315,0.3205
arabinose,1.6157,0.4551,2.3909,0.5957,0.7332,0.4551,0.9541,1,0.4551,0.4551,0.4551,0.4551,2.9687,0.4551,2.5062,0.4551,0.4551,0.4551,2.3415,0.4551,0.7031,0.4551
arabitol,0.7224,0.9882,1.4673,1.2474,0.4785,0.4739,0.3564,1.257,0.8286,1.3761,1.1882,0.9132,0.9382,1.535,1.731,1.35,0.6982,0.5165,1.6211,1.0118,2.192,0.9286
arachidonate (20:4n6),2.1781,1.0056,0.9944,0.6319,1.6362,2.1519,2.0888,0.2423,2.1398,0.3424,2.8753,0.4415,1.2172,0.4749,1.9732,0.2462,1.6163,0.9318,0.4093,1.3449,0.1377,0.2129
arginine,0.6803,1.0984,1.1209,0.9207,1.0628,1.6953,0.5733,0.9477,0.8706,0.9603,0.8195,1.1532,0.4975,1.0504,1.0859,0.9636,1.0008,1.0663,0.6171,1.0348,1.0647,0.9992
ascorbate (Vitamin C),2.6118,1.0801,0.7376,0.7924,0.3212,0.6802,0.2676,0.9696,1.0304,2.2686,1.4749,0.4038,3.9471,0.233,0.7547,0.3526,3.1249,0.3729,1.2136,1.4401,4.9636,2.4212
asparagine,3.2468,0.8848,1.1729,0.1891,0.6398,1.2388,2.9581,0.7606,2.1422,0.6325,2.6447,0.6147,2.9566,0.4111,2.5294,0.4433,2.4119,0.6396,2.0113,0.3076,0.8251,1.1152
asparagylisoleucine,1.6141,0.24,0.5334,0.24,1.1538,0.6346,1.7394,0.4188,1.0862,0.24,1.4547,0.24,1.0531,0.24,0.7269,0.24,0.8505,0.24,1,0.8123,1.3115,0.24
asparagylleucine,1.0333,0.1389,0.2991,0.1389,0.61,0.1389,2.5546,0.1389,1.6612,0.1389,2.757,0.1389,2.0347,0.1389,0.9667,0.1389,0.82,0.1389,0.8455,0.1389,2.6572,0.1389
aspartate,1.5823,1.0098,1.575,0.445,0.2171,0.9516,1.4273,0.8873,1.2117,0.9589,1.2939,0.786,4.4855,0.5518,1.671,0.5187,1.1671,1.2915,0.9902,0.9865,1.3236,0.9528
