PubChem CID	Super Pathway	Sub Pathway	KEGG	Human Metabolome Database	ChEBI	
3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)			NA	NA	NA	NA
3-dehydrocarnitine*			439773|6991982	C02636	HMDB12154	CHEBI:16758|CHEBI:57885
3-hydroxybutyrate (BHBA)			92135|441	C01089	HMDB00357|HMDB00011	CHEBI:17066|CHEBI:20067
3-indoxyl sulfate			10258	NA	HMDB00682	CHEBI:43355
3-methylhistidine			64969|6971061	C01152	HMDB00479	CHEBI:27596
3-phosphoglycerate			724	C00597	HMDB00807	CHEBI:17050
4-acetamidophenol			1983	C06804	HMDB01859	CHEBI:46195
4-acetaminophen sulfate			1983	C06804	HMDB01859	CHEBI:46195
"4-androsten-3beta,17beta-diol disulfate 1*"			10634	C04295	HMDB03818	CHEBI:2710
4-hydroxybutyrate (GHB)			10413|3037032	C00989|C01991	HMDB00710	CHEBI:16724|CHEBI:30830
4-vinylphenol sulfate			62453	C05627	HMDB04072	CHEBI:1883
5-hydroxyindoleacetate			1826	C05635	HMDB00763	CHEBI:27823
5-methylthioadenosine (MTA)			439176	C00170	HMDB01173	CHEBI:17509
5-oxoproline			7405	C01879	HMDB00267	CHEBI:18183
"5,6-dihydrouracil"			649	C00429	HMDB00076	CHEBI:15901
6-phosphogluconate			91493	C00345	HMDB01316	CHEBI:48928
7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)			3081085|53481411	C17337	HMDB12458	NA
acetylcarnitine			439756|1	C02571	HMDB00201	CHEBI:15960
acetylcholine			187	C01996	HMDB00895	CHEBI:15355
adenine			190	C00147	HMDB00034	CHEBI:16708
adenosine			60961|32326	C00212|C07195	HMDB00050	CHEBI:16335
adenosine 5'-diphosphate (ADP)			6022	C00008	HMDB01341	CHEBI:16761
adenosine 5'-monophosphate (AMP)			6083	C00020	HMDB00045	CHEBI:16027
adenosine 5'-triphosphate (ATP)			5957	C00002	HMDB00538	CHEBI:15422
adenosine 5'diphosphoribose			445794|192	C00301	HMDB01178	NA
adrenate (22:4n6)			5497181	C16527	HMDB02226	CHEBI:53487
agmatine			199	C00179	HMDB01432	CHEBI:17431
alanine			7311724|5950	C00041	HMDB00161	CHEBI:16977|CHEBI:57972
alanylleucine			NA	NA	NA	NA
alanyltyrosine			NA	NA	NA	NA
alpha-hydroxyisovalerate			99823	NA	HMDB00407	CHEBI:60645
alpha-ketoglutarate			51	C00026	HMDB00208	CHEBI:30915
alpha-tocopherol			14985	C02477	HMDB01893	CHEBI:18145
anserine			112072|6992114	C01262	HMDB00194	CHEBI:18323|CHEBI:58445
arabitol			439255	C00474|C00532	HMDB01851|HMDB00508	CHEBI:15963|CHEBI:18403
arachidonate (20:4n6)			444899	C00219	HMDB01043	CHEBI:15843
arginine			6322|28782	C00062	HMDB00517	CHEBI:16467
ascorbate (Vitamin C)			54670067	C00072	HMDB00044	CHEBI:29073
asparagine			6267|6992089	C00152	HMDB00168	CHEBI:17196|CHEBI:58048
aspartate			5960|44367445	C00049	HMDB00191	CHEBI:17053
aspartylphenylalanine			93078	NA	HMDB00706	CHEBI:73830
azelate (nonanedioate)			2266|19347555	C08261	HMDB00784	CHEBI:48131
beta-alanine			239|4755801	C00099	HMDB00056	CHEBI:16958|CHEBI:57966
beta-hydroxyisovalerate			69362	NA	HMDB00754	CHEBI:37084
betaine			247	C00719	HMDB00043	CHEBI:17750
butyrylcarnitine			439829	C02862	HMDB02013	CHEBI:7676
C-glycosyltryptophan*			NA	NA	NA	NA
caffeine			2519	C07481	HMDB01847	CHEBI:27732
carnitine			85|2724480	C00487|C15025	HMDB00062	CHEBI:3424|CHEBI:11060
carnosine			439224|6992100	C00386	HMDB00033	CHEBI:15727|CHEBI:57485
catechol sulfate			289	C00090|C01785|C15571	HMDB00957	CHEBI:18135
cholesterol			5997|11025495	C00187	HMDB00067	CHEBI:16113
choline			305	C00114	HMDB00097	CHEBI:15354
choline phosphate			1014	C00588	HMDB01565	CHEBI:18132
cis-aconitate			643757	C00417	HMDB00072	CHEBI:32805
cis-vaccenate (18:1n7)			5281127	C08367	NA	CHEBI:28727|CHEBI:36023
citrate			311|19782904	C00158	HMDB00094	CHEBI:30769
citrulline			9750|6992098	C00327	HMDB00904	CHEBI:16349|CHEBI:57743
coenzyme A			87642|6816	C00010	HMDB01423	CHEBI:15346|CHEBI:62204
creatine			59098743|586	C00300	HMDB00064	CHEBI:16919|CHEBI:57947
creatinine			588	C00791	HMDB00562	CHEBI:16737
cysteine			5862|6419722	C00097	HMDB00574	CHEBI:17561|CHEBI:35235|CHEBI:47910|CHEBI:58717|CHEBI:61894
cysteine-glutathione disulfide			53477713	NA	HMDB00656	NA
cysteinylglycine			7098621|439498	C01419	HMDB00078	CHEBI:4047|CHEBI:61694
cystine			6992103|67678	C00491	HMDB00192	CHEBI:16283|CHEBI:35491
cytidine			6175	C00475	HMDB00089	CHEBI:17562
cytidine 5'-diphosphocholine			11583971|13804	C00307	HMDB01413	CHEBI:16436
cytidine 5'-monophosphate (5'-CMP)			6131	C00055	HMDB00095	CHEBI:17361
dehydroisoandrosterone sulfate (DHEA-S)			12594	C04555	HMDB01032	CHEBI:16814
deoxycarnitine			134	C01181	HMDB01161	CHEBI:1941
deoxycholate			222528	C04483	HMDB00626	CHEBI:28834
desmethylnaproxen sulfate*			NA	NA	NA	NA
dihomo-linoleate (20:2n6)			6439848	C16525	HMDB05060	CHEBI:73731
dihomo-linolenate (20:3n3 or n6)			5280581	C03242	HMDB02925	CHEBI:53486
dimethylarginine (SDMA + ADMA)			123831|169148|51351707	C03626	HMDB01539|HMDB03334	CHEBI:17929|CHEBI:25682|CHEBI:61914
docosadienoate (22:2n6)			5312554	C16533	NA	CHEBI:75117
docosahexaenoate (DHA; 22:6n3)			445580	C06429	HMDB02183	CHEBI:28125
docosapentaenoate (n3 DPA; 22:5n3)			5497182|6441454	C16513	HMDB01976|HMDB06528|HMDB13123	CHEBI:53488|CHEBI:65136
docosapentaenoate (n6 DPA; 22:5n6)			445580|6441454	C06429	HMDB13123|HMDB02183|HMDB01976	CHEBI:28125|CHEBI:65136
docosatrienoate (22:3n3)			5312556|5312557	C16534	HMDB02823	NA
eicosapentaenoate (EPA; 20:5n3)			446284	C06428	HMDB01999	CHEBI:28364
eicosenoate (20:1n9 or 11)			5282768	C16526	HMDB02231	CHEBI:32425
ergothioneine			3037043|57509571|5351619	C05570	HMDB03045	CHEBI:4828
erythritol			222285	C00503	HMDB02994	CHEBI:17113
erythronate*			2781043	NA	HMDB00613	CHEBI:37655
ethanolamine			700	C00189	HMDB00149	CHEBI:16000
flavin adenine dinucleotide (FAD)			643975	C00016	HMDB01248	CHEBI:16238
fructose			439163|439709	C00095|C02336	HMDB00660	CHEBI:37721|CHEBI:28645
fructose-6-phosphate			440641|69507	C05345	HMDB00124|HMDB03971	CHEBI:16084|CHEBI:15946
fucose			17106	C00382|C01019	HMDB00174	CHEBI:2181
fumarate			444972|21883788	C00122	HMDB00134	CHEBI:18012|CHEBI:22958
galactose			439357	C01662|C00984	HMDB00143	CHEBI:28061|CHEBI:46953
gamma-aminobutyrate (GABA)			119|6992099	C00334	HMDB00112	CHEBI:16865|CHEBI:59888
gamma-glutamylalanine			NA	NA	NA	NA
gamma-glutamylglutamate			NA	NA	NA	NA
gamma-glutamylglutamine			150914	C05283	HMDB11738	CHEBI:73707
gamma-glutamylleucine			4524287	NA	HMDB11171	NA
gamma-glutamylmethionine			NA	NA	NA	NA
gamma-tocopherol			92729|14986	C02483	HMDB01492	CHEBI:18185
gluconate			10690	C00257	HMDB00625	CHEBI:33198
glucose			5793	C00293|C00031	HMDB00122	CHEBI:4167|CHEBI:75792
glucose-6-phosphate (G6P)			439284|5958	C00668|C00092	HMDB01401	CHEBI:17665|CHEBI:4170
glutamate			44272391|33032|23327	C00025|C00217	HMDB03339|HMDB00148	CHEBI:16015|CHEBI:53374|CHEBI:15966|CHEBI:53375
"glutamate, gamma-methyl ester"			NA	NA	NA	NA
glutamine			5961|6992086	C00064	HMDB00641	CHEBI:18050|CHEBI:58359
glutarate (pentanedioate)			23322899|743	C00489	HMDB00661	CHEBI:17859
glutaroyl carnitine			53481622	NA	HMDB13130	NA
"glutathione, oxidized (GSSG)"			11215652|65359|5255796|975	C00127	HMDB03337	CHEBI:17858
"glutathione, reduced (GSH)"			124886|25246407	C00051|C02471	HMDB00125	CHEBI:16856|CHEBI:60836
glycerate			439194	C00258	HMDB00139	CHEBI:32398
glycerol			753	C00116	HMDB00131	CHEBI:15850|CHEBI:17522|CHEBI:17754
glycerol 2-phosphate			2526	C02979	HMDB02520	CHEBI:17270
glycerol 3-phosphate (G3P)			439162	C00093	HMDB00126	CHEBI:15978|CHEBI:17106
glycerophosphoethanolamine			70678815|444183|22833510	C01233	HMDB00114	CHEBI:64574|CHEBI:67274|CHEBI:68488|CHEBI:68520|CHEBI:71825|CHEBI:71826|CHEBI:71827|CHEBI:71828|CHEBI:71829|CHEBI:71830|CHEBI:71831|CHEBI:71832|CHEBI:71833|CHEBI:71834|CHEBI:71835|CHEBI:71836|CHEBI:71837|CHEBI:71838|CHEBI:71839|CHEBI:71840|CHEBI:71841|CHEBI:71842|CHEBI:71843|CHEBI:71844|CHEBI:71845|CHEBI:71846|CHEBI:71847|CHEBI:71848|CHEBI:71849|CHEBI:71850|CHEBI:71851|CHEBI:71852|CHEBI:71853|CHEBI:71854|CHEBI:71855|CHEBI:71856|CHEBI:71857|CHEBI:71858|CHEBI:71859|CHEBI:71860|CHEBI:71861|CHEBI:71862|CHEBI:71863|CHEBI:71864|CHEBI:71865|CHEBI:71866|CHEBI:71867|CHEBI:71868|CHEBI:71869|CHEBI:71870|CHEBI:71871|CHEBI:71872|CHEBI:71873|CHEBI:71874|CHEBI:71876|CHEBI:71877|CHEBI:71878|CHEBI:71879|CHEBI:71880|CHEBI:71881|CHEBI:72381|CHEBI:72382|CHEBI:72383|CHEBI:72384|CHEBI:72385|CHEBI:72386|CHEBI:72387|CHEBI:72388|CHEBI:72389|CHEBI:72390|CHEBI:72391|CHEBI:72392|CHEBI:72393|CHEBI:72394|CHEBI:72395|CHEBI:72396|CHEBI:72397|CHEBI:72398|CHEBI:72399|CHEBI:72400|CHEBI:72401|CHEBI:72734|CHEBI:72735
glycerophosphorylcholine (GPC)			58381695|439285|71920	C00670	HMDB00086	CHEBI:16870
glycine			5257127|750	C00037	HMDB00123	CHEBI:15428|CHEBI:15705|CHEBI:16228|CHEBI:57305|CHEBI:59869|CHEBI:59871|CHEBI:62031|CHEBI:66884|CHEBI:66933
glycylisoleucine			NA	NA	NA	NA
glycylleucine			1548899|92843	C02155	HMDB00759	CHEBI:73514
glycylproline			44369312|79101	NA	HMDB00721	NA
glycyltyrosine			NA	NA	NA	NA
guanine			764	C00242	HMDB00132	CHEBI:16235
guanosine			6802	C00387	HMDB00133	CHEBI:16750
guanosine 5'- monophosphate (GMP)			6804	C00144	HMDB01397	CHEBI:17345
heme*			NA	C00032	HMDB03178	CHEBI:17627|CHEBI:26355
hexanoylcarnitine			8892|6426853	C01585	HMDB00705|HMDB00535	CHEBI:30776|CHEBI:70749
hippurate			464	C01586	HMDB00714	CHEBI:18089
histamine			774|156615	C00388	HMDB00870	CHEBI:18295|CHEBI:73337
histidine			6971009|6274	C00135	HMDB00177	CHEBI:15971|CHEBI:57595
homocarnosine			10243361	C00884	HMDB00745	NA
hydroxyisovaleroyl carnitine			NA	NA	NA	NA
hypotaurine			25244088|107812	C00519	HMDB00965	CHEBI:16668|CHEBI:57853
hypoxanthine			790	C00262	HMDB00157	CHEBI:17368
indolelactate			92904	C02043	HMDB00671	CHEBI:24813
inosine			6021	C00294	HMDB00195	CHEBI:17596
inositol 1-phosphate (I1P)			NA	C01177	HMDB02985	CHEBI:18297|CHEBI:64838
"Isobar: fructose 1,6-diphosphate, glucose 1,6-diphosphate"			NA	NA	NA	NA
isobutyrylcarnitine			10177002	NA	HMDB00736	CHEBI:73017
isocitrate			1198|5318532	C00311|C00451	HMDB00193|HMDB01874	CHEBI:30887|CHEBI:151
isoleucine			6306|7043901	C00407	HMDB00172	CHEBI:17191|CHEBI:58045
isoleucylisoleucine			NA	NA	NA	NA
isovalerylcarnitine			6426851	NA	HMDB00688	NA
kynurenine			161166|6971029	C00328	HMDB00684	CHEBI:16946|CHEBI:57959
lactate			107689	C00186	HMDB00190	CHEBI:422
leucine			6106|7045798	C00123	HMDB00687	CHEBI:15603|CHEBI:57427
leucylleucine			94244	C11332	NA	NA
lidocaine			NA	D00358	NA	NA
linoleate (18:2n6)			5280450	C01595	HMDB00673	CHEBI:17351
linolenate [alpha or gamma; (18:3n3 or 6)]			5280934	C06427	HMDB01388	CHEBI:27432
lysine			5962	C00047	HMDB00182	CHEBI:18019
malate			222656	C00149	HMDB00156	CHEBI:30797
maltose			439186|10991489	C00208	HMDB00163	CHEBI:17306|CHEBI:47937
maltotetraose			439639	C02052	HMDB01296	NA
maltotriose			439586	C01835	HMDB01262	NA
mannitol			453|6251	C00392	HMDB00765	CHEBI:16899
mannose			18950	C00159	HMDB00169	CHEBI:4208
mannose-6-phosphate			65127|439198	C00275	HMDB01078	CHEBI:48066|CHEBI:49728
margarate (17:0)			10465	NA	HMDB02259	CHEBI:32365
methionine			6137|6992087	C00073	HMDB00696	CHEBI:16643|CHEBI:57844
methyl-alpha-glucopyranoside			94214	C03619	NA	CHEBI:17540
methylphosphate			NA	NA	NA	NA
myo-inositol			NA	C00137	HMDB00211	CHEBI:17268
myristate (14:0)			11005	C06424	HMDB00806	CHEBI:28875
N-acetyl-aspartyl-glutamate (NAAG)			71120|5255	C12270	HMDB01067	NA
N-acetylalanine			88064	C02847	HMDB00766	CHEBI:40992
N-acetylaspartate (NAA)			65065	C01042	HMDB00812	CHEBI:21547
N-acetylglucosamine			439174|11861101	C00140|C02711	HMDB00215	CHEBI:28401|CHEBI:506227
N-acetylmethionine			448580|6180	C02712	HMDB11745	CHEBI:21557
N-acetylneuraminate			439197|445063	C00270|C19910	HMDB00230	CHEBI:17012|CHEBI:45744
N-acetylputrescine			122356	C02714	HMDB02064	CHEBI:17768
N-acetylserine			65249	NA	HMDB02931	NA
N-acetylthreonine			439406	C01118	NA	CHEBI:16160
N-acetyltryptophan			439917	C03137	NA	CHEBI:16734
N-ethylglycinexylidide*			24415	C16561	NA	CHEBI:222828
N1-methyladenosine			27476	C02494	HMDB03331	CHEBI:16020
N1-methylguanosine			96373	NA	HMDB01563	CHEBI:19062
N6-acetyllysine			6991978|92832	C02727	HMDB00206	CHEBI:17752|CHEBI:58260
nicotinamide			936	C00153	HMDB01406	CHEBI:17154
nicotinamide adenine dinucleotide (NAD+)			5893	C00003	HMDB00902	CHEBI:15846
nicotinamide adenine dinucleotide reduced (NADH)			439153|928	C00004	HMDB01487	CHEBI:16908
nicotinamide ribonucleotide (NMN)			14180	C00455	HMDB00229	CHEBI:16171
nicotinamide riboside*			439924	C03150	HMDB00855	CHEBI:15927
nonadecanoate (19:0)			12591	C16535	HMDB00772	CHEBI:39246
oleate (18:1n9)			445639	C00712	HMDB00207|HMDB00573	CHEBI:16196
oleoylcarnitine			53477789	NA	HMDB05065	NA
ophthalmate			7018721	NA	HMDB05765	NA
ornithine			6262|71082	C00077|C00515	HMDB03374|HMDB00214	CHEBI:15729|CHEBI:16176
p-acetamidophenylglucuronide			83944	NA	HMDB10316	CHEBI:32636
p-cresol sulfate			2879	C01468	HMDB01858	CHEBI:17847
palmitate (16:0)			985	C00249	HMDB00220	CHEBI:15756
palmitoleate (16:1n7)			445638	C08362	HMDB03229	CHEBI:28716
palmitoyl sphingomyelin			NA	NA	NA	NA
pantothenate			6613|988	C00864	HMDB00210	CHEBI:46905|CHEBI:7916
paraxanthine			4687	C13747	HMDB01860	CHEBI:25858
penicillin G			5904	C05551	NA	CHEBI:18208
phenol sulfate			74426	C02180|C00850	NA	CHEBI:27905
phenylacetylglutamine			92258	C05597|C04148	HMDB06344	CHEBI:17884
phenylacetylglycine			68144	C05598	HMDB00821	CHEBI:27480
phenylalanine			6140|6925665	C00079	HMDB00159	CHEBI:17295|CHEBI:58095
phosphate			1004|22486802|1061	C00009	HMDB01429|HMDB02142	CHEBI:26078|CHEBI:52641|CHEBI:7794|CHEBI:18367
phosphoethanolamine			5232324|1015	C00346	HMDB00224	CHEBI:17553
pipecolate			439227|6931663|25200477|849	C00408	HMDB00070|HMDB00716	CHEBI:30913|CHEBI:46876|CHEBI:61185|CHEBI:17964
piperine			638024	C03882	NA	CHEBI:28821
proline			145742|6971047	C00148	HMDB00162	CHEBI:17203|CHEBI:60039
propionylcarnitine			107738	C03017	HMDB00824	CHEBI:28867
pseudouridine			15047	C02067	HMDB00767	CHEBI:17802
putrescine			1045	C00134|C02896	HMDB01414	CHEBI:17148
pyridoxate			6723	C00847	HMDB00017	CHEBI:17405
pyroglutamine*			NA	NA	NA	NA
pyroglutamylvaline			NA	NA	NA	NA
pyruvate			1060	C00022	HMDB00243	CHEBI:32816
quinate			NA	C00296	HMDB03072	CHEBI:17521
quinolinate			1066	C03722	HMDB00232	CHEBI:16675
ribitol			NA	C00474	HMDB00508	CHEBI:15963
riboflavin (Vitamin B2)			493570	C00255	HMDB00244	CHEBI:17015
ribose			5779	C00121	HMDB00283	CHEBI:47013
ribulose			439203|151261|439204	C00309|C00310	HMDB00621|HMDB03371	CHEBI:17173
S-adenosylhomocysteine (SAH)			439155|25246222	C00021	HMDB00939	CHEBI:16680|CHEBI:57856
saccharopine			160556	C00449	HMDB00279	CHEBI:16927
sarcosine (N-Methylglycine)			7311726|1088	C00213	HMDB00271	CHEBI:15611|CHEBI:57433
scyllo-inositol			NA	C06153	HMDB06088	CHEBI:10642|CHEBI:23927
sebacate (decanedioate)			5192	C08277	HMDB00792	CHEBI:41865
serine			6857581|5951|6857549|71077	C00065|C00740	HMDB03406|HMDB00187	CHEBI:17115|CHEBI:33384|CHEBI:16523|CHEBI:35247
serotonin (5HT)			5202	C00780	HMDB00259	CHEBI:28790
sorbitol			5780	C00794	HMDB00247	CHEBI:17924
spermidine			1102	C00315	HMDB01257	CHEBI:16610
spermine			1103	C00750	HMDB01256	CHEBI:15746
sphingosine			5280335|5353955	C00319	HMDB00252	CHEBI:16393|CHEBI:26743|CHEBI:46964
stearate (18:0)			5281	C01530	HMDB00827	CHEBI:28842
stearoyl sphingomyelin			5283588	C00550	HMDB01348	NA
stearoylcarnitine			6426855	NA	HMDB00848	CHEBI:73074
succinate			21952380|1110	C00042	HMDB00254	CHEBI:15741
succinylcarnitine			NA	NA	NA	NA
taurine			4068592|1123	C00245	HMDB00251	CHEBI:15891|CHEBI:507393
theobromine			5429	C07480	HMDB02825	CHEBI:28946
threonine			6971019|6288	C00188	HMDB00167	CHEBI:16857|CHEBI:57926
threonylphenylalanine			NA	NA	NA	NA
tiglyl carnitine			22833596	NA	HMDB02366	CHEBI:71179
trans-4-hydroxyproline			5810|6971053	C01157	HMDB00725	CHEBI:18095|CHEBI:58375
triethyleneglycol			NA	NA	NA	NA
tryptophan			6923516|6305	C00078	HMDB00929	CHEBI:16828|CHEBI:57912
tryptophan betaine			442106	C09213	NA	NA
tyrosine			6057|6942100	C00082	HMDB00158	CHEBI:17895|CHEBI:58315
UDP-N-acetylglucosamine			445675	C00043	HMDB00290	CHEBI:16264
uracil			1174	C00106	HMDB00300	CHEBI:17568
urate			1175	C00366	HMDB00289	CHEBI:17775|CHEBI:46811|CHEBI:46814|CHEBI:46817|CHEBI:46823|CHEBI:62589
urea			1176	C00086	HMDB00294	CHEBI:16199|CHEBI:48376
uridine			6029	C00299	HMDB00296	CHEBI:16704
uridine 5'-diphosphate (UDP)			6031	C00015	HMDB00295	CHEBI:17659
uridine 5'-monophosphate (UMP)			6030	C00105	HMDB00288	CHEBI:16695
valerylcarnitine			53481619	NA	HMDB13128	NA
valine			6971018|6287	C00183	HMDB00883	CHEBI:16414|CHEBI:57762
xanthine			1188	C00385	HMDB00292	CHEBI:17712|CHEBI:48517
xanthosine			64959	C01762	HMDB00299	CHEBI:18107
xylitol			827	C00379	HMDB00568	CHEBI:17151
xylulose			439204	C00310	HMDB00654|HMDB03371	NA
