"","X","ID","Source","FinalName"
"11",5283469,"Metabolite 16","KIRC 1-linoleoylglycerol (1-monolinolein) :,BRCATang:1-linoleoylglycerol (1-monolinolein)","1-linoleoylglycerol (1-monolinolein)"
"12",11988421,"Metabolite 17","KIRC 1-linoleoylglycerophosphocholine :,BRCATang:1-linoleoylglycerophosphocholine,OV:1-linoleoylglycerophosphocholine,PAADHussain1:1-linoleoylglycerophosphocholine,PAADHussain2:1-linoleoylglycerophosphocholine","1-linoleoylglycerophosphocholine"
"13",5280646,"Metabolite 17","KIRC 1-linoleoylglycerophosphocholine :,BRCA:1-linoleoylglycerophosphocholine,BRCATang:1-linoleoylglycerophosphocholine,OV:1-linoleoylglycerophosphocholine,PAADHussain1:1-linoleoylglycerophosphocholine,PAADHussain2:1-linoleoylglycerophosphocholine,PRADLODA:1-linoleoylglycerophosphocholine","1-linoleoylglycerophosphocholine"
"14",52925130,"Metabolite 18","KIRC 1-linoleoylglycerophosphoethanolamine* :,BRCATang:1-linoleoylglycerophosphoethanolamine*,PRADLODA:1-linoleoylglycerophosphoethanolamine*","1-linoleoylglycerophosphoethanolamine*"
"15",75810,"Metabolite 19","KIRC 1-methylimidazoleacetate :,BRCA:1-methylimidazoleacetate,OV:1-methylimidazoleacetate,PAADHussain1:1-methylimidazoleacetate","1-methylimidazoleacetate"
"16",460604,"Metabolite 20","KIRC 1-myristoylglycerophosphocholine :,BRCATang:1-myristoylglycerophosphocholine,LGG:1-myristoyl-gpc (14:0),OV:1-myristoylglycerophosphocholine,PAADHussain1:1-myristoylglycerophosphocholine,PAADHussain2:1-myristoylglycerophosphocholine,PRADLODA:1-myristoylglycerophosphocholine","1-myristoylglycerophosphocholine"
"17",9547070,"Metabolite 21","KIRC 1-myristoylglycerophosphoethanolamine :","1-myristoylglycerophosphoethanolamine"
"18",5283468,"Metabolite 22","KIRC 1-oleoylglycerol (1-monoolein) :,BRCATang:1-oleoylglycerol (1-monoolein),LGG:1-oleoylglycerol (18:1),OV:1-oleoylglycerol (1-monoolein),PAADHussain1:1-oleoylglycerol (1-monoolein)","1-oleoylglycerol (1-monoolein)"
"19",12178130,"Metabolite 22","KIRC 1-oleoylglycerol (1-monoolein) :,BRCATang:1-oleoylglycerol (1-monoolein),LGG:1-oleoylglycerol (18:1),OV:1-oleoylglycerol (1-monoolein),PAADHussain1:1-oleoylglycerol (1-monoolein)","1-oleoylglycerol (1-monoolein)"
"20",16081932,"Metabolite 23","KIRC 1-oleoylglycerophosphocholine :,BRCA:1-oleoylglycerophosphocholine,BRCATang:1-oleoylglycerophosphocholine,LGG:1-oleoyl-gpc (18:1),OV:1-oleoylglycerophosphocholine,PAADHussain1:1-oleoylglycerophosphocholine,PAADHussain2:1-oleoylglycerophosphocholine,PRADLODA:1-oleoylglycerophosphocholine","1-oleoylglycerophosphocholine"
"21",9547071,"Metabolite 24","KIRC 1-oleoylglycerophosphoethanolamine :,BRCATang:1-oleoylglycerophosphoethanolamine,LGG:1-oleoyl-gpe (18:1),OV:1-oleoylglycerophosphoethanolamine,PAADHussain1:1-oleoylglycerophosphoethanolamine,PAADHussain2:1-oleoylglycerophosphoethanolamine,PRADLODA:1-oleoylglycerophosphoethanolamine","1-oleoylglycerophosphoethanolamine"
"22",58177709,"Metabolite 24","KIRC 1-oleoylglycerophosphoethanolamine :,BRCATang:1-oleoylglycerophosphoethanolamine,LGG:1-oleoyl-gpe (18:1),OV:1-oleoylglycerophosphoethanolamine,PAADHussain1:1-oleoylglycerophosphoethanolamine,PAADHussain2:1-oleoylglycerophosphoethanolamine,PRADLODA:1-oleoylglycerophosphoethanolamine","1-oleoylglycerophosphoethanolamine"
"23",9547099,"Metabolite 26","KIRC 1-oleoylglycerophosphoserine :","1-oleoylglycerophosphoserine"
"24",14900,"Metabolite 29","KIRC 1-palmitoylglycerol (1-monopalmitin) :,BRCATang:1-palmitoylglycerol (1-monopalmitin),LGG:1-palmitoylglycerol (16:0),OV:1-palmitoylglycerol (1-monopalmitin),PAADHussain2:1-palmitoylglycerol (1-monopalmitin)","1-palmitoylglycerol (1-monopalmitin)"
"25",86554,"Metabolite 30","KIRC 1-palmitoylglycerophosphocholine :,BRCATang:1-palmitoylglycerophosphocholine,LGG:1-palmitoyl-gpc (16:0),OV:1-palmitoylglycerophosphocholine,PAADHussain1:1-palmitoylglycerophosphocholine,PAADHussain2:1-palmitoylglycerophosphocholine","1-palmitoylglycerophosphocholine"
"26",9547069,"Metabolite 31","KIRC 1-palmitoylglycerophosphoethanolamine :,BRCATang:1-palmitoylglycerophosphoethanolamine,LGG:1-palmitoyl-gpe (16:0),OV:1-palmitoylglycerophosphoethanolamine,PAADHussain1:1-palmitoylglycerophosphoethanolamine,PAADHussain2:1-palmitoylglycerophosphoethanolamine,PRADLODA:1-palmitoylglycerophosphoethanolamine","1-palmitoylglycerophosphoethanolamine"
"27",58177710,"Metabolite 31","KIRC 1-palmitoylglycerophosphoethanolamine :,BRCATang:1-palmitoylglycerophosphoethanolamine,LGG:1-palmitoyl-gpe (16:0),OV:1-palmitoylglycerophosphoethanolamine,PAADHussain1:1-palmitoylglycerophosphoethanolamine,PAADHussain2:1-palmitoylglycerophosphoethanolamine,PRADLODA:1-palmitoylglycerophosphoethanolamine","1-palmitoylglycerophosphoethanolamine"
"28",24699,"Metabolite 35","KIRC 1-stearoylglycerol (1-monostearin) :,BRCATang:1-stearoylglycerol (1-monostearin),LGG:1-stearoylglycerol (18:0),OV:1-stearoylglycerol (1-monostearin),PAADHussain1:1-stearoylglycerol (1-monostearin),PAADHussain2:1-stearoylglycerol (1-monostearin)","1-stearoylglycerol (1-monostearin)"
"29",497299,"Metabolite 36","KIRC 1-stearoylglycerophosphocholine :,BRCATang:1-stearoylglycerophosphocholine,LGG:1-stearoyl-gpc (18:0),OV:1-stearoylglycerophosphocholine,PAADHussain1:1-stearoylglycerophosphocholine,PAADHussain2:1-stearoylglycerophosphocholine","1-stearoylglycerophosphocholine"
"30",9547068,"Metabolite 37","KIRC 1-stearoylglycerophosphoethanolamine :,BRCATang:1-stearoylglycerophosphoethanolamine,LGG:1-stearoyl-gpe (18:0),OV:1-stearoylglycerophosphoethanolamine,PAADHussain1:1-stearoylglycerophosphoethanolamine,PAADHussain2:1-stearoylglycerophosphoethanolamine,PRADLODA:1-stearoylglycerophosphoethanolamine","1-stearoylglycerophosphoethanolamine"
"31",46891690,"Metabolite 37","KIRC 1-stearoylglycerophosphoethanolamine :,BRCATang:1-stearoylglycerophosphoethanolamine,LGG:1-stearoyl-gpe (18:0),OV:1-stearoylglycerophosphoethanolamine,PAADHussain1:1-stearoylglycerophosphoethanolamine,PAADHussain2:1-stearoylglycerophosphoethanolamine,PRADLODA:1-stearoylglycerophosphoethanolamine","1-stearoylglycerophosphoethanolamine"
"32",92136,"Metabolite 39","KIRC 2-aminoadipate :,BRCA:2-aminoadipate,BRCATang:2-aminoadipate,LGG:2-aminoadipate,OV:2-aminoadipate,PAAD:aminoadipic acid,PAADHussain1:2-aminoadipate,PAADHussain2:2-aminoadipate,PRAD:2-aminoadipate,PRADLODA:2-aminoadipate","2-aminoadipate"
"33",59066632,"Metabolite 39","KIRC 2-aminoadipate :,BRCA:2-aminoadipate,BRCATang:2-aminoadipate,LGG:2-aminoadipate,OV:2-aminoadipate,PAAD:aminoadipic acid,PAADHussain1:2-aminoadipate,PAADHussain2:2-aminoadipate,PRAD:2-aminoadipate,PRADLODA:2-aminoadipate","2-aminoadipate"
"34",59366488,"Metabolite 39","KIRC 2-aminoadipate :,BRCA:2-aminoadipate,BRCATang:2-aminoadipate,LGG:2-aminoadipate,OV:2-aminoadipate,PAADHussain1:2-aminoadipate,PAADHussain2:2-aminoadipate,PRAD:2-aminoadipate,PRADLODA:2-aminoadipate","2-aminoadipate"
"35",469,"Metabolite 39","KIRC 2-aminoadipate :,BRCA:2-aminoadipate,BRCATang:2-aminoadipate,LGG:2-aminoadipate,OV:2-aminoadipate,PAADHussain1:2-aminoadipate,PAADHussain2:2-aminoadipate,PRAD:2-aminoadipate,PRADLODA:2-aminoadipate","2-aminoadipate"
"36",6971251,"Metabolite 40","KIRC 2-aminobutyrate :,BRCA:2-aminobutyrate,BRCATang:2-aminobutyrate,LGG:2-aminobutyrate,OV:2-aminobutyrate,PAADHussain1:2-aminobutyrate,PAADHussain2:2-aminobutyrate,PRADLODA:2-aminobutyrate","2-aminobutyrate"
"37",439691,"Metabolite 40","KIRC 2-aminobutyrate :,BRCA:2-aminobutyrate,BRCATang:2-aminobutyrate,LGG:2-aminobutyrate,OV:2-aminobutyrate,PAADHussain1:2-aminobutyrate,PAADHussain2:2-aminobutyrate,PRADLODA:2-aminobutyrate","2-aminobutyrate"
"38",1467,"Metabolite 43","KIRC 2'-deoxyadenosine 3'-monophosphate :","2'-deoxyadenosine 3'-monophosphate"
"39",3274948,"Metabolite 44","KIRC 2'-deoxycytidine 3'-monophosphate :","2'-deoxycytidine 3'-monophosphate"
"40",187790,"Metabolite 45","KIRC 2'-deoxyguanosine :,BRCA:2'-deoxyguanosine,BRCATang:2'-deoxyguanosine,LGG:2'-deoxyguanosine,OV:2'-deoxyguanosine,PAADHussain1:2'-deoxyguanosine,PAADHussain2:2'-deoxyguanosine","2'-deoxyguanosine"
"41",65058,"Metabolite 46","KIRC 2'-deoxyinosine :,BRCA:2'-deoxyinosine,BRCATang:2'-deoxyinosine,LGG:2'-deoxyinosine,OV:2'-deoxyinosine,PAADHussain1:2'-deoxyinosine,PAADHussain2:2'-deoxyinosine,PRADLODA:2'-deoxyinosine","2'-deoxyinosine"
"42",8697,"Metabolite 52","KIRC 2-ethylhexanoate :,BRCATang:2-ethylhexanoate","2-ethylhexanoate"
"43",440864,"Metabolite 54","KIRC 2-hydroxybutyrate (ahb) :,BLCA:2-hydroxybutyric acid sodium salt,BRCA:2-hydroxybutyrate (ahb),BRCATang:2-hydroxybutyrate (ahb),LGG:2-hydroxybutyrate (ahb),OV:2-hydroxybutyrate (ahb),PAADHussain1:2-hydroxybutyrate (ahb),PAADHussain2:2-hydroxybutyrate (ahb),PRAD:2-hydroxybutyrate (ahb),PRADLODA:2-hydroxybutyrate (ahb)","2-hydroxybutyrate (ahb)"
"44",11266,"Metabolite 54","KIRC 2-hydroxybutyrate (ahb) :,BLCA:2-hydroxybutyric acid sodium salt,BRCA:2-hydroxybutyrate (ahb),BRCATang:2-hydroxybutyrate (ahb),LGG:2-hydroxybutyrate (ahb),OV:2-hydroxybutyrate (ahb),PAADHussain1:2-hydroxybutyrate (ahb),PAADHussain2:2-hydroxybutyrate (ahb),PRAD:2-hydroxybutyrate (ahb),PRADLODA:2-hydroxybutyrate (ahb)","2-hydroxybutyrate (ahb)"
"45",43,"Metabolite 55","KIRC 2-hydroxyglutarate :,BRCA:2-hydroxyglutarate,BRCATang:2-hydroxyglutarate,LGG:2-hydroxyglutarate,OV:2-hydroxyglutarate,PRADLODA:2-hydroxyglutarate","2-hydroxyglutarate"
"46",439391,"Metabolite 55","KIRC 2-hydroxyglutarate :,BRCA:2-hydroxyglutarate,BRCATang:2-hydroxyglutarate,LGG:2-hydroxyglutarate,OV:2-hydroxyglutarate,PRADLODA:2-hydroxyglutarate","2-hydroxyglutarate"
"47",10253,"Metabolite 56","KIRC 2-hydroxyhippurate (salicylurate) :,BRCA:2-hydroxyhippurate (salicylurate),BRCATang:2-hydroxyhippurate (salicylurate),PRADLODA:2-hydroxyhippurate (salicylurate)","2-hydroxyhippurate (salicylurate)"
"48",11671,"Metabolite 57","KIRC 2-hydroxyisobutyrate :","2-hydroxyisobutyrate"
"49",92836,"Metabolite 58","KIRC 2-hydroxypalmitate :,BRCATang:2-hydroxypalmitate,LGG:2-hydroxypalmitate,OV:2-hydroxypalmitate,PAADHussain1:2-hydroxypalmitate,PAADHussain2:2-hydroxypalmitate","2-hydroxypalmitate"
"50",77,"Metabolite 59","KIRC 2-isopropylmalate :","2-isopropylmalate"
"51",5280523,"Metabolite 59","KIRC 2-isopropylmalate :","2-isopropylmalate"
"52",5365676,"Metabolite 60","KIRC 2-linoleoylglycerol (2-monolinolein) :,OV:2-linoleoylglycerol (2-monolinolein),PAADHussain1:2-linoleoylglycerol (2-monolinolein),PAADHussain2:2-linoleoylglycerol (2-monolinolein)","2-linoleoylglycerol (2-monolinolein)"
"53",6426901,"Metabolite 64","KIRC 2-methylbutyrylcarnitine (c5) :,BRCA:2-methylbutyroylcarnitine,BRCATang:2-methylbutyroylcarnitine,LGG:2-methylbutyroylcarnitine (c5),OV:2-methylbutyroylcarnitine,PAADHussain1:2-methylbutyroylcarnitine,PAADHussain2:2-methylbutyroylcarnitine,PRADLODA:2-methylbutyroylcarnitine","2-methylbutyroylcarnitine"
"54",5319879,"Metabolite 66","KIRC 2-oleoylglycerol (2-monoolein) :,OV:2-oleoylglycerol (2-monoolein),PAADHussain1:2-oleoylglycerol (2-monoolein),PAADHussain2:2-oleoylglycerol (2-monoolein)","2-oleoylglycerol (2-monoolein)"
"55",123409,"Metabolite 71","KIRC 2-palmitoylglycerol (2-monopalmitin) :,BRCATang:2-palmitoylglycerol (2-monopalmitin),LGG:2-palmitoylglycerol (16:0),OV:2-palmitoylglycerol (2-monopalmitin),PAADHussain1:2-palmitoylglycerol (2-monopalmitin),PAADHussain2:2-palmitoylglycerol (2-monopalmitin)","2-palmitoylglycerol (2-monopalmitin)"
"56",439278,"Metabolite 74","KIRC 2-phosphoglycerate :,OV:2-phosphoglycerate,PAADHussain1:2-phosphoglycerate","2-phosphoglycerate"
"57",10208382,"Metabolite 75","KIRC 2-stearoylglycerophosphocholine* :,BRCATang:2-stearoylglycerophosphocholine*,LGG:2-stearoyl-gpc* (18:0)*,PAADHussain1:2-stearoylglycerophosphocholine*,PAADHussain2:2-stearoylglycerophosphocholine*","2-stearoylglycerophosphocholine*"
"58",9378,"Metabolite 77","KIRC 3-(4-hydroxyphenyl)lactate :,BRCA:3-(4-hydroxyphenyl)lactate,BRCATang:3-(4-hydroxyphenyl)lactate,LGG:3-(4-hydroxyphenyl)lactate (hpla),OV:3-(4-hydroxyphenyl)lactate,PAADHussain1:3-(4-hydroxyphenyl)lactate,PAADHussain2:3-(4-hydroxyphenyl)lactate,PRADLODA:3-(4-hydroxyphenyl)lactate","3-(4-hydroxyphenyl)lactate"
"59",5233914,"Metabolite 78","KIRC 3-(cystein-s-yl)acetaminophen* :,BRCATang:3-(cystein-s-yl)acetaminophen*,OV:3-(cystein-s-yl)acetaminophen*,PAADHussain1:3-(cystein-s-yl)acetaminophen*","3-(cystein-s-yl)acetaminophen*"
"60",83967,"Metabolite 79","KIRC 3-(n-acetyl-l-cystein-s-yl) acetaminophen* :","3-(n-acetyl-l-cystein-s-yl) acetaminophen*"
"61",91528,"Metabolite 80","KIRC 3,4-dihydroxyphenethyleneglycol :","3,4-dihydroxyphenethyleneglycol"
"62",64956,"Metabolite 81","KIRC 3-aminoisobutyrate :,BRCA:3-aminoisobutyrate,BRCATang:3-aminoisobutyrate,LGG:3-aminoisobutyrate,OV:3-aminoisobutyrate,PAADHussain2:3-aminoisobutyrate,PRADLODA:3-aminoisobutyrate","3-aminoisobutyrate"
"63",25201103,"Metabolite 81","KIRC 3-aminoisobutyrate :,BRCA:3-aminoisobutyrate,BRCATang:3-aminoisobutyrate,LGG:3-aminoisobutyrate,OV:3-aminoisobutyrate,PAADHussain2:3-aminoisobutyrate,PRADLODA:3-aminoisobutyrate","3-aminoisobutyrate"
"64",123979,"Metabolite 82","KIRC 3-carboxy-4-methyl-5-propyl-2-furanpropanoate (cmpf) :,BRCATang:3-carboxy-4-methyl-5-propyl-2-furanpropanoate (cmpf),LGG:3-carboxy-4-methyl-5-propyl-2-furanpropanoate (cmpf),OV:3-carboxy-4-methyl-5-propyl-2-furanpropanoate (cmpf),PAADHussain1:3-carboxy-4-methyl-5-propyl-2-furanpropanoate (cmpf),PAADHussain2:3-carboxy-4-methyl-5-propyl-2-furanpropanoate (cmpf)","3-carboxy-4-methyl-5-propyl-2-furanpropanoate (cmpf)"
"65",6991982,"Metabolite 83","KIRC 3-dehydrocarnitine* :,BRCATang:3-dehydrocarnitine*,LGG:3-dehydrocarnitine*,OV:3-dehydrocarnitine*,PAADHussain1:3-dehydrocarnitine*,PAADHussain2:3-dehydrocarnitine*,PRADLODA:3-dehydrocarnitine*","3-dehydrocarnitine*"
"66",444485,"Metabolite 84","KIRC 3'-dephosphocoenzyme a :,BRCATang:3'-dephosphocoenzyme a,PAADHussain2:3'-dephosphocoenzyme a,PRADLODA:3'-dephosphocoenzyme a","3'-dephosphocoenzyme a"
"67",439335,"Metabolite 84","KIRC 3'-dephosphocoenzyme a :,BRCATang:3'-dephosphocoenzyme a,PAADHussain2:3'-dephosphocoenzyme a,PRADLODA:3'-dephosphocoenzyme a","3'-dephosphocoenzyme a"
"68",92135,"Metabolite 85","KIRC 3-hydroxybutyrate (bhba) :,BRCA:3-hydroxybutyrate (bhba),BRCATang:3-hydroxybutyrate (bhba),LGG:3-hydroxybutyrate (bhba),OV:3-hydroxybutyrate (bhba),PAADHussain1:3-hydroxybutyrate (bhba),PAADHussain2:3-hydroxybutyrate (bhba),PRADLODA:3-hydroxybutyrate (bhba)","3-hydroxybutyrate (bhba)"
"69",441,"Metabolite 85","KIRC 3-hydroxybutyrate (bhba) :,BRCA:3-hydroxybutyrate (bhba),BRCATang:3-hydroxybutyrate (bhba),LGG:3-hydroxybutyrate (bhba),OV:3-hydroxybutyrate (bhba),PAADHussain1:3-hydroxybutyrate (bhba),PAADHussain1:prolylleucine,PAADHussain2:3-hydroxybutyrate (bhba),PRADLODA:3-hydroxybutyrate (bhba)","3-hydroxybutyrate (bhba)"
"70",26612,"Metabolite 86","KIRC 3-hydroxydecanoate :,BRCA:3-hydroxydecanoate","3-hydroxydecanoate"
"71",450268,"Metabolite 87","KIRC 3-hydroxyhippurate :,BRCATang:3-hydroxyhippurate","3-hydroxyhippurate"
"72",26613,"Metabolite 88","KIRC 3-hydroxyoctanoate :","3-hydroxyoctanoate"
"73",10258,"Metabolite 89","KIRC 3-indoxyl sulfate :,BRCATang:3-indoxyl sulfate,OV:3-indoxyl sulfate,PAADHussain2:3-indoxyl sulfate,PRADLODA:3-indoxyl sulfate","3-indoxyl sulfate"
"74",47,"Metabolite 90","KIRC 3-methyl-2-oxovalerate :,BRCATang:3-methyl-2-oxovalerate,OV:3-methyl-2-oxovalerate,PAADHussain1:3-methyl-2-oxovalerate,PAADHussain2:3-methyl-2-oxovalerate","3-methyl-2-oxovalerate"
"75",439286,"Metabolite 90","KIRC 3-methyl-2-oxovalerate :,BRCA:3-methyl-2-oxovalerate,BRCATang:3-methyl-2-oxovalerate,OV:3-methyl-2-oxovalerate,PAADHussain1:3-methyl-2-oxovalerate,PAADHussain2:3-methyl-2-oxovalerate","3-methyl-2-oxovalerate"
"76",6971061,"Metabolite 91","KIRC 3-methylhistidine :,BRCA:3-methylhistidine,BRCATang:3-methylhistidine,PAADHussain2:3-methylhistidine,PRAD:3-methylhistidine (1-methylhistidine),PRADLODA:3-methylhistidine","3-methylhistidine"
"77",64969,"Metabolite 91","KIRC 3-methylhistidine :,BRCA:3-methylhistidine,BRCATang:3-methylhistidine,PAADHussain2:3-methylhistidine,PRAD:3-methylhistidine (1-methylhistidine),PRADLODA:3-methylhistidine","3-methylhistidine"
"78",724,"Metabolite 92","KIRC 3-phosphoglycerate :,BRCA:3-phosphoglycerate,LGG:3-phosphoglycerate,LGG:alanine,OV:3-phosphoglycerate,PAAD:3-phosphoglycerate,PAADHussain1:3-phosphoglycerate,PAADHussain1:alanine,PAADHussain2:3-phosphoglycerate,PAADHussain2:alanine,PRAD:3-phosphoglycerate,PRADLODA:3-phosphoglycerate","3-phosphoglycerate"
"79",111,"Metabolite 93","KIRC 3-ureidopropionate :,LGG:cystathionine,PAADHussain1:3-ureidopropionate","3-ureidopropionate"
"80",1983,"Metabolite 95","KIRC 4-acetamidophenol :,KIRC:4-acetaminophen sulfate,BRCATang:4-acetamidophenol,BRCATang:4-acetaminophen sulfate,LGG:4-acetaminophen sulfate,OV:4-acetamidophenol,OV:4-acetaminophen sulfate,PAADHussain1:4-acetamidophenol,PAADHussain1:4-acetaminophen sulfate,PRADLODA:4-acetamidophenol,PRADLODA:4-acetaminophen sulfate","4-acetaminophen sulfate"
"81",83939,"Metabolite 95","KIRC 4-acetaminophen sulfate :,BRCATang:4-acetaminophen sulfate,LGG:4-acetaminophen sulfate,OV:4-acetaminophen sulfate,PAADHussain1:4-acetaminophen sulfate","4-acetaminophen sulfate"
"82",10634,"Metabolite 96","KIRC 4-androsten-3beta,17beta-diol disulfate 1* :,BRCATang:4-androsten-3beta,17beta-diol disulfate 1*,LGG:4-androsten-3beta,17beta-diol disulfate 1*,OV:4-androsten-3beta,17beta-diol disulfate 1*,PAADHussain1:4-androsten-3beta,17beta-diol disulfate 1*,PAADHussain2:4-androsten-3beta,17beta-diol disulfate 1*,PRADLODA:4-androsten-3beta,17beta-diol disulfate 1*","4-androsten-3beta,17beta-diol disulfate 1*"
"83",25200642,"Metabolite 97","KIRC 4-guanidinobutanoate :,LGG:4-guanidinobutanoate,OV:4-guanidinobutanoate,PAADHussain1:4-guanidinobutanoate,PRAD:4-guanidinobutanoate","4-guanidinobutanoate"
"84",500,"Metabolite 97","KIRC 4-guanidinobutanoate :,LGG:4-guanidinobutanoate,OV:4-guanidinobutanoate,PAADHussain1:4-guanidinobutanoate,PRAD:4-guanidinobutanoate","4-guanidinobutanoate"
"85",10413,"Metabolite 98","KIRC 4-hydroxybutyrate (ghb) :,BRCA:4-hydroxybutyrate (ghb),BRCATang:4-hydroxybutyrate (ghb),OV:4-hydroxybutyrate (ghb),PAADHussain1:4-hydroxybutyrate (ghb),PAADHussain2:4-hydroxybutyrate (ghb),PRADLODA:4-hydroxybutyrate (ghb)","4-hydroxybutyrate (ghb)"
"86",3037032,"Metabolite 98","KIRC 4-hydroxybutyrate (ghb) :,BRCA:4-hydroxybutyrate (ghb),BRCATang:4-hydroxybutyrate (ghb),OV:4-hydroxybutyrate (ghb),PAADHussain1:4-hydroxybutyrate (ghb),PAADHussain2:4-hydroxybutyrate (ghb),PRADLODA:4-hydroxybutyrate (ghb)","4-hydroxybutyrate (ghb)"
"87",439902,"Metabolite 99","KIRC 4-hydroxyglutamate :","4-hydroxyglutamate"
"88",151012,"Metabolite 100","KIRC 4-hydroxyhippurate :,PAADHussain1:4-hydroxyhippurate","4-hydroxyhippurate"
"89",4693933,"Metabolite 101","KIRC 4-hydroxyphenylacetate :,OV:4-hydroxyphenylacetate,PAADHussain1:4-hydroxyphenylacetate","4-hydroxyphenylacetate"
"90",127,"Metabolite 266","KIRC 4-hydroxyphenylacetate :,LGG:glycine,OV:4-hydroxyphenylacetate,PAADHussain1:4-hydroxyphenylacetate,PAADHussain1:glycine,PAADHussain2:glycine","glycine"
"91",70,"Metabolite 102","KIRC 4-methyl-2-oxopentanoate :,BRCA:4-methyl-2-oxopentanoate,BRCATang:4-methyl-2-oxopentanoate,LGG:4-methyl-2-oxopentanoate,LGG:leucine,OV:4-methyl-2-oxopentanoate,PAADHussain1:4-methyl-2-oxopentanoate,PAADHussain1:leucine,PAADHussain2:4-methyl-2-oxopentanoate,PAADHussain2:leucine,PRAD:4-methyl-2-oxopentanoate","4-methyl-2-oxopentanoate"
"92",649,"Metabolite 103","KIRC 5,6-dihydrouracil :,BRCA:5,6-dihydrouracil,BRCATang:5,6-dihydrouracil,LGG:5,6-dihydrouracil,OV:5,6-dihydrouracil,PAADHussain1:5,6-dihydrouracil,PAADHussain2:3-methylhistidine,PAADHussain2:5,6-dihydrouracil,PRAD:5,6-dihydrouracil,PRADLODA:5,6-dihydrouracil","5,6-dihydrouracil"
"93",6992101,"Metabolite 104","KIRC 5-aminovalerate :,BRCA:5-aminovalerate,OV:5-aminovalerate,OV:5-dodecenoate (12:1n7),PAADHussain1:5-aminovalerate","5-aminovalerate"
"94",138,"Metabolite 104","KIRC 5-aminovalerate :,BRCA:5-aminovalerate,OV:5-aminovalerate,OV:5-dodecenoate (12:1n7),PAADHussain1:5-aminovalerate","5-aminovalerate"
"95",9862886,"Metabolite 105","KIRC 5-hete :","5-hete"
"96",9825434,"Metabolite 106","KIRC 5-methyltetrahydrofolate (5methf) :,BRCATang:5-methyltetrahydrofolate (5methf)","5-methyltetrahydrofolate (5methf)"
"97",439234,"Metabolite 106","KIRC 5-methyltetrahydrofolate (5methf) :,BRCATang:5-methyltetrahydrofolate (5methf)","5-methyltetrahydrofolate (5methf)"
"98",439176,"Metabolite 107","KIRC 5-methylthioadenosine (mta) :,BRCA:5-methylthioadenosine (mta),BRCATang:5-methylthioadenosine (mta),LGG:5-methylthioadenosine (mta),PAADHussain2:5-methylthioadenosine (mta),PRAD:5-methylthioadenosine (mta),PRADLODA:5-methylthioadenosine (mta)","5-methylthioadenosine (mta)"
