"","X","ID","Source","FinalName"
"11","1-arachidonoylglycerophosphoinositol*","Metabolite 11","KIRC 1-arachidonoylglycerophosphoinositol* :,BRCA:1-arachidonoylglycerophosphoinositol*,BRCATang:1-arachidonoylglycerophosphoinositol*,OV:1-arachidonoylglycerophosphoinositol*,PAADHussain2:1-arachidonoylglycerophosphoinositol*,PRADLODA:1-arachidonoylglycerophosphoinositol*","1-arachidonoylglycerophosphoinositol*"
"12","1-arachidonylglycerol","Metabolite 12","KIRC 1-arachidonylglycerol :,PRADLODA:1-arachidonylglycerol","1-arachidonylglycerol"
"13","1-docosahexaenoylglycerophosphocholine*","Metabolite 13","KIRC 1-docosahexaenoylglycerophosphocholine* :","1-docosahexaenoylglycerophosphocholine*"
"14","1-heptadecanoylglycerophosphocholine","Metabolite 14","KIRC 1-heptadecanoylglycerophosphocholine :,BRCATang:1-heptadecanoylglycerophosphocholine,PAADHussain1:1-heptadecanoylglycerophosphocholine,PAADHussain2:1-heptadecanoylglycerophosphocholine","1-heptadecanoylglycerophosphocholine"
"15","1-heptadecanoylglycerophosphoethanolamine*","Metabolite 15","KIRC 1-heptadecanoylglycerophosphoethanolamine* :,PAADHussain2:1-heptadecanoylglycerophosphoethanolamine*,PRADLODA:1-heptadecanoylglycerophosphoethanolamine*","1-heptadecanoylglycerophosphoethanolamine*"
"16","1-linoleoylglycerol (1-monolinolein)","Metabolite 16","KIRC 1-linoleoylglycerol (1-monolinolein) :,BRCATang:1-linoleoylglycerol (1-monolinolein),PRADLODA:1-linoleoylglycerol (1-monolinolein)","1-linoleoylglycerol (1-monolinolein)"
"17","1-linoleoylglycerophosphocholine","Metabolite 17","KIRC 1-linoleoylglycerophosphocholine :,BRCA:1-linoleoylglycerophosphocholine,BRCATang:1-linoleoylglycerophosphocholine,OV:1-linoleoylglycerophosphocholine,PAADHussain1:1-linoleoylglycerophosphocholine,PAADHussain2:1-linoleoylglycerophosphocholine,PRADLODA:1-linoleoylglycerophosphocholine","1-linoleoylglycerophosphocholine"
"18","1-linoleoylglycerophosphoethanolamine*","Metabolite 18","KIRC 1-linoleoylglycerophosphoethanolamine* :,BRCATang:1-linoleoylglycerophosphoethanolamine*,PRADLODA:1-linoleoylglycerophosphoethanolamine*","1-linoleoylglycerophosphoethanolamine*"
"19","1-methylimidazoleacetate","Metabolite 19","KIRC 1-methylimidazoleacetate :,BRCA:1-methylimidazoleacetate,OV:1-methylimidazoleacetate,PAADHussain1:1-methylimidazoleacetate","1-methylimidazoleacetate"
"20","1-myristoylglycerophosphocholine","Metabolite 20","KIRC 1-myristoylglycerophosphocholine :,BRCA:1-myristoylglycerophosphocholine,BRCATang:1-myristoylglycerophosphocholine,OV:1-myristoylglycerophosphocholine,PAADHussain1:1-myristoylglycerophosphocholine,PAADHussain2:1-myristoylglycerophosphocholine,PRADLODA:1-myristoylglycerophosphocholine","1-myristoylglycerophosphocholine"
"21","1-myristoylglycerophosphoethanolamine","Metabolite 21","KIRC 1-myristoylglycerophosphoethanolamine :","1-myristoylglycerophosphoethanolamine"
"22","1-oleoylglycerol (1-monoolein)","Metabolite 22","KIRC 1-oleoylglycerol (1-monoolein) :,BRCA:1-oleoylglycerol (1-monoolein),BRCATang:1-oleoylglycerol (1-monoolein),OV:1-oleoylglycerol (1-monoolein),PAADHussain1:1-oleoylglycerol (1-monoolein)","1-oleoylglycerol (1-monoolein)"
"23","1-oleoylglycerophosphocholine","Metabolite 23","KIRC 1-oleoylglycerophosphocholine :,BRCA:1-oleoylglycerophosphocholine,BRCATang:1-oleoylglycerophosphocholine,OV:1-oleoylglycerophosphocholine,PAADHussain1:1-oleoylglycerophosphocholine,PAADHussain2:1-oleoylglycerophosphocholine,PRADLODA:1-oleoylglycerophosphocholine","1-oleoylglycerophosphocholine"
"24","1-oleoylglycerophosphoethanolamine","Metabolite 24","KIRC 1-oleoylglycerophosphoethanolamine :,BRCA:1-oleoylglycerophosphoethanolamine,BRCATang:1-oleoylglycerophosphoethanolamine,OV:1-oleoylglycerophosphoethanolamine,PAADHussain1:1-oleoylglycerophosphoethanolamine,PAADHussain2:1-oleoylglycerophosphoethanolamine,PRADLODA:1-oleoylglycerophosphoethanolamine","1-oleoylglycerophosphoethanolamine"
"25","1-oleoylglycerophosphoinositol*","Metabolite 25","KIRC 1-oleoylglycerophosphoinositol* :,PAADHussain1:1-oleoylglycerophosphoinositol*,PAADHussain2:1-oleoylglycerophosphoinositol*,PRADLODA:1-oleoylglycerophosphoinositol*","1-oleoylglycerophosphoinositol*"
"26","1-oleoylglycerophosphoserine","Metabolite 26","KIRC 1-oleoylglycerophosphoserine :,PRADLODA:1-oleoylglycerophosphoserine","1-oleoylglycerophosphoserine"
"27","1-palmitoleoylglycerophosphocholine*","Metabolite 27","KIRC 1-palmitoleoylglycerophosphocholine* :,BRCATang:1-palmitoleoylglycerophosphocholine*,OV:1-palmitoleoylglycerophosphocholine*,PAADHussain1:1-palmitoleoylglycerophosphocholine*,PAADHussain2:1-palmitoleoylglycerophosphocholine*","1-palmitoleoylglycerophosphocholine*"
"28","1-palmitoleoylglycerophosphoethanolamine*","Metabolite 28","KIRC 1-palmitoleoylglycerophosphoethanolamine* :","1-palmitoleoylglycerophosphoethanolamine*"
"29","1-palmitoylglycerol (1-monopalmitin)","Metabolite 29","KIRC 1-palmitoylglycerol (1-monopalmitin) :,BRCA:1-palmitoylglycerol (1-monopalmitin),BRCATang:1-palmitoylglycerol (1-monopalmitin),OV:1-palmitoylglycerol (1-monopalmitin),PAADHussain2:1-palmitoylglycerol (1-monopalmitin),PRADLODA:1-palmitoylglycerol (1-monopalmitin)","1-palmitoylglycerol (1-monopalmitin)"
"30","1-palmitoylglycerophosphocholine","Metabolite 30","KIRC 1-palmitoylglycerophosphocholine :,BRCA:1-palmitoylglycerophosphocholine,BRCATang:1-palmitoylglycerophosphocholine,OV:1-palmitoylglycerophosphocholine,PAADHussain1:1-palmitoylglycerophosphocholine,PAADHussain2:1-palmitoylglycerophosphocholine,PRADLODA:1-palmitoylglycerophosphocholine","1-palmitoylglycerophosphocholine"
"31","1-palmitoylglycerophosphoethanolamine","Metabolite 31","KIRC 1-palmitoylglycerophosphoethanolamine :,BRCATang:1-palmitoylglycerophosphoethanolamine,OV:1-palmitoylglycerophosphoethanolamine,PAADHussain1:1-palmitoylglycerophosphoethanolamine,PAADHussain2:1-palmitoylglycerophosphoethanolamine,PRADLODA:1-palmitoylglycerophosphoethanolamine","1-palmitoylglycerophosphoethanolamine"
"32","1-palmitoylglycerophosphoinositol*","Metabolite 32","KIRC 1-palmitoylglycerophosphoinositol* :,BRCATang:1-palmitoylglycerophosphoinositol*,OV:1-palmitoylglycerophosphoinositol*,PAADHussain1:1-palmitoylglycerophosphoinositol*,PAADHussain2:1-palmitoylglycerophosphoinositol*,PRADLODA:1-palmitoylglycerophosphoinositol*","1-palmitoylglycerophosphoinositol*"
"33","1-palmitoylplasmenylethanolamine*","Metabolite 33","KIRC 1-palmitoylplasmenylethanolamine* :,BRCATang:1-palmitoylplasmenylethanolamine*,LGG:1-palmitoylplasmenylethanolamine*,PAADHussain1:1-palmitoylplasmenylethanolamine*,PAADHussain2:1-palmitoylplasmenylethanolamine*","1-palmitoylplasmenylethanolamine*"
"34","1-pentadecanoylglycerophosphocholine*","Metabolite 34","KIRC 1-pentadecanoylglycerophosphocholine* :,PAADHussain1:1-pentadecanoylglycerophosphocholine*,PAADHussain2:1-pentadecanoylglycerophosphocholine*","1-pentadecanoylglycerophosphocholine*"
"35","1-stearoylglycerol (1-monostearin)","Metabolite 35","KIRC 1-stearoylglycerol (1-monostearin) :,BRCA:1-stearoylglycerol (1-monostearin),BRCATang:1-stearoylglycerol (1-monostearin),OV:1-stearoylglycerol (1-monostearin),PAADHussain1:1-stearoylglycerol (1-monostearin),PAADHussain2:1-stearoylglycerol (1-monostearin),PRADLODA:1-stearoylglycerol (1-monostearin)","1-stearoylglycerol (1-monostearin)"
"36","1-stearoylglycerophosphocholine","Metabolite 36","KIRC 1-stearoylglycerophosphocholine :,BRCA:1-stearoylglycerophosphocholine,BRCATang:1-stearoylglycerophosphocholine,OV:1-stearoylglycerophosphocholine,PAADHussain1:1-stearoylglycerophosphocholine,PAADHussain2:1-stearoylglycerophosphocholine,PRADLODA:1-stearoylglycerophosphocholine","1-stearoylglycerophosphocholine"
"37","1-stearoylglycerophosphoethanolamine","Metabolite 37","KIRC 1-stearoylglycerophosphoethanolamine :,BRCA:1-stearoylglycerophosphoethanolamine,BRCATang:1-stearoylglycerophosphoethanolamine,OV:1-stearoylglycerophosphoethanolamine,PAADHussain1:1-stearoylglycerophosphoethanolamine,PAADHussain2:1-stearoylglycerophosphoethanolamine,PRADLODA:1-stearoylglycerophosphoethanolamine","1-stearoylglycerophosphoethanolamine"
"38","1-stearoylglycerophosphoinositol","Metabolite 38","KIRC 1-stearoylglycerophosphoinositol :,BRCA:1-stearoylglycerophosphoinositol,BRCATang:1-stearoylglycerophosphoinositol,OV:1-stearoylglycerophosphoinositol,PAADHussain1:1-stearoylglycerophosphoinositol,PAADHussain2:1-stearoylglycerophosphoinositol,PRADLODA:1-stearoylglycerophosphoinositol","1-stearoylglycerophosphoinositol"
"39","2-aminoadipate","Metabolite 39","KIRC 2-aminoadipate :,BRCA:2-aminoadipate,BRCATang:2-aminoadipate,LGG:2-aminoadipate,OV:2-aminoadipate,PAADHussain1:2-aminoadipate,PAADHussain2:2-aminoadipate,PRAD:2-aminoadipate,PRADLODA:2-aminoadipate","2-aminoadipate"
"40","2-aminobutyrate","Metabolite 40","KIRC 2-aminobutyrate :,BRCA:2-aminobutyrate,BRCATang:2-aminobutyrate,LGG:2-aminobutyrate,OV:2-aminobutyrate,PAADHussain1:2-aminobutyrate,PAADHussain2:2-aminobutyrate,PRADLODA:2-aminobutyrate","2-aminobutyrate"
"41","2-arachidonoylglycerophosphocholine*","Metabolite 41","KIRC 2-arachidonoylglycerophosphocholine* :,BRCA:2-arachidonoylglycerophosphocholine*,BRCATang:2-arachidonoylglycerophosphocholine*,OV:2-arachidonoylglycerophosphocholine*,PAADHussain1:2-arachidonoylglycerophosphocholine*,PAADHussain2:2-arachidonoylglycerophosphocholine*,PRADLODA:2-arachidonoylglycerophosphocholine*","2-arachidonoylglycerophosphocholine*"
"42","2-arachidonoylglycerophosphoethanolamine*","Metabolite 42","KIRC 2-arachidonoylglycerophosphoethanolamine* :,BRCA:2-arachidonoylglycerophosphoethanolamine*,BRCATang:2-arachidonoylglycerophosphoethanolamine*,OV:2-arachidonoylglycerophosphoethanolamine*,PAADHussain1:2-arachidonoylglycerophosphoethanolamine*,PAADHussain2:2-arachidonoylglycerophosphoethanolamine*,PRADLODA:2-arachidonoylglycerophosphoethanolamine*","2-arachidonoylglycerophosphoethanolamine*"
"43","2'-deoxyadenosine 3'-monophosphate","Metabolite 43","KIRC 2'-deoxyadenosine 3'-monophosphate :","2'-deoxyadenosine 3'-monophosphate"
"44","2'-deoxycytidine 3'-monophosphate","Metabolite 44","KIRC 2'-deoxycytidine 3'-monophosphate :","2'-deoxycytidine 3'-monophosphate"
"45","2'-deoxyguanosine","Metabolite 45","KIRC 2'-deoxyguanosine :,BRCA:2'-deoxyguanosine,BRCATang:2'-deoxyguanosine,LGG:2'-deoxyguanosine,OV:2'-deoxyguanosine,PAADHussain1:2'-deoxyguanosine,PAADHussain2:2'-deoxyguanosine","2'-deoxyguanosine"
"46","2'-deoxyinosine","Metabolite 46","KIRC 2'-deoxyinosine :,BRCA:2'-deoxyinosine,BRCATang:2'-deoxyinosine,LGG:2'-deoxyinosine,OV:2'-deoxyinosine,PAADHussain1:2'-deoxyinosine,PAADHussain2:2'-deoxyinosine,PRADLODA:2'-deoxyinosine","2'-deoxyinosine"
"47","2-docosahexaenoylglycerophosphocholine*","Metabolite 47","KIRC 2-docosahexaenoylglycerophosphocholine* :","2-docosahexaenoylglycerophosphocholine*"
"48","2-docosahexaenoylglycerophosphoethanolamine*","Metabolite 48","KIRC 2-docosahexaenoylglycerophosphoethanolamine* :,BRCA:2-docosahexaenoylglycerophosphoethanolamine*,BRCATang:2-docosahexaenoylglycerophosphoethanolamine*,LGG:2-docosahexaenoylglycerophosphoethanolamine*,OV:2-docosahexaenoylglycerophosphoethanolamine*,PRADLODA:2-docosahexaenoylglycerophosphoethanolamine*","2-docosahexaenoylglycerophosphoethanolamine*"
"49","2-docosapentaenoylglycerophosphocholine*","Metabolite 49","KIRC 2-docosapentaenoylglycerophosphocholine* :","2-docosapentaenoylglycerophosphocholine*"
"50","2-docosapentaenoylglycerophosphoethanolamine*","Metabolite 50","KIRC 2-docosapentaenoylglycerophosphoethanolamine* :,BRCA:2-docosapentaenoylglycerophosphoethanolamine*,LGG:2-docosapentaenoylglycerophosphoethanolamine*,OV:2-docosapentaenoylglycerophosphoethanolamine*,PAADHussain2:2-docosapentaenoylglycerophosphoethanolamine*,PRADLODA:2-docosapentaenoylglycerophosphoethanolamine*","2-docosapentaenoylglycerophosphoethanolamine*"
"51","2-eicosatrienoylglycerophosphocholine*","Metabolite 51","KIRC 2-eicosatrienoylglycerophosphocholine* :","2-eicosatrienoylglycerophosphocholine*"
"52","2-ethylhexanoate","Metabolite 52","KIRC 2-ethylhexanoate :,BRCATang:2-ethylhexanoate,PRADLODA:2-ethylhexanoate","2-ethylhexanoate"
"53","2-hydroxyacetaminophen sulfate*","Metabolite 53","KIRC 2-hydroxyacetaminophen sulfate* :,BRCA:2-hydroxyacetaminophen sulfate*,BRCATang:2-hydroxyacetaminophen sulfate*,LGG:2-hydroxyacetaminophen sulfate*,OV:2-hydroxyacetaminophen sulfate*,PAADHussain1:2-hydroxyacetaminophen sulfate*,PRADLODA:2-hydroxyacetaminophen sulfate*","2-hydroxyacetaminophen sulfate*"
"54","2-hydroxybutyrate (ahb)","Metabolite 54","KIRC 2-hydroxybutyrate (ahb) :,BRCA:2-hydroxybutyrate (ahb),BRCATang:2-hydroxybutyrate (ahb),LGG:2-hydroxybutyrate (ahb),OV:2-hydroxybutyrate (ahb),PAADHussain1:2-hydroxybutyrate (ahb),PAADHussain2:2-hydroxybutyrate (ahb),PRAD:2-hydroxybutyrate (ahb),PRADLODA:2-hydroxybutyrate (ahb)","2-hydroxybutyrate (ahb)"
"55","2-hydroxyglutarate","Metabolite 55","KIRC 2-hydroxyglutarate :,BRCA:2-hydroxyglutarate,BRCATang:2-hydroxyglutarate,LGG:2-hydroxyglutarate,OV:2-hydroxyglutarate,PRADLODA:2-hydroxyglutarate","2-hydroxyglutarate"
"56","2-hydroxyhippurate (salicylurate)","Metabolite 56","KIRC 2-hydroxyhippurate (salicylurate) :,BRCA:2-hydroxyhippurate (salicylurate),BRCATang:2-hydroxyhippurate (salicylurate),PRADLODA:2-hydroxyhippurate (salicylurate)","2-hydroxyhippurate (salicylurate)"
"57","2-hydroxyisobutyrate","Metabolite 57","KIRC 2-hydroxyisobutyrate :","2-hydroxyisobutyrate"
"58","2-hydroxypalmitate","Metabolite 58","KIRC 2-hydroxypalmitate :,BRCA:2-hydroxypalmitate,BRCATang:2-hydroxypalmitate,LGG:2-hydroxypalmitate,OV:2-hydroxypalmitate,PAADHussain1:2-hydroxypalmitate,PAADHussain2:2-hydroxypalmitate,PRADLODA:2-hydroxypalmitate","2-hydroxypalmitate"
"59","2-isopropylmalate","Metabolite 59","KIRC 2-isopropylmalate :","2-isopropylmalate"
"60","2-linoleoylglycerol (2-monolinolein)","Metabolite 60","KIRC 2-linoleoylglycerol (2-monolinolein) :,OV:2-linoleoylglycerol (2-monolinolein),PAADHussain1:2-linoleoylglycerol (2-monolinolein),PAADHussain2:2-linoleoylglycerol (2-monolinolein)","2-linoleoylglycerol (2-monolinolein)"
"61","2-linoleoylglycerophosphocholine*","Metabolite 61","KIRC 2-linoleoylglycerophosphocholine* :,BRCA:2-linoleoylglycerophosphocholine*,BRCATang:2-linoleoylglycerophosphocholine*,OV:2-linoleoylglycerophosphocholine*,PAADHussain1:2-linoleoylglycerophosphocholine*,PAADHussain2:2-linoleoylglycerophosphocholine*,PRADLODA:2-linoleoylglycerophosphocholine*","2-linoleoylglycerophosphocholine*"
"62","2-linoleoylglycerophosphoethanolamine*","Metabolite 62","KIRC 2-linoleoylglycerophosphoethanolamine* :,BRCA:2-linoleoylglycerophosphoethanolamine*,BRCATang:2-linoleoylglycerophosphoethanolamine*,OV:2-linoleoylglycerophosphoethanolamine*,PAADHussain2:2-linoleoylglycerophosphoethanolamine*","2-linoleoylglycerophosphoethanolamine*"
"63","2-methoxyacetaminophen sulfate*","Metabolite 63","KIRC 2-methoxyacetaminophen sulfate* :,BRCA:2-methoxyacetaminophen sulfate*,BRCATang:2-methoxyacetaminophen sulfate*,OV:2-methoxyacetaminophen sulfate*,PAADHussain1:2-methoxyacetaminophen sulfate*,PRADLODA:2-methoxyacetaminophen sulfate*","2-methoxyacetaminophen sulfate*"
"64","2-methylbutyrylcarnitine (c5)","Metabolite 64","KIRC 2-methylbutyrylcarnitine (c5) :","2-methylbutyroylcarnitine"
"65","2-myristoylglycerophosphocholine*","Metabolite 65","KIRC 2-myristoylglycerophosphocholine* :,BRCA:2-myristoylglycerophosphocholine*,BRCATang:2-myristoylglycerophosphocholine*","2-myristoylglycerophosphocholine*"
"66","2-oleoylglycerol (2-monoolein)","Metabolite 66","KIRC 2-oleoylglycerol (2-monoolein) :,BRCA:2-oleoylglycerol (2-monoolein),OV:2-oleoylglycerol (2-monoolein),PAADHussain1:2-oleoylglycerol (2-monoolein),PAADHussain2:2-oleoylglycerol (2-monoolein)","2-oleoylglycerol (2-monoolein)"
"67","2-oleoylglycerophosphocholine*","Metabolite 67","KIRC 2-oleoylglycerophosphocholine* :,BRCA:2-oleoylglycerophosphocholine*,BRCATang:2-oleoylglycerophosphocholine*,OV:2-oleoylglycerophosphocholine*,PAADHussain1:2-oleoylglycerophosphocholine*,PAADHussain2:2-oleoylglycerophosphocholine*,PRADLODA:2-oleoylglycerophosphocholine*","2-oleoylglycerophosphocholine*"
"68","2-oleoylglycerophosphoethanolamine*","Metabolite 68","KIRC 2-oleoylglycerophosphoethanolamine* :,BRCA:2-oleoylglycerophosphoethanolamine*,BRCATang:2-oleoylglycerophosphoethanolamine*,OV:2-oleoylglycerophosphoethanolamine*,PAADHussain1:2-oleoylglycerophosphoethanolamine*,PAADHussain2:2-oleoylglycerophosphoethanolamine*,PRADLODA:2-oleoylglycerophosphoethanolamine*","2-oleoylglycerophosphoethanolamine*"
"69","2-oleoylglycerophosphoserine*","Metabolite 69","KIRC 2-oleoylglycerophosphoserine* :","2-oleoylglycerophosphoserine*"
"70","2-palmitoleoylglycerophosphocholine*","Metabolite 70","KIRC 2-palmitoleoylglycerophosphocholine* :,BRCA:2-palmitoleoylglycerophosphocholine*,BRCATang:2-palmitoleoylglycerophosphocholine*","2-palmitoleoylglycerophosphocholine*"
"71","2-palmitoylglycerol (2-monopalmitin)","Metabolite 71","KIRC 2-palmitoylglycerol (2-monopalmitin) :,BRCA:2-palmitoylglycerol (2-monopalmitin),BRCATang:2-palmitoylglycerol (2-monopalmitin),OV:2-palmitoylglycerol (2-monopalmitin),PAADHussain1:2-palmitoylglycerol (2-monopalmitin),PAADHussain2:2-palmitoylglycerol (2-monopalmitin),PRADLODA:2-palmitoylglycerol (2-monopalmitin)","2-palmitoylglycerol (2-monopalmitin)"
"72","2-palmitoylglycerophosphocholine*","Metabolite 72","KIRC 2-palmitoylglycerophosphocholine* :,BRCA:2-palmitoylglycerophosphocholine*,BRCATang:2-palmitoylglycerophosphocholine*,OV:2-palmitoylglycerophosphocholine*,PAADHussain1:2-palmitoylglycerophosphocholine*,PAADHussain2:2-palmitoylglycerophosphocholine*,PRADLODA:2-palmitoylglycerophosphocholine*","2-palmitoylglycerophosphocholine*"
"73","2-palmitoylglycerophosphoethanolamine*","Metabolite 73","KIRC 2-palmitoylglycerophosphoethanolamine* :,BRCATang:2-palmitoylglycerophosphoethanolamine*,OV:2-palmitoylglycerophosphoethanolamine*,PAADHussain1:2-palmitoylglycerophosphoethanolamine*,PAADHussain2:2-palmitoylglycerophosphoethanolamine*,PRADLODA:2-palmitoylglycerophosphoethanolamine*","2-palmitoylglycerophosphoethanolamine*"
"74","2-phosphoglycerate","Metabolite 74","KIRC 2-phosphoglycerate :,OV:2-phosphoglycerate,PAADHussain1:2-phosphoglycerate","2-phosphoglycerate"
"75","2-stearoylglycerophosphocholine*","Metabolite 75","KIRC 2-stearoylglycerophosphocholine* :,BRCATang:2-stearoylglycerophosphocholine*,PAADHussain1:2-stearoylglycerophosphocholine*,PAADHussain2:2-stearoylglycerophosphocholine*","2-stearoylglycerophosphocholine*"
"76","2-stearoylglycerophosphoethanolamine*","Metabolite 76","KIRC 2-stearoylglycerophosphoethanolamine* :","2-stearoylglycerophosphoethanolamine*"
"77","3-(4-hydroxyphenyl)lactate","Metabolite 77","KIRC 3-(4-hydroxyphenyl)lactate :,BRCA:3-(4-hydroxyphenyl)lactate,BRCATang:3-(4-hydroxyphenyl)lactate,OV:3-(4-hydroxyphenyl)lactate,PAADHussain1:3-(4-hydroxyphenyl)lactate,PAADHussain2:3-(4-hydroxyphenyl)lactate,PRADLODA:3-(4-hydroxyphenyl)lactate","3-(4-hydroxyphenyl)lactate"
"78","3-(cystein-s-yl)acetaminophen*","Metabolite 78","KIRC 3-(cystein-s-yl)acetaminophen* :,BRCATang:3-(cystein-s-yl)acetaminophen*,OV:3-(cystein-s-yl)acetaminophen*,PAADHussain1:3-(cystein-s-yl)acetaminophen*,PRADLODA:3-(cystein-s-yl)acetaminophen*","3-(cystein-s-yl)acetaminophen*"
"79","3-(n-acetyl-l-cystein-s-yl) acetaminophen*","Metabolite 79","KIRC 3-(n-acetyl-l-cystein-s-yl) acetaminophen* :","3-(n-acetyl-l-cystein-s-yl) acetaminophen*"
"80","3,4-dihydroxyphenethyleneglycol","Metabolite 80","KIRC 3,4-dihydroxyphenethyleneglycol :","3,4-dihydroxyphenethyleneglycol"
"81","3-aminoisobutyrate","Metabolite 81","KIRC 3-aminoisobutyrate :,BRCA:3-aminoisobutyrate,BRCATang:3-aminoisobutyrate,LGG:3-aminoisobutyrate,OV:3-aminoisobutyrate,PAADHussain2:3-aminoisobutyrate,PRADLODA:3-aminoisobutyrate","3-aminoisobutyrate"
"82","3-carboxy-4-methyl-5-propyl-2-furanpropanoate (cmpf)","Metabolite 82","KIRC 3-carboxy-4-methyl-5-propyl-2-furanpropanoate (cmpf) :,BRCA:3-carboxy-4-methyl-5-propyl-2-furanpropanoate (cmpf),BRCATang:3-carboxy-4-methyl-5-propyl-2-furanpropanoate (cmpf),LGG:3-carboxy-4-methyl-5-propyl-2-furanpropanoate (cmpf),OV:3-carboxy-4-methyl-5-propyl-2-furanpropanoate (cmpf),PAADHussain1:3-carboxy-4-methyl-5-propyl-2-furanpropanoate (cmpf),PAADHussain2:3-carboxy-4-methyl-5-propyl-2-furanpropanoate (cmpf),PRADLODA:3-carboxy-4-methyl-5-propyl-2-furanpropanoate (cmpf)","3-carboxy-4-methyl-5-propyl-2-furanpropanoate (cmpf)"
"83","3-dehydrocarnitine*","Metabolite 83","KIRC 3-dehydrocarnitine* :,BRCA:3-dehydrocarnitine*,BRCATang:3-dehydrocarnitine*,LGG:3-dehydrocarnitine*,OV:3-dehydrocarnitine*,PAADHussain1:3-dehydrocarnitine*,PAADHussain2:3-dehydrocarnitine*,PRADLODA:3-dehydrocarnitine*","3-dehydrocarnitine*"
"84","3'-dephosphocoenzyme a","Metabolite 84","KIRC 3'-dephosphocoenzyme a :,BRCATang:3'-dephosphocoenzyme a,PAADHussain2:3'-dephosphocoenzyme a,PRADLODA:3'-dephosphocoenzyme a","3'-dephosphocoenzyme a"
"85","3-hydroxybutyrate (bhba)","Metabolite 85","KIRC 3-hydroxybutyrate (bhba) :,BRCA:3-hydroxybutyrate (bhba),BRCATang:3-hydroxybutyrate (bhba),LGG:3-hydroxybutyrate (bhba),OV:3-hydroxybutyrate (bhba),PAADHussain1:3-hydroxybutyrate (bhba),PAADHussain2:3-hydroxybutyrate (bhba),PRADLODA:3-hydroxybutyrate (bhba)","3-hydroxybutyrate (bhba)"
