"","PubChem.CID","KEGG","Human.Metabolome.Database","ChEBI"
"glycerophosphorylcholine (gpc)","657272|439285|58381695|71920","C00670|D07349","HMDB00086","CHEBI:30909|CHEBI:55397|CHEBI:64483|CHEBI:64539|CHEBI:64540|CHEBI:64541|CHEBI:64544|CHEBI:64563|CHEBI:64565|CHEBI:64566|CHEBI:64567|CHEBI:64568|CHEBI:67053|CHEBI:67054|CHEBI:67055|CHEBI:67056|CHEBI:67057|CHEBI:67058|CHEBI:67059|CHEBI:67060|CHEBI:67061|CHEBI:67064|CHEBI:67065|CHEBI:67066|CHEBI:67067|CHEBI:67068|CHEBI:67069|CHEBI:67070|CHEBI:67071|CHEBI:67073|CHEBI:67074|CHEBI:67075|CHEBI:67076|CHEBI:67077|CHEBI:67082|CHEBI:67083|CHEBI:67084|CHEBI:67085|CHEBI:67086|CHEBI:67087|CHEBI:67088|CHEBI:68489|CHEBI:72736|CHEBI:72737|CHEBI:74349|CHEBI:76083|CHEBI:16870"
"glycine","750|5257127","C00037|D00011","HMDB00123","CHEBI:15428|CHEBI:15705|CHEBI:16228|CHEBI:57305|CHEBI:59869|CHEBI:59871|CHEBI:62031|CHEBI:66884|CHEBI:66933"
"glycocholate (gca)","","C01921","",""
"guanine","764","C00242","HMDB00132","CHEBI:16235"
"guanosine","6802","C00387","HMDB00133","CHEBI:16750"
"heptadecanoate (margarate; 17:0)","10465",NA,"HMDB02259","CHEBI:32365"
"hexanoylcarnitine (c6 ac)","6426853|8892","C01585","HMDB00705|HMDB00535","CHEBI:70749|CHEBI:30776"
"hippurate (benzoylglycine)","464","C01586","HMDB00714","CHEBI:18089"
"histamine","774|156615","C00388|D08040","HMDB00870","CHEBI:18295|CHEBI:73337"
"histidine","6274|6971009","C00135|D00032","HMDB00177","CHEBI:15971|CHEBI:57595"
"histidinol","","","",""
"homocysteine","6971015|91552|49791978|778","C00155|C05330","HMDB00742","CHEBI:17588|CHEBI:58199|CHEBI:17230|CHEBI:58065"
"homoserine lactone","","","",""
"hydroxyphenylpyruvate","","","",""
"hydroxyproline","6971053|5810","C01157","HMDB00725","CHEBI:18095|CHEBI:58375"
"hypotaurine","107812|25244088","C00519","HMDB00965","CHEBI:16668|CHEBI:57853"
"hypoxanthine","790","C00262","HMDB00157","CHEBI:17368"
"imidazolelactate","","","",""
"indolelactate","92904","C02043","HMDB00671","CHEBI:24813"
"indoxylsulfate","","","",""
"inosine","6021","C00294|D00054","HMDB00195","CHEBI:17596"
"inositol-1-phosphate (i1p)","","","",""
"isobar 1 includes mannose, fructose, glucose, galactose","","","",""
"isobar 17 includes arginine, n-alpha-acetyl-ornithine","","","",""
"isobar 18 includes d-fructose 1-phosphate, beta-d-fructose 6-phosphate","","","",""
"isobar 19 includes d-saccharic acid,1,5-anhydro-d-glucitol","","","",""
"isobar 2 includes 2-aminoisobutyric acid,3-amino-isobutyrate","","","",""
"isobar 21 includes gamma-aminobutyryl-l-histidine, l-anserine","","","",""
"isobar 22 includes glutamic acid, o-acetyl-l-serine","","","",""
"isobar 24 includes l-arabitol, adonitol","","","",""
"isobar 28 includes l-threonine, l-allothreonine, l-homoserine","","","",""
"isobar 29 includes r,s-hydroorotic acid, 5,6-dihydroorotic acid","","","",""
"isobar 3 includes inositol 1-phosphate, mannose 6-phosphate","","","",""
"isobar 30 includes maltotetraose, stachyose","","","",""
"isobar 31 includes 1-kestose,maltotriose, melezitose","","","",""
"isobar 32 includes n-acetyl-d-glucosamine, n-acetyl-d-mannosamin","","","",""
"isobar 35 includes d-arabinose 5-phosphate, d-ribulose 5-phosphate","","","",""
"isobar 4 includes gluconic acid, dl-arabinose, d-ribose, l-xylose","","","",""
"isobar 40 includes maltotetraose, stachyose","","","",""
"isobar 6 includes valine, betaine","","","",""
"isobar glycochenodeoxycholic acid/glycodeoxycholic acid","","","",""
"isoleucine","6306|7043901","C00407|D00065","HMDB00172","CHEBI:17191|CHEBI:58045"
"kynurenate","","","",""
"kynurenine","161166|6971029","C00328","HMDB00684","CHEBI:16946|CHEBI:57959"
"lactate","107689","C00186","HMDB00190","CHEBI:422"
"laurate (12:0)","3893","C02679","HMDB00638","CHEBI:30805"
"leucine","6106|7045798","C00123|D00030","HMDB00687","CHEBI:15603|CHEBI:57427"
"linoleate (18:2n6)","5280450","C01595","HMDB00673","CHEBI:17351"
"lysine","5962","C00047|D02304","HMDB00182","CHEBI:18019"
"malate","222656","C00149","HMDB00156","CHEBI:30797"
"mannose","18950","C00159","HMDB00169","CHEBI:4208"
"mannose-6-phosphate","65127|439198","C00275","HMDB01078","CHEBI:48066|CHEBI:49728"
"methionine","6137|6992087","C00073|D00019","HMDB00696","CHEBI:16643|CHEBI:57844"
"methylglutarate","","","",""
"myo-inositol","","C00137|D08079","HMDB00211","CHEBI:17268"
"myristate (14:0)","11005","C06424","HMDB00806","CHEBI:28875"
"n-6-trimethyllysine","159659|440120","C03793","HMDB01325",""
"n-acetylaspartate (naa)","65065","C01042","HMDB00812","CHEBI:21547"
"n-acetylgalactosamine","","","",""
"n-acetylglucosamine","24139|11861101","C03878","HMDB00215|HMDB00803","CHEBI:17029|CHEBI:28009|CHEBI:61631"
"n-acetylglucosaminylamine","","","",""
"n-acetylneuraminate","439197|445063","C00270|C19910","HMDB00230","CHEBI:17012|CHEBI:45744"
"n-carbamoylaspartate","","","",""
"nicotinamide","936","C00153|D00036","HMDB01406","CHEBI:17154"
"nicotinamide adenine dinucleotide (nad+)","5893","C00003|D00002","HMDB00902","CHEBI:15846"
"nicotinamide ribonucleotide (nmn)","14180","C00455","HMDB00229","CHEBI:16171"
"octadecanoic acid","","","",""
"ofloxacin","","","",""
"oleate (18:1n9)","445639","C00712|D02315","HMDB00207|HMDB00573","CHEBI:16196"
"ornithine","6262|71082","C00077|D08302|C00515","HMDB03374|HMDB00214","CHEBI:15729|CHEBI:16176"
"orotidine-5'-phosphate","","","",""
"orthophosphate (pi)","","","",""
"oxalate (ethanedioate)","","","",""
"oxoproline","","","",""
"palmitate (16:0)","985","C00249|D05341","HMDB00220","CHEBI:15756"
"palmitoleate (16:1n7)","445638","C08362","HMDB03229","CHEBI:28716"
"pantothenate","6613|988","C00864|D07413","HMDB00210","CHEBI:46905|CHEBI:7916"
"paraxanthine","","","",""
"phenylalanine","6925665|6140","C00079|D00021","HMDB00159","CHEBI:17295|CHEBI:58095"
"phosphoenolpyruvate (pep","1005|58114173|59658623","C00074","HMDB00263","CHEBI:44897"
"phosphoethanolamine","1015|5232324","C00346","HMDB00224","CHEBI:17553"
"phosphoserine","","","",""
"p-hydroxyphenylacetate (hpa)","","","",""
"p-hydroxyphenyllactate (hpla)","","","",""
"picolinate","","","",""
"pipecolate","439227|6931663|25200477|849","C00408","HMDB00070|HMDB00716","CHEBI:30913|CHEBI:46876|CHEBI:61185|CHEBI:17964"
"proline","145742|6971047","C00148|D00035","HMDB00162","CHEBI:17203|CHEBI:60039"
"putrescine","1045","C00134|C02896","HMDB01414","CHEBI:17148"
"pyridoxamine","","","",""
"pyrophosphate (ppi)","1023|21961011|644102","C00013","HMDB00250","CHEBI:29888|CHEBI:16838|CHEBI:18361"
"quinolinate","1066","C03722","HMDB00232","CHEBI:16675"
"riboflavin (vitamin b2)","493570","C00255|D00050","HMDB00244","CHEBI:17015"
"ribose","5779","C00121","HMDB00283","CHEBI:47013"
"s-adenosylhomocysteine (sah)","25246222|439155","C00021","HMDB00939","CHEBI:16680|CHEBI:57856"
"s-adenosylmethionine (sam)","34755|25791610|16757548","C00019","HMDB01185","CHEBI:67040"
"sarcosine (n-methylglycine)","7311726|1088","C00213","HMDB00271","CHEBI:15611|CHEBI:57433"
"serine","5951|6857581|6857549|71077","C00065|D00016|C00740","HMDB03406|HMDB00187","CHEBI:17115|CHEBI:33384|CHEBI:16523|CHEBI:35247"
"sorbitol","5780","C00794|D00096","HMDB00247","CHEBI:17924"
"spermidine","1102","C00315","HMDB01257","CHEBI:16610"
"spermine","1103","C00750","HMDB01256","CHEBI:15746"
"suberate (octanedioate)","","","",""
"succinate","1110|21952380","C00042","HMDB00254","CHEBI:15741"
"sucrose/maltose","","","",""
"tartarate","444305","C00898|D00103","HMDB00956","CHEBI:15671"
"taurine","1123|4068592","C00245|D00047","HMDB00251","CHEBI:15891|CHEBI:507393"
"threonine","6971019|6288","C00188|D00041","HMDB00167","CHEBI:16857|CHEBI:57926"
"thymine","1135","C00178","HMDB00262","CHEBI:17821"
"thyroxine","","","",""
"topiramate","","","",""
"trans-2, 3, 4-trimethoxycinnamate","","","",""
"tryptophan","6923516|6305","C00078|D00020","HMDB00929","CHEBI:16828|CHEBI:57912"
"tyrosine","6057|6942100","C00082|D00022","HMDB00158","CHEBI:17895|CHEBI:58315"
"udp-n-acetylmuraminate (udp-murnac)","","","",""
"uracil","1174","C00106|D00027","HMDB00300","CHEBI:17568"
"urate","1175","C00366","HMDB00289","CHEBI:17775|CHEBI:46811|CHEBI:46814|CHEBI:46817|CHEBI:46823|CHEBI:62589"
"urea","1176","C00086|D00023","HMDB00294","CHEBI:16199|CHEBI:48376"
"uridine","6029","C00299","HMDB00296","CHEBI:16704"
"valine","6971018|6287","C00183|D00039","HMDB00883","CHEBI:16414|CHEBI:57762"
"xanthine","1188","C00385","HMDB00292","CHEBI:17712|CHEBI:48517"
"xanthosine","64959","C01762","HMDB00299","CHEBI:18107"
"xylitol","827","C00379|D00061","HMDB00568","CHEBI:17151"
