"","PubChem.CID","KEGG","Human.Metabolome.Database","ChEBI"
"nicotinamide","936","C00153|D00036|C00153","HMDB01406","CHEBI:17154"
"ornithine","6262|71082","C00077|D08302|C00515","HMDB03374|HMDB00214",NA
"pantothenate","6613|988|988","C00864|D07413","HMDB00210","CHEBI:7916"
"phenylalanine","6925665|6140|6140|6925665","C00079|D00021|C00079","HMDB00159","CHEBI:17295|CHEBI:58095"
"phosphoenolpyruvate","1005|58114173|59658623","C00074","HMDB00263","CHEBI:44897"
"proline","145742|6971047|145742|6971047","C00148|D00035|C00148","HMDB00162","CHEBI:17203|CHEBI:60039"
"pyruvate","1060","C00022","HMDB00243","CHEBI:32816"
"s-adenosyl-l-homocysteine","25246222|439155","C00021","HMDB00939","CHEBI:16680|CHEBI:57856"
"s-adenosyl-l-methionine","34755","C00019",NA,"CHEBI:67040"
"serine","5951|6857581|6857549|71077","C00065|D00016|C00740","HMDB03406|HMDB00187",NA
"shikimate-3-phosphate","121947","C03175",NA,"CHEBI:17052"
"sn-glycerol-3-phosphate","439162","C00093","HMDB00126","CHEBI:15978|CHEBI:17106"
"succinate","1110|21952380|1110|21952380","C00042","HMDB00254","CHEBI:15741"
"taurine","1123|4068592|1123|4068592","C00245|D00047|C00245","HMDB00251","CHEBI:15891|CHEBI:507393"
"threonine","6971019|6288|6288|6971019","C00188|D00041|C00188","HMDB00167","CHEBI:16857|CHEBI:57926"
"thymine","1135","C00178","HMDB00262","CHEBI:17821"
"trehalose/sucrose",NA,NA,NA,NA
"tryptophan","6923516|6305|6305|6923516","C00078|D00020|C00078","HMDB00929","CHEBI:16828|CHEBI:57912"
"tyrosine","6057|6942100|6057|6942100","C00082|D00022|C00082","HMDB00158","CHEBI:17895|CHEBI:58315"
"udp","6031","C00015","HMDB00295","CHEBI:17659"
"udp-d-glucose","8629","C00029",NA,"CHEBI:52249"
"udp-d-glucuronate","17473","C00167","HMDB00935","CHEBI:17200"
"udp-n-acetyl-glucosamine","445675","C00043","HMDB00290","CHEBI:16264"
"ump","6030","C00105","HMDB00288","CHEBI:16695"
"uracil","1174","C00106|D00027|C00106","HMDB00300","CHEBI:17568"
"urea","1176","C00086|D00023|C00086","HMDB00294","CHEBI:16199|CHEBI:48376"
"uric acid","1175","C00366","HMDB00289","CHEBI:17775|CHEBI:46811|CHEBI:46814|CHEBI:46817|CHEBI:46823|CHEBI:62589"
"uridine","6029","C00299","HMDB00296","CHEBI:16704"
"utp","6133","C00075","HMDB00285","CHEBI:15713"
"valine","6971018|6287|6287|6971018","C00183|D00039|C00183","HMDB00883","CHEBI:16414|CHEBI:57762"
"xanthine","1188","C00385","HMDB00292","CHEBI:17712|CHEBI:48517"
"xanthosine","64959","C01762","HMDB00299","CHEBI:18107"
