"","PubChem.CID","KEGG","Human.Metabolome.Database","ChEBI"
"ascorbate (vitamin c)","54670067","C00072|D00018","HMDB00044","CHEBI:29073"
"asparagine","6992089|6267","C00152","HMDB00168","CHEBI:17196|CHEBI:58048"
"aspartate","44367445|5960","C00049|D00013","HMDB00191","CHEBI:17053"
"aspartylphenylalanine","93078",NA,"HMDB00706","CHEBI:73830"
"behenate (22:0)","8215","C08281","HMDB00944","CHEBI:28941"
"beta-alanine","4755801|239","C00099|D07561","HMDB00056","CHEBI:16958|CHEBI:57966"
"beta-tocopherol","8989|6857447","C14152","HMDB06335","CHEBI:47771"
"betaine","247","C00719|D07523","HMDB00043","CHEBI:17750"
"bilirubin (e,e)*",NA,NA,NA,NA
"butyrylcarnitine","439829","C02862","HMDB02013","CHEBI:7676"
"c-glycosyltryptophan*",NA,NA,NA,NA
"caproate (6:0)","8892","C01585","HMDB00535","CHEBI:30776"
"carnitine","85|2724480","C00487|C15025","HMDB00062","CHEBI:3424|CHEBI:11060"
"catechol sulfate","289","C00090|C01785|C15571","HMDB00957","CHEBI:18135"
"cholesterol","5997|11025495","C00187|D00040","HMDB00067","CHEBI:16113"
"choline","305","C00114|D07690","HMDB00097","CHEBI:15354"
"choline phosphate","1014","C00588","HMDB01565","CHEBI:18132"
"cis-vaccenate (18:1n7)","5281127","C08367",NA,"CHEBI:28727|CHEBI:36023"
"citrate","311|19782904","C00158|D00037","HMDB00094","CHEBI:30769"
"citrulline","9750|6992098","C00327|D07706","HMDB00904","CHEBI:16349|CHEBI:57743"
"conjugated linoleate (18:2n7; 9z,11e)","5280644|5282796|5351472","C04056","HMDB05047|HMDB03797|HMDB05048","CHEBI:32798|CHEBI:36025"
"cortisol","5754|657311","C00735|D00088","HMDB00063","CHEBI:17650"
"creatine","59098743|586","C00300","HMDB00064","CHEBI:16919|CHEBI:57947"
"creatinine","588","C00791|D03600","HMDB00562","CHEBI:16737"
"cystathionine","25243997|439258","C02291","HMDB00099","CHEBI:17482|CHEBI:58161"
"cysteine","5862|6419722","C00097|D00026","HMDB00574","CHEBI:17561|CHEBI:35235|CHEBI:47910|CHEBI:58717|CHEBI:61894"
"cysteine-glutathione disulfide","53477713",NA,"HMDB00656",NA
"cystine","6992103|67678","C00491|D03636","HMDB00192","CHEBI:16283|CHEBI:35491"
"cytidine","6175","C00475|D07769","HMDB00089","CHEBI:17562"
"cytidine 5'-diphosphocholine","13804|11583971","C00307|D00057","HMDB01413","CHEBI:16436"
"cytidine 5'-monophosphate (5'-cmp)","6131","C00055","HMDB00095","CHEBI:17361"
"dehydroisoandrosterone sulfate (dhea-s)","12594","C04555","HMDB01032","CHEBI:16814"
"deoxycarnitine","134","C01181","HMDB01161","CHEBI:1941"
"desmethylnaproxen sulfate*",NA,NA,NA,NA
"dihomo-linoleate (20:2n6)",NA,NA,NA,NA
"dihomo-linolenate (20:3n3 or n6)","5280581","C03242","HMDB02925","CHEBI:53486"
"dimethylarginine (sdma + adma)","123831|51351707|169148","C03626","HMDB01539|HMDB03334","CHEBI:17929|CHEBI:25682|CHEBI:61914"
"docosadienoate (22:2n6)",NA,NA,NA,NA
"docosahexaenoate (dha; 22:6n3)","445580","C06429","HMDB02183","CHEBI:28125"
"docosapentaenoate (n3 dpa; 22:5n3)","5497182|6441454","C16513","HMDB01976|HMDB06528|HMDB13123","CHEBI:53488|CHEBI:65136"
"docosatrienoate (22:3n3)","5312556|5312557","C16534","HMDB02823",NA
"eicosapentaenoate (epa; 20:5n3)","446284","C06428|D08061","HMDB01999","CHEBI:28364"
"eicosenoate (20:1n9 or 11)","5282768","C16526","HMDB02231","CHEBI:32425"
"epiandrosterone sulfate","441302","C07635",NA,"CHEBI:541975"
"erythronate*","5460407|2781043","C01620","HMDB00613","CHEBI:15908|CHEBI:37655"
"ethanolamine","700","C00189|D05074","HMDB00149","CHEBI:16000"
"flavin adenine dinucleotide (fad)","643975","C00016|D00005","HMDB01248","CHEBI:16238"
"fluoxitine","3386","D00326",NA,"CHEBI:5118"
"folate","6037","C00504|D00070","HMDB00121","CHEBI:27470"
"fructose","439163|439709","C00095|C02336","HMDB00660","CHEBI:37721|CHEBI:28645"
"fructose-6-phosphate","440641|69507","C05345","HMDB00124|HMDB03971","CHEBI:16084|CHEBI:15946"
"fucose","17106","C00382|C01019","HMDB00174","CHEBI:2181"
"fumarate","444972|21883788","C00122|D02308","HMDB00134","CHEBI:18012|CHEBI:22958"
"galactose","439357","C01662|C00984|D04291","HMDB00143","CHEBI:28061|CHEBI:46953"
"gamma-aminobutyrate (gaba)","119|6992099","C00334|D00058","HMDB00112","CHEBI:16865|CHEBI:59888"
"gamma-glutamylalanine",NA,NA,NA,NA
"gamma-glutamylglutamate",NA,NA,NA,NA
"gamma-glutamylglutamine",NA,NA,NA,NA
"gamma-glutamylisoleucine*",NA,NA,NA,NA
"gamma-glutamylleucine",NA,NA,NA,NA
"gamma-glutamylmethionine*",NA,NA,NA,NA
"gamma-glutamyltyrosine",NA,NA,NA,NA
"gamma-tocopherol","92729|14986","C02483|D02332","HMDB01492","CHEBI:18185"
"gluconate","10690","C00257","HMDB00625","CHEBI:33198"
"glucose","5793","C00293|C00031|D00009","HMDB00122","CHEBI:4167|CHEBI:75792"
"glucose-6-phosphate (g6p)","439284|5958","C00668|C00092","HMDB01401","CHEBI:17665|CHEBI:4170"
"glucuronate","94715|444791","C00191","HMDB00127","CHEBI:47952|CHEBI:52591|CHEBI:42717|CHEBI:52773"
"glutamate","44272391|33032|23327","C00025|D00007|C00217","HMDB03339|HMDB00148","CHEBI:16015|CHEBI:53374|CHEBI:15966|CHEBI:53375"
"glutamine","6992086|5961","C00064|D00015","HMDB00641","CHEBI:18050|CHEBI:58359"
"glutathione, oxidized (gssg)","11215652|65359|5255796|975","C00127|D00031","HMDB03337","CHEBI:17858"
"glutathione, reduced (gsh)","124886|25246407","C00051|C02471|D00014","HMDB00125","CHEBI:16856|CHEBI:60836"
"glycerate","439194","C00258","HMDB00139","CHEBI:32398"
"glycerol","753","C00116|D00028|D05073","HMDB00131","CHEBI:15850|CHEBI:17522|CHEBI:17754"
"glycerol 2-phosphate","2526","C02979","HMDB02520","CHEBI:17270"
"glycerol 3-phosphate (g3p)","439162","C00093","HMDB00126","CHEBI:15978|CHEBI:17106"
"glycerophosphorylcholine (gpc)",NA,NA,NA,NA
"glycine","750|5257127","C00037|D00011","HMDB00123","CHEBI:15428|CHEBI:15705|CHEBI:16228|CHEBI:57305|CHEBI:59869|CHEBI:59871|CHEBI:62031|CHEBI:66884|CHEBI:66933"
"glycochenodeoxycholate",NA,NA,NA,NA
"glycocholate","10140","C01921",NA,"CHEBI:17687"
"glycodeoxycholate","3035026|22833539","C05464","HMDB00631","CHEBI:27471"
"glycolithocholate sulfate*","443113|53477756","C11301","HMDB02639",NA
"glycylglycine","1548897|11163","C02037","HMDB11733","CHEBI:16670|CHEBI:17201|CHEBI:356445"
"glycylleucine","1548899|92843","C02155","HMDB00759","CHEBI:73514"
"glycylproline","44369312|79101",NA,"HMDB00721",NA
"glycylvaline",NA,NA,NA,NA
"guanine","764","C00242","HMDB00132","CHEBI:16235"
"guanosine","6802","C00387","HMDB00133","CHEBI:16750"
"heme*",NA,"C00032","HMDB03178","CHEBI:17627|CHEBI:26355"
"hexanoylcarnitine","6426853",NA,"HMDB00705","CHEBI:70749"
"hippurate","464","C01586","HMDB00714","CHEBI:18089"
"histamine","774|156615","C00388|D08040","HMDB00870","CHEBI:18295|CHEBI:73337"
"histidine","6274|6971009","C00135|D00032","HMDB00177","CHEBI:15971|CHEBI:57595"
"homocarnosine","10243361","C00884","HMDB00745",NA
"homocysteine","6971015|91552|49791978|778","C00155|C05330","HMDB00742","CHEBI:17588|CHEBI:58199|CHEBI:17230|CHEBI:58065"
"hydroxyisovaleroyl carnitine",NA,NA,NA,NA
"hypoxanthine","790","C00262","HMDB00157","CHEBI:17368"
"ibuprofen","3672","C01588|D00126","HMDB01925","CHEBI:5855"
"inosine","6021","C00294|D00054","HMDB00195","CHEBI:17596"
"inositol 1-phosphate (i1p)",NA,"C01177|C04006","HMDB02985|HMDB00213","CHEBI:18297|CHEBI:64838|CHEBI:18169"
"isobar: fructose 1,6-diphosphate, glucose 1,6-diphosphate",NA,NA,NA,NA
"isobar: ribulose 5-phosphate, xylulose 5-phosphate",NA,NA,NA,NA
"isobutyrylcarnitine","10177002",NA,"HMDB00736","CHEBI:73017"
"isoleucine","6306|7043901","C00407|D00065","HMDB00172","CHEBI:17191|CHEBI:58045"
"isovalerylcarnitine","6426851",NA,"HMDB00688",NA
"kynurenine","161166|6971029","C00328","HMDB00684","CHEBI:16946|CHEBI:57959"
"lactate","107689","C00186","HMDB00190","CHEBI:422"
"laurate (12:0)","3893","C02679","HMDB00638","CHEBI:30805"
"laurylcarnitine",NA,NA,NA,NA
"leucine","6106|7045798","C00123|D00030","HMDB00687","CHEBI:15603|CHEBI:57427"
"lidocaine","3676","D04052|D00358|C07073",NA,"CHEBI:6456"
"linoleate (18:2n6)","5280450","C01595","HMDB00673","CHEBI:17351"
"linolenate [alpha or gamma; (18:3n3 or 6)]","5280934","C06427","HMDB01388","CHEBI:27432"
"lysine","5962","C00047|D02304","HMDB00182","CHEBI:18019"
"malate","222656","C00149","HMDB00156","CHEBI:30797"
"malonate (propanedioate)","23511544|867","C00383|C02028|C04025","HMDB00691","CHEBI:30794"
"maltopentaose","440949|13489094","C06218","HMDB12254","CHEBI:61952"
"maltose","439186|10991489","C00208|D00044","HMDB00163","CHEBI:17306|CHEBI:47937"
"maltotetraose","439639","C02052","HMDB01296",NA
"maltotriose","439586","C01835","HMDB01262",NA
"mannitol","453|6251","C00392|D00062","HMDB00765","CHEBI:16899"
"mannose","18950","C00159","HMDB00169","CHEBI:4208"
"mannose-6-phosphate","65127|439198","C00275","HMDB01078","CHEBI:48066|CHEBI:49728"
"margarate (17:0)","10465",NA,"HMDB02259","CHEBI:32365"
"methionine","6137|6992087","C00073|D00019","HMDB00696","CHEBI:16643|CHEBI:57844"
"methionine sulfoxide","1548907|158980|25244659|847","C02989","HMDB02005","CHEBI:17016|CHEBI:49033"
"methyl-4-hydroxybenzoate","23663626|7456","D02458|D01400",NA,NA
"methylphosphate",NA,NA,NA,NA
"metoprolol","4171","C07202|D02358","HMDB01932","CHEBI:6904"
"metoprolol acid metabolite*",NA,NA,NA,NA
"myo-inositol",NA,"C00137|D08079","HMDB00211","CHEBI:17268"
"myristate (14:0)","11005","C06424","HMDB00806","CHEBI:28875"
"myristoleate (14:1n5)","5281119","C08322","HMDB02000","CHEBI:27781"
"n-acetyl-aspartyl-glutamate (naag)","71120|5255","C12270","HMDB01067",NA
"n-acetylalanine","88064","C02847","HMDB00766","CHEBI:40992"
"n-acetylaspartate (naa)","65065","C01042","HMDB00812","CHEBI:21547"
"n-acetylglucosamine","24139|11861101","C03878","HMDB00215|HMDB00803","CHEBI:17029|CHEBI:28009|CHEBI:61631"
"n-acetylglucosamine 6-phosphate","440996|439219","C00357","HMDB02817|HMDB01062","CHEBI:15784"
"n-acetylisoleucine",NA,NA,NA,NA
"n-acetylmannosamine","439174","C00140|C02711","HMDB00835","CHEBI:28401|CHEBI:506227"
"n-acetylmethionine","448580|6180","C02712","HMDB11745","CHEBI:21557"
"n-acetylneuraminate","439197|445063","C00270|C19910","HMDB00230","CHEBI:17012|CHEBI:45744"
"n-acetylornithine","439232|6992102","C00437","HMDB03357","CHEBI:16543|CHEBI:57805"
"n-acetylserine","65249",NA,"HMDB02931",NA
"n-acetylthreonine",NA,NA,NA,NA
"n-acetyltryptophan","439917","C03137",NA,"CHEBI:16734"
"n-ethylglycinexylidide*",NA,NA,NA,NA
"n-formylmethionine","439750|6995182","C03145","HMDB01015","CHEBI:16552"
"n1-methyladenosine","27476","C02494","HMDB03331","CHEBI:16020"
"n1-methylguanosine","96373",NA,"HMDB01563","CHEBI:19062"
"n2,n2-dimethylguanosine","92919",NA,"HMDB04824","CHEBI:19289"
"n6-acetyllysine","6991978|92832","C02727","HMDB00206","CHEBI:17752|CHEBI:58260"
"naproxen","156391","C01517|D00118","HMDB01923","CHEBI:7476"
"nicotinamide","936","C00153|D00036","HMDB01406","CHEBI:17154"
"nicotinamide adenine dinucleotide (nad+)","5893","C00003|D00002","HMDB00902","CHEBI:15846"
"nicotinate","938","C00253|D00049","HMDB01488","CHEBI:15940"
"octanoylcarnitine",NA,NA,NA,NA
"oleate (18:1n9)","445639","C00712|D02315","HMDB00207|HMDB00573","CHEBI:16196"
"oleoylcarnitine",NA,NA,NA,NA
"ophthalmate","7018721",NA,"HMDB05765",NA
"ornithine","6262|71082","C00077|D08302|C00515","HMDB03374|HMDB00214","CHEBI:15729|CHEBI:16176"
"p-acetamidophenylglucuronide",NA,NA,NA,NA
"p-cresol sulfate","2879","C01468","HMDB01858","CHEBI:17847"
"palmitate (16:0)","985","C00249|D05341","HMDB00220","CHEBI:15756"
"palmitoleate (16:1n7)","445638","C08362","HMDB03229","CHEBI:28716"
"palmitoylcarnitine","11953816","C02990","HMDB00222",NA
"pantothenate","6613|988","C00864|D07413","HMDB00210","CHEBI:46905|CHEBI:7916"
"phenol red","4766","C12600|D01200",NA,"CHEBI:31991"
"phenol sulfate","74426","C02180|C00850",NA,"CHEBI:27905"
"phenylacetylglutamine","92258","C05597|C04148","HMDB06344","CHEBI:17884"
"phenylacetylglycine","68144","C05598","HMDB00821","CHEBI:27480"
"phenylalanine","6925665|6140","C00079|D00021","HMDB00159","CHEBI:17295|CHEBI:58095"
"phenyllactate (pla)","643327|3848","C05607","HMDB00779|HMDB00748","CHEBI:32978|CHEBI:25998"
"phenylpyruvate","997","C00166","HMDB00205","CHEBI:30851"
"phosphate","1004|22486802|1061","C00009|D05467","HMDB01429|HMDB02142","CHEBI:26078|CHEBI:52641|CHEBI:7794|CHEBI:18367"
"phosphoenolpyruvate (pep)","58114173|59658623|1005","C00074","HMDB00263","CHEBI:44897"
"phosphoethanolamine","1015|5232324","C00346","HMDB00224","CHEBI:17553"
"phytosphingosine","122121","C12144","HMDB04610","CHEBI:46961"
"pipecolate","439227|6931663|25200477|849","C00408","HMDB00070|HMDB00716","CHEBI:30913|CHEBI:46876|CHEBI:61185|CHEBI:17964"
"pregn steroid monosulfate*",NA,NA,NA,NA
"pregnen-diol disulfate*",NA,NA,NA,NA
"proline","145742|6971047","C00148|D00035","HMDB00162","CHEBI:17203|CHEBI:60039"
"propionylcarnitine","107738","C03017","HMDB00824","CHEBI:28867"
"pseudouridine","15047","C02067","HMDB00767","CHEBI:17802"
"putrescine","1045","C00134|C02896","HMDB01414","CHEBI:17148"
"pyridoxate","6723","C00847","HMDB00017","CHEBI:17405"
"pyridoxine (vitamin b6)","1054","C00314|D08454","HMDB02075|HMDB00239","CHEBI:16709"
"pyroglutamine*",NA,NA,NA,NA
"pyroglutamylvaline",NA,NA,NA,NA
"pyrophosphate (ppi)","1023|21961011|644102","C00013","HMDB00250","CHEBI:29888|CHEBI:16838|CHEBI:18361"
"pyruvate","1060","C00022","HMDB00243","CHEBI:32816"
"quinolinate","1066","C03722","HMDB00232","CHEBI:16675"
"ribitol",NA,"C00474","HMDB00508","CHEBI:15963"
"riboflavin (vitamin b2)","493570","C00255|D00050","HMDB00244","CHEBI:17015"
"ribose","5779","C00121","HMDB00283","CHEBI:47013"
"ribulose","441482|439203|439204|439205|439245|151261","C08354|C00309|C00310|C00312|C00508","HMDB00621|HMDB03371","CHEBI:28552|CHEBI:17173"
"s-adenosylhomocysteine (sah)","25246222|439155","C00021","HMDB00939","CHEBI:16680|CHEBI:57856"
"s-adenosylmethionine (sam)","34755|25791610|16757548","C00019","HMDB01185","CHEBI:67040"
"salicylate","338","C00805|D00097","HMDB01895","CHEBI:16914"
"sarcosine (n-methylglycine)","7311726|1088","C00213","HMDB00271","CHEBI:15611|CHEBI:57433"
"scyllo-inositol",NA,"C06153","HMDB06088","CHEBI:10642|CHEBI:23927"
"sebacate (decanedioate)","5192","C08277","HMDB00792","CHEBI:41865"
"sedoheptulose-7-phosphate","165007|22833559","C05382","HMDB01068","CHEBI:15721"
"serine","5951|6857581|6857549|71077","C00065|D00016|C00740","HMDB03406|HMDB00187","CHEBI:17115|CHEBI:33384|CHEBI:16523|CHEBI:35247"
"sorbitol","5780","C00794|D00096","HMDB00247","CHEBI:17924"
"spermidine","1102","C00315","HMDB01257","CHEBI:16610"
"spermine","1103","C00750","HMDB01256","CHEBI:15746"
"sphinganine","91486","C00836","HMDB00269","CHEBI:16566"
"sphingosine","5280335|5353955","C00319","HMDB00252","CHEBI:16393|CHEBI:26743|CHEBI:46964"
"squalene","638072|11975273","C00751","HMDB00256","CHEBI:15440"
"stachydrine","115244","C10172","HMDB04827","CHEBI:35280"
"stearate (18:0)","5281","C01530|D00119","HMDB00827","CHEBI:28842"
"stearidonate (18:4n3)","5312508","C16300","HMDB06547","CHEBI:32389"
"stearoyl sphingomyelin","5283588","C00550","HMDB01348",NA
"stearoylcarnitine","6426855",NA,"HMDB00848","CHEBI:73074"
"suberylglycine","6453952",NA,"HMDB00953",NA
"succinate","1110|21952380","C00042","HMDB00254","CHEBI:15741"
"succinylcarnitine",NA,NA,NA,NA
"taurine","1123|4068592","C00245|D00047","HMDB00251","CHEBI:15891|CHEBI:507393"
"taurochenodeoxycholate","387316","C05465","HMDB00951","CHEBI:16525"
"taurocholate","53297338|440567","C05122","HMDB00036",NA
"taurolithocholate 3-sulfate","440071","C03642","HMDB02580","CHEBI:17864"
"threonate","5460407|151152","C01620","HMDB00943","CHEBI:15908|CHEBI:49059"
"threonine","6971019|6288","C00188|D00041","HMDB00167","CHEBI:16857|CHEBI:57926"
"thymine","1135","C00178","HMDB00262","CHEBI:17821"
"thymol sulfate","6989","C09908|D01039","HMDB01878","CHEBI:27607"
"trans-4-hydroxyproline","6971053|5810","C01157","HMDB00725","CHEBI:18095|CHEBI:58375"
"tryptophan","6923516|6305","C00078|D00020","HMDB00929","CHEBI:16828|CHEBI:57912"
"tryptophan betaine","442106","C09213",NA,NA
"tyrosine","6057|6942100","C00082|D00022","HMDB00158","CHEBI:17895|CHEBI:58315"
"udp-glucuronate","17473","C00167","HMDB00935","CHEBI:17200"
"uracil","1174","C00106|D00027","HMDB00300","CHEBI:17568"
"urate","1175","C00366","HMDB00289","CHEBI:17775|CHEBI:46811|CHEBI:46814|CHEBI:46817|CHEBI:46823|CHEBI:62589"
"urea","1176","C00086|D00023","HMDB00294","CHEBI:16199|CHEBI:48376"
"uridine","6029","C00299","HMDB00296","CHEBI:16704"
"ursodeoxycholate","31401|13505246","C07880|D00734","HMDB00946","CHEBI:9907"
"valerylcarnitine",NA,NA,NA,NA
"valine","6971018|6287","C00183|D00039","HMDB00883","CHEBI:16414|CHEBI:57762"
"xanthine","1188","C00385","HMDB00292","CHEBI:17712|CHEBI:48517"
"xanthosine","64959","C01762","HMDB00299","CHEBI:18107"
"xylitol","827","C00379|D00061","HMDB00568","CHEBI:17151"
"xylulose","439204|151261","C00310","HMDB00621|HMDB03371","CHEBI:17173"
