"","PubChem.CID","KEGG","Human.Metabolome.Database","ChEBI"
"3-ureidopropionate","111","C02642","HMDB00026","CHEBI:18261"
"4-acetamidophenol","1983","C06804|D00217","HMDB01859","CHEBI:46195"
"4-acetaminophen sulfate","83939|1983","C06804|D00217","HMDB01859","CHEBI:32635|CHEBI:46195"
"4-androsten-3beta,17beta-diol disulfate 1*","10634","C04295|D00179","HMDB03818","CHEBI:2710"
"4-guanidinobutanoate","25200642|500","C01035","HMDB03464","CHEBI:15728|CHEBI:57486"
"4-hydroxybutyrate (ghb)","10413|3037032","C00989|C01991","HMDB00710","CHEBI:30830|CHEBI:16724"
"4-hydroxyglutamate","439902","C03079","HMDB01344","CHEBI:32811"
"4-hydroxyhippurate","151012",NA,NA,"CHEBI:71018"
"4-hydroxyphenylacetate","4693933|127","C00642","HMDB00020","CHEBI:48999|CHEBI:18101"
"4-methyl-2-oxopentanoate","70","C00233","HMDB00695","CHEBI:48430"
"5,6-dihydrouracil","649","C00429","HMDB00076","CHEBI:15901"
"5-aminovalerate","6992101|138","C00431","HMDB03355","CHEBI:15887|CHEBI:356010"
"5-hete","9862886",NA,NA,"CHEBI:60943"
"5-methyltetrahydrofolate (5methf)","9825434|439234","C00440","HMDB01396",NA
"5-methylthioadenosine (mta)","439176","C00170","HMDB01173","CHEBI:17509"
"5-methyluridine (ribothymidine)","445408",NA,"HMDB00884","CHEBI:30821"
"5-oxoete","1831|5283159","C14732","HMDB10217","CHEBI:52449"
"5-oxoproline","7405","C01879","HMDB00267","CHEBI:18183"
"6-keto prostaglandin f1alpha","5280888","C05961","HMDB02886","CHEBI:28158"
"6-phosphogluconate","91493","C00345","HMDB01316","CHEBI:48928"
"6'-sialyllactose","643987","G00265","HMDB06569",NA
"7-alpha-hydroxy-3-oxo-4-cholestenoate (7-hoca)","3081085|53481411","C17337","HMDB12458",NA
"7-alpha-hydroxycholesterol","107722|53477732","C03594","HMDB01496","CHEBI:17500"
"7-beta-hydroxycholesterol","473141|107722","C03594","HMDB06119","CHEBI:42989|CHEBI:17500"
"acetylcarnitine","7045767|439756|1","C02571","HMDB00201","CHEBI:57589|CHEBI:15960"
"ac-ser-asp-lys-pro-oh","4409396",NA,NA,NA
"adenine","190","C00147|D00034","HMDB00034","CHEBI:16708"
"adenosine","60961|32326","C00212|D00045|C07195|D00406","HMDB00050","CHEBI:16335"
"adenosine 2'-monophosphate (2'-amp)","94136|53481006","C00946","HMDB11617","CHEBI:28223"
"adenosine 3'-monophosphate (3'-amp)","15938966|41211","C01367","HMDB03540","CHEBI:60880|CHEBI:28931"
"adenosine 5'-monophosphate (amp)","15938965|6083","C00020|D02769","HMDB00045","CHEBI:456215|CHEBI:16027"
"adenylosuccinate","447145|440122","C03794","HMDB00536","CHEBI:15919"
"adipate","196|22494954","C06104|D08839","HMDB00448","CHEBI:30832"
"adrenate (22:4n6)","5282844|5497181","C16527","HMDB02226","CHEBI:53487"
"agmatine","199","C00179","HMDB01432","CHEBI:17431"
"alanine","7311724|5950","C00041|D00012","HMDB00161","CHEBI:16977|CHEBI:57972"
"alanylalanine","20112020|6992112|5460362","C00993","HMDB03459","CHEBI:16576|CHEBI:57822"
"alanylglutamate","656476",NA,NA,NA
"alanylglycine","5242526|79094",NA,"HMDB06899",NA
"alanylisoleucine",NA,NA,NA,NA
"alanylleucine","259583|54758690",NA,NA,NA
"alanylmethionine",NA,NA,NA,NA
"alanylphenylalanine","2080",NA,NA,NA
"alanylthreonine","426318",NA,NA,NA
"alanyltryptophan",NA,NA,NA,NA
"alanyltyrosine",NA,NA,NA,NA
"alanylvaline","137276",NA,NA,NA
"allo-threonine","99289|6995276","C05519","HMDB04041","CHEBI:28718|CHEBI:58585"
"alpha-glutamylglutamate","439500","C01425",NA,"CHEBI:5390"
"alpha-glutamyltryptophan","333386",NA,NA,NA
"alpha-glutamyltyrosine","351830",NA,NA,NA
"alpha-hydroxyisovalerate","99823",NA,"HMDB00407","CHEBI:60645"
"alpha-tocopherol","14985","C02477","HMDB01893","CHEBI:18145"
"androsterone sulfate","5879|159663","C00523","HMDB02759","CHEBI:16032"
"anserine","112072|6992114","C01262","HMDB00194","CHEBI:18323|CHEBI:58445"
"arabitol","94154|439255","C00474|C01904|C00532","HMDB01851|HMDB00508","CHEBI:18333|CHEBI:15963|CHEBI:18403"
"arabonate","122045","C00878","HMDB00539","CHEBI:20912"
"arachidate (20:0)","10467","C06425","HMDB02212","CHEBI:28822"
"arachidonate (20:4n6)","444899","C00219","HMDB01043","CHEBI:15843"
"arginine","6322|28782","C00062|D02982","HMDB00517","CHEBI:16467"
"argininosuccinate","16950","C03406","HMDB00052",NA
"arginylleucine","333445",NA,NA,NA
"arginylmethionine","9815009",NA,NA,NA
"arginylphenylalanine","4441256",NA,NA,NA
"arginyltyrosine",NA,NA,NA,NA
"arginylvaline","335257",NA,NA,NA
"ascorbate (vitamin c)","54670067","C00072|D00018","HMDB00044","CHEBI:29073"
"asparagine","6992089|6267","C00152","HMDB00168","CHEBI:17196|CHEBI:58048"
"aspartate","5960|44367445","C00049|D00013","HMDB00191","CHEBI:17053"
"aspartate-glutamate","4130574",NA,NA,NA
"aspartylleucine","332962",NA,NA,NA
"aspartylphenylalanine","93078",NA,"HMDB00706","CHEBI:73830"
"aspartyltryptophan","9948926",NA,NA,NA
"aspartylvaline","4991131",NA,NA,NA
"atenolol","2249","D00235","HMDB01924","CHEBI:2904"
"azelate (nonanedioate)","2266|19347555","C08261|D03034","HMDB00784","CHEBI:48131"
"benzoate","20144841|243","C00180|C00539|D00038","HMDB01870","CHEBI:30746"
"beta-alanine","4755801|239","C00099|D07561","HMDB00056","CHEBI:16958|CHEBI:57966"
"beta-hydroxypyruvate","964","C00168","HMDB01352","CHEBI:30841"
"betaine","247","C00719|D07523","HMDB00043","CHEBI:17750"
"beta-tocopherol","6857447|8989","C14152","HMDB06335","CHEBI:47771"
"bilirubin (e,e)*","5315454",NA,NA,NA
"bilirubin (z,z)","5280352","C00486","HMDB00054","CHEBI:16990"
"butyrylcarnitine","213144",NA,NA,"CHEBI:21949"
"caprate (10:0)","2969","C01571","HMDB00511","CHEBI:30813"
"caproate (6:0)","8892","C01585","HMDB00535","CHEBI:30776"
"caprylate (8:0)","379","C06423|D05220","HMDB00482","CHEBI:28837"
"carnitine","10917","C00318|D02176",NA,"CHEBI:16347"
"catechol sulfate","3083879|289","C00090|C01785|C15571","HMDB00957","CHEBI:68505|CHEBI:18135"
"celecoxib","2662","D00567|C07589","HMDB05014","CHEBI:41423"
"c-glycosyltryptophan*",NA,NA,NA,NA
"chiro-inositol",NA,NA,NA,NA
"cholate","221493","C00695","HMDB00619","CHEBI:16359"
"cholesterol","6432564|5997|11025495","C00187|D00040","HMDB00067","CHEBI:16113"
"choline","170746|305","C00114|D07690","HMDB00097","CHEBI:15354"
"choline phosphate","135437|1014","C00588","HMDB01565","CHEBI:18132"
"cinnamoylglycine","709625",NA,"HMDB11621","CHEBI:68616"
"cis-aconitate","643757","C00417","HMDB00072","CHEBI:32805"
"cis-vaccenate (18:1n7)","5282761|5281127","C08367","HMDB03231","CHEBI:50464|CHEBI:28727|CHEBI:36023"
"citalopram","2771","C07572|D07704","HMDB05038","CHEBI:3723"
"citramalate","1081","C00815","HMDB00426","CHEBI:15584"
"citrate","311|19782904","C00158|D00037","HMDB00094","CHEBI:30769"
"citrulline","9750|6992098","C00327|D07706","HMDB00904","CHEBI:16349|CHEBI:57743"
"codeine","53477788",NA,"HMDB04995",NA
"cortisol","5754|657311","C00735|D00088","HMDB00063","CHEBI:17650"
"cortisone","222786","C00762|D07749","HMDB02802","CHEBI:16962"
"creatine","59098743|586","C00300","HMDB00064","CHEBI:16919|CHEBI:57947"
"creatinine","588","C00791|D03600","HMDB00562","CHEBI:16737"
"cysteine","5862|6419722","C00097|D00026","HMDB00574","CHEBI:17561|CHEBI:35235|CHEBI:47910|CHEBI:58717|CHEBI:61894"
"cysteine-glutathione disulfide","4247235|53477713",NA,"HMDB00656",NA
"cysteinylglycine","65270|25244227|439498|7098621","C01419","HMDB00078","CHEBI:4047|CHEBI:61694"
"cystine","6992103|67678","C00491|D03636","HMDB00192","CHEBI:16283|CHEBI:35491"
"cytidine","6175","C00475|D07769","HMDB00089","CHEBI:17562"
"cytidine 5'-diphosphocholine","13804|11583971","C00307|D00057","HMDB01413","CHEBI:16436"
"cytidine 5'-monophosphate (5'-cmp)","7058165|6131","C00055","HMDB00095","CHEBI:60377|CHEBI:17361"
"cytidine-3'-monophosphate (3'-cmp)","256622|66535","C05822",NA,"CHEBI:53013"
"cytosine-2',3'-cyclic monophosphate","417654|68934|53481030","C02354","HMDB11691","CHEBI:27652"
"deoxycarnitine","134","C01181","HMDB01161","CHEBI:1941"
"dihomo-linoleate (20:2n6)","6439848","C16525","HMDB05060","CHEBI:73731"
"dihomo-linolenate (20:3n3 or n6)","5312529|5280581","C03242|C16522","HMDB02925","CHEBI:53460|CHEBI:53486"
"dihydrocholesterol","6665",NA,"HMDB00908",NA
"dimethylarginine (sdma + adma)","123831|51351707|169148","C03626","HMDB01539|HMDB03334","CHEBI:17929|CHEBI:25682|CHEBI:61914"
"dimethylglycine","6971056|673","C01026","HMDB00092","CHEBI:17724|CHEBI:58251"
"docosadienoate (22:2n6)","5282807|5312554","C16533",NA,"CHEBI:75117"
"docosahexaenoate (dha; 22:6n3)","445580","C06429","HMDB02183","CHEBI:28125"
"docosapentaenoate (n3 dpa; 22:5n3)","5497182|6441454","C16513","HMDB01976|HMDB06528|HMDB13123","CHEBI:53488|CHEBI:65136"
"docosapentaenoate (n6 dpa; 22:5n6)","6441454|5497182","C16513","HMDB13123|HMDB01976|HMDB06528","CHEBI:65136|CHEBI:53488"
"docosatrienoate (22:3n3)","5312556|5312557","C16534","HMDB02823",NA
"dodecanedioate","12736","C02678","HMDB00623","CHEBI:4676"
"eicosapentaenoate (epa; 20:5n3)","446284","C06428|D08061","HMDB01999","CHEBI:28364"
"eicosenoate (20:1n9 or 11)","5282768","C16526","HMDB02231","CHEBI:32425"
"epinephrine","5816|5815","D00095|C00788|D02149","HMDB00068","CHEBI:28918"
"ergothioneine","3032311|3037043|57509571|5351619","C05570","HMDB03045","CHEBI:4828"
"erucate (22:1n9)","8216|5281116","C08316","HMDB02068","CHEBI:28792"
"erythritol","222285","C00503|D08915","HMDB02994","CHEBI:17113"
"erythronate*","2781043",NA,"HMDB00613","CHEBI:37655"
"ethanolamine","700","C00189|D05074","HMDB00149","CHEBI:16000"
"flavin adenine dinucleotide (fad)","643975","C00016|D00005","HMDB01248","CHEBI:16238"
"fructose","5984|439163|439709","C00095|C10906|D00114|C02336","HMDB00660","CHEBI:48095|CHEBI:37721|CHEBI:28645"
"fructose 1-phosphate","65246|439394|10400369","C01094","HMDB01076","CHEBI:18105|CHEBI:37515"
"fructose-6-phosphate","440641|69507","C05345","HMDB00124|HMDB03971","CHEBI:16084|CHEBI:15946"
"fucose","3034656|439650|17106","C02095|C01019","HMDB00174|HMDB03081","CHEBI:48204|CHEBI:27442|CHEBI:28419|CHEBI:2181"
"fumarate","444972|21883788","C00122|D02308","HMDB00134","CHEBI:18012|CHEBI:22958"
"gabapentin","6919078|3446","D00332","HMDB05015","CHEBI:42797"
"galactose","3037556|439357","C01582|C00984|D04291","HMDB00143","CHEBI:17118|CHEBI:28061|CHEBI:46953"
"gamma-aminobutyrate (gaba)","119|6992099","C00334|D00058","HMDB00112","CHEBI:16865|CHEBI:59888"
"gamma-glutamylcysteine","123938","C00669","HMDB01049","CHEBI:17515"
"gamma-glutamylglutamate","92865","C05282","HMDB11737","CHEBI:73705"
"gamma-glutamylglutamine","150914","C05283","HMDB11738","CHEBI:73707"
"gamma-glutamylisoleucine*","14253342",NA,"HMDB11170",NA
"gamma-glutamylleucine","151023|4524287",NA,"HMDB11171","CHEBI:68433"
"gamma-glutamylphenylalanine","111299",NA,"HMDB00594",NA
"gamma-glutamylvaline","5317736",NA,"HMDB11172",NA
"gamma-tocopherol","14986|92729","C02483|D02332","HMDB01492","CHEBI:18185"
"glucarate (saccharate)","33037","C00818","HMDB00663","CHEBI:16002"
"gluconate","10690","C00257","HMDB00625","CHEBI:33198"
"glucose","79025|5793","C00031|C00267|D00009","HMDB00122|HMDB03345","CHEBI:15444|CHEBI:17925|CHEBI:4167|CHEBI:75792"
"glucose 1-phosphate","65533|439165","C00103","HMDB01586","CHEBI:29042|CHEBI:16077"
"glucose-6-phosphate (g6p)","439284|5958","C00668|C00092","HMDB01401","CHEBI:17665|CHEBI:4170"
"glucuronate","65041|94715|444791","C00191|C16245","HMDB00127","CHEBI:47953|CHEBI:47952|CHEBI:52591|CHEBI:42717|CHEBI:52773"
"glutamate","44272391|33032|23327","C00025|D00007|C00217","HMDB03339|HMDB00148","CHEBI:16015|CHEBI:53374|CHEBI:15966|CHEBI:53375"
"glutamate, gamma-methyl ester","73913|71463447",NA,NA,NA
"glutamine","5961|6992086","C00064|D00015","HMDB00641","CHEBI:18050|CHEBI:58359"
"glutarate (pentanedioate)","4418048|23322899|743","C00489","HMDB00661","CHEBI:30921|CHEBI:17859"
"glutarylcarnitine (c5)","53481622",NA,"HMDB13130",NA
"glutathione, oxidized (gssg)","11215652|65359|5255796|975","C00127|D00031","HMDB03337","CHEBI:17858"
"glutathione, reduced (gsh)","124886|25246407","C00051|C02471|D00014","HMDB00125","CHEBI:16856|CHEBI:60836"
"glycerate","439194","C00258","HMDB00139","CHEBI:32398"
"glycerol","753","C00116|D00028|D05073","HMDB00131","CHEBI:15850|CHEBI:17522|CHEBI:17754"
"glycerol 2-phosphate","2526","C02979","HMDB02520","CHEBI:17270"
"glycerol 3-phosphate (g3p)","439162","C00093","HMDB00126","CHEBI:15978|CHEBI:17106"
"glycerophosphoethanolamine","123874|25200464|70678815|444183|22833510","C01233","HMDB00114","CHEBI:52330|CHEBI:64574|CHEBI:67274|CHEBI:68488|CHEBI:68520|CHEBI:71825|CHEBI:71826|CHEBI:71827|CHEBI:71828|CHEBI:71829|CHEBI:71830|CHEBI:71831|CHEBI:71832|CHEBI:71833|CHEBI:71834|CHEBI:71835|CHEBI:71836|CHEBI:71837|CHEBI:71838|CHEBI:71839|CHEBI:71840|CHEBI:71841|CHEBI:71842|CHEBI:71843|CHEBI:71844|CHEBI:71845|CHEBI:71846|CHEBI:71847|CHEBI:71848|CHEBI:71849|CHEBI:71850|CHEBI:71851|CHEBI:71852|CHEBI:71853|CHEBI:71854|CHEBI:71855|CHEBI:71856|CHEBI:71857|CHEBI:71858|CHEBI:71859|CHEBI:71860|CHEBI:71861|CHEBI:71862|CHEBI:71863|CHEBI:71864|CHEBI:71865|CHEBI:71866|CHEBI:71867|CHEBI:71868|CHEBI:71869|CHEBI:71870|CHEBI:71871|CHEBI:71872|CHEBI:71873|CHEBI:71874|CHEBI:71876|CHEBI:71877|CHEBI:71878|CHEBI:71879|CHEBI:71880|CHEBI:71881|CHEBI:72381|CHEBI:72382|CHEBI:72383|CHEBI:72384|CHEBI:72385|CHEBI:72386|CHEBI:72387|CHEBI:72388|CHEBI:72389|CHEBI:72390|CHEBI:72391|CHEBI:72392|CHEBI:72393|CHEBI:72394|CHEBI:72395|CHEBI:72396|CHEBI:72397|CHEBI:72398|CHEBI:72399|CHEBI:72400|CHEBI:72401|CHEBI:72734|CHEBI:72735"
"glycerophosphorylcholine (gpc)","657272|439285|58381695|71920","C00670|D07349","HMDB00086","CHEBI:30909|CHEBI:55397|CHEBI:64483|CHEBI:64539|CHEBI:64540|CHEBI:64541|CHEBI:64544|CHEBI:64563|CHEBI:64565|CHEBI:64566|CHEBI:64567|CHEBI:64568|CHEBI:67053|CHEBI:67054|CHEBI:67055|CHEBI:67056|CHEBI:67057|CHEBI:67058|CHEBI:67059|CHEBI:67060|CHEBI:67061|CHEBI:67064|CHEBI:67065|CHEBI:67066|CHEBI:67067|CHEBI:67068|CHEBI:67069|CHEBI:67070|CHEBI:67071|CHEBI:67073|CHEBI:67074|CHEBI:67075|CHEBI:67076|CHEBI:67077|CHEBI:67082|CHEBI:67083|CHEBI:67084|CHEBI:67085|CHEBI:67086|CHEBI:67087|CHEBI:67088|CHEBI:68489|CHEBI:72736|CHEBI:72737|CHEBI:74349|CHEBI:76083|CHEBI:16870"
"glycine","750|5257127","C00037|D00011","HMDB00123","CHEBI:15428|CHEBI:15705|CHEBI:16228|CHEBI:57305|CHEBI:59869|CHEBI:59871|CHEBI:62031|CHEBI:66884|CHEBI:66933"
"glycocholenate sulfate*",NA,NA,NA,NA
"glycolate (hydroxyacetate)","3698251|757","C00160|C03547","HMDB00115","CHEBI:17375|CHEBI:17497|CHEBI:17893|CHEBI:52618"
"glycolithocholate sulfate*","72222|443113|53477756","C11301","HMDB02639","CHEBI:9347"
"glycylglycine","1548897|11163","C02037","HMDB11733","CHEBI:16670|CHEBI:17201|CHEBI:356445"
"glycylisoleucine",NA,NA,NA,NA
"glycylleucine","1548899|92843","C02155","HMDB00759","CHEBI:73514"
"glycyllysine","306144",NA,NA,NA
"glycylmethionine","96757|54758667",NA,NA,NA
"glycylphenylalanine",NA,NA,NA,NA
"glycylproline","44369312|79101",NA,"HMDB00721",NA
"glycylthreonine","351980",NA,NA,NA
"glycyltryptophan",NA,NA,NA,NA
"glycyltyrosine",NA,NA,NA,NA
"glycylvaline",NA,NA,NA,NA
"guanidinoacetate","763|3946848|4546993","C00581","HMDB00128","CHEBI:16344|CHEBI:57742"
"guanine","764","C00242","HMDB00132","CHEBI:16235"
"guanosine","6802","C00387","HMDB00133","CHEBI:16750"
"guanosine 5'- monophosphate (5'-gmp)",NA,NA,NA,NA
"gulono-1,4-lactone","439373","C01040","HMDB03466","CHEBI:17587"
"heme",NA,"C00032",NA,"CHEBI:17627|CHEBI:26355"
"hexanoylcarnitine","6426853|8892","C01585","HMDB00705|HMDB00535","CHEBI:70749|CHEBI:30776"
"hippurate","464","C01586","HMDB00714","CHEBI:18089"
"histamine","774|156615","C00388|D08040","HMDB00870","CHEBI:18295|CHEBI:73337"
"histidine","6274|6971009","C00135|D00032","HMDB00177","CHEBI:15971|CHEBI:57595"
"histidylleucine",NA,NA,NA,NA
"histidylmethionine",NA,NA,NA,NA
"histidylphenylalanine","4466133",NA,NA,NA
"histidyltryptophan","6539217",NA,NA,NA
"histidyltyrosine","435685",NA,NA,NA
"homocysteine","6971015|91552|49791978|778","C00155|C05330","HMDB00742","CHEBI:17588|CHEBI:58199|CHEBI:17230|CHEBI:58065"
"homoserine","6971022|12647","C00263","HMDB00719","CHEBI:15699|CHEBI:57476"
"homostachydrine*","441447|4479243","C08283",NA,"CHEBI:5757"
"hydantoin-5-propionic acid","782","C05565","HMDB01212","CHEBI:28297"
"hydrochlorothiazide","3639","C07041|D00340","HMDB01928",NA
"hypotaurine","107812|25244088","C00519","HMDB00965","CHEBI:16668|CHEBI:57853"
"hypoxanthine","790","C00262","HMDB00157","CHEBI:17368"
"imidazole propionate","70630",NA,"HMDB02271","CHEBI:73087"
"indoleacetate","802","C00954","HMDB00197","CHEBI:16411"
"indolelactate","92904","C02043","HMDB00671","CHEBI:24813"
"inosine","6021","C00294|D00054","HMDB00195","CHEBI:17596"
"inositol 1-phosphate (i1p)",NA,"C04006","HMDB00213","CHEBI:18169"
"isobar: fructose 1,6-diphosphate, glucose 1,6-diphosphate, myo-inositol 1,4 or 1,3-diphosphate",NA,NA,NA,NA
"isobar: ribulose 5-phosphate, xylulose 5-phosphate",NA,NA,NA,NA
"isobutyrylcarnitine",NA,NA,NA,NA
"isoleucine","6306|7043901","C00407|D00065","HMDB00172","CHEBI:17191|CHEBI:58045"
"isoleucylalanine",NA,NA,NA,NA
"isoleucylarginine","9900561",NA,NA,NA
"isoleucylglutamate",NA,NA,NA,NA
"isoleucylglycine","342532",NA,NA,NA
"isoleucylhistidine",NA,NA,NA,NA
"isoleucylisoleucine",NA,NA,NA,NA
"isoleucylmethionine",NA,NA,NA,NA
"isoleucylphenylalanine","435728",NA,NA,NA
"isoleucylserine",NA,NA,NA,NA
"isoleucyltryptophan","9797038",NA,NA,NA
"isoleucyltyrosine","342468",NA,NA,NA
"isoleucylvaline",NA,NA,NA,NA
"isovalerylcarnitine","6426851",NA,"HMDB00688",NA
"kynurenine","161166|6971029","C00328","HMDB00684","CHEBI:16946|CHEBI:57959"
"lactate","107689","C00186","HMDB00190","CHEBI:422"
"laurate (12:0)","3893","C02679","HMDB00638","CHEBI:30805"
