"","PubChem.CID","KEGG","Human.Metabolome.Database","ChEBI"
"2-methylbutyroylcarnitine","6426901",NA,"HMDB00378",NA
"2-myristoylglycerol (2-monomyristin)","137938",NA,NA,NA
"2-oleoylglycerol (2-monoolein)","5319879",NA,NA,NA
"2-oleoylglycerophosphocholine*",NA,NA,NA,NA
"2-oleoylglycerophosphoethanolamine*",NA,NA,NA,NA
"2-palmitoylglycerol (2-monopalmitin)","123409",NA,NA,NA
"2-palmitoylglycerophosphocholine*",NA,NA,NA,NA
"2-palmitoylglycerophosphoethanolamine*",NA,NA,NA,NA
"2-phosphoglycerate","439278","C00631","HMDB03391","CHEBI:17835"
"2-stearoylglycerol (2-monostearin)","79075",NA,NA,NA
"2-stearoylglycerophosphocholine*","10208382",NA,NA,NA
"2-stearoylglycerophosphoinositol*",NA,NA,NA,NA
"3-(4-hydroxyphenyl)lactate","9378","C03672","HMDB00755","CHEBI:17385"
"3-(cystein-s-yl)acetaminophen*","5233914",NA,NA,NA
"3-carboxy-4-methyl-5-propyl-2-furanpropanoate (cmpf)","123979",NA,NA,NA
"3-dehydrocarnitine*","6991982|439773","C02636","HMDB12154","CHEBI:16758|CHEBI:57885"
"3-hydroxybutyrate (bhba)","441|92135","C01089","HMDB00357|HMDB00011","CHEBI:17066|CHEBI:20067"
"3-methyl-2-oxobutyrate","49","C00141","HMDB00019","CHEBI:16530"
"3-methyl-2-oxovalerate","47|439286","C00671","HMDB03736","CHEBI:15614"
"3-phosphoglycerate","724","C00597","HMDB00807","CHEBI:17050"
"3-ureidopropionate","111","C02642","HMDB00026","CHEBI:18261"
"4-acetamidobutanoate","18189","C02946","HMDB03681","CHEBI:17645"
"4-acetamidophenol","1983","C06804","HMDB01859","CHEBI:46195"
"4-acetaminophen sulfate","83939|1983","C06804","HMDB01859","CHEBI:46195"
"4-androsten-3beta,17beta-diol disulfate 1*","10634","C04295","HMDB03818","CHEBI:2710"
"4-guanidinobutanoate","500|25200642","C01035","HMDB03464","CHEBI:15728|CHEBI:57486"
"4-hydroxybutyrate (ghb)","10413|3037032","C00989|C01991","HMDB00710","CHEBI:30830|CHEBI:16724"
"4-hydroxyhippurate","151012",NA,NA,NA
"4-hydroxyphenylacetate","4693933|127","C00642","HMDB00020","CHEBI:18101"
"4-hydroxyphenylpyruvate","979","C01179","HMDB00707","CHEBI:15999"
"4-methyl-2-oxopentanoate","70","C00233","HMDB00695","CHEBI:48430"
"5,6-dihydrouracil","649","C00429","HMDB00076","CHEBI:15901"
"5-aminovalerate","6|992|101|138|6992101","C00431","HMDB03355","CHEBI:15887|CHEBI:356010"
"5-dodecenoate (12:1n7)","5312378",NA,"HMDB00529",NA
"5-hydroxyindoleacetate","1826|15919788","C05635","HMDB00763","CHEBI:27823"
"5-oxoproline","7405","C01879","HMDB00267","CHEBI:18183"
"6-keto prostaglandin f1alpha","5280888","C05961","HMDB02886","CHEBI:28158"
"6-phosphogluconate","91493","C00345","HMDB01316","CHEBI:48928"
"9,10-hydroxyoctadec-12(z)-enoic acid","9966640","C14828","HMDB04704",NA
"acetylcarnitine","7045767|439756|1","C02571","HMDB00201","CHEBI:15960"
"adenosine","60961|32326","C00212|C07195","HMDB00050","CHEBI:16335"
"adenosine 2'-monophosphate (2'-amp)","94136|53481006","C00946","HMDB11617","CHEBI:28223"
"adenosine 3'-monophosphate (3'-amp)","15938966|41211","C01367","HMDB03540","CHEBI:28931"
"adenosine 5'-monophosphate (amp)","15938965|6083","C00020","HMDB00045","CHEBI:16027"
"adenosine-2',3'-cyclic monophosphate","2024|101812","C02353",NA,"CHEBI:27844"
"adenylosuccinate","195|447145|440122","C03794","HMDB00536","CHEBI:15919"
"adrenate (22:4n6)","5282844|5497181","C16527","HMDB02226","CHEBI:53487"
"alanine","59|507|311|724|5950|7311724","C00041","HMDB00161","CHEBI:16977|CHEBI:57972"
"alanylglycine","524|252|679|094|5242526|79094",NA,"HMDB06899",NA
"alanylisoleucine","4|173|585|246|008",NA,NA,NA
"alanylleucine","259583",NA,NA,NA
"alanylphenylalanine","2080",NA,NA,NA
"alanyltyrosine","5|723|194|099|800",NA,NA,NA
"alanylvaline","137276",NA,NA,NA
"allo-threonine","992|896|995|276|6995276|99289","C05519","HMDB04041","CHEBI:28718|CHEBI:58585"
"alpha-glutamylglutamate","439500","C01425",NA,NA
"alpha-hydroxyisovalerate","99823",NA,"HMDB00407","CHEBI:60645"
"alpha-ketoglutarate","51","C00026","HMDB00208","CHEBI:30915"
"alpha-tocopherol","14985","C02477","HMDB01893","CHEBI:18145"
"arachidonate (20:4n6)","444899","C00219","HMDB01043","CHEBI:15843"
"arginine","5|246|487|232|28782|6322","C00062","HMDB00517","CHEBI:16467"
"argininosuccinate","828|16950","C03406","HMDB00052",NA
"ascorbate (vitamin c)",NA,"C00072","HMDB00044","CHEBI:29073"
"asparagine","62|676|992|089|6267|6992089","C00152","HMDB00168","CHEBI:17196|CHEBI:58048"
"aspartate","5960|44367445","C00049","HMDB00191","CHEBI:17053"
"aspartate-glutamate","4130574",NA,NA,NA
"aspartylphenylalanine","93078",NA,"HMDB00706",NA
"atenolol","2249","D00235","HMDB01924","CHEBI:2904"
"azelate (nonanedioate)","2266|19347555","C08261","HMDB00784","CHEBI:48131"
"butyrylcarnitine","213145|439829","C02862","HMDB02013","CHEBI:7676"
"c-glycosyltryptophan*",NA,NA,NA,NA
"caprate (10:0)","2969","C01571","HMDB00511","CHEBI:30813"
"caproate (6:0)","8892","C01585","HMDB00535","CHEBI:30776"
"caprylate (8:0)","379","C06423","HMDB00482","CHEBI:28837"
"carnitine","288|85|2724480","C00487|C15025","HMDB00062","CHEBI:3424|CHEBI:11060"
"chenodeoxycholate","10133","C02528","HMDB00518","CHEBI:16755"
"cholate","221493","C00695","HMDB00619","CHEBI:16359"
"cholesterol","6432564|5997|11025495","C00187","HMDB00067","CHEBI:16113"
"choline phosphate","1014","C00588","HMDB01565","CHEBI:18132"
"citrate","311|19782904","C00158","HMDB00094","CHEBI:30769"
"citrulline","833|6992098|9750","C00327","HMDB00904","CHEBI:16349|CHEBI:57743"
"cortisol","5754|657311","C00735","HMDB00063","CHEBI:17650"
"creatine","586","C00300","HMDB00064","CHEBI:16919|CHEBI:57947"
"creatinine","588","C00791","HMDB00562","CHEBI:16737"
"cysteine","58|626|419|722|5862|6419722","C00097","HMDB00574","CHEBI:17561|CHEBI:35235|CHEBI:47910|CHEBI:61894"
"cysteine-glutathione disulfide","4247235|53477713",NA,"HMDB00656",NA
"cystine","595|67678|6992103","C00491","HMDB00192","CHEBI:16283|CHEBI:35491"
"cytidine","6175","C00475","HMDB00089","CHEBI:17562"
"cytidine 5'-diphosphocholine","13805|11583971|13804","C00307","HMDB01413","CHEBI:16436"
"cytidine 5'-monophosphate (5'-cmp)","7058165|6131","C00055","HMDB00095","CHEBI:17361"
"cytidine-3'-monophosphate (3'-cmp)","256622|66535","C05822",NA,"CHEBI:53013"
"decanoylcarnitine","11953821|10245190","C03299","HMDB00651","CHEBI:68830"
"deoxycarnitine","725|134","C01181","HMDB01161","CHEBI:1941"
"dexpanthenol","4678","C03726","HMDB04231",NA
"dihomo-linoleate (20:2n6)","6439848|4248452","C16525","HMDB05060",NA
"dihomo-linolenate (20:3n3 or n6)","5312529|5280581","C03242","HMDB02925","CHEBI:53486"
"dimethylarginine (sdma + adma)","123831|169148|51351707","C03626","HMDB01539|HMDB03334","CHEBI:17929|CHEBI:25682|CHEBI:61914"
"diphenhydramine","3100","D00300|D00520|D03360",NA,NA
"docosadienoate (22:2n6)","5282807|5312554","C16533",NA,NA
"docosahexaenoate (dha; 22:6n3)","445580","C06429","HMDB02183","CHEBI:28125"
"docosapentaenoate (n3 dpa; 22:5n3)","5497182|6441454","C16513","HMDB01976|HMDB06528|HMDB13123","CHEBI:53488|CHEBI:65136"
"docosatrienoate (22:3n3)","5312556|5312557","C16534","HMDB02823",NA
"eicosapentaenoate (epa; 20:5n3)","446284","C06428","HMDB01999","CHEBI:28364"
"eicosenoate (20:1n9 or 11)","5282768","C16526","HMDB02231","CHEBI:32425"
"ergothioneine","3032311|3037043|5351619|57509571","C05570","HMDB03045","CHEBI:4828"
"erythritol","222285","C00503","HMDB02994","CHEBI:17113"
"erythronate*","2781043",NA,"HMDB00613","CHEBI:37655"
"ethanolamine","700","C00189","HMDB00149","CHEBI:16000"
"flavin adenine dinucleotide (fad)","643975","C00016","HMDB01248","CHEBI:16238"
"fructose","5984|439163|439709","C00095|C02336","HMDB00660","CHEBI:37721|CHEBI:28645"
"fructose-6-phosphate","440641|69507","C05345","HMDB00124|HMDB03971","CHEBI:16084|CHEBI:15946"
"fumarate","21883788|444972","C00122","HMDB00134","CHEBI:18012|CHEBI:22958"
"galactose","3037556|439357","C01582|C00984","HMDB00143","CHEBI:17118|CHEBI:28061"
"gamma-aminobutyrate (gaba)","6|992|099|119|6992099","C00334","HMDB00112","CHEBI:16865|CHEBI:59888"
"gamma-glutamylglutamate","92865",NA,NA,NA
"gamma-glutamylglutamine","150914","C05283","HMDB11738",NA
"gamma-glutamylleucine","151023|4524287",NA,"HMDB11171",NA
"gamma-glutamylphenylalanine","111299",NA,"HMDB00594",NA
"gamma-glutamylthreonine*",NA,NA,NA,NA
"gamma-glutamyltyrosine","94340",NA,NA,NA
"gluconate","10690","C00257","HMDB00625","CHEBI:33198"
"glucose","79025|5793","C00293|C00031","HMDB00122","CHEBI:4167"
"glucose-6-phosphate (g6p)","439284|5958","C00668|C00092","HMDB01401","CHEBI:17665|CHEBI:4170"
"glutamate","611|33032|44272391|23327","C00025|C00217","HMDB03339|HMDB00148","CHEBI:16015|CHEBI:15966"
"glutamine","69|920|865|961|5961|6992086","C00064","HMDB00641","CHEBI:18050|CHEBI:58359"
"glutathione, oxidized (gssg)","6|535|911|215|652|11215652|65359|5255796|975","C00127","HMDB03337","CHEBI:17858"
"glutathione, reduced (gsh)","124886|25246407","C00051|C02471","HMDB00125","CHEBI:16856|CHEBI:60836"
"glycerate","752|439194","C00258","HMDB00139","CHEBI:32398"
"glycerol","753","C00116","HMDB00131","CHEBI:15850|CHEBI:17522|CHEBI:17754"
"glycerol 2-phosphate","2526","C02979|D01488","HMDB02520","CHEBI:17270"
"glycerol 3-phosphate (g3p)","754|439162","C00093","HMDB00126","CHEBI:15978|CHEBI:17106"
"glycerophosphorylcholine (gpc)","657272|439285|58381695|71920","C00670","HMDB00086","CHEBI:16870"
"glycine","5|257|127|750|5257127","C00037","HMDB00123","CHEBI:15428|CHEBI:15705|CHEBI:16228|CHEBI:57305|CHEBI:59869|CHEBI:59871|CHEBI:62031|CHEBI:66884|CHEBI:66933"
"glycochenodeoxycholate","12544|22833540","C05466","HMDB00637","CHEBI:36274"
"glycocholate","10140|23617285","C01921","HMDB00138","CHEBI:17687"
"glycocholenate sulfate*",NA,NA,NA,NA
"glycodeoxycholate","3035026|22833539","C05464","HMDB00631","CHEBI:27471"
"glycolate (hydroxyacetate)","3|698|251|757|3698251","C00160|C03547","HMDB00115","CHEBI:17375|CHEBI:17497|CHEBI:17893|CHEBI:52618"
"glycoursodeoxycholate","12310288",NA,"HMDB00708",NA
"glycylglycine","154|889|711|163|11163|1548897","C02037","HMDB11733","CHEBI:16670|CHEBI:17201|CHEBI:356445"
"glycylisoleucine",NA,NA,NA,NA
"glycylleucine","928|431|548|899|1548899|92843","C02155","HMDB00759",NA
"glycylproline","30|136|256|993|386|44369312|79101",NA,"HMDB00721",NA
"glycyltryptophan","155|134|092|181",NA,NA,NA
"glycylvaline","27|248|076|994|979",NA,NA,NA
"guanidinoacetate","76|339|468|484|546|900|3946848|4546993|763","C00581","HMDB00128","CHEBI:16344|CHEBI:57742"
"guanosine","6802","C00387","HMDB00133","CHEBI:16750"
"heme*",NA,"C00032","HMDB03178","CHEBI:17627|CHEBI:26355"
"heptanoate (7:0)","8094","C17714","HMDB00666","CHEBI:45571"
"hexadecanedioate","10459","C19615","HMDB00672",NA
"hexanoylcarnitine","6426853|8892","C01585","HMDB00705|HMDB00535","CHEBI:30776|CHEBI:70749"
"hippurate","464","C01586","HMDB00714","CHEBI:18089"
"histamine","774|156615","C00388","HMDB00870","CHEBI:18295"
"histidine","7|733|651|426|6274|6971009","C00135","HMDB00177","CHEBI:15971|CHEBI:57595"
"homocysteine","778|6971015|91552|49791978","C00155|C05330","HMDB00742","CHEBI:17588|CHEBI:58199|CHEBI:17230|CHEBI:58065"
"homovanillate sulfate",NA,NA,NA,NA
"hypoxanthine","790","C00262","HMDB00157","CHEBI:17368"
"inosine",NA,NA,NA,NA
"inositol 1-phosphate (i1p)",NA,"C04006","HMDB00213","CHEBI:18169"
"isobar: 2-propylpentanoic acid, 2-ethylhexanoic acid",NA,NA,NA,NA
"isobar: fructose 1,6-diphosphate, glucose 1,6-diphosphate",NA,NA,NA,NA
"isobar: ribulose 5-phosphate, xylulose 5-phosphate",NA,NA,NA,NA
"isobutyrylcarnitine","10177002",NA,"HMDB00736",NA
"isoleucine","791|6306|7043901","C00407","HMDB00172","CHEBI:17191|CHEBI:58045"
"isoleucylisoleucine",NA,NA,NA,NA
"isoleucylleucine","11644431",NA,NA,NA
"isovalerylcarnitine","6426851",NA,"HMDB00688",NA
"ketamine","3821","C07525",NA,"CHEBI:6121"
"kynurenate","3845","C01717","HMDB00715","CHEBI:18344"
"kynurenine","1|611|666|971|029|161166|6971029","C00328","HMDB00684","CHEBI:16946|CHEBI:57959"
"lactate","612|107689","C00186","HMDB00190","CHEBI:422"
"lactobionate","7314","D02009|D03880",NA,NA
"laurate (12:0)","3893","C02679","HMDB00638","CHEBI:30805"
"leucine","70|457|986|106|6106|7045798","C00123","HMDB00687","CHEBI:15603|CHEBI:57427"
"leucylisoleucine",NA,NA,NA,NA
"leucylleucine","768|076|992|072|94244","C11332",NA,NA
"lidocaine","3676","D00358",NA,NA
"linoleate (18:2n6)","5280450","C01595","HMDB00673","CHEBI:17351"
"linolenate [alpha or gamma; (18:3n3 or 6)]","5280934","C06427","HMDB01388","CHEBI:27432"
"lysine","5962","C00047","HMDB00182","CHEBI:18019"
"malate","525|222656","C00149","HMDB00156","CHEBI:30797"
"maltose","439341|439186|10991489","C00208","HMDB00163","CHEBI:17306|CHEBI:47937"
"maltotetraose","446495|439639","C02052","HMDB01296",NA
"maltotriose","439586","C01835","HMDB01262",NA
"mannitol","6251|453","C00392","HMDB00765","CHEBI:16899"
"mannose","161658|18950","C00159","HMDB00169","CHEBI:4208"
"mannose-6-phosphate","65127|439198","C00275","HMDB01078","CHEBI:48066|CHEBI:49728"
"margarate (17:0)","10465",NA,"HMDB02259","CHEBI:32365"
"methionine","69|920|876|137|6137|6992087","C00073","HMDB00696","CHEBI:16643|CHEBI:57844"
"methionine sulfoxide","1|589|801|548|907|1548907|158980|25244659|847","C02989","HMDB02005","CHEBI:17016|CHEBI:49033"
"methyl palmitate (15 or 2)",NA,NA,NA,NA
"methylglutaroylcarnitine","128145",NA,"HMDB00552","CHEBI:70857"
"methylphosphate","13130",NA,NA,NA
"metoprolol","4171","C07202|D02358","HMDB01932","CHEBI:6904"
"metoprolol acid metabolite*","62936",NA,NA,NA
"myo-inositol",NA,"C00137","HMDB00211","CHEBI:17268"
"myristate (14:0)","11005","C06424","HMDB00806","CHEBI:28875"
"myristoleate (14:1n5)","5281119","C08322","HMDB02000","CHEBI:27781"
"n(1)-acetylspermine","916","C02567","HMDB01186","CHEBI:17312"
"n-acetyl-aspartyl-glutamate (naag)","5255|71120","C12270","HMDB01067",NA
"n-acetylalanine","88064","C02847","HMDB00766","CHEBI:40992"
"n-acetylaspartate (naa)","65065","C01042","HMDB00812","CHEBI:21547"
"n-acetylcysteine","12035|581","C06809","HMDB01890","CHEBI:28939|CHEBI:47911"
"n-acetylglucosamine","24139|439174|11861101","C00140|C02711","HMDB00215","CHEBI:28401|CHEBI:506227"
"n-acetylisoleucine","2802421",NA,NA,NA
"n-acetylmethionine","448580|6180","C02712","HMDB11745","CHEBI:21557"
"n-acetylneuraminate","439197|445063","C00270|C19910","HMDB00230","CHEBI:17012|CHEBI:45744"
"n-acetylserine","65249",NA,"HMDB02931",NA
"n-acetylthreonine","4651717|439406",NA,NA,"CHEBI:16160"
"n-acetyltryptophan","700653|439917","C03137",NA,"CHEBI:16734"
"n-ethylglycinexylidide*","24415","C16561",NA,"CHEBI:222828"
"n1-methyladenosine","5460178|27476","C02494","HMDB03331","CHEBI:16020"
"n1-methylguanosine","96373",NA,"HMDB01563","CHEBI:19062"
"n2,n2-dimethylguanosine","92919",NA,"HMDB04824","CHEBI:19289"
"n2-methylguanosine","3035422",NA,"HMDB05862","CHEBI:19702"
"n6-acetyllysine","699|197|892|832|6991978|92832","C02727","HMDB00206","CHEBI:17752|CHEBI:58260"
"nicotinamide","936","C00153","HMDB01406","CHEBI:17154"
"nicotinamide adenine dinucleotide (nad+)","1|089|765|158|925|280|000|5893","C00003","HMDB00902","CHEBI:15846"
"nicotinamide ribonucleotide (nmn)","14180","C00455","HMDB00229","CHEBI:16171"
"nonadecanoate (19:0)","12591","C16535","HMDB00772","CHEBI:39246"
"octanoylcarnitine","123702|11953814","C02838","HMDB00791",NA
"oleate (18:1n9)","445639","C00712","HMDB00207|HMDB00573","CHEBI:16196"
"oleoylcarnitine","53477789",NA,"HMDB05065",NA
"ophthalmate","9817431|7018721",NA,"HMDB05765",NA
"ornithine","6262|71082","C00077|C00515","HMDB03374|HMDB00214","CHEBI:15729|CHEBI:16176"
"p-acetamidophenylglucuronide","4022661|83944",NA,"HMDB10316","CHEBI:32636"
"p-cresol sulfate","4615422|2879","C01468","HMDB01858","CHEBI:17847"
"palmitate (16:0)","985","C00249","HMDB00220","CHEBI:15756"
"palmitate, methyl ester","8181","C16995",NA,"CHEBI:69187"
"palmitoleate (16:1n7)","445638","C08362","HMDB03229","CHEBI:28716"
"palmitoyl sphingomyelin","9939941",NA,NA,NA
"palmitoylcarnitine","462|11953816","C02990","HMDB00222",NA
"pantothenate","6613|988","C00864","HMDB00210","CHEBI:46905|CHEBI:7916"
"pelargonate (9:0)","5461016|8158","C01601","HMDB00847","CHEBI:29019"
"penicillin g","2349|5904","C05551",NA,"CHEBI:18208"
"pentadecanoate (15:0)","13849","C16537","HMDB00826","CHEBI:42504"
"phenol red","4766","C12600",NA,"CHEBI:31991"
"phenol sulfate","74426","C02180|C00850",NA,"CHEBI:27905"
"phenylacetylglutamine","306137|92258","C05597|C04148","HMDB06344","CHEBI:17884"
"phenylacetylglycine","68144","C05598","HMDB00821","CHEBI:27480"
"phenylalanine","69|256|656|140|6140|6925665","C00079","HMDB00159","CHEBI:17295|CHEBI:58095"
"phenyllactate (pla)","3848|643327","C05607","HMDB00779|HMDB00748","CHEBI:32978|CHEBI:25998"
"phosphate","1061|1004|22486802|11128397","C00009","HMDB01429|HMDB02142","CHEBI:26078|CHEBI:52641|CHEBI:7794|CHEBI:18367"
"phosphoethanolamine","52|323|241|015|1015|5232324","C00346","HMDB00224","CHEBI:17553"
"pipecolate","849|439227|6931663|25200477","C00408","HMDB00070|HMDB00716","CHEBI:30913|CHEBI:46876|CHEBI:61185|CHEBI:17964"
"pregnen-diol disulfate*","219833|3032822","C05484","HMDB04025",NA
"pro-hydroxy-pro","11673055|11902892|11902893",NA,"HMDB06695",NA
"proline","1|457|426|971|047|145742|6971047","C00148","HMDB00162","CHEBI:17203|CHEBI:60039"
"prolylleucine","4|441|097|082|009",NA,NA,NA
"propionylcarnitine","107738","C03017","HMDB00824","CHEBI:28867"
"prostaglandin e2","5280360","C00584","HMDB01220","CHEBI:15551"
"pseudouridine","15047","C02067","HMDB00767","CHEBI:17802"
"putrescine","1045","C00134|C02896","HMDB01414","CHEBI:17148"
"pyridoxal","1050","C00250","HMDB01545","CHEBI:17310"
"pyridoxate","6723|54718174","C00847","HMDB00017","CHEBI:17405|CHEBI:30959"
"pyroglutamine*","134508",NA,NA,NA
"pyroglutamylvaline","152416",NA,NA,NA
"pyruvate","107735|1060","C00022","HMDB00243","CHEBI:32816"
"raffinose","439242|10542","C00492","HMDB03213","CHEBI:16634"
"ranitidine","3001055","D00422","HMDB01930","CHEBI:8776"
"riboflavin (vitamin b2)","493570","C00255","HMDB00244","CHEBI:17015"
"ribose","5311110|5779","C00121","HMDB00283","CHEBI:47013"
"ribose 5-phosphate","447634|439167|53477706","C00117","HMDB00618|HMDB01548","CHEBI:52742"
"s-adenosylhomocysteine (sah)","25246222|439155","C00021","HMDB00939","CHEBI:16680|CHEBI:57856"
"sarcosine (n-methylglycine)","10|887|311|726|1088|7311726","C00213","HMDB00271","CHEBI:15611|CHEBI:57433"
"scyllo-inositol",NA,"C06153","HMDB06088","CHEBI:10642|CHEBI:23927"
"sebacate (decanedioate)","5192","C08277","HMDB00792","CHEBI:41865"
"serine","59|516|857|581|5951|6857581|6857549|71077","C00065|C00740","HMDB03406|HMDB00187","CHEBI:17115|CHEBI:33384|CHEBI:16523|CHEBI:35247"
"spermidine","1102","C00315","HMDB01257","CHEBI:16610"
"spermine","1103","C00750","HMDB01256","CHEBI:15746"
"sphinganine","3126|91486","C00836","HMDB00269","CHEBI:16566"
"sphingosine","5353955|5280335","C00319","HMDB00252","CHEBI:16393|CHEBI:26743|CHEBI:46964"
"squalene","638072|11975273","C00751","HMDB00256","CHEBI:15440"
"stachydrine","115244","C10172","HMDB04827","CHEBI:35280"
"stearamide","31292","C13846",NA,NA
"stearate (18:0)","5281","C01530","HMDB00827","CHEBI:28842"
"stearidonate (18:4n3)","5312508","C16300","HMDB06547","CHEBI:32389"
"stearoyl sphingomyelin","6453725|5283588","C00550","HMDB01348",NA
"stearoylcarnitine","6426855",NA,"HMDB00848",NA
"succinate","1110|21952380","C00042","HMDB00254","CHEBI:15741"
"succinylcarnitine",NA,NA,NA,NA
"taurine","11|234|068|592|1123|4068592","C00245","HMDB00251","CHEBI:15891|CHEBI:507393"
"taurochenodeoxycholate","387316","C05465","HMDB00951","CHEBI:16525"
"taurocholate","53297338|440567","C05122","HMDB00036",NA
"taurocholenate sulfate*",NA,NA,NA,NA
"taurodeoxycholate","2733768|440687","C05463","HMDB00896","CHEBI:9410"
"tauroursodeoxycholate","12443252",NA,"HMDB00874",NA
"tetradecanedioate","13185",NA,"HMDB00872",NA
"threonine","69|710|196|288|6288|6971019","C00188","HMDB00167","CHEBI:16857|CHEBI:57926"
"threonylphenylalanine","40|997|994|099|798",NA,NA,NA
"thymidine","5789","C00214","HMDB00273","CHEBI:17748"
"thymidine 3'-monophosphate","5463",NA,NA,NA
"thymine","1135","C00178","HMDB00262","CHEBI:17821"
"tiglyl carnitine","22833596",NA,"HMDB02366",NA
"trans-4-hydroxyproline","58|106|971|053|5810|6971053","C01157","HMDB00725","CHEBI:18095|CHEBI:58375"
"tryptophan","69|235|166|305|6305|6923516","C00078","HMDB00929","CHEBI:16828|CHEBI:57912"
"tryptophan betaine","442106","C09213",NA,NA
"tyrosine","60|576|942|100|6057|6942100","C00082","HMDB00158","CHEBI:17895|CHEBI:58315"
"undecanedioate","15816",NA,"HMDB00888",NA
"undecanoate (11:0)","8180","C17715","HMDB00947","CHEBI:32368"
"uracil","1174","C00106","HMDB00300","CHEBI:17568"
"urate","1175","C00366","HMDB00289","CHEBI:17775|CHEBI:46811|CHEBI:46814|CHEBI:46817|CHEBI:46823|CHEBI:62589"
"urea","117|616|150|869|1176","C00086","HMDB00294","CHEBI:16199|CHEBI:48376"
"uridine","6029","C00299","HMDB00296","CHEBI:16704"
"valerylcarnitine","6426903|53481619",NA,"HMDB13128",NA
"valine","69|710|186|287|6287|6971018","C00183","HMDB00883","CHEBI:16414|CHEBI:57762"
"venlafaxine","5656","C07187","HMDB05016","CHEBI:9943"
"vgahageygaealer*",NA,NA,NA,NA
"xanthine","1188","C00385","HMDB00292","CHEBI:17712|CHEBI:48517"
"xanthosine","64959","C01762","HMDB00299","CHEBI:18107"
