Metabolite,Super Pathway,Sub Pathway,Pubchem,KEGG,HMDB,CHEBI
3-aminoisobutyrate,Nucleotide,"Pyrimidine metabolism, thymine containing; Valine, leucine and isoleucine metabolism/",,C05145,HMDB03911,
3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF),Lipid,"Fatty acid, dicarboxylate",,,,
3-dehydrocarnitine*,Lipid,Carnitine metabolism,,C02636,HMDB12154,
3-hydroxybutyrate (BHBA),Lipid,Ketone bodies,,C01089,HMDB00357,
3-indoxyl sulfate,Amino acid,Tryptophan metabolism,,,HMDB00682,
3-methylhistidine,Amino acid,Histidine metabolism,,C01152,HMDB00479,
3-phosphoglycerate,Carbohydrate,"Glycolysis, gluconeogenesis, pyruvate metabolism",,C00597,HMDB00807,
4-acetamidophenol,Xenobiotics,Drug,,C06804,HMDB01859,
4-acetaminophen sulfate,Xenobiotics,Drug,,C06804,HMDB01859,
"4-androsten-3beta,17beta-diol disulfate 1*",Lipid,Sterol/Steroid,,,HMDB03818,
4-hydroxybutyrate (GHB),Lipid,"Fatty acid, monohydroxy",,C00989,HMDB00710,
4-vinylphenol sulfate,Xenobiotics,Benzoate metabolism,,C05627,HMDB04072,
5-hydroxyindoleacetate,Amino acid,Tryptophan metabolism,,C05635,HMDB00763,
5-methylthioadenosine (MTA),Amino acid,Polyamine metabolism,,C00170,HMDB01173,
5-oxoproline,Amino acid,Glutathione metabolism,,C01879,HMDB00267,
"5,6-dihydrouracil",Nucleotide,"Pyrimidine metabolism, uracil containing",,C00429,HMDB00076,
6-phosphogluconate,Carbohydrate,"Nucleotide sugars, pentose metabolism",,C00345,HMDB01316,
7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca),Lipid,Sterol/Steroid,,C17337,HMDB12458,
acetylcarnitine,Lipid,Carnitine metabolism,,C02571,HMDB00201,
acetylcholine,Lipid,Neurotransmitter,,C01996,HMDB00895,
adenine,Nucleotide,"Purine metabolism, adenine containing",,C00147,HMDB00034,
adenosine,Nucleotide,"Purine metabolism, adenine containing",,C00212,HMDB00050,
adenosine 5'-diphosphate (ADP),Nucleotide,"Purine metabolism, adenine containing",,C00008,HMDB01341,
adenosine 5'-monophosphate (AMP),Nucleotide,"Purine metabolism, adenine containing",,C00020,HMDB00045,
adenosine 5'-triphosphate (ATP),Nucleotide,"Purine metabolism, adenine containing",,C00002,HMDB00538,
adenosine 5'diphosphoribose,Cofactors and vitamins,Nicotinate and nicotinamide metabolism,,C00301,HMDB01178,
adrenate (22:4n6),Lipid,Long chain fatty acid,,C16527,HMDB02226,
agmatine,Amino acid,Polyamine metabolism,,C00179,HMDB01432,
alanine,Amino acid,Alanine and aspartate metabolism,,C00041,HMDB00161,
alanylleucine,Peptide,Dipeptide,,,,
alanyltyrosine,Peptide,Dipeptide,,,,
alpha-hydroxyisovalerate,Amino acid,"Valine, leucine and isoleucine metabolism",,,HMDB00407,
alpha-ketoglutarate,Energy,Krebs cycle,,C00026,HMDB00208,
alpha-tocopherol,Cofactors and vitamins,Tocopherol metabolism,,C02477,HMDB01893,
anserine,Peptide,Dipeptide derivative,,C01262,HMDB00194,
arabitol,Carbohydrate,"Nucleotide sugars, pentose metabolism",,C00474,HMDB01851,
arachidonate (20:4n6),Lipid,Long chain fatty acid,,C00219,HMDB01043,
arginine,Amino acid,"Urea cycle; arginine-, proline-, metabolism",,C00062,HMDB00517,
ascorbate (Vitamin C),Cofactors and vitamins,Ascorbate and aldarate metabolism,,C00072,HMDB00044,
asparagine,Amino acid,Alanine and aspartate metabolism,,C00152,HMDB00168,
aspartate,Amino acid,Alanine and aspartate metabolism,,C00049,HMDB00191,
aspartylphenylalanine,Peptide,Dipeptide,,,HMDB00706,
azelate (nonanedioate),Lipid,"Fatty acid, dicarboxylate",,C08261,HMDB00784,
beta-alanine,Amino acid,Alanine and aspartate metabolism,,C00099,HMDB00056,
beta-hydroxyisovalerate,Amino acid,"Valine, leucine and isoleucine metabolism",,,HMDB00754,
betaine,Amino acid,"Glycine, serine and threonine metabolism",,C00719,HMDB00043,
butyrylcarnitine,Lipid,Fatty acid metabolism (also BCAA metabolism),,C02862,HMDB02013,
C-glycosyltryptophan*,Amino acid,Tryptophan metabolism,,,,
caffeine,Xenobiotics,Xanthine metabolism,,C07481,HMDB01847,
carnitine,Lipid,Carnitine metabolism,,C00487,HMDB00062,
carnosine,Peptide,Dipeptide derivative,,C00386,HMDB00033,
catechol sulfate,Xenobiotics,Benzoate metabolism,,C00090,,
cholesterol,Lipid,Sterol/Steroid,,C00187,HMDB00067,
choline,Lipid,Glycerolipid metabolism,,C00114,HMDB00097,
choline phosphate,Lipid,Glycerolipid metabolism,,C00588,HMDB01565,
cis-aconitate,Energy,Krebs cycle,,C00417,HMDB00072,
cis-vaccenate (18:1n7),Lipid,Long chain fatty acid,,C08367,,
citrate,Energy,Krebs cycle,,C00158,HMDB00094,
citrulline,Amino acid,"Urea cycle; arginine-, proline-, metabolism",,C00327,HMDB00904,
coenzyme A,Cofactors and vitamins,Pantothenate and CoA metabolism,,C00010,HMDB01423,
creatine,Amino acid,Creatine metabolism,,C00300,HMDB00064,
creatinine,Amino acid,Creatine metabolism,,C00791,HMDB00562,
cysteine,Amino acid,"Cysteine, methionine, SAM, taurine metabolism",,C00097,HMDB00574,
cysteine-glutathione disulfide,Amino acid,Glutathione metabolism,,,HMDB00656,
cysteinylglycine,Peptide,Dipeptide,,C01419,HMDB00078,
cystine,Amino acid,"Cysteine, methionine, SAM, taurine metabolism",,C00491,HMDB00192,
cytidine,Nucleotide,"Pyrimidine metabolism, cytidine containing",,C00475,HMDB00089,
cytidine 5'-diphosphocholine,Lipid,Glycerolipid metabolism,,C00307,HMDB01413,
cytidine 5'-monophosphate (5'-CMP),Nucleotide,"Pyrimidine metabolism, cytidine containing",,C00055,HMDB00095,
dehydroisoandrosterone sulfate (DHEA-S),Lipid,Sterol/Steroid,,C04555,HMDB01032,
deoxycarnitine,Lipid,Carnitine metabolism,,C01181,HMDB01161,
deoxycholate,Lipid,Bile acid metabolism,,C04483,HMDB00626,
desmethylnaproxen sulfate*,Xenobiotics,Drug,,,,
dihomo-linoleate (20:2n6),Lipid,Long chain fatty acid,,C16525,,
dihomo-linolenate (20:3n3 or n6),Lipid,Essential fatty acid,,C03242,HMDB02925,
dimethylarginine (SDMA + ADMA),Amino acid,"Urea cycle; arginine-, proline-, metabolism",,C03626,"HMDB01539,HMDB03334",
docosadienoate (22:2n6),Lipid,Long chain fatty acid,,C16533,,
docosahexaenoate (DHA; 22:6n3),Lipid,Essential fatty acid,,C06429,HMDB02183,
docosapentaenoate (n3 DPA; 22:5n3),Lipid,Essential fatty acid,,C16513,HMDB01976,
docosapentaenoate (n6 DPA; 22:5n6),Lipid,Essential fatty acid,,C06429,HMDB13123,
docosatrienoate (22:3n3),Lipid,Long chain fatty acid,,C16534,HMDB02823,
eicosapentaenoate (EPA; 20:5n3),Lipid,Essential fatty acid,,C06428,HMDB01999,
eicosenoate (20:1n9 or 11),Lipid,Long chain fatty acid,,,HMDB02231,
ergothioneine,Xenobiotics,Food component/Plant,,C05570,HMDB03045,
erythritol,Xenobiotics,"Sugar, sugar substitute, starch",,C00503,HMDB02994,
erythronate*,Carbohydrate,Aminosugars metabolism,,,HMDB00613,
ethanolamine,Lipid,Glycerolipid metabolism,,C00189,HMDB00149,
flavin adenine dinucleotide (FAD),Cofactors and vitamins,Riboflavin metabolism,,C00016,HMDB01248,
fructose,Carbohydrate,"Fructose, mannose, galactose, starch, and sucrose metabolism",,C00095,HMDB00660,
fructose-6-phosphate,Carbohydrate,"Glycolysis, gluconeogenesis, pyruvate metabolism",,C05345,HMDB00124,
fucose,Carbohydrate,Aminosugars metabolism,,C00382,HMDB00174,
fumarate,Energy,Krebs cycle,,C00122,HMDB00134,
galactose,Carbohydrate,"Fructose, mannose, galactose, starch, and sucrose metabolism",,C01662,HMDB00143,
gamma-aminobutyrate (GABA),Amino acid,Glutamate metabolism,,C00334,HMDB00112,
gamma-glutamylalanine,Peptide,gamma-glutamyl,,,,
gamma-glutamylglutamate,Peptide,gamma-glutamyl,,,,
gamma-glutamylglutamine,Peptide,gamma-glutamyl,,,HMDB11738,
gamma-glutamylleucine,Peptide,gamma-glutamyl,,,HMDB11171,
gamma-glutamylmethionine,Peptide,gamma-glutamyl,,,,
gamma-tocopherol,Cofactors and vitamins,Tocopherol metabolism,,C02483,HMDB01492,
gluconate,Carbohydrate,"Nucleotide sugars, pentose metabolism",,C00257,HMDB00625,
glucose,Carbohydrate,"Glycolysis, gluconeogenesis, pyruvate metabolism",,C00293,HMDB00122,
glucose-6-phosphate (G6P),Carbohydrate,"Glycolysis, gluconeogenesis, pyruvate metabolism",,C00668,HMDB01401,
glutamate,Amino acid,Glutamate metabolism,,C00025,HMDB03339,
"glutamate, gamma-methyl ester",Amino acid,Glutamate metabolism,,,,
glutamine,Amino acid,Glutamate metabolism,,C00064,HMDB00641,
glutarate (pentanedioate),Amino acid,Lysine metabolism,,C00489,HMDB00661,
glutaroyl carnitine,Amino acid,Lysine metabolism,,,HMDB13130,
"glutathione, oxidized (GSSG)",Amino acid,Glutathione metabolism,,C00127,HMDB03337,
"glutathione, reduced (GSH)",Amino acid,Glutathione metabolism,,C00051,HMDB00125,
glycerate,Carbohydrate,"Glycolysis, gluconeogenesis, pyruvate metabolism",,C00258,HMDB00139,
glycerol,Lipid,Glycerolipid metabolism,,C00116,HMDB00131,
glycerol 2-phosphate,Xenobiotics,Chemical,,C02979,HMDB02520,
glycerol 3-phosphate (G3P),Lipid,Glycerolipid metabolism,,C00093,HMDB00126,
glycerophosphoethanolamine,Lipid,Glycerolipid metabolism,,C01233,HMDB00114,
glycerophosphorylcholine (GPC),Lipid,Glycerolipid metabolism,,C00670,HMDB00086,
glycine,Amino acid,"Glycine, serine and threonine metabolism",,C00037,HMDB00123,
glycylisoleucine,Peptide,Dipeptide,,,,
glycylleucine,Peptide,Dipeptide,,C02155,HMDB00759,
glycylproline,Peptide,Dipeptide,,,HMDB00721,
glycyltyrosine,Peptide,Dipeptide,,,,
guanine,Nucleotide,"Purine metabolism, guanine containing",,C00242,HMDB00132,
guanosine,Nucleotide,"Purine metabolism, guanine containing",,C00387,HMDB00133,
guanosine 5'- monophosphate (GMP),Nucleotide,"Purine metabolism, guanine containing",,C00144,HMDB01397,
heme*,Cofactors and vitamins,Hemoglobin and porphyrin,,C00032,HMDB03178,
hexanoylcarnitine,Lipid,Carnitine metabolism,,C01585,HMDB00705,
hippurate,Xenobiotics,Benzoate metabolism,,C01586,HMDB00714,
histamine,Amino acid,Histidine metabolism,,C00388,HMDB00870,
histidine,Amino acid,Histidine metabolism,,C00135,HMDB00177,
homocarnosine,Peptide,Dipeptide derivative,,C00884,HMDB00745,
hydroxyisovaleroyl carnitine,Amino acid,"Valine, leucine and isoleucine metabolism",,,,
hypotaurine,Amino acid,"Cysteine, methionine, SAM, taurine metabolism",,C00519,HMDB00965,
hypoxanthine,Nucleotide,"Purine metabolism, (hypo)xanthine/inosine containing",,C00262,HMDB00157,
indolelactate,Amino acid,Tryptophan metabolism,,C02043,HMDB00671,
inosine,Nucleotide,"Purine metabolism, (hypo)xanthine/inosine containing",,C00294,HMDB00195,
inositol 1-phosphate (I1P),Lipid,Inositol metabolism,,C01177,HMDB02985,
"Isobar: fructose 1,6-diphosphate, glucose 1,6-diphosphate",Carbohydrate,"Glycolysis, gluconeogenesis, pyruvate metabolism",,,,
isobutyrylcarnitine,Amino acid,"Valine, leucine and isoleucine metabolism",,,HMDB00736,
isocitrate,Energy,Krebs cycle,,C00311,"HMDB00193,HMDB01874",
isoleucine,Amino acid,"Valine, leucine and isoleucine metabolism",,C00407,HMDB00172,
isoleucylisoleucine,Peptide,Dipeptide,,,,
isovalerylcarnitine,Amino acid,"Valine, leucine and isoleucine metabolism",,,HMDB00688,
kynurenine,Amino acid,Tryptophan metabolism,,C00328,HMDB00684,
lactate,Carbohydrate,"Glycolysis, gluconeogenesis, pyruvate metabolism",,C00186,HMDB00190,
leucine,Amino acid,"Valine, leucine and isoleucine metabolism",,C00123,HMDB00687,
leucylleucine,Peptide,Dipeptide,,C11332,,
lidocaine,Xenobiotics,Drug,,D00358,,
linoleate (18:2n6),Lipid,Long chain fatty acid,,C01595,HMDB00673,
linolenate [alpha or gamma; (18:3n3 or 6)],Lipid,Essential fatty acid,,C06427,HMDB01388,
lysine,Amino acid,Lysine metabolism,,C00047,HMDB00182,
malate,Energy,Krebs cycle,,C00149,HMDB00156,
maltose,Carbohydrate,"Fructose, mannose, galactose, starch, and sucrose metabolism",,C00208,HMDB00163,
maltotetraose,Carbohydrate,"Fructose, mannose, galactose, starch, and sucrose metabolism",,C02052,HMDB01296,
maltotriose,Carbohydrate,"Fructose, mannose, galactose, starch, and sucrose metabolism",,C01835,HMDB01262,
mannitol,Carbohydrate,"Fructose, mannose, galactose, starch, and sucrose metabolism",,C00392,HMDB00765,
mannose,Carbohydrate,"Fructose, mannose, galactose, starch, and sucrose metabolism",,C00159,HMDB00169,
mannose-6-phosphate,Carbohydrate,"Fructose, mannose, galactose, starch, and sucrose metabolism",,C00275,HMDB01078,
margarate (17:0),Lipid,Long chain fatty acid,,,HMDB02259,
methionine,Amino acid,"Cysteine, methionine, SAM, taurine metabolism",,C00073,HMDB00696,
methyl-alpha-glucopyranoside,Xenobiotics,Chemical,,C03619,,
methylphosphate,Nucleotide,Purine and pyrimidine metabolism,,,,
myo-inositol,Lipid,Inositol metabolism,,C00137,HMDB00211,
myristate (14:0),Lipid,Long chain fatty acid,,C06424,HMDB00806,
N-acetyl-aspartyl-glutamate (NAAG),Amino acid,Glutamate metabolism,,C12270,HMDB01067,
N-acetylalanine,Amino acid,Alanine and aspartate metabolism,,C02847,HMDB00766,
N-acetylaspartate (NAA),Amino acid,Alanine and aspartate metabolism,,C01042,HMDB00812,
N-acetylglucosamine,Carbohydrate,Aminosugars metabolism,,C00140,HMDB00215,
N-acetylmethionine,Amino acid,"Cysteine, methionine, SAM, taurine metabolism",,C02712,HMDB11745,
N-acetylneuraminate,Carbohydrate,Aminosugars metabolism,,C00270,HMDB00230,
N-acetylputrescine,Amino acid,Polyamine metabolism,,C02714,HMDB02064,
N-acetylserine,Amino acid,"Glycine, serine and threonine metabolism",,,HMDB02931,
N-acetylthreonine,Amino acid,"Glycine, serine and threonine metabolism",,C01118,,
N-acetyltryptophan,Amino acid,Tryptophan metabolism,,C03137,,
N-ethylglycinexylidide*,Xenobiotics,Drug,,C16561,,
N1-methyladenosine,Nucleotide,"Purine metabolism, adenine containing",,C02494,HMDB03331,
N1-methylguanosine,Nucleotide,"Purine metabolism, guanine containing",,,HMDB01563,
N6-acetyllysine,Amino acid,Lysine metabolism,,C02727,HMDB00206,
nicotinamide,Cofactors and vitamins,Nicotinate and nicotinamide metabolism,,C00153,HMDB01406,
nicotinamide adenine dinucleotide (NAD+),Cofactors and vitamins,Nicotinate and nicotinamide metabolism,,C00003,HMDB00902,
nicotinamide adenine dinucleotide reduced (NADH),Cofactors and vitamins,Nicotinate and nicotinamide metabolism,,C00004,HMDB01487,
nicotinamide ribonucleotide (NMN),Cofactors and vitamins,Nicotinate and nicotinamide metabolism,,C00455,HMDB00229,
nicotinamide riboside*,Cofactors and vitamins,Nicotinate and nicotinamide metabolism,,C03150,HMDB00855,
nonadecanoate (19:0),Lipid,Long chain fatty acid,,C16535,HMDB00772,
oleate (18:1n9),Lipid,Long chain fatty acid,,C00712,HMDB00207,
oleoylcarnitine,Lipid,Carnitine metabolism,,,HMDB05065,
ophthalmate,Amino acid,Glutathione metabolism,,,HMDB05765,
ornithine,Amino acid,"Urea cycle; arginine-, proline-, metabolism",,C00077,HMDB03374,
p-acetamidophenylglucuronide,Xenobiotics,Drug,,,HMDB10316,
p-cresol sulfate,Amino acid,Phenylalanine & tyrosine metabolism,,C01468,,
palmitate (16:0),Lipid,Long chain fatty acid,,C00249,HMDB00220,
palmitoleate (16:1n7),Lipid,Long chain fatty acid,,C08362,HMDB03229,
palmitoyl sphingomyelin,Lipid,Sphingolipid,,,,
pantothenate,Cofactors and vitamins,Pantothenate and CoA metabolism,,C00864,HMDB00210,
paraxanthine,Xenobiotics,Xanthine metabolism,,C13747,HMDB01860,
penicillin G,Xenobiotics,Drug,,C05551,,
phenol sulfate,Amino acid,Phenylalanine & tyrosine metabolism,,C02180,,
phenylacetylglutamine,Amino acid,Phenylalanine & tyrosine metabolism,,C05597,HMDB06344,
phenylacetylglycine,Amino acid,Phenylalanine & tyrosine metabolism,,C05598,HMDB00821,
phenylalanine,Amino acid,Phenylalanine & tyrosine metabolism,,C00079,HMDB00159,
phosphate,Energy,Oxidative phosphorylation,,C00009,HMDB01429,
phosphoethanolamine,Lipid,Glycerolipid metabolism,,C00346,HMDB00224,
pipecolate,Amino acid,Lysine metabolism,,C00408,HMDB00070,
piperine,Xenobiotics,Food component/Plant,,C03882,,
proline,Amino acid,"Urea cycle; arginine-, proline-, metabolism",,C00148,HMDB00162,
propionylcarnitine,Lipid,Fatty acid metabolism (also BCAA metabolism),,C03017,HMDB00824,
pseudouridine,Nucleotide,"Pyrimidine metabolism, uracil containing",,C02067,HMDB00767,
putrescine,Amino acid,Polyamine metabolism,,C00134,HMDB01414,
pyridoxate,Cofactors and vitamins,Vitamin B6 metabolism,,C00847,HMDB00017,
pyroglutamine*,Amino acid,Glutamate metabolism,,,,
pyroglutamylvaline,Peptide,Dipeptide,,,,
pyruvate,Carbohydrate,"Glycolysis, gluconeogenesis, pyruvate metabolism",,C00022,HMDB00243,
quinate,Xenobiotics,Food component/Plant,,C00296,HMDB03072,
quinolinate,Cofactors and vitamins,Nicotinate and nicotinamide metabolism,,C03722,HMDB00232,
ribitol,Carbohydrate,"Nucleotide sugars, pentose metabolism",,C00474,HMDB00508,
riboflavin (Vitamin B2),Cofactors and vitamins,Riboflavin metabolism,,C00255,HMDB00244,
ribose,Carbohydrate,"Nucleotide sugars, pentose metabolism",,C00121,HMDB00283,
ribulose,Carbohydrate,"Nucleotide sugars, pentose metabolism",,C00309,"HMDB00621,HMDB03371",
S-adenosylhomocysteine (SAH),Amino acid,"Cysteine, methionine, SAM, taurine metabolism",,C00021,HMDB00939,
saccharopine,Amino acid,Lysine metabolism,,C00449,HMDB00279,
sarcosine (N-Methylglycine),Amino acid,"Glycine, serine and threonine metabolism",,C00213,HMDB00271,
scyllo-inositol,Lipid,Inositol metabolism,,C06153,HMDB06088,
sebacate (decanedioate),Lipid,"Fatty acid, dicarboxylate",,C08277,HMDB00792,
serine,Amino acid,"Glycine, serine and threonine metabolism",,C00065,HMDB03406,
serotonin (5HT),Amino acid,Tryptophan metabolism,,C00780,HMDB00259,
sorbitol,Carbohydrate,"Fructose, mannose, galactose, starch, and sucrose metabolism",,C00794,HMDB00247,
spermidine,Amino acid,Polyamine metabolism,,C00315,HMDB01257,
spermine,Amino acid,Polyamine metabolism,,C00750,HMDB01256,
sphingosine,Lipid,Sphingolipid,,C00319,HMDB00252,
stearate (18:0),Lipid,Long chain fatty acid,,C01530,HMDB00827,
stearoyl sphingomyelin,Lipid,Sphingolipid,,C00550,HMDB01348,
stearoylcarnitine,Lipid,Carnitine metabolism,,,HMDB00848,
succinate,Energy,Krebs cycle,,C00042,HMDB00254,
succinylcarnitine,Energy,Krebs cycle,,,,
taurine,Amino acid,"Cysteine, methionine, SAM, taurine metabolism",,C00245,HMDB00251,
theobromine,Xenobiotics,Xanthine metabolism,,C07480,HMDB02825,
threonine,Amino acid,"Glycine, serine and threonine metabolism",,C00188,HMDB00167,
threonylphenylalanine,Peptide,Dipeptide,,,,
tiglyl carnitine,Amino acid,"Valine, leucine and isoleucine metabolism",,,HMDB02366,
trans-4-hydroxyproline,Amino acid,"Urea cycle; arginine-, proline-, metabolism",,C01157,HMDB00725,
triethyleneglycol,Xenobiotics,Chemical,,,,
tryptophan,Amino acid,Tryptophan metabolism,,C00078,HMDB00929,
tryptophan betaine,Amino acid,Tryptophan metabolism,,C09213,,
tyrosine,Amino acid,Phenylalanine & tyrosine metabolism,,C00082,HMDB00158,
UDP-N-acetylglucosamine,Carbohydrate,"Nucleotide sugars, pentose metabolism",,C00043,HMDB00290,
uracil,Nucleotide,"Pyrimidine metabolism, uracil containing",,C00106,HMDB00300,
urate,Nucleotide,"Purine metabolism, urate metabolism",,C00366,HMDB00289,
urea,Amino acid,"Urea cycle; arginine-, proline-, metabolism",,C00086,HMDB00294,
uridine,Nucleotide,"Pyrimidine metabolism, uracil containing",,C00299,HMDB00296,
uridine 5'-diphosphate (UDP),Nucleotide,"Pyrimidine metabolism, uracil containing",,C00015,HMDB00295,
uridine 5'-monophosphate (UMP),Nucleotide,"Pyrimidine metabolism, uracil containing",,C00105,HMDB00288,
valerylcarnitine,Lipid,Fatty acid metabolism,,,HMDB13128,
valine,Amino acid,"Valine, leucine and isoleucine metabolism",,C00183,HMDB00883,
xanthine,Nucleotide,"Purine metabolism, (hypo)xanthine/inosine containing",,C00385,HMDB00292,
xanthosine,Nucleotide,"Purine metabolism, (hypo)xanthine/inosine containing",,C01762,HMDB00299,
xylitol,Carbohydrate,"Nucleotide sugars, pentose metabolism",,C00379,HMDB00568,
xylulose,Carbohydrate,"Nucleotide sugars, pentose metabolism",,C00310,HMDB00654,
