Name	Super Pathway	SubPathway	Pubchem	KEGG	Human Metabolome Database	ChEBI
2-arachidonoylglycerophosphocholine*	Lipid	Lysolipid	NA	NA	NA	NA
2-arachidonoylglycerophosphoethanolamine*	Lipid	Lysolipid	NA	NA	NA	NA
2-docosahexaenoylglycerophosphoethanolamine*	Lipid	Lysolipid	NA	NA	NA	NA
2-docosapentaenoylglycerophosphoethanolamine*	Lipid	Lysolipid	NA	NA	NA	NA
2-hydroxyacetaminophen sulfate*	Xenobiotics	Drug	NA	NA	NA	NA
2-hydroxybutyrate (AHB)	Amino acid	"Cysteine, methionine, SAM, taurine metabolism"	440864|11266	C05984	HMDB00008	CHEBI:50613|CHEBI:1148
2-hydroxyglutarate	Lipid	"Fatty acid, dicarboxylate"	43|439391	C02630|C01087	HMDB00606	CHEBI:17084|CHEBI:32796
2-hydroxyhippurate (salicylurate)	Xenobiotics	Benzoate metabolism	10253	C07588	HMDB00840	CHEBI:9008
2-hydroxypalmitate	Lipid	"Fatty acid, monohydroxy"	NA	NA	NA	NA
2-hydroxystearate	Lipid	"Fatty acid, monohydroxy"	439887	C03045	NA	CHEBI:18129
2-linoleoylglycerophosphocholine*	Lipid	Lysolipid	NA	NA	NA	NA
2-linoleoylglycerophosphoethanolamine*	Lipid	Lysolipid	NA	NA	NA	NA
2-methoxyacetaminophen sulfate*	Xenobiotics	Drug	NA	NA	NA	NA
2-methylbutyroylcarnitine	Amino acid	"Valine, leucine and isoleucine metabolism"	6426901	NA	HMDB00378	CHEBI:73026
2-methylmalonyl carnitine	Lipid	Carnitine metabolism	NA	NA	NA	NA
2-myristoylglycerophosphocholine*	Lipid	Lysolipid	NA	NA	NA	NA
2-oleoylglycerol (2-monoolein)	Lipid	Monoacylglycerol	NA	NA	NA	NA
2-oleoylglycerophosphocholine*	Lipid	Lysolipid	NA	NA	NA	NA
2-oleoylglycerophosphoethanolamine*	Lipid	Lysolipid	NA	NA	NA	NA
2-palmitoleoylglycerophosphocholine*	Lipid	Lysolipid	NA	NA	NA	NA
2-palmitoleoylglycerophosphoethanolamine*	Lipid	Lysolipid	NA	NA	NA	NA
2-palmitoylglycerol (2-monopalmitin)	Lipid	Monoacylglycerol	NA	NA	NA	NA
2-palmitoylglycerophosphocholine*	Lipid	Lysolipid	NA	NA	NA	NA
3-(4-hydroxyphenyl)lactate	Amino acid	Phenylalanine & tyrosine metabolism	9378	C03672	HMDB00755	CHEBI:17385
3-aminoisobutyrate	Nucleotide	"Pyrimidine metabolism, thymine containing; Valine, leucine and isoleucine metabolism/"	64956|25201103|439434|6971062	C05145|C03284	HMDB03911|HMDB02166	CHEBI:27389|CHEBI:33094|CHEBI:58655
3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	Lipid	"Fatty acid, dicarboxylate"	NA	NA	NA	NA
3-dehydrocarnitine*	Lipid	Carnitine metabolism	439773	C02636	NA	CHEBI:16758
3-hydroxybutyrate (BHBA)	Lipid	Ketone bodies	92135|441	C01089	HMDB00357|HMDB00011	CHEBI:17066|CHEBI:20067
3-hydroxydecanoate	Lipid	"Fatty acid, monohydroxy"	26612	NA	HMDB02203	NA
3-methyl-2-oxobutyrate	Amino acid	"Valine, leucine and isoleucine metabolism"	49	C00141	HMDB00019	CHEBI:16530
3-methyl-2-oxovalerate	Amino acid	"Valine, leucine and isoleucine metabolism"	439286	C00671	HMDB03736	CHEBI:15614
3-methylhistidine	Amino acid	Histidine metabolism	6971061|64969|92105|7020397	C01152	HMDB00479|HMDB00001	CHEBI:27596|CHEBI:50599
3-phenylpropionate (hydrocinnamate)	Amino acid	Phenylalanine & tyrosine metabolism	107	C05629	HMDB00764	CHEBI:28631
3-phosphoglycerate	Carbohydrate	"Glycolysis, gluconeogenesis, pyruvate metabolism"	724	C00597	HMDB00807	CHEBI:17050
4-acetaminophen sulfate	Xenobiotics	Drug	NA	NA	NA	NA
"4-androsten-3beta,17beta-diol disulfate 1*"	Lipid	Sterol/Steroid	NA	NA	NA	NA
4-hydroxybutyrate (GHB)	Lipid	"Fatty acid, monohydroxy"	3037032|10413	C00989|C01991	HMDB00710	CHEBI:16724|CHEBI:30830
4-hydroxyphenylpyruvate	Amino acid	Phenylalanine & tyrosine metabolism	979	C01179	HMDB00707	CHEBI:15999
4-methyl-2-oxopentanoate	Amino acid	"Valine, leucine and isoleucine metabolism"	70	C00233	HMDB00695	CHEBI:48430
4-octenedioate	Lipid	"Fatty acid, dicarboxylate"	11805205	NA	HMDB04982	NA
5-aminovalerate	Amino acid	"Urea cycle; arginine-, proline-, metabolism"	6992101|138	C00431	HMDB03355	CHEBI:15887|CHEBI:356010
5-methylthioadenosine (MTA)	Amino acid	Polyamine metabolism	439176	C00170	HMDB01173	CHEBI:17509
5-oxoproline	Amino acid	Glutathione metabolism	7405	C01879	HMDB00267	CHEBI:18183
"5,6-dihydrouracil"	Nucleotide	"Pyrimidine metabolism, uracil containing"	649	C00429	HMDB00076	CHEBI:15901
"5alpha-pregnan-3beta,20alpha-diol disulfate"	Lipid	Sterol/Steroid	NA	NA	NA	NA
6-phosphogluconate	Carbohydrate	"Nucleotide sugars, pentose metabolism"	91493	C00345	HMDB01316	CHEBI:48928
7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)	Lipid	Sterol/Steroid	3081085	C17337	NA	NA
7-beta-hydroxycholesterol	Lipid	Sterol/Steroid	107722|473141	C03594	HMDB06119	CHEBI:17500|CHEBI:42989
acetylcarnitine	Lipid	Carnitine metabolism	NA	NA	NA	NA
adenine	Nucleotide	"Purine metabolism, adenine containing"	190	C00147|D00034	HMDB00034	CHEBI:16708
adenosine	Nucleotide	"Purine metabolism, adenine containing"	60961|32326	C00212|C07195|D00045|D00406	HMDB00050	CHEBI:16335
adenosine 2'-monophosphate (2'-AMP)	Nucleotide	"Purine metabolism, adenine containing"	94136|53481006	C00946	HMDB11617	CHEBI:28223
adenosine 3'-monophosphate (3'-AMP)	Nucleotide	"Purine metabolism, adenine containing"	41211	C01367	HMDB03540	CHEBI:28931
adenosine 5'-monophosphate (AMP)	Nucleotide	"Purine metabolism, adenine containing"	6083	C00020|D02769	HMDB00045	CHEBI:16027
adenosine 5'diphosphoribose	Cofactors and vitamins	Nicotinate and nicotinamide metabolism	445794|192	C00301	HMDB01178	NA
adrenate (22:4n6)	Lipid	Long chain fatty acid	5497181	C16527	HMDB02226	CHEBI:53487
ADSGEGDFXAEGGGVR*	Peptide	Fibrinogen cleavage peptide	NA	NA	NA	NA
alanine	Amino acid	Alanine and aspartate metabolism	7311724|5950	C00041|D00012	HMDB00161	CHEBI:16977|CHEBI:57972
alanylhistidine	Peptide	dipeptide	NA	NA	NA	NA
alanylleucine	Peptide	Dipeptide	NA	NA	NA	NA
allo-threonine	Amino acid	"Glycine, serine and threonine metabolism"	99289|6995276|6971019|6288	C05519|C00188|D00041	HMDB04041|HMDB00167	CHEBI:28718|CHEBI:58585|CHEBI:16857|CHEBI:57926
alpha-ketoglutarate	Energy	Krebs cycle	51	C00026	HMDB00208	CHEBI:30915
alpha-tocopherol	Cofactors and vitamins	Tocopherol metabolism	14985	C02477	HMDB01893	CHEBI:18145
andro steroid monosulfate 1*	Lipid	Sterol/Steroid	NA	NA	NA	NA
andro steroid monosulfate 2*	Lipid	Sterol/Steroid	NA	NA	NA	NA
androsterone sulfate	Lipid	Sterol/Steroid	5879|159663	C00523	HMDB02759	CHEBI:16032
arachidonate (20:4n6)	Lipid	Long chain fatty acid	444899	C00219	HMDB01043	CHEBI:15843
arginine	Amino acid	"Urea cycle; arginine-, proline-, metabolism"	6322|28782|71070	C00062|D02982|C00792	HMDB03416|HMDB00517	CHEBI:16467|CHEBI:15816
ascorbate (Vitamin C)	Cofactors and vitamins	Ascorbate and aldarate metabolism	54670067	C00072|D00018	HMDB00044	CHEBI:29073
asparagine	Amino acid	Alanine and aspartate metabolism	6992089|6267	C00152	HMDB00168	CHEBI:17196|CHEBI:58048
aspartate	Amino acid	Alanine and aspartate metabolism	44367445|5960	C00049|D00013	HMDB00191	CHEBI:17053
aspartylphenylalanine	Peptide	Dipeptide	93078	NA	HMDB00706	CHEBI:73830
behenate (22:0)	Lipid	Long chain fatty acid	8215	C08281	HMDB00944	CHEBI:28941
beta-alanine	Amino acid	Alanine and aspartate metabolism	4755801|239	C00099|D07561	HMDB00056	CHEBI:16958|CHEBI:57966
beta-tocopherol	Cofactors and vitamins	Tocopherol metabolism	8989|6857447	C14152	HMDB06335	CHEBI:47771
betaine	Amino acid	"Glycine, serine and threonine metabolism"	247	C00719|D07523	HMDB00043	CHEBI:17750
"bilirubin (E,E)*"	Cofactors and vitamins	Hemoglobin and porphyrin metabolism	NA	NA	NA	NA
butyrylcarnitine	Lipid	Fatty acid metabolism (also BCAA metabolism)	439829	C02862	HMDB02013	CHEBI:7676
C-glycosyltryptophan*	Amino acid	Tryptophan metabolism	NA	NA	NA	NA
caproate (6:0)	Lipid	Medium chain fatty acid	8892	C01585	HMDB00535	CHEBI:30776
carnitine	Lipid	Carnitine metabolism	85|2724480	C00487|C15025	HMDB00062	CHEBI:3424|CHEBI:11060
catechol sulfate	Xenobiotics	Benzoate metabolism	289	C00090|C01785|C15571	HMDB00957	CHEBI:18135
cholesterol	Lipid	Sterol/Steroid	5997|11025495	C00187|D00040	HMDB00067	CHEBI:16113
choline	Lipid	Glycerolipid metabolism	305	C00114|D07690	HMDB00097	CHEBI:15354
choline phosphate	Lipid	Glycerolipid metabolism	1014	C00588	HMDB01565	CHEBI:18132
cis-vaccenate (18:1n7)	Lipid	Long chain fatty acid	5281127	C08367	NA	CHEBI:28727|CHEBI:36023
citrate	Energy	Krebs cycle	311|19782904	C00158|D00037	HMDB00094	CHEBI:30769
citrulline	Amino acid	"Urea cycle; arginine-, proline-, metabolism"	9750|6992098	C00327|D07706	HMDB00904	CHEBI:16349|CHEBI:57743
"conjugated linoleate (18:2n7; 9Z,11E)"	Lipid	Long chain fatty acid	5280644|5282796|5351472	C04056	HMDB05047|HMDB03797|HMDB05048	CHEBI:32798|CHEBI:36025
cortisol	Lipid	Sterol/Steroid	5754|657311	C00735|D00088	HMDB00063	CHEBI:17650
creatine	Amino acid	Creatine metabolism	59098743|586	C00300	HMDB00064	CHEBI:16919|CHEBI:57947
creatinine	Amino acid	Creatine metabolism	588	C00791|D03600	HMDB00562	CHEBI:16737
cystathionine	Amino acid	"Cysteine, methionine, SAM, taurine metabolism"	25243997|439258	C02291	HMDB00099	CHEBI:17482|CHEBI:58161
cysteine	Amino acid	"Cysteine, methionine, SAM, taurine metabolism"	5862|6419722	C00097|D00026	HMDB00574	CHEBI:17561|CHEBI:35235|CHEBI:47910|CHEBI:58717|CHEBI:61894
cysteine-glutathione disulfide	Amino acid	Glutathione metabolism	53477713	NA	HMDB00656	NA
cystine	Amino acid	"Cysteine, methionine, SAM, taurine metabolism"	6992103|67678	C00491|D03636	HMDB00192	CHEBI:16283|CHEBI:35491
cytidine	Nucleotide	"Pyrimidine metabolism, cytidine containing"	6175	C00475|D07769	HMDB00089	CHEBI:17562
cytidine 5'-diphosphocholine	Lipid	Glycerolipid metabolism	13804|11583971	C00307|D00057	HMDB01413	CHEBI:16436
cytidine 5'-monophosphate (5'-CMP)	Nucleotide	"Pyrimidine metabolism, cytidine containing"	6131	C00055	HMDB00095	CHEBI:17361
dehydroisoandrosterone sulfate (DHEA-S)	Lipid	Sterol/Steroid	12594	C04555	HMDB01032	CHEBI:16814
deoxycarnitine	Lipid	Carnitine metabolism	134	C01181	HMDB01161	CHEBI:1941
desmethylnaproxen sulfate*	Xenobiotics	Drug	NA	NA	NA	NA
dihomo-linoleate (20:2n6)	Lipid	Long chain fatty acid	NA	NA	NA	NA
dihomo-linolenate (20:3n3 or n6)	Lipid	Essential fatty acid	5280581	C03242	HMDB02925	CHEBI:53486
dimethylarginine (SDMA + ADMA)	Amino acid	"Urea cycle; arginine-, proline-, metabolism"	123831|51351707|169148	C03626	HMDB01539|HMDB03334	CHEBI:17929|CHEBI:25682|CHEBI:61914
docosadienoate (22:2n6)	Lipid	Long chain fatty acid	NA	NA	NA	NA
docosahexaenoate (DHA; 22:6n3)	Lipid	Essential fatty acid	445580	C06429	HMDB02183	CHEBI:28125
docosapentaenoate (n3 DPA; 22:5n3)	Lipid	Essential fatty acid	5497182|6441454	C16513	HMDB01976|HMDB06528|HMDB13123	CHEBI:53488|CHEBI:65136
docosatrienoate (22:3n3)	Lipid	Long chain fatty acid	5312556|5312557	C16534	HMDB02823	NA
eicosapentaenoate (EPA; 20:5n3)	Lipid	Essential fatty acid	446284	C06428|D08061	HMDB01999	CHEBI:28364
eicosenoate (20:1n9 or 11)	Lipid	Long chain fatty acid	5282768	C16526	HMDB02231	CHEBI:32425
epiandrosterone sulfate	Lipid	Sterol/Steroid	441302	C07635	NA	CHEBI:541975
erythronate*	Carbohydrate	Aminosugars metabolism	5460407|2781043	C01620	HMDB00613	CHEBI:15908|CHEBI:37655
ethanolamine	Lipid	Glycerolipid metabolism	700	C00189|D05074	HMDB00149	CHEBI:16000
flavin adenine dinucleotide (FAD)	Cofactors and vitamins	Riboflavin metabolism	643975	C00016|D00005	HMDB01248	CHEBI:16238
fluoxitine	Xenobiotics	Drug	3386	D00326	NA	CHEBI:5118
folate	Cofactors and vitamins	Folate metabolism	6037	C00504|D00070	HMDB00121	CHEBI:27470
fructose	Carbohydrate	"Fructose, mannose, galactose, starch, and sucrose metabolism"	439163|439709	C00095|C02336	HMDB00660	CHEBI:37721|CHEBI:28645
fructose-6-phosphate	Carbohydrate	"Glycolysis, gluconeogenesis, pyruvate metabolism"	440641|69507	C05345	HMDB00124|HMDB03971	CHEBI:16084|CHEBI:15946
fucose	Carbohydrate	Aminosugars metabolism	17106	C00382|C01019	HMDB00174	CHEBI:2181
fumarate	Energy	Krebs cycle	444972|21883788	C00122|D02308	HMDB00134	CHEBI:18012|CHEBI:22958
galactose	Carbohydrate	"Fructose, mannose, galactose, starch, and sucrose metabolism"	439357	C01662|C00984|D04291	HMDB00143	CHEBI:28061|CHEBI:46953
gamma-aminobutyrate (GABA)	Amino acid	Glutamate metabolism	119|6992099	C00334|D00058	HMDB00112	CHEBI:16865|CHEBI:59888
gamma-glutamylalanine	Peptide	gamma-glutamyl	NA	NA	NA	NA
gamma-glutamylglutamate	Peptide	gamma-glutamyl	NA	NA	NA	NA
gamma-glutamylglutamine	Peptide	gamma-glutamyl	NA	NA	NA	NA
gamma-glutamylisoleucine*	Peptide	gamma-glutamyl	NA	NA	NA	NA
gamma-glutamylleucine	Peptide	gamma-glutamyl	NA	NA	NA	NA
gamma-glutamylmethionine*	Peptide	gamma-glutamyl	NA	NA	NA	NA
gamma-glutamyltyrosine	Peptide	gamma-glutamyl	NA	NA	NA	NA
gamma-tocopherol	Cofactors and vitamins	Tocopherol metabolism	92729|14986	C02483|D02332	HMDB01492	CHEBI:18185
gluconate	Carbohydrate	"Nucleotide sugars, pentose metabolism"	10690	C00257	HMDB00625	CHEBI:33198
glucose	Carbohydrate	"Glycolysis, gluconeogenesis, pyruvate metabolism"	5793	C00293|C00031|D00009	HMDB00122	CHEBI:4167|CHEBI:75792
glucose-6-phosphate (G6P)	Carbohydrate	"Glycolysis, gluconeogenesis, pyruvate metabolism"	439284|5958	C00668|C00092	HMDB01401	CHEBI:17665|CHEBI:4170
glucuronate	Carbohydrate	"Glycolysis, gluconeogenesis, pyruvate metabolism"	94715|444791	C00191	HMDB00127	CHEBI:47952|CHEBI:52591|CHEBI:42717|CHEBI:52773
glutamate	Amino acid	Glutamate metabolism	44272391|33032|23327	C00025|D00007|C00217	HMDB03339|HMDB00148	CHEBI:16015|CHEBI:53374|CHEBI:15966|CHEBI:53375
glutamine	Amino acid	Glutamate metabolism	6992086|5961	C00064|D00015	HMDB00641	CHEBI:18050|CHEBI:58359
"glutathione, oxidized (GSSG)"	Amino acid	Glutathione metabolism	11215652|65359|5255796|975	C00127|D00031	HMDB03337	CHEBI:17858
"glutathione, reduced (GSH)"	Amino acid	Glutathione metabolism	124886|25246407	C00051|C02471|D00014	HMDB00125	CHEBI:16856|CHEBI:60836
glycerate	Carbohydrate	"Glycolysis, gluconeogenesis, pyruvate metabolism"	439194	C00258	HMDB00139	CHEBI:32398
glycerol	Lipid	Glycerolipid metabolism	753	C00116|D00028|D05073	HMDB00131	CHEBI:15850|CHEBI:17522|CHEBI:17754
glycerol 2-phosphate	Xenobiotics	Chemical	2526	C02979	HMDB02520	CHEBI:17270
glycerol 3-phosphate (G3P)	Lipid	Glycerolipid metabolism	439162	C00093	HMDB00126	CHEBI:15978|CHEBI:17106
glycerophosphorylcholine (GPC)	Lipid	Glycerolipid metabolism	NA	NA	NA	NA
glycine	Amino acid	"Glycine, serine and threonine metabolism"	750|5257127	C00037|D00011	HMDB00123	CHEBI:15428|CHEBI:15705|CHEBI:16228|CHEBI:57305|CHEBI:59869|CHEBI:59871|CHEBI:62031|CHEBI:66884|CHEBI:66933
glycochenodeoxycholate	Lipid	Bile acid metabolism	NA	NA	NA	NA
glycocholate	Lipid	Bile acid metabolism	10140	C01921	NA	CHEBI:17687
glycodeoxycholate	Lipid	Bile acid metabolism	3035026|22833539	C05464	HMDB00631	CHEBI:27471
glycolithocholate sulfate*	Lipid	Bile acid metabolism	443113|53477756	C11301	HMDB02639	NA
glycylglycine	Peptide	Dipeptide	1548897|11163	C02037	HMDB11733	CHEBI:16670|CHEBI:17201|CHEBI:356445
glycylleucine	Peptide	Dipeptide	1548899|92843	C02155	HMDB00759	CHEBI:73514
glycylproline	Peptide	Dipeptide	44369312|79101	NA	HMDB00721	NA
glycylvaline	Peptide	Dipeptide	NA	NA	NA	NA
guanine	Nucleotide	"Purine metabolism, guanine containing"	764	C00242	HMDB00132	CHEBI:16235
guanosine	Nucleotide	"Purine metabolism, guanine containing"	6802	C00387	HMDB00133	CHEBI:16750
heme*	Cofactors and vitamins	Hemoglobin and porphyrin	NA	C00032	HMDB03178	CHEBI:17627|CHEBI:26355
hexanoylcarnitine	Lipid	Carnitine metabolism	6426853	NA	HMDB00705	CHEBI:70749
hippurate	Xenobiotics	Benzoate metabolism	464	C01586	HMDB00714	CHEBI:18089
histamine	Amino acid	Histidine metabolism	774|156615	C00388|D08040	HMDB00870	CHEBI:18295|CHEBI:73337
histidine	Amino acid	Histidine metabolism	6274|6971009	C00135|D00032	HMDB00177	CHEBI:15971|CHEBI:57595
homocarnosine	Peptide	Dipeptide derivative	10243361	C00884	HMDB00745	NA
homocysteine	Amino acid	"Cysteine, methionine, SAM, taurine metabolism"	6971015|91552|49791978|778	C00155|C05330	HMDB00742	CHEBI:17588|CHEBI:58199|CHEBI:17230|CHEBI:58065
hydroxyisovaleroyl carnitine	Amino acid	"Valine, leucine and isoleucine metabolism"	NA	NA	NA	NA
hypoxanthine	Nucleotide	"Purine metabolism, (hypo)xanthine/inosine containing"	790	C00262	HMDB00157	CHEBI:17368
ibuprofen	Xenobiotics	Drug	3672	C01588|D00126	HMDB01925	CHEBI:5855
inosine	Nucleotide	"Purine metabolism, (hypo)xanthine/inosine containing"	6021	C00294|D00054	HMDB00195	CHEBI:17596
inositol 1-phosphate (I1P)	Lipid	Inositol metabolism	NA	C01177|C04006	HMDB02985|HMDB00213	CHEBI:18297|CHEBI:64838|CHEBI:18169
"Isobar: fructose 1,6-diphosphate, glucose 1,6-diphosphate"	Carbohydrate	"Glycolysis, gluconeogenesis, pyruvate metabolism"	NA	NA	NA	NA
"Isobar: ribulose 5-phosphate, xylulose 5-phosphate"	Carbohydrate	"Nucleotide sugars, pentose metabolism"	NA	NA	NA	NA
isobutyrylcarnitine	Amino acid	"Valine, leucine and isoleucine metabolism"	10177002	NA	HMDB00736	CHEBI:73017
isoleucine	Amino acid	"Valine, leucine and isoleucine metabolism"	6306|7043901	C00407|D00065	HMDB00172	CHEBI:17191|CHEBI:58045
isovalerylcarnitine	Amino acid	"Valine, leucine and isoleucine metabolism"	6426851	NA	HMDB00688	NA
kynurenine	Amino acid	Tryptophan metabolism	161166|6971029	C00328	HMDB00684	CHEBI:16946|CHEBI:57959
lactate	Carbohydrate	"Glycolysis, gluconeogenesis, pyruvate metabolism"	107689	C00186	HMDB00190	CHEBI:422
laurate (12:0)	Lipid	Medium chain fatty acid	3893	C02679	HMDB00638	CHEBI:30805
laurylcarnitine	Lipid	Carnitine metabolism	NA	NA	NA	NA
leucine	Amino acid	"Valine, leucine and isoleucine metabolism"	6106|7045798	C00123|D00030	HMDB00687	CHEBI:15603|CHEBI:57427
lidocaine	Xenobiotics	Drug	3676	D04052|D00358|C07073	NA	CHEBI:6456
linoleate (18:2n6)	Lipid	Long chain fatty acid	5280450	C01595	HMDB00673	CHEBI:17351
linolenate [alpha or gamma; (18:3n3 or 6)]	Lipid	Essential fatty acid	5280934	C06427	HMDB01388	CHEBI:27432
lysine	Amino acid	Lysine metabolism	5962	C00047|D02304	HMDB00182	CHEBI:18019
malate	Energy	Krebs cycle	222656	C00149	HMDB00156	CHEBI:30797
malonate (propanedioate)	Lipid	Mevalonate metabolism	23511544|867	C00383|C02028|C04025	HMDB00691	CHEBI:30794
maltopentaose	Carbohydrate	"Fructose, mannose, galactose, starch, and sucrose metabolism"	440949|13489094	C06218	HMDB12254	CHEBI:61952
maltose	Carbohydrate	"Fructose, mannose, galactose, starch, and sucrose metabolism"	439186|10991489	C00208|D00044	HMDB00163	CHEBI:17306|CHEBI:47937
maltotetraose	Carbohydrate	"Fructose, mannose, galactose, starch, and sucrose metabolism"	439639	C02052	HMDB01296	NA
maltotriose	Carbohydrate	"Fructose, mannose, galactose, starch, and sucrose metabolism"	439586	C01835	HMDB01262	NA
mannitol	Carbohydrate	"Fructose, mannose, galactose, starch, and sucrose metabolism"	453|6251	C00392|D00062	HMDB00765	CHEBI:16899
mannose	Carbohydrate	"Fructose, mannose, galactose, starch, and sucrose metabolism"	18950	C00159	HMDB00169	CHEBI:4208
mannose-6-phosphate	Carbohydrate	"Fructose, mannose, galactose, starch, and sucrose metabolism"	65127|439198	C00275	HMDB01078	CHEBI:48066|CHEBI:49728
margarate (17:0)	Lipid	Long chain fatty acid	10465	NA	HMDB02259	CHEBI:32365
methionine	Amino acid	"Cysteine, methionine, SAM, taurine metabolism"	6137|6992087	C00073|D00019	HMDB00696	CHEBI:16643|CHEBI:57844
methionine sulfoxide	Amino acid	"Cysteine, methionine, SAM, taurine metabolism"	1548907|158980|25244659|847	C02989	HMDB02005	CHEBI:17016|CHEBI:49033
methyl-4-hydroxybenzoate	Xenobiotics	Benzoate metabolism	23663626|7456	D02458|D01400	NA	NA
methylphosphate	Energy	Oxidative phosphorylation	NA	NA	NA	NA
metoprolol	Xenobiotics	Drug	4171	C07202|D02358	HMDB01932	CHEBI:6904
metoprolol acid metabolite*	Xenobiotics	Drug	NA	NA	NA	NA
myo-inositol	Lipid	Inositol metabolism	NA	C00137|D08079	HMDB00211	CHEBI:17268
myristate (14:0)	Lipid	Long chain fatty acid	11005	C06424	HMDB00806	CHEBI:28875
myristoleate (14:1n5)	Lipid	Long chain fatty acid	5281119	C08322	HMDB02000	CHEBI:27781
N-acetyl-aspartyl-glutamate (NAAG)	Amino acid	Glutamate metabolism	71120|5255	C12270	HMDB01067	NA
N-acetylalanine	Amino acid	Alanine and aspartate metabolism	88064	C02847	HMDB00766	CHEBI:40992
N-acetylaspartate (NAA)	Amino acid	Alanine and aspartate metabolism	65065	C01042	HMDB00812	CHEBI:21547
N-acetylglucosamine	Carbohydrate	Aminosugars metabolism	24139|11861101	C03878	HMDB00215|HMDB00803	CHEBI:17029|CHEBI:28009|CHEBI:61631
N-acetylglucosamine 6-phosphate	Carbohydrate	Aminosugars metabolism	440996|439219	C00357	HMDB02817|HMDB01062	CHEBI:15784
N-acetylisoleucine	Amino acid	"Valine, leucine and isoleucine metabolism"	NA	NA	NA	NA
N-acetylmannosamine	Carbohydrate	Aminosugars metabolism	439174	C00140|C02711	HMDB00835	CHEBI:28401|CHEBI:506227
N-acetylmethionine	Amino acid	"Cysteine, methionine, SAM, taurine metabolism"	448580|6180	C02712	HMDB11745	CHEBI:21557
N-acetylneuraminate	Carbohydrate	Aminosugars metabolism	439197|445063	C00270|C19910	HMDB00230	CHEBI:17012|CHEBI:45744
N-acetylornithine	Amino acid	"Urea cycle; arginine-, proline-, metabolism"	439232|6992102	C00437	HMDB03357	CHEBI:16543|CHEBI:57805
N-acetylserine	Amino acid	"Glycine, serine and threonine metabolism"	65249	NA	HMDB02931	NA
N-acetylthreonine	Amino acid	"Glycine, serine and threonine metabolism"	NA	NA	NA	NA
N-acetyltryptophan	Amino acid	Tryptophan metabolism	439917	C03137	NA	CHEBI:16734
N-ethylglycinexylidide*	Xenobiotics	Drug	NA	NA	NA	NA
N-formylmethionine	Amino acid	"Cysteine, methionine, SAM, taurine metabolism"	439750|6995182	C03145	HMDB01015	CHEBI:16552
N1-methyladenosine	Nucleotide	"Purine metabolism, adenine containing"	27476	C02494	HMDB03331	CHEBI:16020
N1-methylguanosine	Nucleotide	"Purine metabolism, guanine containing"	96373	NA	HMDB01563	CHEBI:19062
