"","KIRC","BRCA","BLCA","BRCATang","LGG","OV","PAAD","PAADHussain1","PAADHussain2","PRAD","PRADLODA","TestStatistic","P-value","AdjustedP-Value","NumStudies","NumPositiveCor","NumNegativeCor"
"1-Arachidonylglycerol",0.142233624534345,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.143387675200362,7.78497526324073,0.0997800775475732,0.204526584294347,2,0,0
"1-Docosahexaenoylglycerophosphocholine*",0.060758583330103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.60169383471494,0.060758583330103,0.14006940584497,1,0,0
"1-Heptadecanoylglycerophosphocholine",0.017923708094309,NA,NA,0.161764990291456,NA,NA,NA,0.553780723378163,0.701677726414218,NA,NA,13.577018356921,0.0934785359715487,0.194246682546383,4,0,1
"1-Heptadecanoylglycerophosphoethanolamine",0.468738275801877,NA,NA,NA,NA,NA,NA,NA,0.00387444775888879,NA,0.588789051154757,13.6815003214538,0.0334035518838962,0.0871232295255914,3,0,0
"1-Linoleoylglycerol",0.00147458161746306,NA,NA,0.293267862726049,NA,NA,NA,NA,NA,NA,0.531524244905121,16.7561126503685,0.0102226212362439,0.0324867682961239,3,1,0
"1-Linoleoylglycerophosphocholine",0.172903203336098,0.00719641547417282,NA,0.0387261151401261,NA,0.0188665294928554,NA,0.514242310057531,0.923158714685216,NA,0.279953931366294,31.8578951308854,0.00419655768469264,0.0152083250493261,7,1,0
"1-Linoleoylglycerophosphoethanolamine",0.0445403712091368,NA,NA,0.223396481887544,NA,NA,NA,NA,NA,NA,0.95727589518875,9.30766012151447,0.157000427282446,0.29207882365071,3,0,0
"1-Methylimidazoleacetate",0.438223031198161,0.223849091727285,NA,NA,NA,0.987590408653313,NA,0.630976085102986,NA,NA,NA,5.58956999370369,0.693097467959355,0.795040457080117,4,0,0
"1-Myristoyl-Gpc (14:0)",0.0176435101826779,0.0298718855595719,NA,0.567323892138817,0.0460794528352923,0.340236279132372,NA,0.576023029815233,0.923780861880453,NA,0.641094306951045,26.6920390506773,0.0450355946155418,0.110276347896435,8,0,1
"1-Myristoylglycerophosphoethanolamine",0.284845791346716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.51161465629139,0.284845791346716,0.456761569840928,1,0,0
"1-Oleoylglycerol (1-Monoolein)",0.00608291561788565,0.0400743664435319,NA,0.849682837666212,0.400674675430763,0.871032925897766,NA,0.808936406461578,NA,NA,NA,19.4937952277903,0.0772882592069415,0.168730512871058,6,1,0
"1-Oleoyl-Gpc (18:1)",0.0337028690313723,0.0322889543679252,NA,0.066935283344572,0.0132848546525799,0.422202398587468,NA,0.539865027563703,0.68698950079372,NA,0.501786387499595,32.7841713991874,0.00789220648105102,0.0256284554545958,8,0,1
"1-Oleoyl-Gpe (18:1)",0.169577317874704,0.00758143356752417,NA,0.179503177024355,0.00397728029434861,0.276651022124863,NA,0.149354030578257,0.0899892913873304,NA,0.530309686656752,40.2600231503874,0.000713332712012325,0.00343765658022961,8,1,1
"1-Oleoylglycerophosphoinositol",0.091471403447517,NA,NA,NA,NA,NA,NA,0.332138337220252,0.660141531483508,NA,0.656183885053058,8.66109569340239,0.371686870069969,0.53707863522072,4,0,0
"1-Oleoylglycerophosphoserine",0.0424263468158286,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.531626389018482,7.58360007038513,0.108078884749535,0.218083451187257,2,0,0
"1-Palmitoleoylglycerophosphocholine*",0.185320109497116,NA,NA,0.454476782562476,NA,0.717173346491969,NA,0.544225724531798,0.838356354215704,NA,NA,7.18283997505953,0.708078351665043,0.803908504521966,5,0,0
"1-Palmitoleoylglycerophosphoethanolamine*",0.424152805924786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.71532299468699,0.424152805924786,0.58136526803004,1,0,0
"1-Palmitoylglycerol",0.00271114549484675,0.000362938899130638,NA,0.124447088338609,0.517365585092281,0.538109086105245,NA,NA,0.796943481429815,NA,0.972912548494801,34.8973336952023,0.00152231742672475,0.00663086340679145,7,2,0
"1-Palmitoyl-Gpc (16:0)",0.00014718542966909,0.1565733903893,NA,0.0790538466787782,0.013336703125649,0.211242205873741,NA,0.584994005900656,0.969661956793997,NA,0.65794399009034,40.1465121253669,0.000741142144214857,0.0035527766278236,8,0,2
"1-Palmitoyl-Gpe (16:0)",0.0992042777271916,NA,NA,0.956214381261838,0.174183414256534,0.963006056949131,NA,0.157717145910126,0.0530544974604279,NA,0.836111719245392,18.2061400780021,0.197552800935832,0.348215637447205,7,0,0
"1-Palmitoylglycerophosphoinositol",0.0762363639883699,NA,NA,0.636253662119725,NA,0.620709224811131,NA,0.381207822959411,0.742042470760127,NA,0.0812589832542092,14.5516809939367,0.266873432018494,0.43176308822992,6,0,0
"1-Palmitoylplasmenylethanolamine*",0.037337545243465,NA,NA,0.813973896200881,0.700520565200337,NA,NA,0.163845093773593,0.0877457670788011,NA,NA,16.1833198507884,0.0945035368884855,0.195927241237913,5,0,0
"1-Pentadecanoylglycerophosphocholine*",0.0799180763069864,NA,NA,NA,NA,NA,NA,0.43661572560839,0.942986329633656,NA,NA,6.82831705093487,0.337016705520612,0.504507541641445,3,0,0
"1-Stearoylglycerol",0.253003963271964,0.000321669624841814,NA,0.198280022424339,0.747568638132632,0.268739009253932,NA,0.728846826489203,0.734311484206683,NA,0.468071396751375,28.0472050271766,0.0312115809109406,0.0823335793906595,8,1,0
"1-Stearoyl-Gpc (18:0)",0.00310526423537409,0.199323538018491,NA,0.0512565719399003,0.249602970744235,0.394088051416599,NA,0.458726294495881,0.747099631188866,NA,0.8621592240894,27.7932642131467,0.0334645517383066,0.0871232295255914,8,0,1
"1-Stearoyl-Gpe (18:0)",0.0241382811759806,0.000473683568342098,NA,0.554373636045483,0.707610710674415,0.0584325233323075,NA,0.145024025968495,0.0123388956474189,NA,0.791573136335951,43.4283502457461,0.000240809735327751,0.00132226436489056,8,1,0
"1-Stearoylglycerophosphoinositol",0.568615300918086,5.11413542580996e-06,NA,0.156193674348732,NA,0.0173716202640894,NA,0.300480800162544,0.747979461846842,NA,0.18166773612939,43.711912796815,6.58682292539133e-05,0.000445347878388399,7,1,0
"2-Aminoadipate",3.79041429354743e-08,0.668687895188977,NA,0.619872289117052,0.000460946319924993,0.00120418479247064,0.693440121541831,0.0452790583035052,0.550927301529491,0.264468316113314,0.614594614290784,76.4940923295865,1.53270990424234e-08,2.62006636461049e-07,10,3,0
"2-Aminobutylate",3.88450438317811e-05,0.00149346729971755,NA,0.0876294367770512,0.0178317823559531,0.0772791960612258,NA,0.0914744096745288,0.44936919244025,NA,0.915550761492784,57.9283250474147,1.1644873624239e-06,1.33547538019754e-05,8,2,0
"2-Arachidonoylglycerophosphocholine",0.246733747093853,0.0227474024101428,NA,0.609430693776873,NA,0.693116564698127,NA,0.620481486995536,0.939317509483706,NA,0.536341136634777,14.4147660620126,0.41928977480884,0.579080085330502,7,1,0
"2-Arachidonoylglycerophosphoethanolamine",0.000629254751155051,0.0297028531974974,NA,0.105353092191468,NA,0.533942574017948,NA,0.400550857396147,0.863150566355371,NA,0.551677796892435,30.8445261828273,0.00582801870220671,0.0200767488372596,7,1,0
"2'-Deoxyadenosine 3'-Monophosphate",1.22790666523542e-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.8514205892016,1.22790666523542e-12,6.18046354835163e-11,1,1,0
"2'-Deoxycytidine 3'-Monophosphate",1.16511676584441e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.7202083095649,1.16511676584441e-05,0.000101499595178369,1,1,0
"2'-Deoxyguanosine",4.76565293201503e-05,3.81594329290635e-06,NA,0.000455154983478145,0.974067807229562,0.0143458354300789,NA,0.647924370197758,0.00521723932621576,NA,NA,80.166048573048,2.6358332561664e-11,9.55225972034705e-10,7,3,0
"2'-Deoxyinosine",2.83939552159218e-05,0.00366303781975419,NA,5.94268612206239e-05,4.24978802993081e-06,0.0920289857382635,NA,0.683082353418913,0.0703252247799362,NA,0.0302318470767977,94.1969561322303,4.18891644873956e-13,2.5301055350387e-11,8,4,0
"2-Docosahexaenoylglycerophosphocholine*",0.954769709111022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0925702197460164,0.954769709111022,0.967585409904458,1,0,0
"2-Docosahexaenoylglycerophosphoethanolamine",0.0310137693185318,0.000157268701723723,NA,0.866144560178333,0.320395909675151,0.0848045782824638,NA,NA,NA,NA,0.304306895830003,34.3398086730912,0.000596118346446763,0.00297166482572683,6,1,0
"2-Docosapentaenoylglycerophosphocholine*",0.396830330202493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.84849293898066,0.396830330202493,0.558273725409097,1,0,0
"2-Docosapentaenoylglycerophosphoethanolamine",0.0410400659441488,1.77640901699583e-05,NA,NA,0.274900079798557,0.041178628011294,NA,NA,0.814066395533478,NA,0.405136656338551,39.4439313984553,8.88979531720845e-05,0.000567193982914849,6,1,0
"2-Eicosatrienoylglycerophosphocholine*",0.712600548487537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.677668512223312,0.712600548487537,0.807020121162136,1,0,0
"2-Ethylhexanoate",0.000405987784609508,NA,NA,0.194272438230846,NA,NA,NA,NA,NA,NA,0.0302318470767977,25.893081283063,0.000233087468455921,0.00129556592896358,3,0,1
"2-Hydroxyacetaminophen Sulfate*",NA,0.26713720387903,NA,0.494104712571781,NA,0.00589648995451775,NA,NA,NA,NA,0.746169898999263,14.9024013639637,0.0610712185971812,0.140077276073535,4,0,0
"2-Hydroxybutyrate (Ahb)",0.0379706590166731,0.19248387455203,0.821710078908318,0.27005944112165,0.398121314521711,0.714740267062415,NA,0.156612884233213,0.200378695620561,0.950607375729145,0.337466822529106,24.5589330852745,0.218828752881702,0.373368832600418,10,0,0
"2-Hydroxyglutarate",0.00521438794974793,0.000837935195382222,NA,0.956511649096343,0.40399981410358,0.218692747147886,NA,NA,NA,NA,0.430733806022954,31.308118081393,0.0017676653475782,0.00748366731264414,6,2,0
"2-Hydroxyhippurate",0.403760012580344,0.593519020977263,NA,0.335506617187021,NA,NA,NA,NA,NA,NA,0.039228380908888,11.5181780263819,0.174030592514605,0.314087085295283,4,0,0
"2-Hydroxyisobutyrate",0.0198465508995246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.83945009031399,0.0198465508995246,0.05690181998408,1,0,1
"2-Hydroxypalmitate",0.697407924501824,0.413733392067138,NA,0.998941083774191,9.11134290282334e-06,0.384397739720449,NA,0.71026710157849,0.788910723883282,NA,0.303113365175748,31.157820757499,0.0128451871769453,0.0393166877780826,8,1,0
"2-Isopropylmalate",0.00260160967519107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.9032498393579,0.00260160967519107,0.0102928312913673,1,1,0
"2-Linoleoylglycerol (2-Monolinolein)",0.00577967391759504,NA,NA,NA,NA,0.00374923273840699,NA,0.795002827980414,0.289604269360212,NA,NA,24.41652311999,0.00195065381803277,0.00814420441998936,4,2,0
"2-Linoleoylglycerophosphocholine",0.740741676915849,0.175497840472114,NA,0.642425737146827,NA,0.172382887791311,NA,0.831075142646221,0.864936412359487,NA,0.446413706983805,10.754833240807,0.705179440131396,0.801621797690143,7,0,0
"2-Linoleoylglycerophosphoethanolamine*",0.000428209934911772,0.491143220348565,NA,0.709436710353949,NA,0.12866284203909,NA,NA,0.675690630694177,NA,NA,22.5055607018495,0.0127263578760377,0.0392179599853407,5,1,0
"2-Methoxyacetaminophen Sulfate*",NA,0.00680696991697127,NA,0.53007334599789,NA,0.0166539056793811,NA,0.710049709941591,NA,NA,0.0302318470767977,27.1218765613571,0.00249116433317797,0.00994270874827859,5,1,0
"2-Methylbutyroylcarnitine",0.272353823346208,4.65739002919463e-10,NA,4.408807633971e-05,0.080351754537662,0.941975176889184,NA,0.05311437081826,8.21565038222616e-14,NA,0.00229025393733817,149.086077127949,1.18296013221385e-23,5.35880939892872e-21,8,3,0
"2-Myristoylglycerophosphocholine*",0.953602389554301,0.0667742038796275,NA,0.905764079936062,NA,NA,NA,NA,NA,NA,NA,5.70584664721694,0.456934435144026,0.606529070725109,3,0,0
"2-Oleoylglycerol (2-Monoolein)",0.0623445148071453,0.000153247372062015,NA,NA,NA,0.321981803877914,NA,0.842078622023766,NA,NA,NA,25.7273577095894,0.00116924815196143,0.00532331068179423,4,1,0
"2-Oleoylglycerophosphocholine",0.163951225345451,0.03741774089456,NA,0.317688147180799,NA,0.353554362979197,NA,0.597689454307527,0.872710972910236,NA,0.951360821919856,15.9617927884428,0.315713125125331,0.486417813264631,7,0,0
"2-Oleoylglycerophosphoethanolamine",0.802585556406736,0.224401938383655,NA,0.255425524285419,NA,0.284958446204488,NA,0.401720882201911,0.850148712345826,NA,0.915156761304889,10.9949424934055,0.686433245408214,0.794263755223297,7,0,0
"2-Oleoylglycerophosphoserine*",0.0822867869144477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.99508946401577,0.0822867869144477,0.176663101764193,1,0,0
"2-Palmitoleoylglycerophosphocholine*",0.777127249535066,0.138503736552277,NA,0.836194591379888,NA,NA,NA,NA,NA,NA,NA,4.81580614976865,0.567645295130841,0.693648916334588,3,0,0
"2-Palmitoylglycerol",0.0173840742920781,9.33358548405039e-06,NA,0.00420414754303988,0.357488984230016,0.0838662362756448,NA,0.997322599995166,0.639855894332312,NA,0.358893511941382,52.1737631230757,1.02685492925794e-05,9.03233559133679e-05,8,2,0
"2-Palmitoylglycerophosphocholine",0.0162097813221814,0.0121771411698006,NA,0.157403544269613,NA,0.25307050519515,NA,0.474750319150865,0.884308050308792,NA,0.482848864727527,26.6986648314506,0.0210648009038477,0.0592692845307018,7,1,1
"2-Palmitoylglycerophosphoethanolamine",0.706219122229976,NA,NA,0.835276570354649,NA,0.168134597341117,NA,0.129487287840399,0.338884172501297,NA,0.149947620799885,14.6691025230362,0.260032899301664,0.424486138319474,6,0,0
"2-Phosphoglycerate",0.534272984086497,NA,NA,NA,NA,0.89742990627171,NA,0.0153744175570085,NA,NA,NA,9.82023794699619,0.132429176404232,0.256745442460943,3,0,0
"2-Stearoyl-Gpc* (18:0)*",0.00369272274658934,NA,NA,0.0318974032978167,0.789529648340427,NA,NA,0.317014779360126,0.427216207085415,NA,NA,22.5644234511016,0.012473716991031,0.0385706061224371,5,0,1
"2-Stearoylglycerophosphoethanolamine*",0.792434973872402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46528965698633,0.792434973872402,0.868880645910463,1,0,0
"3-(4-Hydroxyphenyl)Lactate",0.167076019759744,0.720405983310671,NA,0.804038961049534,0.335553458702971,0.0394751766161012,NA,0.443161879510893,0.483002327985667,NA,0.574427538978496,17.5106935937955,0.353316931138292,0.517168937402059,8,0,0
"3-(Cystein-S-Yl)Acetaminophen",NA,NA,NA,0.438965845051288,NA,0.0267982122865655,NA,0.710049709941591,NA,NA,0.670744476628969,10.3690821835596,0.240070549392096,0.39618199954324,4,0,0
"3,4-Dihydroxyphenethyleneglycol",0.382146831447043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.92390073742617,0.382146831447043,0.549229771647374,1,0,0
"3-Aminoisobutyrate",6.77964843243117e-06,0.362336882615002,NA,0.198009930182916,0.135234080783754,0.832140228712972,NA,NA,7.46980921562113e-09,NA,0.715688455482113,71.5352267491416,1.01614179426083e-09,2.36057555282131e-08,7,2,0
"3-Carboxy-4-Methyl-5-Propyl-2-Furanpropanoate",0.987004429989769,0.993052683823951,NA,0.552354305278691,0.962054499201691,0.584070875978769,NA,0.928094367404017,0.758721709331747,NA,0.864406344671876,3.37297882401486,0.999631942513627,0.999768206560123,8,0,0
"3-Dehydrocarnitine",0.00147330479890706,0.108487940969782,NA,0.406634699072586,0.00242387207829453,0.549588878038747,NA,0.106361425080018,0.166531197258085,NA,0.971493751402998,40.6491653367988,0.00062545263675061,0.0030796743961742,8,2,0
"3'-Dephosphocoenzyme A",0.0276394327699736,NA,NA,0.0203861233758689,NA,NA,NA,NA,0.76674202701496,NA,0.0302318470767977,22.4917537687105,0.00408189620596215,0.0149120885588779,4,0,0
"3-Hydroxybutyrate",0.62763319063687,0.678910230987417,NA,0.39903623595327,0.247185419044473,0.46829017637227,NA,0.583101394343286,0.0830248539394738,NA,0.302894052057188,16.3008682593908,0.432166889672678,0.586224367562726,8,0,0
"3-Hydroxydecanoate",0.11545936312685,0.854868279907096,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.63128905165982,0.327262560161334,0.494207109305779,2,0,0
"3-Hydroxyhippurate",0.246037107325853,NA,NA,0.375359549258795,NA,NA,NA,NA,NA,NA,NA,4.76428765195778,0.312349024075422,0.482915044048349,2,0,0
"3-Hydroxyoctanoate",0.346291762153115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.12094723207428,0.346291762153114,0.510977746760133,1,0,0
"3-Indoxyl Sulfate",0.00247071781047193,NA,NA,0.230247813931554,NA,0.258893577294539,NA,NA,0.00395801103704541,NA,0.728235754778184,29.3446558898931,0.00109556043996424,0.00504195636101274,5,0,1
"3-Methyl-2-Oxovalerate",0.411620245300128,0.155035058580794,NA,0.417547730431279,NA,0.375465123585303,NA,0.866792640515975,0.37385278576763,NA,NA,11.4631057625415,0.489701620385567,0.633813811527605,6,0,0
"3-Methylhistidine (1-Methylhistidine)",0.33950830361833,0.302465942308775,NA,0.671064809782522,NA,NA,NA,NA,0.675581986442841,0.24945257923366,0.307419308299959,11.2702857393746,0.505908218469518,0.646477920921556,6,0,0
"3-Phosphoglycerate",0.716323158485551,0.286358064961777,NA,NA,3.02236127236455e-07,0.813405274978608,0.318370121667631,0.255052862367941,0.537915731754099,0.629792881058512,0.436260466301019,42.450955540374,0.000956223802953345,0.00446566373956562,9,1,0
"3-Ureidopropionate",0.00444737330144754,NA,NA,NA,NA,NA,NA,0.710049709941591,NA,NA,NA,11.5157238476291,0.0213403556524439,0.0598587065669168,2,0,1
"4-Acetamidophenol",0.181512292216343,NA,NA,0.399333481775014,NA,0.0718017000400013,NA,0.805713536658328,NA,NA,0.673947364207883,11.7377354477487,0.302992325788219,0.472889742690452,5,0,0
"4-Acetaminophen Sulfate",0.528439594446848,0.0902650057377761,NA,0.500614821533755,0.0176728187304702,0.153009474138639,NA,0.736785669224977,NA,NA,0.758283756959949,20.4597785522992,0.116299231458525,0.231576052091041,7,0,0
"4-Androsten-3Beta,17Beta-Diol Disulfate 1*",0.0208353572840068,0.581553376799439,NA,0.823111024535841,0.443570739371388,0.334486239502814,NA,0.675102204084623,0.518676474616157,NA,0.400110076616548,16.9625196269806,0.388026443568518,0.551886904039368,8,0,1
"4-Guanidinobutanoate",0.000101239183158297,NA,NA,NA,0.0709085823171161,0.632327942704702,NA,0.26909244962153,NA,0.388493075208961,NA,29.1218316625816,0.00119068776360771,0.00538775132769002,5,1,0
"4-Hydroxybutyrate",2.04619068999712e-05,0.00274406675407501,NA,0.752376230510685,NA,0.402423962871618,NA,0.722679470460561,0.107835786920023,NA,0.173286889674417,44.3895393053845,5.12213168111398e-05,0.000359740411092191,7,2,0
"4-Hydroxyglutamate",0.00624639310863273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1515021688808,0.00624639310863273,0.0212753088587265,1,1,0
"4-Hydroxyhippurate",0.499922762706525,NA,NA,NA,NA,NA,NA,0.710049709941591,NA,NA,NA,2.07144392894945,0.722620251487516,0.81328440726421,2,0,0
"4-Hydroxyphenylacetate",0.509971642227174,NA,NA,NA,NA,0.143114681230152,NA,0.710049709941591,NA,NA,NA,5.91985891832491,0.43222723789393,0.586224367562726,3,0,0
"4-Methyl-2-Oxopentanoate",0.241150921517146,0.178328945675329,NA,0.553752732288995,0.0250787613499561,0.595859715904204,NA,0.542676972645137,0.563582988899555,0.6672025616142,NA,19.0606440564445,0.265530915636805,0.430359587776288,8,0,0
"5,6-Dihydrouracil",0.201545792687615,1.51415616045369e-07,NA,0.00257167997601648,0.000382839304116311,0.00203678975960564,NA,0.946928320205449,0.0564416774470624,0.390226414950693,0.997992123477501,82.4091297557322,3.23551408656525e-10,8.88295685584277e-09,9,3,0
"5-Aminovalerate",0.087567673178063,NA,NA,NA,NA,0.977426305056071,NA,0.710049709941591,NA,NA,NA,5.601192110804,0.469311610594798,0.616226549563604,3,0,0
"5-Hete",0.475493121783253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.48680572466213,0.475493121783253,0.621640358348668,1,0,0
"5-Methyltetrahydrofolate (5Methf)",0.769588484470004,NA,NA,0.0190329861561018,NA,NA,NA,NA,NA,NA,NA,8.446962068778,0.0765112882719843,0.16743774679811,2,0,0
"5-Methylthioadenosine (Mta)",0.00224075387980394,4.4094459063615e-05,NA,0.0288845054909777,0.377944352789624,NA,NA,NA,0.620023169461205,0.042636440326752,0.216963841323501,51.6172932173554,3.26389732659793e-06,3.28565664210858e-05,7,2,0
"5-Methyluridine (Ribothymidine)",0.93230100916517,NA,NA,0.0174266539416181,NA,0.813844936785158,NA,NA,NA,NA,NA,8.65167876161871,0.194135699534474,0.344688827526803,3,0,0
"5-Oxoete",0.421766508757228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.72660682971019,0.421766508757228,0.58136526803004,1,0,0
"5-Oxoproline",0.255474575881628,0.0301667482568637,NA,0.79206732183774,0.0611522093523067,0.0226026640666457,NA,0.00201751023913799,0.404446801133786,NA,0.0625360633912031,43.1319421924013,0.000266946519208914,0.00145694907471853,8,0,0
"6-Keto Prostaglandin F1Alpha",0.205847699594119,NA,NA,NA,NA,NA,NA,0.00401315995521001,0.56997095400801,NA,NA,15.3219298250984,0.0178953075250596,0.0523004794119485,3,0,0
"6-Phosphogluconate",0.173797642540351,0.035123292519591,NA,0.275082788469426,0.125961851848131,0.249187017949219,0.297178921806723,0.000128894041200756,0.943596321975556,0.865477781585253,0.0302318470767977,47.4441917726896,0.000508790994054199,0.00257522145593913,10,1,0
"6'-Sialyllactose",0.0149913277251563,NA,NA,0.953650533472049,NA,NA,NA,NA,NA,NA,NA,8.49548277697979,0.0750242701217517,0.164581086514061,2,1,0
"7-Hoca",0.127172158713461,0.62552013707344,NA,0.44706798872151,0.779447274168841,0.740703652997439,NA,NA,0.769636109560945,NA,0.717501949539386,8.95914370509037,0.833658891372754,0.891729581562827,7,0,0
"7-Alpha-Hydroxycholesterol",0.141445932280772,NA,NA,NA,0.00872619903168238,0.927880311102129,NA,NA,NA,NA,NA,13.5442313281246,0.0351630717097544,0.0902485636516644,3,0,1
"7-Beta-Hydroxycholesterol",0.219858766290476,0.0435397054663109,NA,NA,0.00121951010368594,0.829500789973253,NA,NA,NA,NA,NA,23.0901783405938,0.00325037665249279,0.0122912446636941,4,0,1
"Acetylcarnitine Dl",2.18851603506209e-11,0.000439106019329394,NA,0.929940014230274,0.00202165898245288,0.373090976656987,0.0974807165772718,0.14770421522148,0.000369758743709037,NA,0.429456927642326,105.053849765561,2.60301894609422e-14,2.62037240573485e-12,9,4,0
"Ac-Ser-Asp-Lys-Pro-Oh",0.565593078755285,NA,NA,0.00309933995287404,NA,NA,NA,NA,0.0178240354179748,NA,NA,20.7473078764079,0.00203654357351099,0.00837453116787511,3,0,0
"Adenine",0.00063633985270517,0.00015862820011292,NA,0.724924817213646,0.0911114003276457,0.341739604541058,NA,NA,0.30609015737926,0.664343522303501,0.680535912762012,43.7549946253633,0.000214889836447167,0.00121461257263402,8,2,0
"Adenosine",0.00156802649470023,0.0156732040921113,0.0369758319241863,0.27268517995481,0.472065277623084,0.721877970743564,0.011677831559999,0.660614171762049,0.403241323931518,0.385438467385665,0.81658884516604,46.4321343024356,0.00173927716788383,0.00739805217888616,11,2,0
"2'-Amp",2.64673421890294e-05,0.00230468736310341,NA,0.0395848580583982,0.0939672030375778,0.028095357201694,NA,0.657853421668926,0.413865248747379,NA,NA,54.1593323785789,1.20648633747806e-06,1.36634577719391e-05,7,2,0
"3'-Amp",0.000339058976975615,0.00178133710521156,NA,0.00743687104490309,0.0031651095644647,6.03056221606391e-05,NA,9.90198634287509e-06,0.29957164148489,NA,NA,94.8417245571843,4.58328121356858e-14,4.10068740428113e-12,7,5,0
"Amp",0.0183328180363198,0.00581499574116551,NA,0.206688835410482,0.611838493716489,0.841724173685493,NA,0.863672776070353,0.715339010147794,NA,0.693339982026857,24.4686064071447,0.0797575371069055,0.173286159757449,8,2,0
"Adenylosuccinate",5.98716177968583e-07,NA,NA,0.121103416031124,NA,NA,NA,0.342759916278724,0.887549772480856,NA,NA,35.2592086099948,2.39823006971393e-05,0.000195747427311786,4,1,0
"Adipate",0.0878550832659033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.86413320601525,0.0878550832659033,0.186187316860112,1,0,0
"Adrenate",0.368784307181459,0.000404078739691505,NA,0.588477918199049,0.00133322815479131,0.0176420831761062,NA,0.221595888595697,0.0575709151226662,NA,0.792614099424445,49.1866734398075,3.08682262624614e-05,0.000243187939076435,8,2,0
