,0,"1,2-dipalmitoylglycerol"
C00668,0,glucose-6-phosphate (G6P)
C00025,0,glutamate
C00064,0,glutamine
C00489,0,glutarate (pentanedioate)
C00127,0,"glutathione, oxidized (GSSG)"
C00051,0,"glutathione, reduced (GSH)"
C00258,0,glycerate
C00116,0,glycerol
C02979,0,glycerol 2-phosphate
C00093,0,glycerol 3-phosphate (G3P)
C01233,4.417786988405866,glycerophosphoethanolamine
C00670,0,glycerophosphorylcholine (GPC)
C00037,0,glycine
C01921,0,glycocholate
C00160,0,glycolate (hydroxyacetate)
C11301,0,glycolithocholate sulfate*
C02155,0,glycylleucine
C00242,0,guanine
C00387,0,guanosine
C00032,0,heme*
C01586,0,hippurate
C00388,0,histamine
C00135,0,histidine
C00519,0,hypotaurine
C00262,0,hypoxanthine
C02043,1.8995638323645829,indolelactate
C00294,0,inosine
C04006,0,inositol 1-phosphate (I1P)
C00407,0,isoleucine
C00328,0,kynurenine
C00186,0.75041448261901234,lactate
C02679,0,laurate (12:0)
C00123,0,leucine
D00358,0,lidocaine
C01595,0,linoleate (18:2n6)
C06427,0,linolenate [alpha or gamma; (18:3n3 or 6)]
C00047,0,lysine
C00149,1.2941000103517988,malate
C01936,0,maltohexaose
C06218,0,maltopentaose
C00208,0,maltose
C02052,0,maltotetraose
C01835,0,maltotriose
C00392,0,mannitol
C00159,0,mannose
C00275,0,mannose-6-phosphate
C00073,0,methionine
C02603,0,methyl-alpha-glucopyranoside
C07202,0,metoprolol
C00137,0,myo-inositol
C06424,0,myristate (14:0)
C08322,0,myristoleate (14:1n5)
C12270,0,N-acetyl-aspartyl-glutamate (NAAG)
C02847,0,N-acetylalanine
C01042,0,N-acetylaspartate (NAA)
C00357,0,N-acetylglucosamine 6-phosphate
C02712,0,N-acetylmethionine
C00270,0,N-acetylneuraminate
C01118,1.1472318034758096,N-acetylthreonine
C03137,0,N-acetyltryptophan
C02494,0,N1-methyladenosine
C02727,0,N6-acetyllysine
C00153,0,nicotinamide
C00003,0,nicotinamide adenine dinucleotide (NAD+)
C03150,0,nicotinamide riboside*
C00712,0,oleate (18:1n9)
C00077,0,ornithine
C01468,0,p-cresol sulfate
C00249,0,palmitate (16:0)
C08362,0,palmitoleate (16:1n7)
C02990,0,palmitoylcarnitine
C00864,0,pantothenate
C01601,0,pelargonate (9:0)
C16537,0,pentadecanoate (15:0)
C02180,0,phenol sulfate
C04148,0,phenylacetylglutamine
C00079,0,phenylalanine
C05607,5.1146014667985806,phenyllactate (PLA)
C00166,0,phenylpyruvate
C00009,0,phosphate
C00074,0,phosphoenolpyruvate (PEP)
C00346,0,phosphoethanolamine
C00408,0,pipecolate
C05484,0,pregnen-diol disulfate*
C00148,0,proline
C03017,1.7895753199327609,propionylcarnitine
C02067,0,pseudouridine
C00134,0,putrescine
C00847,0,pyridoxate
C00013,0,pyrophosphate (PPi)
C00022,0,pyruvate
C00296,0,quinate
C03722,0,quinolinate
C00255,0,riboflavin (Vitamin B2)
C00121,0,ribose
C00309,0,ribulose
C00021,0,S-adenosylhomocysteine (SAH)
C00213,0,sarcosine (N-Methylglycine)
C06153,0,scyllo-inositol
C00065,0,serine
C00794,0,sorbitol
C00315,0,spermidine
C00750,0,spermine
C00836,0,sphinganine
C00319,0,sphingosine
C00751,0,squalene
C10172,0,stachydrine
C01530,0,stearate (18:0)
C00042,0,succinate
C00245,-1.1144909295993344,taurine
C05465,0,taurochenodeoxycholate
C16884,0,threitol
C01620,-2.2751853956670085,threonate
C00188,0,threonine
C00178,3.1571070292194667,thymine
C01157,0,trans-4-hydroxyproline
C00078,0,tryptophan
C09213,0,tryptophan betaine 
C00082,0,tyrosine
C00106,0,uracil
C00366,0,urate
C00086,-0.14956523265071603,urea
C00299,0,uridine
C00183,0,valine
C05584,0,vanillylmandelate (VMA)
C00385,1.3962282211863994,xanthine
C01762,0,xanthosine
C00379,0,xylitol
C05411,0,xylonate
C00310,0,xylulose
