,P10N.EU,P10N.MCG,P10T.EU,P10T.MCG,P11N.EU,P11N.MCG,P11T.EU,P11T.MCG,P12N.EU,P12T.EU,P12T.MCG,P13N.EU,P13T.EU,P13T.MCG,P14N.EU,P14T.EU,P15N.EU,P15T.EU,P15T.MCG,P16N.EU,P16T.EU,P16T.MCG,P1N.EU,P1N.MCG,P1T.EU,P1T.MCG,P2N.EU,P2N.MCG,P2T.EU,P2T.MCG,P3N.EU,P3N.MCG,P3T.EU,P3T.MCG,P4N.EU,P4N.MCG,P4T.EU,P4T.MCG,P5N.EU,P5N.MCG,P5T.EU,P5T.MCG,P6N.EU,P6N.MCG,P6T.EU,P6T.MCG,P7N.EU,P7N.MCG,P7T.EU,P7T.MCG,P8N.EU,P8N.MCG,P8T.EU,P8T.MCG,P9N.EU,P9N.MCG,P9T.EU,P9T.MCG
Carnitine,0.30922204,1.739369656,1.739369656,1.739369656,0.460325926,1.739369656,1.739369656,1.739369656,0.272116588,1.739369656,1.739369656,0.534524996,1.739369656,1.739369656,0.497425332,0.441641453,0.494449918,1.739369656,1.739369656,0.476355955,0.449153165,1.733745698,0.433485622,1.739369656,1.739369656,1.739369656,1.739369656,1.739369656,1.739369656,1.739369656,0.50023426,1.739369656,1.739369656,1.739369656,0.347271936,1.739369656,1.739369656,1.739369656,0.345705118,1.739369656,0.340314003,1.739369656,0.384587448,1.739369656,0.485536711,1.739369656,0.444714439,1.739369656,0.424493273,1.739369656,0.482327644,0.366036279,0.378810022,1.739369656,0.355894771,1.739369656,1.739369656,1.739369656
Cinnamic acid,1.125371616,1.133703837,0.537004663,3.60023719,1.053131502,0.63379569,1.427732502,1.29263045,0.912011671,0.877094597,0.749566482,1.36338892,0.928151465,0.332187953,1.451961419,1.795425283,1.375673645,0.654777,0.757031526,1.456668949,1.986911377,0.069363228,1.637724578,2.280442908,0.454699292,0.345776766,0.950246932,0.706245993,0.555885484,0.462874726,1.647340033,2.689733522,0.912011671,0.937119502,1.512132871,1.245042287,0.647432726,0.301994247,0.608011353,2.833213933,1.390141667,0.237799313,0.79579591,3.002542288,1.533531268,0.641021589,0.454699292,1.222646941,1.608586787,0.920469943,1.183389739,1.183389739,1.463287627,0.361239319,1.375673645,1.29263045,0.741439043,0.225715501
Citramalic acid,0.769447862,0.691497462,0.858246351,0.604083148,0.46181854,1.076205223,1.971085798,1.971085798,1.971085798,1.971085798,0.484259714,1.971085798,1.971085798,0.437825987,1.971085798,0.43470282,1.971085798,0.252859566,0.594731317,1.971085798,0.292009796,1.963357627,1.971085798,0.984672836,0.399000899,0.53926844,0.818417576,1.971085798,0.619612846,0.645338365,0.451383605,0.502899672,0.420477838,0.766068349,1.971085798,0.941372492,0.281920448,1.971085798,1.971085798,0.630139801,0.715124889,1.971085798,1.971085798,0.780223698,0.821761658,1.971085798,1.971085798,0.683699627,0.759526883,0.970105485,1.971085798,0.716533523,0.759526883,0.553910777,0.403416503,0.642722438,1.971085798,0.482269557
Citrulline,1.375633296,0.273261635,1.375633296,1.375633296,0.561438603,0.561438603,1.375633296,0.273261635,0.561438603,1.375633296,1.375633296,1.375633296,1.375633296,0.561438603,1.375633296,1.375633296,0.561438603,1.375633296,0.561438603,0.561438603,1.375633296,1.375633296,1.375633296,0.273261635,1.375633296,0.273261635,1.375633296,0.273261635,1.375633296,0.561438603,0.561438603,0.273261635,1.375633296,1.375633296,1.375633296,0.561438603,0.273261635,1.375633296,0.561438603,0.273261635,1.375633296,1.375633296,1.375633296,1.375633296,1.375633296,1.375633296,1.375633296,0.273261635,1.375633296,1.375633296,0.561438603,0.273261635,1.375633296,0.561438603,0.561438603,0.273261635,1.375633296,1.375633296
Cortisol,2.785478211,1.490933337,1.490933337,0.236110211,1.490933337,1.490933337,3.127372341,0.275399486,1.490933337,2.840677869,1.490933337,2.006654453,1.613894312,1.490933337,1.790111354,1.59199071,1.444456404,1.59199071,1.490933337,1.150363119,1.858882997,1.486461713,1.036046364,0.217067587,0.535263007,1.490933337,0.694329942,0.514448434,0.571891659,0.317038793,0.856698895,0.589681179,0.644935367,1.490933337,0.746124781,1.490933337,0.552158144,1.490933337,0.450114222,0.366625869,1.389787272,1.490933337,0.331999226,0.370161545,1.327385962,1.490933337,0.393908479,0.229749792,1.193200577,1.490933337,0.822077326,1.490933337,1.089815086,1.490933337,3.127372341,0.271960074,2.673634725,1.490933337
Coumarin,1.730755372,0.997214091,0.189915396,1.730755372,1.730755372,1.730755372,0.997214091,0.317411229,1.730755372,0.228468397,0.753086236,1.127273363,0.247949743,0.678945663,1.191029202,0.310206165,1.112889698,0.251873094,0.228468397,0.922693704,1.730755372,1.725362386,1.730755372,1.730755372,1.730755372,1.730755372,1.730755372,1.730755372,1.730755372,0.411942546,1.730755372,0.261575571,1.730755372,1.730755372,1.730755372,1.730755372,1.730755372,0.660218061,1.730755372,1.730755372,1.090163024,1.730755372,0.787856635,1.730755372,0.945811624,0.798760287,1.000936409,0.243953692,0.997214091,0.900509501,1.730755372,1.730755372,0.427061397,0.405834885,1.730755372,1.730755372,1.730755372,1.730755372
Creatine,0.096529084,0.989779427,0.992587361,0.982246761,0.159074156,0.992587361,0.992587361,1.473070787,0.597750662,0.992587361,0.992587361,0.608116323,0.992587361,1.938863689,0.753326685,0.992587361,0.350447902,0.992587361,3.301338192,0.561203874,0.992587361,1.413991553,0.725589654,0.561203874,1.534060607,2.791440869,0.992587361,0.989105586,1.534060607,0.819573769,0.503356441,0.989105586,1.067599529,1.679964942,2.025259552,0.326277798,1.091117463,0.99188501,0.992431027,0.992587361,0.58707919,0.992587361,0.991696794,0.137774582,1.413991553,0.992587361,0.992274718,0.992587361,1.679964942,0.992587361,0.992587361,0.992587361,2.152434961,2.66312255,0.311475604,0.112057402,0.992587361,2.273220579
Cytidine monophosphate (CMP),0.918485079,1.881337915,0.695823257,0.760328074,1.207522943,0.710323276,1.330115049,3.164152485,1.125538535,0.82702105,1.320577023,1.060726432,1.053213226,0.657811235,1.142329821,0.771654779,1.039784463,0.760328074,1.133281569,0.552206931,0.948837953,0.172434107,0.602286203,1.730149276,0.299867757,0.563559096,0.657811235,3.409167417,0.427391116,4.251118162,0.885859044,3.809444004,0.490554393,1.232254167,0.942555084,1.897534351,0.283110486,0.65271952,0.253258167,1.673205424,0.948837953,3.324521418,0.209699185,1.308471541,1.101311537,1.024868998,0.163633304,2.884768567,1.747856034,1.278858164,0.503063306,1.965564581,1.320577023,2.909141678,1.216547754,2.626453224,0.98663661,0.719609453
Dimethylglycine,1.422926925,1.422926925,1.422926925,2.996530447,1.422926925,0.384425789,1.422926925,1.422926925,1.422926925,1.422926925,1.422926925,1.422926925,1.422926925,1.422926925,1.422926925,1.422926925,1.422926925,1.422926925,1.422926925,1.422926925,1.422926925,1.408185829,1.31604082,0.352771535,0.310198117,0.144643987,1.115337647,1.422926925,0.245599249,1.422926925,1.241125644,1.422926925,0.664725978,0.200638024,0.905235617,0.402838282,0.340283911,1.422926925,0.164935906,0.290399431,1.422926925,1.422926925,1.422926925,0.176725493,1.422926925,1.422926925,1.422926925,1.422926925,1.422926925,1.422926925,1.422926925,1.422926925,1.422926925,1.422926925,1.422926925,1.422926925,1.422926925,0.226039966
DL-3-Phenyllactic acid,0.265912377,1.486289427,1.486289427,0.254789219,1.486289427,1.486289427,1.486289427,1.486289427,1.486289427,0.415707359,1.486289427,1.486289427,1.486289427,1.486289427,1.486289427,1.486289427,1.486289427,1.486289427,1.486289427,1.486289427,1.486289427,0.24945849,1.486289427,0.322381539,1.486289427,0.243360345,1.486289427,1.486289427,1.486289427,1.486289427,0.368826097,1.486289427,0.269258294,1.486289427,0.339380551,0.370283568,0.220627797,1.486289427,1.486289427,0.302512606,1.486289427,0.29218474,1.486289427,1.486289427,1.486289427,1.486289427,1.486289427,1.486289427,1.486289427,0.576746855,1.486289427,1.486289427,1.486289427,0.329246836,1.486289427,1.486289427,1.486289427,1.486289427
DL-Indole-3-lactic acid (3-Indolelactic acid),2.46433282,1.619521188,1.33096709,0.460115733,1.758877752,1.511966063,2.207965141,1.35294058,2.108541452,1.424079463,0.673725268,2.05437988,1.226220798,0.399753065,2.029539654,1.059465161,2.002122369,0.883685147,0.774416155,1.953444773,1.226220798,0.181973392,2.333757246,1.457923141,0.183556029,0.338663379,1.424079463,0.631537379,0.848641377,0.695039379,2.275165307,3.485961872,0.301672938,1.413639916,2.187689074,1.33096709,0.277911989,0.443349157,0.828189718,1.393434879,2.103337281,0.617888835,1.037861795,0.866157872,2.204752096,0.759960355,0.966641523,1.5331043,2.288533648,1.148696815,1.820672464,1.673003927,2.046416838,0.617888835,1.964814169,1.500917473,1.697326694,0.434943971
Glutamine or lysine or glutamic acid,0.985348243,1.582094389,0.769496795,1.272087934,1.272087934,0.488312401,1.582094389,0.311427088,1.272087934,0.769496795,0.985348243,0.985348243,0.769496795,1.272087934,1.582094389,0.985348243,1.272087934,1.272087934,0.985348243,1.272087934,1.582094389,0.769496795,1.582094389,1.272087934,0.985348243,1.272087934,0.985348243,2.356745624,1.582094389,1.582094389,1.582094389,2.356745624,1.582094389,1.272087934,6.58368987,1.582094389,1.582094389,3.926544717,1.582094389,0.985348243,0.769496795,1.272087934,1.582094389,0.769496795,0.985348243,3.926544717,1.582094389,1.582094389,1.582094389,0.599776512,1.272087934,2.356745624,0.769496795,1.272087934,1.582094389,2.356745624,1.582094389,1.582094389
