	MetType	SubMetType	PubChem CID	KEGG	Human Metabolome Database	ChEBI
1-STEAROYLGLYCEROPHOSPHOCHOLINE	Lipid	Lysolipid	497299		HMDB10384	CHEBI:73858
1-STEAROYLGLYCEROPHOSPHOETHANOLAMINE	Lipid	Lysolipid	9547068|46891690		HMDB11130	CHEBI:75036
1-STEAROYLGLYCEROPHOSPHOINOSITOL	Lipid	Lysolipid				
10-HEPTADECENOATE (17:1N7)	Lipid	Long chain fatty acid	5312435			CHEBI:75094
10-NONADECENOATE (19:1N9)	Lipid	Long chain fatty acid	5312513		HMDB13622	
13-HODE + 9-HODE	Lipid	Fatty acid, monohydroxy				
13-METHYLMYRISTIC ACID						
15-METHYLPALMITATE (ISOBAR WITH 2-METHYLPALMITATE)	Lipid	Fatty acid, branched				
2'-DEOXYGUANOSINE	Nucleotide	Purine metabolism, guanine containing	187790	C00330	HMDB00085	CHEBI:17172
2'-DEOXYINOSINE	Nucleotide	Purine metabolism, (hypo)xanthine/inosine containing	65058	C05512	HMDB00071	CHEBI:28997
2-AMINOADIPATE	Amino acid	Lysine metabolism	92136|59066632|59366488|469	C00956	HMDB00510	CHEBI:37023|CHEBI:37024
2-AMINOBUTYRATE	Amino acid	Butanoate metabolism	6971251|439691	C02261	HMDB00650	CHEBI:28797
2-ARACHIDONOYLGLYCEROPHOSPHOCHOLINE*	Lipid	Lysolipid				
2-ARACHIDONOYLGLYCEROPHOSPHOETHANOLAMINE*	Lipid	Lysolipid				
2-ARACHIDONOYLGLYCEROPHOSPHOINOSITOL*						
2-DOCOSAHEXAENOYLGLYCEROPHOSPHOETHANOLAMINE*	Lipid	Lysolipid				
2-ETHYLHEXANOATE	Xenobiotics	Chemical	8697			
2-HYDROXYACETAMINOPHEN SULFATE*	Xenobiotics	Drug				
2-HYDROXYBUTYRATE (AHB)	Amino acid	Cysteine, methionine, SAM, taurine metabolism	440864|11266	C05984	HMDB00008	CHEBI:50613|CHEBI:1148
2-HYDROXYGLUTARATE	Lipid	Fatty acid, dicarboxylate	43|439391	C02630|C01087	HMDB00606	CHEBI:17084|CHEBI:32796
2-HYDROXYHIPPURATE (SALICYLURATE)	Xenobiotics	Benzoate metabolism	10253	C07588	HMDB00840	CHEBI:9008
2-HYDROXYPALMITATE	Lipid	Fatty acid, monohydroxy	92836			CHEBI:65101
2-HYDROXYSTEARATE	Lipid	Fatty acid, monohydroxy	439887	C03045		CHEBI:18129
2-LINOLEOYLGLYCEROPHOSPHOCHOLINE*	Lipid	Lysolipid				
2-LINOLEOYLGLYCEROPHOSPHOETHANOLAMINE*	Lipid	Lysolipid				
2-METHOXYACETAMINOPHEN SULFATE*	Xenobiotics	Drug				
2-METHYLBUTYROYLCARNITINE	Amino acid	Valine, leucine and isoleucine metabolism	6426901		HMDB00378	CHEBI:73026
2-METHYLMALONYL CARNITINE	Lipid	Carnitine metabolism				
2-MYRISTOYLGLYCEROPHOSPHOCHOLINE*	Lipid	Lysolipid				
2-OLEOYLGLYCEROPHOSPHOCHOLINE*	Lipid	Lysolipid				
2-OLEOYLGLYCEROPHOSPHOETHANOLAMINE*	Lipid	Lysolipid				
2-OLEOYLGLYCEROPHOSPHOINOSITOL*						
2-PALMITOLEOYLGLYCEROPHOSPHOCHOLINE*	Lipid	Lysolipid				
2-PALMITOYLGLYCEROL (2-MONOPALMITIN)	Lipid	Monoacylglycerol	123409		HMDB11533	CHEBI:75455
2-PALMITOYLGLYCEROPHOSPHOCHOLINE*	Lipid	Lysolipid				
2-PALMITOYLGLYCEROPHOSPHOETHANOLAMINE*	Lipid	Lysolipid				
2-STEAROYLGLYCEROPHOSPHOCHOLINE*	Lipid	Lysolipid	10208382			
3'-DEPHOSPHOCOENZYME A	Cofactors and vitamins	Pantothenate and CoA metabolism	444485|439335	C00882	HMDB01373	CHEBI:15468
3-(4-HYDROXYPHENYL)LACTATE	Amino acid	Phenylalanine & tyrosine metabolism	9378	C03672	HMDB00755	CHEBI:17385
3-(CYSTEIN-S-YL)ACETAMINOPHEN*	Xenobiotics	Drug	5233914			
3-AMINOISOBUTYRATE	Nucleotide	Pyrimidine metabolism, thymine containing; Valine, leucine and isoleucine metabolism/	64956|25201103	C05145	HMDB03911	CHEBI:27389
3-CARBOXY-4-METHYL-5-PROPYL-2-FURANPROPANOATE (CMPF)	Lipid	Fatty acid, dicarboxylate	123979			
3-DEHYDROCARNITINE*	Lipid	Carnitine metabolism	6991982		HMDB12154	CHEBI:57885
3-HYDROXYBUTYRATE (BHBA)	Lipid	Ketone bodies	92135|441	C01089	HMDB00357|HMDB00011	CHEBI:17066|CHEBI:20067
3-HYDROXYHIPPURATE	Xenobiotics	Benzoate metabolism	450268		HMDB06116	CHEBI:70824
3-INDOXYL SULFATE	Amino acid	Tryptophan metabolism	10258		HMDB00682	CHEBI:43355
3-METHYL-2-OXOVALERATE	Amino acid	Valine, leucine and isoleucine metabolism	47|439286	C00671|C03465	HMDB03736|HMDB00491	CHEBI:35932|CHEBI:15614
3-METHYLHISTIDINE	Amino acid	Histidine metabolism	6971061|64969	C01152	HMDB00479	CHEBI:27596
3-PHOSPHOGLYCERATE (ISOBAR WITH 2-PHOSPHOGLYCERATE)						
4-ACETAMIDOBUTANOATE						
4-ACETAMIDOPHENOL	Xenobiotics	Drug	1983	C06804|D00217	HMDB01859	CHEBI:46195
4-ACETAMINOPHEN SULFATE	Xenobiotics	Drug	83939|1983	C06804|D00217	HMDB01859	CHEBI:32635|CHEBI:46195
4-ANDROSTEN-3BETA,17BETA-DIOL DISULFATE 1*	Lipid	Sterol/Steroid	10634	C04295|D00179	HMDB03818	CHEBI:2710
4-ETHYLPHENYLSULFATE						
4-HYDROXYBUTYRATE (GHB)	Lipid	Fatty acid, monohydroxy	10413|3037032	C00989|C01991	HMDB00710	CHEBI:30830|CHEBI:16724
4-HYDROXYPHENYLPYRUVATE	Amino acid	Phenylalanine & tyrosine metabolism	979	C01179	HMDB00707	CHEBI:15999
4-METHYL-2-OXOPENTANOATE	Amino acid	Valine, leucine and isoleucine metabolism	70	C00233	HMDB00695	CHEBI:48430
4-NITROPHENOL						
5,6-DIHYDROURACIL	Nucleotide	Pyrimidine metabolism, uracil containing	649	C00429	HMDB00076	CHEBI:15901
5-METHYLTETRAHYDROFOLATE (5METHF)	Cofactors and vitamins	Folate metabolism	9825434|439234	C00440	HMDB01396	
5-METHYLTHIOADENOSINE (MTA)	Amino acid	Polyamine metabolism	439176	C00170	HMDB01173	CHEBI:17509
5-METHYLURIDINE (RIBOTHYMIDINE)	Nucleotide	Pyrimidine metabolism, uracil containing	445408		HMDB00884	CHEBI:30821
5-OXOPROLINE	Amino acid	Glutathione metabolism	7405	C01879	HMDB00267	CHEBI:18183
6'-SIALYLLACTOSE	Carbohydrate	Fructose, mannose, galactose, starch, and sucrose metabolism	643987	G00265	HMDB06569	
6-PHOSPHOGLUCONATE	Carbohydrate	Nucleotide sugars, pentose metabolism	91493	C00345	HMDB01316	CHEBI:48928
7-ALPHA-HYDROXY-3-OXO-4-CHOLESTENOATE (7-HOCA)	Lipid	Sterol/Steroid	3081085|53481411	C17337	HMDB12458	
AC-SER-ASP-LYS-PRO-OH	Peptide	Polypeptide	4409396			
ACETYL COA						
ACETYLCARNITINE	Lipid	Carnitine metabolism	7045767|439756|1	C02571	HMDB00201	CHEBI:57589|CHEBI:15960
ADENINE	Nucleotide	Purine metabolism, adenine containing	190	C00147|D00034	HMDB00034	CHEBI:16708
ADENOSINE	Nucleotide	Purine metabolism, adenine containing	60961|32326	C00212|D00045|C07195|D00406	HMDB00050	CHEBI:16335
ADENOSINE 2'-MONOPHOSPHATE (2'-AMP)	Nucleotide	Purine metabolism, adenine containing	94136|53481006	C00946	HMDB11617	CHEBI:28223
ADENOSINE 3',5'-CYCLIC MONOPHOSPHATE (CAMP)						
ADENOSINE 3'-MONOPHOSPHATE (3'-AMP)	Nucleotide	Purine metabolism, adenine containing	15938966|41211	C01367	HMDB03540	CHEBI:60880|CHEBI:28931
ADENOSINE 5'-DIPHOSPHATE (ADP)			6022	C00008	HMDB01341	CHEBI:16761
ADENOSINE 5'-MONOPHOSPHATE (AMP)	Nucleotide	Purine metabolism, adenine containing	15938965|6083	C00020|D02769	HMDB00045	CHEBI:456215|CHEBI:16027
ADENOSINE 5'DIPHOSPHORIBOSE						
ADENYLOSUCCINATE	Nucleotide	Purine metabolism, adenine containing	447145|440122	C03794	HMDB00536	CHEBI:15919
ADRENATE (22:4N6)	Lipid	Long chain fatty acid	5282844|5497181	C16527	HMDB02226	CHEBI:53487
AGMATINE	Amino acid	Polyamine metabolism	199	C00179	HMDB01432	CHEBI:17431
AICA RIBONUCLEOTIDE						
ALANINE	Amino acid	Alanine and aspartate metabolism	7311724|5950	C00041|D00012	HMDB00161	CHEBI:16977|CHEBI:57972
ALANYLLEUCINE	Peptide	Dipeptide	259583|54758690			
ALANYLPHENYLALANINE	Peptide	Dipeptide	2080			
ALPHA-HYDROXYISOVALERATE	Amino acid	Valine, leucine and isoleucine metabolism	99823		HMDB00407	CHEBI:60645
ALPHA-TOCOPHEROL	Cofactors and vitamins	Tocopherol metabolism	14985	C02477	HMDB01893	CHEBI:18145
ANDROSTERONE SULFATE	Lipid	Sterol/Steroid	5879|159663	C00523	HMDB02759	CHEBI:16032
ANSERINE	Peptide	Dipeptide derivative	112072|6992114	C01262	HMDB00194	CHEBI:18323|CHEBI:58445
ARABITOL	Carbohydrate	Nucleotide sugars, pentose metabolism	94154|439255	C00474|C01904|C00532	HMDB01851|HMDB00508	CHEBI:18333|CHEBI:15963|CHEBI:18403
ARACHIDONATE (20:4N6)	Lipid	Long chain fatty acid	444899	C00219	HMDB01043	CHEBI:15843
ARGININE	Amino acid	Urea cycle; arginine-, proline-, metabolism	6322|28782	C00062|D02982	HMDB00517	CHEBI:16467
ASCORBATE (VITAMIN C)	Cofactors and vitamins	Ascorbate and aldarate metabolism	54670067	C00072|D00018	HMDB00044	CHEBI:29073
ASPARAGINE	Amino acid	Alanine and aspartate metabolism	6992089|6267	C00152	HMDB00168	CHEBI:17196|CHEBI:58048
ASPARTATE	Amino acid	Alanine and aspartate metabolism	5960|44367445	C00049|D00013	HMDB00191	CHEBI:17053
ASPARTYLLEUCINE	Peptide	Dipeptide	332962			
ASPARTYLPHENYLALANINE	Peptide	Dipeptide	93078		HMDB00706	CHEBI:73830
ASSYMETRIC DIMETHYLARGININE (ADMA)	Amino acid	Urea cycle; arginine-, proline-, metabolism	123831|51351707|169148	C03626	HMDB01539|HMDB03334	CHEBI:17929|CHEBI:25682|CHEBI:61914
AZELATE (NONANEDIOATE)	Lipid	Fatty acid, dicarboxylate	2266|19347555	C08261|D03034	HMDB00784	CHEBI:48131
BENZOATE	Xenobiotics	Benzoate metabolism	20144841|243	C00180|C00539|D00038	HMDB01870	CHEBI:30746
BETA-ALANINE	Amino acid	Alanine and aspartate metabolism	4755801|239	C00099|D07561	HMDB00056	CHEBI:16958|CHEBI:57966
BETA-HYDROXYISOVALERATE						
BETAINE	Amino acid	Glycine, serine and threonine metabolism	247	C00719|D07523	HMDB00043	CHEBI:17750
BUTYRYLCARNITINE	Lipid	Fatty acid metabolism (also BCAA metabolism)	213144			CHEBI:21949
C-GLYCOSYLTRYPTOPHAN*	Amino acid	Tryptophan metabolism				
CAPRATE (10:0)	Lipid	Medium chain fatty acid	2969	C01571	HMDB00511	CHEBI:30813
CAPROATE (6:0)	Lipid	Medium chain fatty acid	8892	C01585	HMDB00535	CHEBI:30776
CAPRYLATE (8:0)	Lipid	Medium chain fatty acid	379	C06423|D05220	HMDB00482	CHEBI:28837
CARNITINE	Lipid	Carnitine metabolism	10917	C00318|D02176		CHEBI:16347
CARNOSINE			439224|6992100	C00386	HMDB00033	CHEBI:15727|CHEBI:57485
CATECHOL SULFATE	Xenobiotics	Benzoate metabolism	3083879|289	C00090|C01785|C15571	HMDB00957	CHEBI:68505|CHEBI:18135
CHIRO-INOSITOL	Lipid	Inositol metabolism				
CHOLATE	Lipid	Bile acid metabolism	221493	C00695	HMDB00619	CHEBI:16359
CHOLESTEROL	Lipid	Sterol/Steroid	6432564|5997|11025495	C00187|D00040	HMDB00067	CHEBI:16113
CHOLINE	Lipid	Glycerolipid metabolism	170746|305	C00114|D07690	HMDB00097	CHEBI:15354
CHOLINE PHOSPHATE	Lipid	Glycerolipid metabolism	135437|1014	C00588	HMDB01565	CHEBI:18132
CIS-UROCANATE						
CIS-VACCENATE (18:1N7)	Lipid	Long chain fatty acid	5282761|5281127	C08367	HMDB03231	CHEBI:50464|CHEBI:28727|CHEBI:36023
CITRATE	Energy	Krebs cycle	311|19782904	C00158|D00037	HMDB00094	CHEBI:30769
CITRULLINE	Amino acid	Urea cycle; arginine-, proline-, metabolism	9750|6992098	C00327|D07706	HMDB00904	CHEBI:16349|CHEBI:57743
COENZYME A			87642|6816	C00010	HMDB01423	CHEBI:15346|CHEBI:62204
COPROPORPHYRIN I						
CREATINE	Amino acid	Creatine metabolism	59098743|586	C00300	HMDB00064	CHEBI:16919|CHEBI:57947
CREATININE	Amino acid	Creatine metabolism	588	C00791|D03600	HMDB00562	CHEBI:16737
CYSTATHIONINE	Amino acid	Cysteine, methionine, SAM, taurine metabolism	25243997|439258	C02291	HMDB00099	CHEBI:17482|CHEBI:58161
CYSTEINE	Amino acid	Cysteine, methionine, SAM, taurine metabolism	5862|6419722	C00097|D00026	HMDB00574	CHEBI:17561|CHEBI:35235|CHEBI:47910|CHEBI:58717|CHEBI:61894
CYSTEINE-GLUTATHIONE DISULFIDE	Amino acid	Glutathione metabolism	4247235|53477713		HMDB00656	
CYSTEINYLGLYCINE	Peptide	Dipeptide	65270|25244227|439498|7098621	C01419	HMDB00078	CHEBI:4047|CHEBI:61694
CYSTINE	Amino acid	Cysteine, methionine, SAM, taurine metabolism	6992103|67678	C00491|D03636	HMDB00192	CHEBI:16283|CHEBI:35491
CYTIDINE	Nucleotide	Pyrimidine metabolism, cytidine containing	6175	C00475|D07769	HMDB00089	CHEBI:17562
CYTIDINE 5'-DIPHOSPHOCHOLINE	Lipid	Glycerolipid metabolism	13804|11583971	C00307|D00057	HMDB01413	CHEBI:16436
CYTIDINE 5'-MONOPHOSPHATE (5'-CMP)	Nucleotide	Pyrimidine metabolism, cytidine containing	7058165|6131	C00055	HMDB00095	CHEBI:60377|CHEBI:17361
CYTIDINE-3'-MONOPHOSPHATE (3'-CMP)	Nucleotide	Pyrimidine metabolism, cytidine containing	256622|66535	C05822		CHEBI:53013
CYTIDINE-5'-DIPHOSPHOETHANOLAMINE						
DEHYDROISOANDROSTERONE SULFATE (DHEA-S)						
DELTA-TOCOPHEROL						
DEOXYCARNITINE	Lipid	Carnitine metabolism	134	C01181	HMDB01161	CHEBI:1941
DEOXYCHOLATE			222528	C04483	HMDB00626	CHEBI:28834
DIHOMO-LINOLEATE (20:2N6)	Lipid	Long chain fatty acid	6439848	C16525	HMDB05060	CHEBI:73731
DIHOMO-LINOLENATE (20:3N3 OR N6)	Lipid	Essential fatty acid	5312529|5280581	C03242|C16522	HMDB02925	CHEBI:53460|CHEBI:53486
DIHYDROCHOLESTEROL	Lipid	Sterol/Steroid	6665		HMDB00908	
DOCOSADIENOATE (22:2N6)	Lipid	Long chain fatty acid	5282807|5312554	C16533		CHEBI:75117
DOCOSAHEXAENOATE (DHA; 22:6N3)	Lipid	Essential fatty acid	445580	C06429	HMDB02183	CHEBI:28125
DOCOSAPENTAENOATE (N3 DPA; 22:5N3)	Lipid	Essential fatty acid	5497182|6441454	C16513	HMDB01976|HMDB06528|HMDB13123	CHEBI:53488|CHEBI:65136
DOCOSAPENTAENOATE (N6 DPA; 22:5N6)	Lipid	Essential fatty acid	6441454|5497182	C16513	HMDB13123|HMDB01976|HMDB06528	CHEBI:65136|CHEBI:53488
DOCOSATRIENOATE (22:3N3)	Lipid	Long chain fatty acid	5312556|5312557	C16534	HMDB02823	
EICOSAPENTAENOATE (EPA; 20:5N3)	Lipid	Essential fatty acid	446284	C06428|D08061	HMDB01999	CHEBI:28364
EICOSENOATE (20:1N9 OR 11)	Lipid	Long chain fatty acid	5282768	C16526	HMDB02231	CHEBI:32425
EPIANDROSTERONE SULFATE	Lipid	Sterol/Steroid	441302	C07635		CHEBI:541975
ERGOTHIONEINE	Xenobiotics	Food component/Plant	3032311|3037043|57509571|5351619	C05570	HMDB03045	CHEBI:4828
ERYTHRITOL	Xenobiotics	Sugar, sugar substitute, starch	222285	C00503|D08915	HMDB02994	CHEBI:17113
ERYTHRONATE*	Carbohydrate	Aminosugars metabolism	2781043		HMDB00613	CHEBI:37655
ETHANOLAMINE	Lipid	Glycerolipid metabolism	700	C00189|D05074	HMDB00149	CHEBI:16000
FLAVIN ADENINE DINUCLEOTIDE (FAD)	Cofactors and vitamins	Riboflavin metabolism	643975	C00016|D00005	HMDB01248	CHEBI:16238
FRUCTOSE	Carbohydrate	Fructose, mannose, galactose, starch, and sucrose metabolism	5984|439163|439709	C00095|C10906|D00114|C02336	HMDB00660	CHEBI:48095|CHEBI:37721|CHEBI:28645
FRUCTOSE-6-PHOSPHATE	Carbohydrate	Glycolysis, gluconeogenesis, pyruvate metabolism	440641|69507	C05345	HMDB00124|HMDB03971	CHEBI:16084|CHEBI:15946
FUCOSE	Carbohydrate	Aminosugars metabolism	3034656|439650|17106	C02095|C01019	HMDB00174|HMDB03081	CHEBI:48204|CHEBI:27442|CHEBI:28419|CHEBI:2181
FUMARATE	Energy	Krebs cycle	444972|21883788	C00122|D02308	HMDB00134	CHEBI:18012|CHEBI:22958
GAMMA-AMINOBUTYRATE (GABA)	Amino acid	Glutamate metabolism	119|6992099	C00334|D00058	HMDB00112	CHEBI:16865|CHEBI:59888
GAMMA-GLUTAMYLGLUTAMATE	Peptide	gamma-glutamyl	92865	C05282	HMDB11737	CHEBI:73705
GAMMA-GLUTAMYLGLUTAMINE	Peptide	gamma-glutamyl	150914	C05283	HMDB11738	CHEBI:73707
GAMMA-GLUTAMYLISOLEUCINE*	Peptide	gamma-glutamyl	14253342		HMDB11170	
GAMMA-GLUTAMYLLEUCINE	Peptide	gamma-glutamyl	151023|4524287		HMDB11171	CHEBI:68433
GAMMA-GLUTAMYLMETHIONINE						
GAMMA-GLUTAMYLPHENYLALANINE	Peptide	gamma-glutamyl	111299		HMDB00594	
GAMMA-GLUTAMYLTYROSINE						
GAMMA-GLUTAMYLVALINE	Peptide	gamma-glutamyl	5317736		HMDB11172	
GAMMA-TOCOPHEROL	Cofactors and vitamins	Tocopherol metabolism	14986|92729	C02483|D02332	HMDB01492	CHEBI:18185
GLUCONATE	Carbohydrate	Nucleotide sugars, pentose metabolism	10690	C00257	HMDB00625	CHEBI:33198
GLUCOSE	Carbohydrate	Glycolysis, gluconeogenesis, pyruvate metabolism	79025|5793	C00031|C00267|D00009	HMDB00122|HMDB03345	CHEBI:15444|CHEBI:17925|CHEBI:4167|CHEBI:75792
GLUCOSE-6-PHOSPHATE (G6P)	Carbohydrate	Glycolysis, gluconeogenesis, pyruvate metabolism	439284|5958	C00668|C00092	HMDB01401	CHEBI:17665|CHEBI:4170
GLUTAMATE	Amino acid	Glutamate metabolism	44272391|33032|23327	C00025|D00007|C00217	HMDB03339|HMDB00148	CHEBI:16015|CHEBI:53374|CHEBI:15966|CHEBI:53375
GLUTAMATE, GAMMA-METHYL ESTER	Amino acid	Glutamate metabolism	73913|71463447			
GLUTAMINE	Amino acid	Glutamate metabolism	5961|6992086	C00064|D00015	HMDB00641	CHEBI:18050|CHEBI:58359
GLUTARATE (PENTANEDIOATE)	Amino acid	Lysine metabolism	4418048|23322899|743	C00489	HMDB00661	CHEBI:30921|CHEBI:17859
GLUTAROYL CARNITINE						
GLUTATHIONE, OXIDIZED (GSSG)	Amino acid	Glutathione metabolism	11215652|65359|5255796|975	C00127|D00031	HMDB03337	CHEBI:17858
GLUTATHIONE, REDUCED (GSH)	Amino acid	Glutathione metabolism	124886|25246407	C00051|C02471|D00014	HMDB00125	CHEBI:16856|CHEBI:60836
GLYCERATE	Carbohydrate	Glycolysis, gluconeogenesis, pyruvate metabolism	439194	C00258	HMDB00139	CHEBI:32398
GLYCEROL	Lipid	Glycerolipid metabolism	753	C00116|D00028|D05073	HMDB00131	CHEBI:15850|CHEBI:17522|CHEBI:17754
GLYCEROL 2-PHOSPHATE	Xenobiotics	Chemical	2526	C02979	HMDB02520	CHEBI:17270
GLYCEROL 3-PHOSPHATE (G3P)	Lipid	Glycerolipid metabolism	439162	C00093	HMDB00126	CHEBI:15978|CHEBI:17106
GLYCEROPHOSPHOETHANOLAMINE	Lipid	Glycerolipid metabolism	123874|25200464|70678815|444183|22833510	C01233	HMDB00114	CHEBI:52330|CHEBI:64574|CHEBI:67274|CHEBI:68488|CHEBI:68520|CHEBI:71825|CHEBI:71826|CHEBI:71827|CHEBI:71828|CHEBI:71829|CHEBI:71830|CHEBI:71831|CHEBI:71832|CHEBI:71833|CHEBI:71834|CHEBI:71835|CHEBI:71836|CHEBI:71837|CHEBI:71838|CHEBI:71839|CHEBI:71840|CHEBI:71841|CHEBI:71842|CHEBI:71843|CHEBI:71844|CHEBI:71845|CHEBI:71846|CHEBI:71847|CHEBI:71848|CHEBI:71849|CHEBI:71850|CHEBI:71851|CHEBI:71852|CHEBI:71853|CHEBI:71854|CHEBI:71855|CHEBI:71856|CHEBI:71857|CHEBI:71858|CHEBI:71859|CHEBI:71860|CHEBI:71861|CHEBI:71862|CHEBI:71863|CHEBI:71864|CHEBI:71865|CHEBI:71866|CHEBI:71867|CHEBI:71868|CHEBI:71869|CHEBI:71870|CHEBI:71871|CHEBI:71872|CHEBI:71873|CHEBI:71874|CHEBI:71876|CHEBI:71877|CHEBI:71878|CHEBI:71879|CHEBI:71880|CHEBI:71881|CHEBI:72381|CHEBI:72382|CHEBI:72383|CHEBI:72384|CHEBI:72385|CHEBI:72386|CHEBI:72387|CHEBI:72388|CHEBI:72389|CHEBI:72390|CHEBI:72391|CHEBI:72392|CHEBI:72393|CHEBI:72394|CHEBI:72395|CHEBI:72396|CHEBI:72397|CHEBI:72398|CHEBI:72399|CHEBI:72400|CHEBI:72401|CHEBI:72734|CHEBI:72735
GLYCEROPHOSPHORYLCHOLINE (GPC)	Lipid	Glycerolipid metabolism	657272|439285|58381695|71920	C00670|D07349	HMDB00086	CHEBI:30909|CHEBI:55397|CHEBI:64483|CHEBI:64539|CHEBI:64540|CHEBI:64541|CHEBI:64544|CHEBI:64563|CHEBI:64565|CHEBI:64566|CHEBI:64567|CHEBI:64568|CHEBI:67053|CHEBI:67054|CHEBI:67055|CHEBI:67056|CHEBI:67057|CHEBI:67058|CHEBI:67059|CHEBI:67060|CHEBI:67061|CHEBI:67064|CHEBI:67065|CHEBI:67066|CHEBI:67067|CHEBI:67068|CHEBI:67069|CHEBI:67070|CHEBI:67071|CHEBI:67073|CHEBI:67074|CHEBI:67075|CHEBI:67076|CHEBI:67077|CHEBI:67082|CHEBI:67083|CHEBI:67084|CHEBI:67085|CHEBI:67086|CHEBI:67087|CHEBI:67088|CHEBI:68489|CHEBI:72736|CHEBI:72737|CHEBI:74349|CHEBI:76083|CHEBI:16870
GLYCINE	Amino acid	Glycine, serine and threonine metabolism	750|5257127	C00037|D00011	HMDB00123	CHEBI:15428|CHEBI:15705|CHEBI:16228|CHEBI:57305|CHEBI:59869|CHEBI:59871|CHEBI:62031|CHEBI:66884|CHEBI:66933
GLYCOCHENODEOXYCHOLATE						
GLYCOCHOLATE	Lipid	Bile acid metabolism	10140	C01921		CHEBI:17687
GLYCOLATE (HYDROXYACETATE)	Xenobiotics	Chemical	3698251|757	C00160|C03547	HMDB00115	CHEBI:17375|CHEBI:17497|CHEBI:17893|CHEBI:52618
GLYCOLITHOCHOLATE SULFATE*	Lipid	Bile acid metabolism	72222|443113|53477756	C11301	HMDB02639	CHEBI:9347
GLYCYLGLYCINE	Peptide	Dipeptide	1548897|11163	C02037	HMDB11733	CHEBI:16670|CHEBI:17201|CHEBI:356445
GLYCYLISOLEUCINE	Peptide	Dipeptide				
GLYCYLLEUCINE	Peptide	Dipeptide	1548899|92843	C02155	HMDB00759	CHEBI:73514
GLYCYLPHENYLALANINE	Peptide	Dipeptide				
GLYCYLPROLINE	Peptide	Dipeptide	44369312|79101		HMDB00721	
GLYCYLVALINE	Peptide	Dipeptide				
GUANINE	Nucleotide	Purine metabolism, guanine containing	764	C00242	HMDB00132	CHEBI:16235
GUANOSINE	Nucleotide	Purine metabolism, guanine containing	6802	C00387	HMDB00133	CHEBI:16750
GUANOSINE 5'- MONOPHOSPHATE (5'-GMP)	Nucleotide	Purine metabolism, guanine containing				
HEME*	Cofactors and vitamins	Hemoglobin and porphyrin		C00032	HMDB03178	CHEBI:17627|CHEBI:26355
HEPTAETHYLENE GLYCOL						
HEPTANOATE (7:0)						
HEXAETHYLENE GLYCOL						
HEXANOYLCARNITINE	Lipid	Carnitine metabolism	6426853|8892	C01585	HMDB00705|HMDB00535	CHEBI:70749|CHEBI:30776
HIPPURATE	Xenobiotics	Benzoate metabolism	464	C01586	HMDB00714	CHEBI:18089
