"","all.combined.adjusted","tumors.combined.adjusted","normals.combined.adjusted","Significant","Significant_Tumor","Significant_normal","SigNames"
"cholesterol",0.0557044937,0.0082753753,0.3318534567,5,3,2,"BRCA.Tumor.less;PRADLODA.Tumor.less;KIRC.Normal.greater;LGG.Tumor.greater;PRAD.Normal.greater"
"fructose-6-phosphate",0.0191114986,0.0115727035,0.5352096021,5,3,2,"KIRC.Tumor.less;BRCA.Tumor.less;PRADLODA.Normal.less;LGG.Tumor.greater;PRAD.Normal.greater"
"2-hydroxyglutarate",0.0599087303,0.0118653531,0.45212388,5,4,1,"KIRC.Tumor.less;BRCA.Tumor.less;PRADLODA.Normal.less;LGG.Tumor.greater;PRADLODA.Tumor.greater"
"linolenate [alpha or gamma; (18:3n3 or 6)]",0.128305202,0.0201664935,0.2036182302,5,3,2,"BRCA.Tumor.less;LGG.Tumor.less;KIRC.Tumor.greater;KIRC.Normal.greater;PRADLODA.Normal.greater"
"putrescine",0.00091286,0.0622051167,0.0212053554,5,3,2,"KIRC.Tumor.less;KIRC.Normal.less;BRCA.Tumor.less;PRADLODA.Normal.less;PRADLODA.Tumor.greater"
"proline",0.0014885502,4.42e-05,0.5399586049,4,3,1,"KIRC.Tumor.less;BRCA.Tumor.less;LGG.Tumor.less;PRAD.Normal.greater"
"asparagine",0.00091286,4.42e-05,0.7189654157,4,3,1,"KIRC.Tumor.less;BRCA.Tumor.less;LGG.Tumor.less;PRAD.Normal.greater"
"dimethylarginine (sdma + adma)",0.0014885502,7.48e-05,0.6316234805,4,3,1,"KIRC.Tumor.less;BRCA.Tumor.less;LGG.Tumor.less;PRAD.Normal.greater"
"7-alpha-hydroxy-3-oxo-4-cholestenoate (7-hoca)",0.0010332283,0.0001796226,0.6803906594,4,3,1,"KIRC.Tumor.less;KIRC.Normal.less;LGG.Tumor.less;PRADLODA.Tumor.less"
"phenylalanine",0.0039102765,0.000225923,0.5225054385,4,3,1,"KIRC.Tumor.less;BRCA.Tumor.less;LGG.Tumor.less;PRADLODA.Normal.greater"
"2-hydroxypalmitate",0.0057074584,0.0003423797,0.4103216437,4,3,1,"KIRC.Tumor.less;BRCA.Tumor.less;LGG.Tumor.less;PRADLODA.Normal.greater"
"adrenate (22:4n6)",0.0066548635,0.0003423797,0.5857989511,4,3,1,"KIRC.Tumor.less;BRCA.Tumor.less;LGG.Tumor.less;KIRC.Normal.greater"
"dihomo-linolenate (20:3n3 or n6)",0.005731315,0.000460039,0.666139028,4,3,1,"KIRC.Tumor.less;BRCA.Tumor.less;LGG.Tumor.less;KIRC.Normal.greater"
"2-oleoylglycerophosphocholine*",0.0066338593,0.0005234574,0.4172457967,4,3,1,"KIRC.Tumor.less;BRCA.Tumor.less;PRADLODA.Tumor.less;KIRC.Normal.greater"
"tryptophan",0.0166433292,0.0014251397,0.3104367294,4,3,1,"KIRC.Tumor.less;BRCA.Tumor.less;LGG.Tumor.less;PRADLODA.Normal.greater"
"docosahexaenoate (dha; 22:6n3)",0.0189455994,0.0016819212,0.2264829692,4,3,1,"KIRC.Tumor.less;BRCA.Tumor.less;LGG.Tumor.less;KIRC.Normal.greater"
"ethanolamine",0.0092114695,0.0017302433,0.5857989511,4,3,1,"BRCA.Tumor.less;KIRC.Normal.greater;LGG.Tumor.greater;PRADLODA.Tumor.greater"
"threonine",0.0155495626,0.002020791,0.724669172,4,3,1,"KIRC.Tumor.less;BRCA.Tumor.less;LGG.Tumor.less;PRAD.Normal.greater"
"margarate (17:0)",0.0625614047,0.0030979262,0.0867685375,4,2,2,"BRCA.Tumor.less;LGG.Tumor.less;KIRC.Normal.greater;PRADLODA.Normal.greater"
"butyrylcarnitine",0.0102389219,0.0037504603,0.6329961068,4,3,1,"KIRC.Tumor.less;KIRC.Normal.less;LGG.Tumor.less;PRADLODA.Tumor.greater"
"arachidonate (20:4n6)",0.07035833,0.0043962732,0.2586061717,4,3,1,"KIRC.Tumor.less;BRCA.Tumor.less;PRAD.Tumor.less;KIRC.Normal.greater"
"glucose-6-phosphate (g6p)",0.0013748263,0.0043962732,0.2036182302,4,3,1,"KIRC.Tumor.less;BRCA.Tumor.less;PRADLODA.Normal.less;LGG.Tumor.greater"
"2-oleoylglycerophosphoethanolamine*",0.0063665619,0.0051388824,0.3573534806,4,2,2,"KIRC.Tumor.less;BRCA.Tumor.less;PRADLODA.Normal.less;KIRC.Normal.greater"
"docosapentaenoate (n3 dpa; 22:5n3)",0.0590283092,0.0053576764,0.2248320363,4,2,2,"KIRC.Tumor.less;BRCA.Tumor.less;KIRC.Normal.greater;PRADLODA.Normal.greater"
"guanine",0.0524849139,0.005369092,0.3163929386,4,2,2,"BRCA.Tumor.less;PRADLODA.Tumor.less;PRAD.Normal.greater;PRADLODA.Normal.greater"
"1-oleoylglycerophosphocholine",0.0264279131,0.005369092,0.4521929527,4,3,1,"KIRC.Tumor.less;BRCA.Tumor.less;KIRC.Normal.greater;LGG.Tumor.greater"
"1-palmitoylglycerophosphocholine",0.0447320469,0.0096722015,0.4550370817,4,3,1,"KIRC.Tumor.less;BRCA.Tumor.less;KIRC.Normal.greater;LGG.Tumor.greater"
"tryptophan betaine",0.0527248053,0.0128909439,0.6803906594,4,3,1,"KIRC.Tumor.less;BRCA.Tumor.less;PRADLODA.Normal.greater;PRADLODA.Tumor.greater"
"palmitate (16:0)",0.1876746543,0.0161969593,0.2036182302,4,2,2,"BRCA.Tumor.less;LGG.Tumor.less;KIRC.Normal.greater;PRADLODA.Normal.greater"
"hexanoylcarnitine",0.0756598321,0.022012207,0.6329961068,4,2,2,"KIRC.Tumor.less;KIRC.Normal.less;LGG.Tumor.less;PRAD.Normal.greater"
"glutathione, reduced (gsh)",0.0155495626,0.0422437604,0.2997936549,4,2,2,"KIRC.Tumor.less;KIRC.Normal.less;LGG.Tumor.less;PRADLODA.Normal.less"
"erythronate*",0.07035833,0.0519941172,0.6282362891,4,3,1,"KIRC.Tumor.less;KIRC.Normal.less;BRCA.Tumor.less;LGG.Tumor.greater"
"4-hydroxybutyrate (ghb)",0.0236496564,0.0532304014,0.3163929386,4,2,2,"KIRC.Tumor.less;KIRC.Normal.less;BRCA.Tumor.less;PRADLODA.Normal.greater"
"1-oleoylglycerophosphoethanolamine",0.0534581538,0.0553837749,0.45212388,4,2,2,"BRCA.Tumor.less;PRADLODA.Normal.less;KIRC.Normal.greater;LGG.Tumor.greater"
"2-aminoadipate",0.0372066601,0.0928370865,0.3163929386,4,2,2,"KIRC.Normal.less;LGG.Tumor.less;BRCA.Tumor.greater;PRAD.Normal.greater"
"cytidine",0.2052250398,0.2045331883,0.3104367294,4,2,2,"KIRC.Tumor.less;PRADLODA.Normal.less;KIRC.Normal.greater;LGG.Tumor.greater"
"2-methylbutyroylcarnitine",0.0005860797,4.42e-05,1,3,3,0,"KIRC.Tumor.less;BRCA.Tumor.less;LGG.Tumor.less"
"kynurenine",0.00091286,4.42e-05,0.8802399989,3,3,0,"BRCA.Tumor.less;LGG.Tumor.less;PRADLODA.Tumor.less"
"n6-acetyllysine",0.0014885502,7.48e-05,0.7943605549,3,3,0,"KIRC.Tumor.less;BRCA.Tumor.less;LGG.Tumor.less"
"leucine",0.0015750883,0.0001099141,0.724669172,3,3,0,"KIRC.Tumor.less;BRCA.Tumor.less;LGG.Tumor.less"
"glycylglycine",0.0008589495,0.0001287362,1,3,3,0,"KIRC.Tumor.less;BRCA.Tumor.less;LGG.Tumor.less"
"stearoylcarnitine",0.0019937647,0.0001420552,0.724669172,3,3,0,"KIRC.Tumor.less;BRCA.Tumor.less;LGG.Tumor.less"
"thymine",0.00091286,0.0001796226,1,3,3,0,"KIRC.Tumor.less;BRCA.Tumor.less;LGG.Tumor.less"
"cis-aconitate",0.0054556949,0.0002233653,0.3573534806,3,2,1,"KIRC.Normal.less;KIRC.Tumor.greater;PRADLODA.Tumor.greater"
"serine",0.0025381098,0.0002233653,0.8975465775,3,3,0,"KIRC.Tumor.less;BRCA.Tumor.less;LGG.Tumor.less"
"tyrosine",0.0027387052,0.0002233653,1,3,3,0,"KIRC.Tumor.less;BRCA.Tumor.less;LGG.Tumor.less"
"valerylcarnitine",0.0027387052,0.0002622838,1,3,3,0,"KIRC.Tumor.less;BRCA.Tumor.less;LGG.Tumor.less"
"aspartylleucine",0.0005860797,0.0003108181,1,3,2,1,"KIRC.Tumor.less;KIRC.Normal.less;LGG.Tumor.less"
"s-adenosylhomocysteine (sah)",0.0073569764,0.0003461773,1,3,3,0,"KIRC.Tumor.less;BRCA.Tumor.less;LGG.Tumor.less"
"glycine",0.0080248715,0.0004133201,0.423721552,3,2,1,"BRCA.Tumor.less;LGG.Tumor.less;PRADLODA.Normal.greater"
"2-arachidonoylglycerophosphocholine*",0.0042906693,0.0004445536,0.5101569679,3,2,1,"KIRC.Tumor.less;BRCA.Tumor.less;BRCA.Normal.less"
"adenosine 3'-monophosphate (3'-amp)",0.0030081726,0.0004914819,1,3,3,0,"KIRC.Tumor.less;BRCA.Tumor.less;LGG.Tumor.less"
"methionine",0.0071528546,0.0004992692,0.4965107204,3,2,1,"KIRC.Tumor.less;BRCA.Tumor.less;PRADLODA.Normal.greater"
"n-acetylmethionine",0.00091286,0.0005481085,0.3163929386,3,2,1,"KIRC.Tumor.less;KIRC.Normal.less;BRCA.Tumor.less"
"1-arachidonoylglycerophosphoinositol*",0.0198713687,0.0008518917,0.3163929386,3,2,1,"KIRC.Tumor.less;BRCA.Tumor.less;KIRC.Normal.greater"
"valine",0.0141844335,0.0010274332,0.5857989511,3,3,0,"KIRC.Tumor.less;BRCA.Tumor.less;LGG.Tumor.less"
"aspartylphenylalanine",0.0025126261,0.0010425165,0.44943407,3,2,1,"KIRC.Tumor.less;KIRC.Normal.less;BRCA.Tumor.less"
"2-linoleoylglycerophosphocholine*",0.016497812,0.0012911889,0.3573534806,3,2,1,"KIRC.Tumor.less;BRCA.Tumor.less;KIRC.Normal.greater"
"citrate",0.016497812,0.0012911889,0.6316234805,3,2,1,"KIRC.Normal.less;KIRC.Tumor.greater;PRADLODA.Tumor.greater"
"phosphoethanolamine",0.0086006144,0.0016819212,0.6821757227,3,2,1,"KIRC.Normal.less;BRCA.Tumor.less;LGG.Tumor.less"
"fucose",0.0005038399,0.0017302433,0.0867685375,3,2,1,"KIRC.Tumor.less;KIRC.Normal.less;BRCA.Tumor.less"
"myristoleate (14:1n5)",0.0206974344,0.0017567323,0.4116219957,3,3,0,"BRCA.Tumor.less;LGG.Tumor.less;KIRC.Tumor.greater"
"lysine",0.0292156739,0.0018078811,0.724669172,3,3,0,"KIRC.Tumor.less;BRCA.Tumor.less;LGG.Tumor.less"
"cytidine 5'-diphosphocholine",0.0019937647,0.0020813365,0.2997936549,3,2,1,"KIRC.Tumor.less;KIRC.Normal.less;BRCA.Tumor.less"
"alanylleucine",0.0047018064,0.0021583893,0.4414797321,3,2,1,"KIRC.Tumor.less;KIRC.Normal.less;PRADLODA.Tumor.less"
"n1-methylguanosine",0.0291268891,0.0029623574,0.2248320363,3,2,1,"KIRC.Tumor.less;BRCA.Tumor.less;PRADLODA.Normal.greater"
"fumarate",0.0472320228,0.0030384723,0.3318534567,3,2,1,"BRCA.Tumor.less;LGG.Tumor.less;KIRC.Normal.greater"
"2-palmitoylglycerophosphocholine*",0.0305777728,0.0041182366,0.3900480354,3,2,1,"KIRC.Tumor.less;BRCA.Tumor.less;KIRC.Normal.greater"
"docosatrienoate (22:3n3)",0.0102389219,0.0049363307,0.5555552151,3,2,1,"KIRC.Tumor.less;BRCA.Tumor.less;BRCA.Normal.less"
"1-myristoylglycerophosphocholine",0.0418096672,0.0053496614,0.365512452,3,3,0,"KIRC.Tumor.less;BRCA.Tumor.less;LGG.Tumor.greater"
"docosapentaenoate (n6 dpa; 22:5n6)",0.0201018892,0.0058717176,0.6063230423,3,2,1,"KIRC.Tumor.less;LGG.Tumor.less;KIRC.Normal.greater"
"creatinine",0.0266370116,0.0061173311,0.9108521206,3,3,0,"BRCA.Tumor.greater;LGG.Tumor.greater;PRADLODA.Tumor.greater"
"creatine",0.0152977709,0.0061443746,0.6316234805,3,3,0,"BRCA.Tumor.less;LGG.Tumor.greater;PRADLODA.Tumor.greater"
"myo-inositol",0.0236053301,0.006805968,0.7935657564,3,3,0,"BRCA.Tumor.less;LGG.Tumor.greater;PRADLODA.Tumor.greater"
"quinolinate",0.0054806153,0.00726248,0.3085517229,3,2,1,"KIRC.Tumor.less;KIRC.Normal.less;BRCA.Tumor.less"
"ribose",0.0186277044,0.0075971354,0.6329961068,3,2,1,"KIRC.Tumor.less;BRCA.Tumor.less;BRCA.Normal.less"
"lactate",0.0096500696,0.0082753753,0.4047018395,3,2,1,"KIRC.Tumor.less;KIRC.Normal.less;BRCA.Tumor.less"
"1-arachidonoylglycerophosphoethanolamine*",0.0399517284,0.009352417,0.7571558559,3,3,0,"KIRC.Tumor.less;BRCA.Tumor.less;LGG.Tumor.greater"
"pipecolate",0.0135510571,0.009551962,0.4521929527,3,2,1,"KIRC.Tumor.less;KIRC.Normal.less;BRCA.Tumor.less"
"n-acetylserine",0.0575761729,0.01108816,0.6329961068,3,2,1,"KIRC.Tumor.less;BRCA.Tumor.less;PRADLODA.Normal.greater"
"glutamate",0.1434978274,0.0115783183,0.2997936549,3,1,2,"BRCA.Tumor.less;PRAD.Normal.greater;PRADLODA.Normal.greater"
"3-(4-hydroxyphenyl)lactate",0.0152977709,0.0116381304,0.44943407,3,2,1,"KIRC.Tumor.less;KIRC.Normal.less;LGG.Tumor.greater"
"adenine",0.0678899972,0.0128909439,1,3,3,0,"KIRC.Tumor.less;BRCA.Tumor.less;LGG.Tumor.greater"
"allo-threonine",0.0599087303,0.0139686713,0.6063230423,3,2,1,"KIRC.Normal.less;BRCA.Tumor.greater;LGG.Tumor.greater"
"xanthosine",0.1184809653,0.0166786214,0.2036182302,3,2,1,"KIRC.Tumor.less;BRCA.Tumor.less;PRADLODA.Normal.greater"
"n-acetylglucosamine",0.1162981292,0.01748173,1,3,3,0,"KIRC.Tumor.less;BRCA.Tumor.less;PRADLODA.Tumor.greater"
"myristate (14:0)",0.2111086727,0.0197431059,0.3163929386,3,2,1,"BRCA.Tumor.less;PRAD.Tumor.less;KIRC.Normal.greater"
"acetylcarnitine",0.0193363226,0.0202846985,0.4175448296,3,2,1,"KIRC.Normal.less;LGG.Tumor.less;PRADLODA.Tumor.greater"
"phosphate",0.07035833,0.022012207,1,3,3,0,"KIRC.Tumor.less;BRCA.Tumor.less;LGG.Tumor.greater"
"cytidine 5'-monophosphate (5'-cmp)",0.0091982334,0.0252771356,0.2592100912,3,1,2,"KIRC.Normal.less;BRCA.Tumor.less;PRADLODA.Normal.less"
"dihydrocholesterol",0.0155495626,0.0253314307,1,3,2,1,"KIRC.Tumor.less;KIRC.Normal.greater;LGG.Tumor.greater"
"eicosenoate (20:1n9 or 11)",0.0557044937,0.0253570947,0.6282362891,3,2,1,"BRCA.Tumor.less;LGG.Tumor.less;KIRC.Normal.greater"
"erythritol",0.07035833,0.0264715427,0.389614866,3,2,1,"KIRC.Tumor.less;KIRC.Normal.less;LGG.Tumor.greater"
"n-acetylneuraminate",0.0084904754,0.0294436623,0.2248320363,3,2,1,"KIRC.Normal.less;BRCA.Tumor.less;PRAD.Tumor.less"
"10-nonadecenoate (19:1n9)",0.1540654761,0.0299834214,0.3573534806,3,2,1,"BRCA.Tumor.less;LGG.Tumor.less;KIRC.Normal.greater"
"5-oxoproline",0.1180416836,0.0305776338,0.2310510416,3,2,1,"BRCA.Tumor.less;KIRC.Tumor.greater;KIRC.Normal.greater"
"methylphosphate",0.0372519487,0.0313238474,0.2997936549,3,1,2,"BRCA.Normal.less;KIRC.Normal.greater;LGG.Tumor.greater"
"2-stearoylglycerophosphocholine*",0.1297742403,0.0372399133,1,3,2,1,"KIRC.Tumor.less;LGG.Tumor.less;KIRC.Normal.greater"
"stearate (18:0)",0.1164103283,0.0374404665,0.0867685375,3,1,2,"BRCA.Tumor.less;KIRC.Normal.greater;PRADLODA.Normal.greater"
"stearoyl sphingomyelin",0.0369675275,0.0378067658,0.4521929527,3,2,1,"PRADLODA.Tumor.less;LGG.Tumor.greater;PRADLODA.Normal.greater"
"xylitol",0.1340675109,0.0378728913,0.724669172,3,3,0,"KIRC.Tumor.less;BRCA.Tumor.less;LGG.Tumor.less"
"mannose-6-phosphate",0.042489857,0.040349287,0.4965107204,3,2,1,"KIRC.Tumor.less;BRCA.Tumor.less;PRADLODA.Normal.less"
"cis-vaccenate (18:1n7)",0.028555733,0.0451770026,0.3573534806,3,2,1,"BRCA.Tumor.less;KIRC.Normal.greater;LGG.Tumor.greater"
"aspartate",0.0838545681,0.0452627499,0.7571558559,3,2,1,"KIRC.Tumor.less;BRCA.Tumor.less;PRADLODA.Normal.less"
"c-glycosyltryptophan*",0.0305777728,0.0486906662,0.3573534806,3,2,1,"KIRC.Normal.less;BRCA.Tumor.less;LGG.Tumor.greater"
"pelargonate (9:0)",0.0139902082,0.0532304014,1,3,2,1,"LGG.Tumor.less;KIRC.Tumor.greater;KIRC.Normal.greater"
"alpha-tocopherol",0.0817407864,0.0545994785,0.4116219957,3,2,1,"LGG.Tumor.less;KIRC.Tumor.greater;BRCA.Normal.greater"
"urate",0.1017763218,0.0605260651,0.45212388,3,2,1,"LGG.Tumor.less;PRAD.Tumor.greater;PRADLODA.Normal.greater"
"glycerol 2-phosphate",0.1623637632,0.062518629,0.423721552,3,2,1,"BRCA.Tumor.less;PRADLODA.Normal.less;LGG.Tumor.greater"
"1-palmitoylglycerophosphoethanolamine",0.0376812694,0.0756027319,0.345473227,3,1,2,"PRADLODA.Normal.less;KIRC.Normal.greater;PRADLODA.Tumor.greater"
"xanthine",0.2669334112,0.0768239637,0.3573534806,3,2,1,"KIRC.Tumor.less;PRADLODA.Normal.greater;PRADLODA.Tumor.greater"
"mannose",0.0632614578,0.078049024,0.45212388,3,2,1,"KIRC.Tumor.less;BRCA.Tumor.less;PRADLODA.Normal.less"
"inositol 1-phosphate (i1p)",0.0165942521,0.0917026001,0.2036182302,3,2,1,"BRCA.Tumor.less;KIRC.Tumor.greater;KIRC.Normal.greater"
"sedoheptulose-7-phosphate",0.07035833,0.1014297729,1,3,2,1,"BRCA.Tumor.less;KIRC.Normal.greater;LGG.Tumor.greater"
"galactose",0.0054806153,0.1014297729,0.0867685375,3,1,2,"KIRC.Tumor.less;KIRC.Normal.less;BRCA.Normal.less"
"caprate (10:0)",0.0599087303,0.1125735507,1,3,2,1,"LGG.Tumor.less;KIRC.Tumor.greater;KIRC.Normal.greater"
"3-hydroxybutyrate (bhba)",0.0942535826,0.1152973509,0.4965107204,3,2,1,"BRCA.Tumor.greater;BRCA.Normal.greater;PRADLODA.Tumor.greater"
"2-palmitoylglycerol (2-monopalmitin)",0.2620697253,0.1222416392,0.45212388,3,2,1,"KIRC.Tumor.less;BRCA.Tumor.less;KIRC.Normal.greater"
"glutamine",0.1133456513,0.1308090737,0.389614866,3,1,2,"KIRC.Normal.less;LGG.Tumor.greater;PRAD.Normal.greater"
"pantothenate",0.4139467121,0.1413577913,0.8526460824,3,2,1,"KIRC.Tumor.less;BRCA.Tumor.less;PRADLODA.Normal.greater"
"glycerol",0.3175432177,0.1543216255,1,3,3,0,"BRCA.Tumor.less;LGG.Tumor.greater;PRADLODA.Tumor.greater"
"fructose",0.3123491141,0.1655692091,0.6282362891,3,2,1,"BRCA.Tumor.less;PRADLODA.Normal.less;LGG.Tumor.greater"
"nicotinamide",0.0399517284,0.2236915717,0.2248320363,3,2,1,"KIRC.Tumor.less;BRCA.Tumor.less;PRADLODA.Normal.less"
"inosine",0.2612119801,0.2792832079,0.6476777708,3,1,2,"PRADLODA.Normal.less;KIRC.Normal.greater;LGG.Tumor.greater"
"1-heptadecanoylglycerophosphoethanolamine*",0.2388431101,0.285591873,0.5225054385,3,1,2,"PRADLODA.Normal.less;KIRC.Normal.greater;PRADLODA.Tumor.greater"
"laurate (12:0)",0.118540533,0.3057756025,0.3163929386,3,2,1,"LGG.Tumor.less;KIRC.Tumor.greater;KIRC.Normal.greater"
"2-hydroxybutyrate (ahb)",0.1060484337,0.362948636,0.3163929386,3,2,1,"KIRC.Tumor.less;PRAD.Normal.greater;PRADLODA.Tumor.greater"
"choline phosphate",0.4423253697,0.3857155209,0.4986163106,3,1,2,"KIRC.Normal.less;PRADLODA.Tumor.less;PRADLODA.Normal.greater"
"azelate (nonanedioate)",0.0430946454,0.583535411,0.0933623417,3,1,2,"PRAD.Tumor.less;KIRC.Normal.greater;PRAD.Normal.greater"
"adenosine",0.1663589502,0.6381466368,0.2036182302,3,0,3,"PRADLODA.Normal.less;KIRC.Normal.greater;PRAD.Normal.greater"
"adenosine 2'-monophosphate (2'-amp)",0.0015750883,0.0002205359,1,2,2,0,"KIRC.Tumor.less;BRCA.Tumor.less"
"1-stearoylglycerophosphoinositol",0.0066338593,0.0003423797,0.7425232062,2,2,0,"KIRC.Tumor.less;BRCA.Tumor.less"
"2-palmitoleoylglycerophosphocholine*",0.0066338593,0.0004006114,0.7575981942,2,2,0,"KIRC.Tumor.less;BRCA.Tumor.less"
"2-arachidonoylglycerophosphoethanolamine*",0.0082834371,0.0004739099,1,2,2,0,"KIRC.Tumor.less;BRCA.Tumor.less"
"deoxycarnitine",0.0063665619,0.000582202,1,2,2,0,"BRCA.Tumor.less;LGG.Tumor.less"
"n-acetylalanine",0.0066548635,0.0008989229,0.724669172,2,2,0,"KIRC.Tumor.less;BRCA.Tumor.less"
"glycylleucine",0.0059769841,0.0008989229,0.7575981942,2,2,0,"KIRC.Tumor.less;BRCA.Tumor.less"
"glycylvaline",0.005731315,0.001274244,1,2,2,0,"KIRC.Tumor.less;BRCA.Tumor.less"
"n-acetylglucosamine 6-phosphate",0.0115233973,0.0013881311,1,2,2,0,"KIRC.Tumor.less;LGG.Tumor.less"
"2'-deoxyguanosine",0.005731315,0.0017195124,1,2,2,0,"KIRC.Tumor.less;BRCA.Tumor.less"
"s-adenosylmethionine (sam)",0.0062751528,0.0017302433,1,2,2,0,"KIRC.Tumor.less;BRCA.Tumor.less"
"2'-deoxyinosine",0.0146294988,0.0017302433,0.7943605549,2,2,0,"KIRC.Tumor.less;LGG.Tumor.less"
"alanine",0.0148851231,0.0018659712,0.9225395071,2,2,0,"BRCA.Tumor.less;LGG.Tumor.less"
"propionylcarnitine",0.0283025443,0.0041182366,1,2,2,0,"KIRC.Tumor.less;LGG.Tumor.less"
"tiglyl carnitine",0.0057074584,0.0043962732,1,2,1,1,"LGG.Tumor.less;PRADLODA.Normal.less"
"1-linoleoylglycerophosphocholine",0.0305777728,0.0053576764,0.2248320363,2,1,1,"BRCA.Tumor.less;KIRC.Normal.greater"
"5-methylthioadenosine (mta)",0.042489857,0.005369092,0.5549067961,2,2,0,"KIRC.Tumor.less;BRCA.Tumor.less"
"mannitol",0.0344840472,0.0058832609,1,2,2,0,"LGG.Tumor.greater;PRADLODA.Tumor.greater"
"2-linoleoylglycerophosphoethanolamine*",0.0289543405,0.0061443746,0.724669172,2,2,0,"KIRC.Tumor.less;BRCA.Tumor.less"
"succinylcarnitine",0.016497812,0.0071084878,0.5857989511,2,2,0,"KIRC.Tumor.less;BRCA.Tumor.less"
"ascorbate (vitamin c)",0.0311541864,0.00726248,1,2,2,0,"KIRC.Tumor.less;LGG.Tumor.less"
"trans-4-hydroxyproline",0.0108656921,0.0075959689,0.44943407,2,2,0,"KIRC.Tumor.less;LGG.Tumor.less"
"dihomo-linoleate (20:2n6)",0.0553740847,0.0075971354,0.5212083415,2,1,1,"BRCA.Tumor.less;KIRC.Normal.greater"
"glycylproline",0.0512601629,0.007690664,1,2,2,0,"KIRC.Tumor.less;BRCA.Tumor.less"
"1-stearoylglycerophosphocholine",0.0376812694,0.0085064131,0.4116219957,2,1,1,"BRCA.Tumor.less;KIRC.Normal.greater"
"gamma-glutamylleucine",0.0603824623,0.0088643945,1,2,2,0,"BRCA.Tumor.less;KIRC.Tumor.greater"
"glycerophosphoethanolamine",0.0458689473,0.0090760051,0.4550370817,2,1,1,"PRADLODA.Normal.less;LGG.Tumor.greater"
"gamma-glutamylalanine",0.0339470822,0.0101819999,0.9225395071,2,2,0,"BRCA.Tumor.less;LGG.Tumor.less"
"n-acetylglycine",0.0555502524,0.0145707435,1,2,2,0,"KIRC.Tumor.less;LGG.Tumor.less"
"arabonate",0.0699363094,0.0163917098,1,2,1,1,"KIRC.Normal.less;LGG.Tumor.greater"
"flavin adenine dinucleotide (fad)",0.0599087303,0.0195005735,0.7876201778,2,2,0,"KIRC.Tumor.less;BRCA.Tumor.less"
"malate",0.1058427287,0.022012207,0.5857989511,2,2,0,"BRCA.Tumor.less;LGG.Tumor.less"
"choline",0.0115233973,0.0230351205,0.3085517229,2,1,1,"KIRC.Tumor.greater;KIRC.Normal.greater"
"homocarnosine",0.0177058793,0.0238223869,1,2,1,1,"LGG.Tumor.greater;PRADLODA.Normal.greater"
"spermine",0.185427001,0.0253570947,0.7575981942,2,2,0,"KIRC.Tumor.less;PRADLODA.Tumor.greater"
"carnitine",0.1440942302,0.0253570947,0.4204375944,2,1,1,"LGG.Tumor.less;KIRC.Normal.greater"
"ribitol",0.0430946454,0.0279042756,0.6376468983,2,2,0,"BRCA.Tumor.less;LGG.Tumor.greater"
