"","Row","Column","TumorAssociation","NormalAssociation","Metabolite","Study"
"glycyltryptophan",168,4,1,1,"glycyltryptophan","Clear Cell
Kidney"
"glycyltyrosine",169,4,1,1,"glycyltyrosine","Clear Cell
Kidney"
"histidylmethionine",170,4,1,1,"histidylmethionine","Clear Cell
Kidney"
"histidylphenylalanine",171,4,1,1,"histidylphenylalanine","Clear Cell
Kidney"
"histidyltryptophan",172,4,1,1,"histidyltryptophan","Clear Cell
Kidney"
"homoserine",173,4,1,1,"homoserine","Clear Cell
Kidney"
"isoleucylglycine",174,4,1,1,"isoleucylglycine","Clear Cell
Kidney"
"isoleucylmethionine",175,4,1,1,"isoleucylmethionine","Clear Cell
Kidney"
"isoleucylphenylalanine",176,4,1,1,"isoleucylphenylalanine","Clear Cell
Kidney"
"isoleucyltyrosine",177,4,1,1,"isoleucyltyrosine","Clear Cell
Kidney"
"leucyltryptophan",178,4,1,1,"leucyltryptophan","Clear Cell
Kidney"
"lysylmethionine",179,4,1,1,"lysylmethionine","Clear Cell
Kidney"
"lysyltyrosine",180,4,1,1,"lysyltyrosine","Clear Cell
Kidney"
"methionylalanine",181,4,1,1,"methionylalanine","Clear Cell
Kidney"
"methionylasparagine",182,4,1,1,"methionylasparagine","Clear Cell
Kidney"
"methionylaspartate",183,4,1,1,"methionylaspartate","Clear Cell
Kidney"
"methionylglycine",184,4,1,1,"methionylglycine","Clear Cell
Kidney"
"methionylleucine",185,4,1,1,"methionylleucine","Clear Cell
Kidney"
"phenylalanylalanine",186,4,1,1,"phenylalanylalanine","Clear Cell
Kidney"
"phenylalanylaspartate",187,4,1,1,"phenylalanylaspartate","Clear Cell
Kidney"
"phenylalanylglutamate",188,4,1,1,"phenylalanylglutamate","Clear Cell
Kidney"
"phenylalanylglycine",189,4,1,1,"phenylalanylglycine","Clear Cell
Kidney"
"phenylalanylmethionine",190,4,1,1,"phenylalanylmethionine","Clear Cell
Kidney"
"phenylalanylphenylalanine",191,4,1,1,"phenylalanylphenylalanine","Clear Cell
Kidney"
"phenylalanyltryptophan",192,4,1,1,"phenylalanyltryptophan","Clear Cell
Kidney"
"phenylalanyltyrosine",193,4,1,1,"phenylalanyltyrosine","Clear Cell
Kidney"
"phenylalanylvaline",194,4,1,1,"phenylalanylvaline","Clear Cell
Kidney"
"serylisoleucine*",195,4,1,1,"serylisoleucine*","Clear Cell
Kidney"
"serylvaline",196,4,1,1,"serylvaline","Clear Cell
Kidney"
"threonylglutamate",197,4,1,1,"threonylglutamate","Clear Cell
Kidney"
"threonylmethionine",198,4,1,1,"threonylmethionine","Clear Cell
Kidney"
"tryptophylasparagine",199,4,1,1,"tryptophylasparagine","Clear Cell
Kidney"
"tryptophylglutamate",200,4,1,1,"tryptophylglutamate","Clear Cell
Kidney"
"tryptophylleucine",201,4,1,1,"tryptophylleucine","Clear Cell
Kidney"
"tyrosylalanine",202,4,1,1,"tyrosylalanine","Clear Cell
Kidney"
"tyrosylglutamine",203,4,1,1,"tyrosylglutamine","Clear Cell
Kidney"
"tyrosylglycine",204,4,1,1,"tyrosylglycine","Clear Cell
Kidney"
"tyrosylleucine",205,4,1,1,"tyrosylleucine","Clear Cell
Kidney"
"tyrosylvaline",206,4,1,1,"tyrosylvaline","Clear Cell
Kidney"
"valylhistidine",207,4,1,1,"valylhistidine","Clear Cell
Kidney"
"valylisoleucine",208,4,1,1,"valylisoleucine","Clear Cell
Kidney"
"valylleucine",209,4,1,1,"valylleucine","Clear Cell
Kidney"
"valyllysine",210,4,1,1,"valyllysine","Clear Cell
Kidney"
"valyltryptophan",211,4,1,1,"valyltryptophan","Clear Cell
Kidney"
"valyltyrosine",212,4,1,1,"valyltyrosine","Clear Cell
Kidney"
"xylose",213,4,1,1,"xylose","Clear Cell
Kidney"
