"","KIRC","BLCA","BRCA","BRCATang","OV","PAAD","PAADHussain1","PAADHussain2","PRAD","PRADLODA"
"alanylisoleucine",0,NA,NA,NA,NA,NA,0,NA,NA,NA
"alanylleucine",1,NA,1,1,0,NA,0,0,NA,0
"alanylmethionine",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alanylphenylalanine",1,NA,NA,1,NA,NA,0,0,NA,NA
"alanylthreonine",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alanyltryptophan",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alanyltyrosine",1,NA,NA,NA,NA,NA,0,0,NA,0
"alanylvaline",0,NA,NA,NA,NA,NA,0,0,NA,NA
"allo-threonine",-1,NA,1,NA,NA,NA,0,NA,NA,NA
"alpha-glutamylglutamate",0,NA,NA,NA,NA,NA,0,NA,NA,NA
"alpha-glutamyltryptophan",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alpha-glutamyltyrosine",1,NA,NA,NA,NA,NA,NA,0,NA,NA
"alpha-hydroxyisovalerate",0,NA,NA,0,0,NA,0,1,NA,0
"alpha-tocopherol",1,NA,1,1,1,NA,0,NA,0,0
"androsterone sulfate",-1,NA,0,-1,0,NA,NA,NA,NA,NA
"anserine",-1,NA,NA,1,NA,NA,NA,NA,NA,0
"arabitol",-1,NA,NA,1,0,NA,NA,0,NA,-1
"arabonate",0,NA,NA,NA,0,NA,NA,NA,NA,NA
"arachidate (20:0)",1,NA,NA,NA,1,NA,NA,NA,NA,NA
"arachidonate (20:4n6)",-1,NA,1,1,0,NA,0,-1,1,1
"arginine",-1,1,1,1,0,0,0,0,NA,-1
"argininosuccinate",0,NA,NA,NA,1,NA,0,NA,0,NA
"arginylleucine",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"arginylmethionine",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"arginylphenylalanine",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"arginyltyrosine",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"arginylvaline",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ascorbate (vitamin c)",0,NA,1,1,0,0,0,0,0,0
"asparagine",-1,1,1,1,0,-1,0,0,1,0
"aspartate",-1,1,1,1,0,0,-1,-1,0,0
"aspartate-glutamate",-1,NA,NA,NA,0,NA,0,NA,NA,NA
"aspartylleucine",1,NA,NA,1,NA,NA,NA,0,NA,NA
"aspartylphenylalanine",1,NA,1,0,0,NA,0,0,NA,0
"aspartyltryptophan",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aspartylvaline",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"atenolol",0,NA,NA,NA,NA,NA,0,NA,NA,NA
"azelate (nonanedioate)",1,NA,NA,0,0,NA,0,0,1,-1
"benzoate",-1,1,NA,0,NA,NA,NA,NA,NA,NA
"beta-alanine",1,NA,1,1,1,NA,NA,1,0,0
"beta-hydroxypyruvate",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"betaine",0,0,1,1,1,0,NA,-1,NA,0
"beta-tocopherol",1,NA,0,NA,NA,NA,NA,NA,NA,NA
"bilirubin (e,e)*",0,NA,0,NA,0,NA,NA,0,NA,NA
"bilirubin (z,z)",1,NA,NA,NA,0,NA,NA,NA,NA,NA
"butyrylcarnitine",1,NA,1,1,1,NA,1,1,NA,0
"caprate (10:0)",-1,NA,NA,-1,0,NA,-1,-1,NA,NA
"caproate (6:0)",-1,NA,0,-1,0,NA,0,0,NA,NA
"caprylate (8:0)",-1,NA,NA,-1,0,NA,0,0,NA,NA
"carnitine",1,1,1,1,1,0,0,0,1,0
"catechol sulfate",-1,NA,0,0,0,NA,NA,0,1,-1
"celecoxib",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"c-glycosyltryptophan*",-1,NA,1,1,0,NA,1,1,NA,-1
"chiro-inositol",-1,NA,NA,0,0,NA,NA,NA,NA,NA
"cholate",-1,NA,NA,-1,0,NA,0,NA,NA,NA
"cholesterol",1,NA,1,1,0,NA,0,0,1,-1
"choline",-1,NA,1,1,0,0,NA,0,NA,0
"choline phosphate",1,NA,1,1,0,NA,0,-1,NA,0
"cinnamoylglycine",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cis-aconitate",1,NA,NA,NA,NA,0,NA,NA,-1,-1
"cis-vaccenate (18:1n7)",1,NA,1,0,0,NA,NA,0,NA,0
"citalopram",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"citramalate",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"citrate",1,NA,1,0,0,0,1,0,-1,-1
"citrulline",1,1,1,0,0,0,0,1,1,0
"codeine",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cortisol",0,0,0,NA,0,NA,0,0,NA,NA
"cortisone",-1,NA,NA,NA,0,NA,NA,NA,NA,NA
"creatine",1,1,1,1,0,0,0,0,NA,-1
"creatinine",-1,NA,0,0,-1,NA,0,0,0,-1
"cysteine",0,NA,1,1,0,0,0,0,1,0
"cysteine-glutathione disulfide",1,NA,1,1,0,NA,0,1,NA,0
"cysteinylglycine",1,NA,NA,0,0,NA,NA,NA,NA,0
"cystine",1,NA,1,0,0,NA,0,0,NA,0
"cytidine",-1,NA,1,0,0,-1,0,-1,1,0
"cytidine 5'-diphosphocholine",1,NA,1,1,1,NA,0,0,NA,0
"cytidine 5'-monophosphate (5'-cmp)",1,0,1,1,-1,0,0,0,0,0
"cytidine-3'-monophosphate (3'-cmp)",-1,NA,NA,0,1,NA,0,-1,NA,NA
"cytosine-2',3'-cyclic monophosphate",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"deoxycarnitine",1,NA,1,1,1,NA,0,-1,NA,0
"dihomo-linoleate (20:2n6)",1,NA,1,1,0,NA,0,-1,NA,1
"dihomo-linolenate (20:3n3 or n6)",0,NA,1,1,0,NA,0,-1,NA,1
"dihydrocholesterol",0,NA,NA,0,NA,NA,NA,NA,NA,NA
"dimethylarginine (sdma + adma)",-1,NA,1,0,0,NA,0,0,1,0
"dimethylglycine",0,0,NA,NA,0,0,NA,0,NA,NA
"docosadienoate (22:2n6)",1,NA,1,1,0,NA,0,-1,NA,1
"docosahexaenoate (dha; 22:6n3)",-1,NA,1,1,0,NA,0,-1,NA,1
"docosapentaenoate (n3 dpa; 22:5n3)",0,NA,1,1,0,NA,0,-1,NA,0
"docosapentaenoate (n6 dpa; 22:5n6)",-1,NA,NA,1,0,NA,NA,NA,NA,1
"docosatrienoate (22:3n3)",1,NA,1,1,0,NA,0,-1,NA,0
"dodecanedioate",0,NA,NA,NA,0,NA,NA,NA,NA,NA
"eicosapentaenoate (epa; 20:5n3)",-1,NA,1,1,0,NA,0,-1,NA,0
"eicosenoate (20:1n9 or 11)",1,NA,1,1,0,NA,-1,-1,NA,1
"epinephrine",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ergothioneine",1,NA,NA,1,1,NA,0,1,NA,0
"erucate (22:1n9)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"erythritol",0,NA,NA,1,0,NA,0,0,1,0
"erythronate*",0,NA,1,1,1,NA,0,0,NA,-1
"ethanolamine",-1,NA,1,1,0,NA,0,0,NA,0
"flavin adenine dinucleotide (fad)",-1,NA,1,1,0,0,0,0,NA,0
"fructose",1,NA,1,1,0,NA,0,-1,-1,0
"fructose 1-phosphate",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fructose-6-phosphate",1,NA,1,1,0,0,0,0,0,0
"fucose",0,NA,1,1,1,NA,NA,0,NA,0
"fumarate",-1,NA,1,1,1,0,-1,0,1,0
"gabapentin",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"galactose",0,NA,0,NA,0,NA,0,NA,NA,0
"gamma-aminobutyrate (gaba)",-1,NA,1,1,1,0,0,0,NA,0
"gamma-glutamylcysteine",1,NA,NA,NA,NA,NA,NA,NA,0,NA
"gamma-glutamylglutamate",1,NA,1,1,0,NA,0,0,NA,0
"gamma-glutamylglutamine",1,NA,0,0,0,NA,0,NA,-1,0
"gamma-glutamylisoleucine*",-1,NA,1,1,0,NA,NA,NA,NA,NA
"gamma-glutamylleucine",0,NA,1,1,0,NA,0,0,NA,0
"gamma-glutamylphenylalanine",-1,NA,NA,1,0,NA,0,0,NA,NA
"gamma-glutamylvaline",0,NA,NA,1,0,NA,NA,NA,NA,NA
"gamma-tocopherol",1,NA,0,0,0,NA,NA,NA,NA,0
"glucarate (saccharate)",0,NA,NA,NA,1,NA,NA,1,NA,NA
"gluconate",-1,NA,1,1,0,0,0,0,NA,0
"glucose",1,NA,1,-1,0,NA,0,0,0,0
"glucose 1-phosphate",1,NA,NA,NA,0,0,NA,NA,NA,NA
"glucose-6-phosphate (g6p)",1,NA,1,1,0,0,0,1,NA,0
"glucuronate",-1,NA,1,NA,NA,NA,NA,NA,NA,NA
"glutamate",1,NA,1,1,0,0,0,0,1,0
"glutamate, gamma-methyl ester",-1,NA,NA,1,NA,NA,NA,NA,NA,0
"glutamine",1,NA,0,0,1,-1,0,0,0,-1
"glutarate (pentanedioate)",0,NA,NA,0,0,NA,NA,NA,0,0
"glutarylcarnitine (c5)",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"glutathione, oxidized (gssg)",1,NA,0,1,0,0,0,1,NA,-1
"glutathione, reduced (gsh)",1,NA,1,1,0,0,0,1,-1,0
"glycerate",-1,NA,1,0,0,0,0,0,1,0
"glycerol",0,NA,1,1,0,NA,-1,-1,1,0
"glycerol 2-phosphate",1,NA,1,1,1,NA,0,-1,NA,1
"glycerol 3-phosphate (g3p)",-1,NA,1,1,0,-1,0,-1,1,1
"glycerophosphoethanolamine",-1,NA,NA,1,1,NA,NA,NA,NA,1
"glycerophosphorylcholine (gpc)",1,NA,0,1,0,-1,-1,-1,1,0
"glycine",-1,NA,1,1,0,0,0,0,1,0
"glycocholenate sulfate*",-1,NA,NA,NA,0,NA,0,0,NA,NA
"glycolate (hydroxyacetate)",-1,NA,NA,0,0,NA,0,NA,NA,NA
"glycolithocholate sulfate*",-1,NA,0,0,0,NA,NA,0,NA,NA
"glycylglycine",-1,NA,1,0,NA,NA,0,0,NA,NA
"glycylisoleucine",-1,NA,NA,1,NA,NA,0,0,NA,-1
"glycylleucine",0,NA,1,1,0,NA,0,0,NA,0
"glycyllysine",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"glycylmethionine",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"glycylphenylalanine",1,NA,NA,1,NA,NA,NA,NA,NA,NA
"glycylproline",1,NA,1,0,0,NA,-1,0,NA,0
"glycylthreonine",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"glycyltryptophan",0,NA,NA,NA,NA,NA,0,NA,NA,NA
"glycyltyrosine",1,NA,NA,NA,NA,NA,NA,NA,NA,0
"glycylvaline",-1,NA,1,1,NA,NA,0,0,NA,NA
"guanidinoacetate",-1,NA,NA,NA,NA,-1,0,-1,NA,NA
"guanine",-1,0,1,1,0,0,NA,0,0,0
"guanosine",1,NA,1,1,0,0,0,-1,0,-1
"guanosine 5'- monophosphate (5'-gmp)",1,NA,NA,1,NA,NA,NA,0,NA,NA
"gulono-1,4-lactone",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"heme*",1,NA,0,-1,0,NA,0,0,NA,0
"hexanoylcarnitine",1,NA,1,1,1,NA,1,1,0,0
"hippurate",-1,0,1,-1,0,0,0,0,0,0
"histamine",1,0,1,0,0,NA,0,0,0,0
"histidine",-1,0,0,1,0,0,0,-1,1,0
"histidylleucine",1,NA,NA,0,NA,NA,NA,0,NA,NA
"histidylmethionine",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"histidylphenylalanine",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"histidyltryptophan",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"histidyltyrosine",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"homocysteine",0,1,1,NA,NA,0,0,0,1,NA
"homoserine",1,0,NA,NA,NA,NA,NA,NA,NA,NA
"homostachydrine*",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hydantoin-5-propionic acid",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hydrochlorothiazide",0,NA,NA,0,NA,NA,NA,NA,NA,NA
"hypotaurine",1,NA,NA,1,1,NA,NA,1,0,0
"hypoxanthine",-1,0,1,1,0,0,0,0,1,0
"imidazole propionate",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"indoleacetate",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"indolelactate",0,NA,NA,NA,1,NA,NA,NA,0,-1
"inosine",1,NA,1,1,0,0,0,-1,-1,-1
"inositol 1-phosphate (i1p)",-1,NA,1,1,0,NA,0,0,NA,0
"isobar: fructose 1,6-diphosphate, glucose 1,6-diphosphate, myo-inositol 1,4 or 1,3-diphosphate",1,NA,NA,1,NA,NA,NA,0,NA,NA
"isobar: ribulose 5-phosphate, xylulose 5-phosphate",1,NA,1,1,1,NA,0,NA,NA,NA
"isobutyrylcarnitine",-1,NA,1,0,1,NA,0,0,NA,0
"isoleucine",-1,NA,1,1,0,NA,0,0,1,0
"isoleucylalanine",1,NA,NA,1,NA,NA,NA,0,NA,NA
"isoleucylarginine",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"isoleucylglutamate",0,NA,NA,1,NA,NA,NA,1,NA,NA
"isoleucylglycine",-1,NA,NA,NA,NA,NA,NA,0,NA,NA
"isoleucylhistidine",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"isoleucylisoleucine",0,NA,NA,NA,NA,NA,0,0,NA,0
"isoleucylmethionine",1,NA,NA,NA,NA,NA,NA,1,NA,NA
"isoleucylphenylalanine",0,NA,NA,NA,NA,NA,NA,1,NA,NA
"isoleucylserine",0,NA,NA,1,NA,NA,NA,0,NA,NA
"isoleucyltryptophan",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"isoleucyltyrosine",1,NA,NA,NA,NA,NA,NA,0,NA,NA
"isoleucylvaline",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"isovalerylcarnitine",-1,NA,1,0,1,NA,0,1,NA,0
"kynurenine",1,1,1,1,1,1,0,1,1,0
"lactate",1,NA,1,1,1,0,0,1,1,0
"laurate (12:0)",-1,0,1,-1,0,NA,-1,-1,1,NA
"laurylcarnitine",1,NA,1,NA,0,NA,NA,NA,NA,NA
"leucine",-1,0,1,1,0,NA,0,0,1,0
"leucylalanine",1,NA,NA,1,NA,NA,NA,0,NA,NA
"leucylarginine",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"leucylasparagine",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"leucylglutamate",1,NA,NA,1,NA,NA,NA,0,NA,NA
"leucylglycine",1,NA,NA,1,NA,NA,NA,0,NA,NA
"leucylhistidine",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"leucylleucine",1,NA,NA,NA,NA,NA,0,0,NA,0
"leucylmethionine",1,NA,NA,NA,NA,NA,NA,1,NA,NA
"leucylphenylalanine",1,NA,NA,NA,NA,NA,NA,1,NA,NA
"leucylserine",1,NA,NA,1,NA,NA,NA,0,NA,NA
"leucyltryptophan",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"leucyltyrosine",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lidocaine",0,NA,0,0,0,NA,0,0,NA,0
"linoleate (18:2n6)",1,NA,1,0,0,NA,-1,-1,1,1
"linolenate [alpha or gamma; (18:3n3 or 6)]",1,NA,1,0,0,NA,-1,-1,NA,0
"lipitor",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"l-urobilin",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lysine",-1,0,1,1,0,0,-1,-1,1,0
"lysylleucine",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lysyllysine",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lysylmethionine",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lysyltyrosine",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"malate",-1,NA,1,1,1,0,0,0,1,0
"malonylcarnitine",-1,NA,NA,1,NA,NA,NA,NA,NA,NA
"maltohexaose",1,NA,NA,NA,0,NA,NA,NA,NA,NA
"maltopentaose",1,NA,0,1,0,NA,NA,NA,NA,NA
