KIRC:3:Tumor,KIRC:4:Normal
KIRC:232:Tumor,KIRC:233:Normal
KIRC:234:Tumor,KIRC:235:Normal
KIRC:236:Tumor,KIRC:237:Normal
KIRC:238:Tumor,KIRC:239:Normal
KIRC:240:Tumor,KIRC:241:Normal
KIRC:242:Tumor,KIRC:243:Normal
KIRC:244:Tumor,KIRC:245:Normal
KIRC:246:Tumor,KIRC:247:Normal
KIRC:248:Tumor,KIRC:249:Normal
KIRC:250:Tumor,KIRC:251:Normal
KIRC:252:Tumor,KIRC:253:Normal
KIRC:254:Tumor,KIRC:255:Normal
KIRC:256:Tumor,KIRC:257:Normal
KIRC:258:Tumor,KIRC:259:Normal
KIRC:260:Tumor,KIRC:261:Normal
KIRC:262:Tumor,KIRC:263:Normal
KIRC:266:Tumor,KIRC:267:Normal
KIRC:268:Tumor,KIRC:269:Normal
KIRC:270:Tumor,KIRC:271:Normal
KIRC:272:Tumor,KIRC:273:Normal
KIRC:274:Tumor,KIRC:275:Normal
KIRC:276:Tumor,KIRC:277:Normal
KIRC:278:Tumor,KIRC:279:Normal
KIRC:280:Tumor,KIRC:281:Normal
KIRC:282:Tumor,KIRC:283:Normal
KIRC:286:Tumor,KIRC:287:Normal
KIRC:288:Tumor,KIRC:289:Normal
KIRC:290:Tumor,KIRC:291:Normal
KIRC:292:Tumor,KIRC:293:Normal
KIRC:294:Tumor,KIRC:295:Normal
KIRC:296:Tumor,KIRC:297:Normal
KIRC:298:Tumor,KIRC:299:Normal
KIRC:300:Tumor,KIRC:301:Normal
KIRC:302:Tumor,KIRC:303:Normal
KIRC:304:Tumor,KIRC:305:Normal
KIRC:306:Tumor,KIRC:307:Normal
KIRC:308:Tumor,KIRC:309:Normal
KIRC:310:Tumor,KIRC:311:Normal
KIRC:312:Tumor,KIRC:313:Normal
KIRC:316:Tumor,KIRC:317:Normal
KIRC:318:Tumor,KIRC:319:Normal
KIRC:320:Tumor,KIRC:321:Normal
KIRC:324:Tumor,KIRC:325:Normal
KIRC:326:Tumor,KIRC:327:Normal
KIRC:328:Tumor,KIRC:329:Normal
KIRC:330:Tumor,KIRC:331:Normal
KIRC:332:Tumor,KIRC:333:Normal
KIRC:334:Tumor,KIRC:335:Normal
KIRC:336:Tumor,KIRC:337:Normal
KIRC:338:Tumor,KIRC:339:Normal
KIRC:340:Tumor,KIRC:341:Normal
KIRC:342:Tumor,KIRC:343:Normal
KIRC:344:Tumor,KIRC:345:Normal
KIRC:346:Tumor,KIRC:347:Normal
KIRC:348:Tumor,KIRC:349:Normal
KIRC:350:Tumor,KIRC:351:Normal
KIRC:352:Tumor,KIRC:353:Normal
KIRC:354:Tumor,KIRC:355:Normal
KIRC:356:Tumor,KIRC:357:Normal
KIRC:358:Tumor,KIRC:359:Normal
KIRC:360:Tumor,KIRC:361:Normal
KIRC:362:Tumor,KIRC:363:Normal
KIRC:364:Tumor,KIRC:365:Normal
KIRC:366:Tumor,KIRC:367:Normal
KIRC:370:Tumor,KIRC:371:Normal
KIRC:372:Tumor,KIRC:373:Normal
KIRC:374:Tumor,KIRC:375:Normal
KIRC:376:Tumor,KIRC:377:Normal
KIRC:378:Tumor,KIRC:379:Normal
KIRC:380:Tumor,KIRC:381:Normal
KIRC:382:Tumor,KIRC:383:Normal
KIRC:384:Tumor,KIRC:385:Normal
KIRC:386:Tumor,KIRC:387:Normal
KIRC:388:Tumor,KIRC:389:Normal
KIRC:390:Tumor,KIRC:391:Normal
KIRC:392:Tumor,KIRC:393:Normal
KIRC:394:Tumor,KIRC:395:Normal
KIRC:398:Tumor,KIRC:399:Normal
KIRC:400:Tumor,KIRC:401:Normal
KIRC:402:Tumor,KIRC:403:Normal
KIRC:404:Tumor,KIRC:405:Normal
KIRC:406:Tumor,KIRC:407:Normal
PRAD:T1:Tumor,PRAD:N1:Normal
PRAD:T9:Tumor,PRAD:N1:Normal
PRAD:T2:Tumor,PRAD:N2:Normal
PRAD:T3:Tumor,PRAD:N3:Normal
PRAD:T4:Tumor,PRAD:N4:Normal
PRAD:T5:Tumor,PRAD:N5:Normal
PRAD:T6:Tumor,PRAD:N6:Normal
PRAD:T7:Tumor,PRAD:N7:Normal
PRAD:T8:Tumor,PRAD:N8:Normal
BRCAneg:499657:Tumor,BRCAneg:499527:Normal
BRCAneg:499659:Tumor,BRCAneg:499529:Normal
BRCAneg:499661:Tumor,BRCAneg:499531:Normal
BRCApos:499663:Tumor,BRCApos:499535:Normal
BRCApos:499665:Tumor,BRCApos:499533:Normal
BRCAneg:499667:Tumor,BRCAneg:499537:Normal
BRCApos:499669:Tumor,BRCApos:499539:Normal
BRCApos:499671:Tumor,BRCApos:499541:Normal
BRCAneg:499673:Tumor,BRCAneg:499543:Normal
BRCAneg:499675:Tumor,BRCAneg:499545:Normal
BRCAneg:499677:Tumor,BRCAneg:499547:Normal
BRCApos:499679:Tumor,BRCApos:499549:Normal
BRCAneg:499681:Tumor,BRCAneg:499551:Normal
BRCAneg:499683:Tumor,BRCAneg:499603:Normal
BRCApos:499685:Tumor,BRCApos:499553:Normal
BRCAneg:499687:Tumor,BRCAneg:499555:Normal
BRCAneg:499691:Tumor,BRCAneg:499557:Normal
BRCAneg:499693:Tumor,BRCAneg:499559:Normal
BRCAneg:499695:Tumor,BRCAneg:499561:Normal
BRCApos:499697:Tumor,BRCApos:499563:Normal
BRCApos:499699:Tumor,BRCApos:499565:Normal
BRCApos:499701:Tumor,BRCApos:499567:Normal
BRCApos:499703:Tumor,BRCApos:499569:Normal
BRCApos:499705:Tumor,BRCApos:499571:Normal
BRCApos:499707:Tumor,BRCApos:499573:Normal
BRCApos:499709:Tumor,BRCApos:499575:Normal
BRCApos:499711:Tumor,BRCApos:499577:Normal
BRCAneg:499713:Tumor,BRCAneg:499579:Normal
BRCAneg:499715:Tumor,BRCAneg:499581:Normal
BRCApos:499717:Tumor,BRCApos:499583:Normal
BRCApos:499719:Tumor,BRCApos:499585:Normal
BRCAneg:499721:Tumor,BRCAneg:499587:Normal
BRCAneg:499723:Tumor,BRCAneg:499589:Normal
BRCAneg:499725:Tumor,BRCAneg:499591:Normal
BRCAneg:499727:Tumor,BRCAneg:499595:Normal
BRCApos:499729:Tumor,BRCApos:499593:Normal
BRCApos:499731:Tumor,BRCApos:499597:Normal
BRCApos:499733:Tumor,BRCApos:499599:Normal
BRCAneg:499735:Tumor,BRCAneg:499601:Normal
BRCAneg:499737:Tumor,BRCAneg:499605:Normal
BRCAneg:499739:Tumor,BRCAneg:499607:Normal
BRCAneg:499743:Tumor,BRCAneg:499609:Normal
BRCApos:499745:Tumor,BRCApos:499611:Normal
BRCApos:499747:Tumor,BRCApos:499613:Normal
BRCApos:499749:Tumor,BRCApos:499615:Normal
BRCApos:499751:Tumor,BRCApos:499617:Normal
BRCApos:499753:Tumor,BRCApos:499623:Normal
BRCAneg:499755:Tumor,BRCAneg:499619:Normal
BRCApos:499757:Tumor,BRCApos:499621:Normal
BRCApos:499759:Tumor,BRCApos:499625:Normal
BRCAneg:499761:Tumor,BRCAneg:499653:Normal
BRCAneg:499763:Tumor,BRCAneg:499627:Normal
BRCAneg:499765:Tumor,BRCAneg:499629:Normal
BRCAneg:499767:Tumor,BRCAneg:499631:Normal
BRCApos:499769:Tumor,BRCApos:499633:Normal
BRCAneg:499771:Tumor,BRCAneg:499635:Normal
BRCApos:499773:Tumor,BRCApos:499637:Normal
BRCApos:499775:Tumor,BRCApos:499639:Normal
BRCAneg:499777:Tumor,BRCAneg:499641:Normal
BRCApos:499779:Tumor,BRCApos:499643:Normal
BRCApos:499781:Tumor,BRCApos:499645:Normal
BRCApos:499783:Tumor,BRCApos:499647:Normal
BRCAneg:499785:Tumor,BRCAneg:499649:Normal
BRCAneg:499787:Tumor,BRCAneg:499651:Normal
BRCApos:499789:Tumor,BRCApos:499655:Normal
COAD:1:Tumor,COAD:1:Normal
COAD:2:Tumor,COAD:2:Normal
COAD:3:Tumor,COAD:3:Normal
COAD:4:Tumor,COAD:4:Normal
COAD:5:Tumor,COAD:5:Normal
COAD:6:Tumor,COAD:6:Normal
COAD:7:Tumor,COAD:7:Normal
COAD:8:Tumor,COAD:8:Normal
COAD:9:Tumor,COAD:9:Normal
COAD:10:Tumor,COAD:10:Normal
COAD:11:Tumor,COAD:11:Normal
COAD:12:Tumor,COAD:12:Normal
COAD:13:Tumor,COAD:13:Normal
COAD:14:Tumor,COAD:14:Normal
COAD:15:Tumor,COAD:15:Normal
COAD:16:Tumor,COAD:16:Normal
STAD:1:Tumor,STAD:1:Normal
STAD:2:Tumor,STAD:2:Normal
STAD:3:Tumor,STAD:3:Normal
STAD:4:Tumor,STAD:4:Normal
STAD:5:Tumor,STAD:5:Normal
STAD:6:Tumor,STAD:6:Normal
STAD:7:Tumor,STAD:7:Normal
STAD:8:Tumor,STAD:8:Normal
STAD:9:Tumor,STAD:9:Normal
STAD:10:Tumor,STAD:10:Normal
STAD:11:Tumor,STAD:11:Normal
STAD:12:Tumor,STAD:12:Normal
BLCA:P1T.EU:Tumor,BLCA:P1N.EU:Normal
BLCA:P2T.EU:Tumor,BLCA:P2N.EU:Normal
BLCA:P3T.EU:Tumor,BLCA:P3N.EU:Normal
BLCA:P4T.EU:Tumor,BLCA:P4N.EU:Normal
BLCA:P5T.EU:Tumor,BLCA:P5N.EU:Normal
BLCA:P6T.EU:Tumor,BLCA:P6N.EU:Normal
BLCA:P7T.EU:Tumor,BLCA:P7N.EU:Normal
BLCA:P8T.EU:Tumor,BLCA:P8N.EU:Normal
BLCA:P9T.EU:Tumor,BLCA:P9N.EU:Normal
BLCA:P10T.EU:Tumor,BLCA:P10N.EU:Normal
BLCA:P11T.EU:Tumor,BLCA:P11N.EU:Normal
BLCA:P12T.EU:Tumor,BLCA:P12N.EU:Normal
BLCA:P13T.EU:Tumor,BLCA:P13N.EU:Normal
BLCA:P14T.EU:Tumor,BLCA:P14N.EU:Normal
BLCA:P15T.EU:Tumor,BLCA:P15N.EU:Normal
BLCA:P7T.MCG:Tumor,BLCA:P3N.MCG:Normal
BLCA:P9T.MCG:Tumor,BLCA:P4N.MCG:Normal
BLCA:P10T.MCG:Tumor,BLCA:P5N.MCG:Normal
BLCA:P11T.MCG:Tumor,BLCA:P6N.MCG:Normal
BLCA:P13T.MCG:Tumor,BLCA:P8N.MCG:Normal
BLCA:P1T.MCG:Tumor,BLCA:P1N.MCG:Normal
BLCA:P2T.MCG:Tumor,BLCA:P2N.MCG:Normal
BLCA:P8T.MCG:Tumor,BLCA:P11N.MCG:Normal
BLCA:P12T.MCG:Tumor,BLCA:P7N.MCG:Normal
BLCA:P15T.MCG:Tumor,BLCA:P10N.MCG:Normal
PRADLODA:cp11:Tumor,PRADLODA:cp19:Normal
PRADLODA:cp25:Tumor,PRADLODA:cp26:Normal
PRADLODA:cp36:Tumor,PRADLODA:cp29:Normal
PRADLODA:cp44:Tumor,PRADLODA:cp32:Normal
PRADLODA:cp43:Tumor,PRADLODA:cp35:Normal
PRADLODA:cp49:Tumor,PRADLODA:cp58:Normal
PRADLODA:cp16:Tumor,PRADLODA:cp17:Normal
PRADLODA:cp10:Tumor,PRADLODA:cp21:Normal
PRADLODA:cp24:Tumor,PRADLODA:cp27:Normal
PRADLODA:cp37:Tumor,PRADLODA:cp30:Normal
PRADLODA:cp41:Tumor,PRADLODA:cp33:Normal
PRADLODA:cp47:Tumor,PRADLODA:cp55:Normal
PRADLODA:cp70:Tumor,PRADLODA:cp73:Normal
PRADLODA:cp14:Tumor,PRADLODA:cp18:Normal
PRADLODA:cp12:Tumor,PRADLODA:cp22:Normal
PRADLODA:cp23:Tumor,PRADLODA:cp28:Normal
PRADLODA:cp38:Tumor,PRADLODA:cp31:Normal
PRADLODA:cp42:Tumor,PRADLODA:cp34:Normal
PRADLODA:cp52:Tumor,PRADLODA:cp57:Normal
PRADLODA:cp67:Tumor,PRADLODA:cp72:Normal
BRCA:499657:Tumor,BRCA:499527:Normal
BRCA:499659:Tumor,BRCA:499529:Normal
BRCA:499661:Tumor,BRCA:499531:Normal
BRCA:499663:Tumor,BRCA:499535:Normal
BRCA:499665:Tumor,BRCA:499533:Normal
BRCA:499667:Tumor,BRCA:499537:Normal
BRCA:499669:Tumor,BRCA:499539:Normal
BRCA:499671:Tumor,BRCA:499541:Normal
BRCA:499673:Tumor,BRCA:499543:Normal
BRCA:499675:Tumor,BRCA:499545:Normal
BRCA:499677:Tumor,BRCA:499547:Normal
BRCA:499679:Tumor,BRCA:499549:Normal
BRCA:499681:Tumor,BRCA:499551:Normal
BRCA:499683:Tumor,BRCA:499603:Normal
BRCA:499685:Tumor,BRCA:499553:Normal
BRCA:499687:Tumor,BRCA:499555:Normal
BRCA:499691:Tumor,BRCA:499557:Normal
BRCA:499693:Tumor,BRCA:499559:Normal
BRCA:499695:Tumor,BRCA:499561:Normal
BRCA:499697:Tumor,BRCA:499563:Normal
BRCA:499699:Tumor,BRCA:499565:Normal
BRCA:499701:Tumor,BRCA:499567:Normal
BRCA:499703:Tumor,BRCA:499569:Normal
BRCA:499705:Tumor,BRCA:499571:Normal
BRCA:499707:Tumor,BRCA:499573:Normal
BRCA:499709:Tumor,BRCA:499575:Normal
BRCA:499711:Tumor,BRCA:499577:Normal
BRCA:499713:Tumor,BRCA:499579:Normal
BRCA:499715:Tumor,BRCA:499581:Normal
BRCA:499717:Tumor,BRCA:499583:Normal
BRCA:499719:Tumor,BRCA:499585:Normal
BRCA:499721:Tumor,BRCA:499587:Normal
BRCA:499723:Tumor,BRCA:499589:Normal
BRCA:499725:Tumor,BRCA:499591:Normal
BRCA:499727:Tumor,BRCA:499595:Normal
BRCA:499729:Tumor,BRCA:499593:Normal
BRCA:499731:Tumor,BRCA:499597:Normal
BRCA:499733:Tumor,BRCA:499599:Normal
BRCA:499735:Tumor,BRCA:499601:Normal
BRCA:499737:Tumor,BRCA:499605:Normal
BRCA:499739:Tumor,BRCA:499607:Normal
BRCA:499743:Tumor,BRCA:499609:Normal
BRCA:499745:Tumor,BRCA:499611:Normal
BRCA:499747:Tumor,BRCA:499613:Normal
BRCA:499749:Tumor,BRCA:499615:Normal
BRCA:499751:Tumor,BRCA:499617:Normal
BRCA:499753:Tumor,BRCA:499623:Normal
BRCA:499755:Tumor,BRCA:499619:Normal
BRCA:499757:Tumor,BRCA:499621:Normal
BRCA:499759:Tumor,BRCA:499625:Normal
BRCA:499761:Tumor,BRCA:499653:Normal
BRCA:499763:Tumor,BRCA:499627:Normal
BRCA:499765:Tumor,BRCA:499629:Normal
BRCA:499767:Tumor,BRCA:499631:Normal
BRCA:499769:Tumor,BRCA:499633:Normal
BRCA:499771:Tumor,BRCA:499635:Normal
BRCA:499773:Tumor,BRCA:499637:Normal
BRCA:499775:Tumor,BRCA:499639:Normal
BRCA:499777:Tumor,BRCA:499641:Normal
BRCA:499779:Tumor,BRCA:499643:Normal
BRCA:499781:Tumor,BRCA:499645:Normal
BRCA:499783:Tumor,BRCA:499647:Normal
BRCA:499785:Tumor,BRCA:499649:Normal
BRCA:499787:Tumor,BRCA:499651:Normal
BRCA:499789:Tumor,BRCA:499655:Normal
KICH:RCC1:Tumor,KICH:RCC2:Normal
KICH:RCC3:Tumor,KICH:RCC4:Normal
KICH:RCC5:Tumor,KICH:RCC6:Normal
KICH:RCC7:Tumor,KICH:RCC8:Normal
KICH:RCC9:Tumor,KICH:RCC10:Normal
KICH:RCC11:Tumor,KICH:RCC12:Normal
KICH:RCC13:Tumor,KICH:RCC14:Normal
KICH:RCC15:Tumor,KICH:RCC16:Normal
KICH:RCC17:Tumor,KICH:RCC18:Normal
KICH:RCC19:Tumor,KICH:RCC20:Normal
KICH:RCC21:Tumor,KICH:RCC22:Normal
PAAD:22210-0003Tumor:Tumor,PAAD:22210-0003Normal:Normal
PAAD:22210-0002Tumor:Tumor,PAAD:22210-0002Normal:Normal
PAAD:22210-0007Tumor:Tumor,PAAD:22210-0007Normal:Normal
PAAD:22210-0008Tumor:Tumor,PAAD:22210-0008Normal:Normal
PAAD:22210-0012Tumor:Tumor,PAAD:22210-0012Normal:Normal
PAAD:22210-0011Tumor:Tumor,PAAD:22210-0011Normal:Normal
PAAD:22210-0013Tumor:Tumor,PAAD:22210-0013Normal:Normal
PAAD:22210-0014Tumor:Tumor,PAAD:22210-0014Normal:Normal
PAAD:22210-0015Tumor:Tumor,PAAD:22210-0015Normal:Normal
PAAD:22210-0016Tumor:Tumor,PAAD:22210-0016Normal:Normal
PAAD:22210-0021Tumor:Tumor,PAAD:22210-0021Normal:Normal
PAAD:22210-0020Tumor:Tumor,PAAD:22210-0020Normal:Normal
PAAD:22210-0022Tumor:Tumor,PAAD:22210-0022Normal:Normal
PAAD:22210-0023Tumor:Tumor,PAAD:22210-0023Normal:Normal
PAAD:22210-0024Tumor:Tumor,PAAD:22210-0024Normal:Normal
PAAD:22210-0028Tumor:Tumor,PAAD:22210-0028Normal:Normal
PAAD:22210-0029Tumor:Tumor,PAAD:22210-0029Normal:Normal
PAAD:22210-0030Tumor:Tumor,PAAD:22210-0030Normal:Normal
PAAD:22210-0034Tumor:Tumor,PAAD:22210-0034Normal:Normal
PAAD:22210-0035Tumor:Tumor,PAAD:22210-0035Normal:Normal
PAAD:22210-0038Tumor:Tumor,PAAD:22210-0038Normal:Normal
PAAD:22210-0039Tumor:Tumor,PAAD:22210-0039Normal:Normal
PAAD:22210-0040Tumor:Tumor,PAAD:22210-0040Normal:Normal
PAAD:22210-0042Tumor:Tumor,PAAD:22210-0042Normal:Normal
PAAD:22210-0044Tumor:Tumor,PAAD:22210-0044Normal:Normal
PAAD:22210-0047Tumor:Tumor,PAAD:22210-0047Normal:Normal
PAAD:22210-0054Tumor:Tumor,PAAD:22210-0054Normal:Normal
PAAD:22210-0056Tumor:Tumor,PAAD:22210-0056Normal:Normal
PAAD:22210-0057Tumor:Tumor,PAAD:22210-0057Normal:Normal
PAAD:22210-0061Tumor:Tumor,PAAD:22210-0061Normal:Normal
PAAD:22210-0062Tumor:Tumor,PAAD:22210-0062Normal:Normal
PAAD:22210-0063Tumor:Tumor,PAAD:22210-0063Normal:Normal
PAAD:22210-0064Tumor:Tumor,PAAD:22210-0064Normal:Normal
PAAD:22210-0065Tumor:Tumor,PAAD:22210-0065Normal:Normal
PAAD:22210-0066Tumor:Tumor,PAAD:22210-0066Normal:Normal
PAAD:22210-0067Tumor:Tumor,PAAD:22210-0067Normal:Normal
PAAD:22210-0068Tumor:Tumor,PAAD:22210-0068Normal:Normal
PAAD:22210-0072Tumor:Tumor,PAAD:22210-0072Normal:Normal
PAAD:22210-0074Tumor:Tumor,PAAD:22210-0074Normal:Normal
PAAD:22210-0075Tumor:Tumor,PAAD:22210-0075Normal:Normal
PAAD:22210-0077Tumor:Tumor,PAAD:22210-0077Normal:Normal
PAAD:22210-0078Tumor:Tumor,PAAD:22210-0078Normal:Normal
PAAD:22210-0080Tumor:Tumor,PAAD:22210-0080Normal:Normal
PAAD:22210-0081Tumor:Tumor,PAAD:22210-0081Normal:Normal
PAAD:22210-0082Tumor:Tumor,PAAD:22210-0082Normal:Normal
PAAD:22210-0085Tumor:Tumor,PAAD:22210-0085Normal:Normal
PAAD:22210-0086Tumor:Tumor,PAAD:22210-0086Normal:Normal
PAAD:22210-0090Tumor:Tumor,PAAD:22210-0090Normal:Normal
PAAD:22210-0091Tumor:Tumor,PAAD:22210-0091Normal:Normal
PAADHussain1:NCIA-01752:Tumor,PAADHussain1:NCIA-01751:Normal
PAADHussain1:NCIA-01754:Tumor,PAADHussain1:NCIA-01753:Normal
PAADHussain1:NCIA-01756:Tumor,PAADHussain1:NCIA-01755:Normal
PAADHussain1:NCIA-01758:Tumor,PAADHussain1:NCIA-01757:Normal
PAADHussain1:NCIA-01760:Tumor,PAADHussain1:NCIA-01759:Normal
PAADHussain1:NCIA-01762:Tumor,PAADHussain1:NCIA-01761:Normal
PAADHussain1:NCIA-01764:Tumor,PAADHussain1:NCIA-01763:Normal
PAADHussain1:NCIA-01766:Tumor,PAADHussain1:NCIA-01765:Normal
PAADHussain1:NCIA-01768:Tumor,PAADHussain1:NCIA-01767:Normal
PAADHussain1:NCIA-01770:Tumor,PAADHussain1:NCIA-01769:Normal
PAADHussain1:NCIA-01772:Tumor,PAADHussain1:NCIA-01771:Normal
PAADHussain1:NCIA-01774:Tumor,PAADHussain1:NCIA-01773:Normal
PAADHussain1:NCIA-01776:Tumor,PAADHussain1:NCIA-01775:Normal
PAADHussain1:NCIA-01778:Tumor,PAADHussain1:NCIA-01777:Normal
PAADHussain1:NCIA-01780:Tumor,PAADHussain1:NCIA-01779:Normal
PAADHussain1:NCIA-01782:Tumor,PAADHussain1:NCIA-01781:Normal
PAADHussain1:NCIA-01784:Tumor,PAADHussain1:NCIA-01783:Normal
PAADHussain1:NCIA-01786:Tumor,PAADHussain1:NCIA-01785:Normal
PAADHussain1:NCIA-01788:Tumor,PAADHussain1:NCIA-01787:Normal
PAADHussain1:NCIA-01790:Tumor,PAADHussain1:NCIA-01789:Normal
PAADHussain1:NCIA-01792:Tumor,PAADHussain1:NCIA-01791:Normal
PAADHussain1:NCIA-01794:Tumor,PAADHussain1:NCIA-01793:Normal
PAADHussain1:NCIA-01796:Tumor,PAADHussain1:NCIA-01795:Normal
PAADHussain2:NCIA-04165:Tumor,PAADHussain2:NCIA-04166:Normal
PAADHussain2:NCIA-04167:Tumor,PAADHussain2:NCIA-04168:Normal
PAADHussain2:NCIA-04169:Tumor,PAADHussain2:NCIA-04170:Normal
PAADHussain2:NCIA-04171:Tumor,PAADHussain2:NCIA-04172:Normal
PAADHussain2:NCIA-04173:Tumor,PAADHussain2:NCIA-04174:Normal
PAADHussain2:NCIA-04175:Tumor,PAADHussain2:NCIA-04176:Normal
PAADHussain2:NCIA-04177:Tumor,PAADHussain2:NCIA-04178:Normal
PAADHussain2:NCIA-04179:Tumor,PAADHussain2:NCIA-04180:Normal
PAADHussain2:NCIA-04181:Tumor,PAADHussain2:NCIA-04182:Normal
PAADHussain2:NCIA-04183:Tumor,PAADHussain2:NCIA-04184:Normal
PAADHussain2:NCIA-04185:Tumor,PAADHussain2:NCIA-04186:Normal
PAADHussain2:NCIA-04187:Tumor,PAADHussain2:NCIA-04188:Normal
PAADHussain2:NCIA-04189:Tumor,PAADHussain2:NCIA-04190:Normal
PAADHussain2:NCIA-04191:Tumor,PAADHussain2:NCIA-04192:Normal
PAADHussain2:NCIA-04193:Tumor,PAADHussain2:NCIA-04194:Normal
