	MetType	SubMetType	PubChem CID	KEGG	Human Metabolome Database	ChEBI
2-arachidonoylglycerophosphoethanolamine*	Lipid	Lysolipid	nan	nan	nan	nan
2-docosahexaenoylglycerophosphoethanolamine*	Lipid	Lysolipid	nan	nan	nan	nan
2-docosapentaenoylglycerophosphoethanolamine*	Lipid	Lysolipid	nan	nan	nan	nan
2-hydroxyacetaminophen sulfate*	Xenobiotics	Drug	nan	nan	nan	nan
2-hydroxybutyrate (AHB)	Amino acid	"Cysteine, methionine, SAM, taurine metabolism"	440864|11266	C05984	HMDB00008	CHEBI:50613|CHEBI:1148
2-hydroxyglutarate	Lipid	"Fatty acid, dicarboxylate"	43|439391	C02630|C01087	HMDB00606	CHEBI:17084|CHEBI:32796
2-hydroxypalmitate	Lipid	"Fatty acid, monohydroxy"	92836	nan	nan	CHEBI:65101
2-hydroxystearate	Lipid	"Fatty acid, monohydroxy"	439887	C03045	NA	CHEBI:18129
2-linoleoylglycerol (2-monolinolein)	Lipid	Monoacylglycerol	5365676	nan	HMDB11538	CHEBI:75457
2-linoleoylglycerophosphocholine*	Lipid	Lysolipid	nan	nan	nan	nan
2-linoleoylglycerophosphoethanolamine*	Lipid	Lysolipid	nan	nan	nan	nan
2-methoxyacetaminophen sulfate*	Xenobiotics	Drug	nan	nan	nan	nan
2-methylbutyroylcarnitine	Amino acid	"Valine, leucine and isoleucine metabolism"	6426901	NA	HMDB00378	CHEBI:73026
2-oleoylglycerol (2-monoolein)	Lipid	Monoacylglycerol	5319879	nan	HMDB11537	CHEBI:73990
2-oleoylglycerophosphocholine*	Lipid	Lysolipid	nan	nan	nan	nan
2-oleoylglycerophosphoethanolamine*	Lipid	Lysolipid	nan	nan	nan	nan
2-palmitoleoylglycerophosphoethanolamine*						
2-palmitoylglycerol (2-monopalmitin)	Lipid	Monoacylglycerol	123409	nan	HMDB11533	CHEBI:75455
2-palmitoylglycerophosphocholine*	Lipid	Lysolipid	nan	nan	nan	nan
2-palmitoylglycerophosphoethanolamine*	Lipid	Lysolipid	nan	nan	nan	nan
2-phosphoglycerate	Carbohydrate	"Glycolysis, gluconeogenesis, pyruvate metabolism"	439278	C00631	HMDB03391	CHEBI:17835
3-(4-hydroxyphenyl)lactate	Amino acid	Phenylalanine & tyrosine metabolism	9378	C03672	HMDB00755	CHEBI:17385
3-(cystein-S-yl)acetaminophen*	Xenobiotics	Drug	5233914	nan	nan	nan
3-aminoisobutyrate	Nucleotide	"Pyrimidine metabolism, thymine containing; Valine, leucine and isoleucine metabolism/"	64956|25201103	C05145	HMDB03911	CHEBI:27389
3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	Lipid	"Fatty acid, dicarboxylate"	123979	nan	nan	nan
3-dehydrocarnitine*	Lipid	Carnitine metabolism	6991982	nan	HMDB12154	CHEBI:57885
3-hydroxybutyrate (BHBA)	Lipid	Ketone bodies	92135|441	C01089	HMDB00357|HMDB00011	CHEBI:17066|CHEBI:20067
3-indoxyl sulfate	Amino acid	Tryptophan metabolism	10258	nan	HMDB00682	CHEBI:43355
3-methyl-2-oxovalerate	Amino acid	"Valine, leucine and isoleucine metabolism"	47|439286	C00671|C03465	HMDB03736|HMDB00491	CHEBI:35932|CHEBI:15614
3-phosphoglycerate	Carbohydrate	"Glycolysis, gluconeogenesis, pyruvate metabolism"	724	C00197	HMDB00807	CHEBI:17050
4-acetamidophenol	Xenobiotics	Drug	1983	C06804|D00217	HMDB01859	CHEBI:46195
4-acetaminophen sulfate	Xenobiotics	Drug	83939|1983	C06804|D00217	HMDB01859	CHEBI:32635|CHEBI:46195
"4-androsten-3beta,17beta-diol disulfate 1*"	Lipid	Sterol/Steroid	10634	C04295|D00179	HMDB03818	CHEBI:2710
"4-androsten-3beta,17beta-diol disulfate 2*"						
4-guanidinobutanoate	Amino acid	Guanidino and acetamido metabolism	25200642|500	C01035	HMDB03464	CHEBI:15728|CHEBI:57486
4-hydroxybutyrate (GHB)	Lipid	"Fatty acid, monohydroxy"	10413|3037032	C00989|C01991	HMDB00710	CHEBI:30830|CHEBI:16724
4-hydroxyphenylacetate	Amino acid	Phenylalanine & tyrosine metabolism	4693933|127	C00642	HMDB00020	CHEBI:48999|CHEBI:18101
4-hydroxyphenylpyruvate	Amino acid	Phenylalanine & tyrosine metabolism	979	C01179	HMDB00707	CHEBI:15999
4-methyl-2-oxopentanoate	Amino acid	"Valine, leucine and isoleucine metabolism"	70	C00233	HMDB00695	CHEBI:48430
"5,6-dihydrouracil"	Nucleotide	"Pyrimidine metabolism, uracil containing"	649	C00429	HMDB00076	CHEBI:15901
5-aminovalerate	Amino acid	"Urea cycle; arginine-, proline-, metabolism"	6992101|138	C00431	HMDB03355	CHEBI:15887|CHEBI:356010
5-dodecenoate (12:1n7)	Amino acid	"Urea cycle; arginine-, proline-, metabolism"	6992101|138	C00431	HMDB03355	CHEBI:15887|CHEBI:356010
5-methyluridine (ribothymidine)	Nucleotide	"Pyrimidine metabolism, uracil containing"	445408	nan	HMDB00884	CHEBI:30821
5-oxoproline	Amino acid	Glutathione metabolism	7405	C01879	HMDB00267	CHEBI:18183
"5alpha-pregnan-3beta,20alpha-diol disulfate"						
6-phosphogluconate	Carbohydrate	"Nucleotide sugars, pentose metabolism"	91493	C00345	HMDB01316	CHEBI:48928
7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)	Lipid	Sterol/Steroid	3081085|53481411	C17337	HMDB12458	nan
7-alpha-hydroxycholesterol	Lipid	Sterol/Steroid	107722|53477732	C03594	HMDB01496	CHEBI:17500
7-beta-hydroxycholesterol	Lipid	Sterol/Steroid	473141|107722	C03594	HMDB06119	CHEBI:42989|CHEBI:17500
acetylcarnitine	Lipid	Carnitine metabolism	7045767|439756|1	C02571	HMDB00201	CHEBI:57589|CHEBI:15960
acetylphosphate						
adenine	Nucleotide	"Purine metabolism, adenine containing"	190	C00147|D00034	HMDB00034	CHEBI:16708
adenosine	Nucleotide	"Purine metabolism, adenine containing"	60961|32326	C00212|D00045|C07195|D00406	HMDB00050	CHEBI:16335
adenosine 2'-monophosphate (2'-AMP)	Nucleotide	"Purine metabolism, adenine containing"	94136|53481006	C00946	HMDB11617	CHEBI:28223
adenosine 3'-monophosphate (3'-AMP)	Nucleotide	"Purine metabolism, adenine containing"	15938966|41211	C01367	HMDB03540	CHEBI:60880|CHEBI:28931
adenosine 5'-monophosphate (AMP)	Nucleotide	"Purine metabolism, adenine containing"	15938965|6083	C00020|D02769	HMDB00045	CHEBI:456215|CHEBI:16027
adrenate (22:4n6)	Lipid	Long chain fatty acid	5282844|5497181	C16527	HMDB02226	CHEBI:53487
alanine	Amino acid	Alanine and aspartate metabolism	7311724|5950	C00041|D00012	HMDB00161	CHEBI:16977|CHEBI:57972
alanylalanine	Peptide	Dipeptide	20112020|6992112|5460362	C00993	HMDB03459	CHEBI:16576|CHEBI:57822
alanylleucine	Peptide	Dipeptide	259583|54758690	nan	nan	nan
alpha-hydroxyisocaproate						
alpha-hydroxyisovalerate	Amino acid	"Valine, leucine and isoleucine metabolism"	99823	nan	HMDB00407	CHEBI:60645
alpha-ketoglutarate	Energy	Krebs cycle	51	C00026	HMDB00208	CHEBI:30915
alpha-tocopherol	Cofactors and vitamins	Tocopherol metabolism	14985	C02477	HMDB01893	CHEBI:18145
andro steroid monosulfate 2*						
androsterone sulfate	Lipid	Sterol/Steroid	5879|159663	C00523	HMDB02759	CHEBI:16032
arabinose						
arabitol	Carbohydrate	"Nucleotide sugars, pentose metabolism"	94154|439255	C00474|C01904|C00532	HMDB01851|HMDB00508	CHEBI:18333|CHEBI:15963|CHEBI:18403
arabonate	Cofactors and vitamins	Ascorbate and aldarate metabolism	122045	C00878	HMDB00539	CHEBI:20912
arachidate (20:0)	Lipid	Long chain fatty acid	10467	C06425	HMDB02212	CHEBI:28822
arachidonate (20:4n6)	Lipid	Long chain fatty acid	444899	C00219	HMDB01043	CHEBI:15843
arginine	Amino acid	"Urea cycle; arginine-, proline-, metabolism"	6322|28782	C00062|D02982	HMDB00517	CHEBI:16467
argininosuccinate	Amino acid	"Urea cycle; arginine-, proline-, metabolism"	16950	C03406	HMDB00052	nan
ascorbate (Vitamin C)	Cofactors and vitamins	Ascorbate and aldarate metabolism	54670067	C00072|D00018	HMDB00044	CHEBI:29073
asparagine	Amino acid	Alanine and aspartate metabolism	6992089|6267	C00152	HMDB00168	CHEBI:17196|CHEBI:58048
aspartate	Amino acid	Alanine and aspartate metabolism	5960|44367445	C00049|D00013	HMDB00191	CHEBI:17053
aspartate-glutamate	Peptide	Dipeptide	4130574	nan	nan	nan
aspartylphenylalanine	Peptide	Dipeptide	93078	nan	HMDB00706	CHEBI:73830
azelate (nonanedioate)	Lipid	"Fatty acid, dicarboxylate"	2266|19347555	C08261|D03034	HMDB00784	CHEBI:48131
behenate (22:0)	Lipid	Long chain fatty acid	8215	C08281	HMDB00944	CHEBI:28941
beta-alanine	Amino acid	Alanine and aspartate metabolism	4755801|239	C00099|D07561	HMDB00056	CHEBI:16958|CHEBI:57966
beta-hydroxyisovalerate						
betaine	Amino acid	"Glycine, serine and threonine metabolism"	247	C00719|D07523	HMDB00043	CHEBI:17750
"bilirubin (E,E)*"	Cofactors and vitamins	Hemoglobin and porphyrin metabolism	5315454	nan	nan	nan
"bilirubin (Z,Z)"	Cofactors and vitamins	Hemoglobin and porphyrin metabolism	5280352	C00486	HMDB00054	CHEBI:16990
biliverdin						
butyrylcarnitine	Lipid	Fatty acid metabolism (also BCAA metabolism)	213144	nan	nan	CHEBI:21949
C-glycosyltryptophan*	Amino acid	Tryptophan metabolism	nan	nan	nan	nan
caffeine						
caprate (10:0)	Lipid	Medium chain fatty acid	2969	C01571	HMDB00511	CHEBI:30813
caproate (6:0)	Lipid	Medium chain fatty acid	8892	C01585	HMDB00535	CHEBI:30776
caprylate (8:0)	Lipid	Medium chain fatty acid	379	C06423|D05220	HMDB00482	CHEBI:28837
carnitine	Lipid	Carnitine metabolism	10917	C00318|D02176	nan	CHEBI:16347
catechol sulfate	Xenobiotics	Benzoate metabolism	3083879|289	C00090|C01785|C15571	HMDB00957	CHEBI:68505|CHEBI:18135
chiro-inositol	Lipid	Inositol metabolism	nan	nan	nan	nan
cholate	Lipid	Bile acid metabolism	221493	C00695	HMDB00619	CHEBI:16359
cholesterol	Lipid	Sterol/Steroid	6432564|5997|11025495	C00187|D00040	HMDB00067	CHEBI:16113
choline	Lipid	Glycerolipid metabolism	170746|305	C00114|D07690	HMDB00097	CHEBI:15354
choline phosphate	Lipid	Glycerolipid metabolism	135437|1014	C00588	HMDB01565	CHEBI:18132
cis-vaccenate (18:1n7)	Lipid	Long chain fatty acid	5282761|5281127	C08367	HMDB03231	CHEBI:50464|CHEBI:28727|CHEBI:36023
citrate	Energy	Krebs cycle	311|19782904	C00158|D00037	HMDB00094	CHEBI:30769
citrulline	Amino acid	"Urea cycle; arginine-, proline-, metabolism"	9750|6992098	C00327|D07706	HMDB00904	CHEBI:16349|CHEBI:57743
cortisol	Lipid	Sterol/Steroid	5754|657311	C00735|D00088	HMDB00063	CHEBI:17650
cortisone	Lipid	Sterol/Steroid	222786	C00762|D07749	HMDB02802	CHEBI:16962
creatine	Amino acid	Creatine metabolism	59098743|586	C00300	HMDB00064	CHEBI:16919|CHEBI:57947
creatinine	Amino acid	Creatine metabolism	588	C00791|D03600	HMDB00562	CHEBI:16737
cysteine	Amino acid	"Cysteine, methionine, SAM, taurine metabolism"	5862|6419722	C00097|D00026	HMDB00574	CHEBI:17561|CHEBI:35235|CHEBI:47910|CHEBI:58717|CHEBI:61894
cysteine sulfinic acid						
cysteine-glutathione disulfide	Amino acid	Glutathione metabolism	4247235|53477713	nan	HMDB00656	nan
cysteinylglycine	Peptide	Dipeptide	65270|25244227|439498|7098621	C01419	HMDB00078	CHEBI:4047|CHEBI:61694
cystine	Amino acid	"Cysteine, methionine, SAM, taurine metabolism"	6992103|67678	C00491|D03636	HMDB00192	CHEBI:16283|CHEBI:35491
cytidine	Nucleotide	"Pyrimidine metabolism, cytidine containing"	6175	C00475|D07769	HMDB00089	CHEBI:17562
cytidine 5'-diphosphocholine	Lipid	Glycerolipid metabolism	13804|11583971	C00307|D00057	HMDB01413	CHEBI:16436
cytidine 5'-monophosphate (5'-CMP)	Nucleotide	"Pyrimidine metabolism, cytidine containing"	7058165|6131	C00055	HMDB00095	CHEBI:60377|CHEBI:17361
cytidine-3'-monophosphate (3'-CMP)	Nucleotide	"Pyrimidine metabolism, cytidine containing"	256622|66535	C05822	nan	CHEBI:53013
dehydroascorbate						
delta-tocopherol						
deoxycarnitine	Lipid	Carnitine metabolism	134	C01181	HMDB01161	CHEBI:1941
dihomo-linoleate (20:2n6)	Lipid	Long chain fatty acid	6439848	C16525	HMDB05060	CHEBI:73731
dihomo-linolenate (20:3n3 or n6)	Lipid	Essential fatty acid	5312529|5280581	C03242|C16522	HMDB02925	CHEBI:53460|CHEBI:53486
dimethylarginine (SDMA + ADMA)	Amino acid	"Urea cycle; arginine-, proline-, metabolism"	123831|51351707|169148	C03626	HMDB01539|HMDB03334	CHEBI:17929|CHEBI:25682|CHEBI:61914
dimethylglycine	Amino acid	"Glycine, serine and threonine metabolism"	6971056|673	C01026	HMDB00092	CHEBI:17724|CHEBI:58251
docosadienoate (22:2n6)	Lipid	Long chain fatty acid	5282807|5312554	C16533	nan	CHEBI:75117
docosahexaenoate (DHA; 22:6n3)	Lipid	Essential fatty acid	445580	C06429	HMDB02183	CHEBI:28125
docosapentaenoate (n3 DPA; 22:5n3)	Lipid	Essential fatty acid	5497182|6441454	C16513	HMDB01976|HMDB06528|HMDB13123	CHEBI:53488|CHEBI:65136
docosapentaenoate (n6 DPA; 22:5n6)	Lipid	Essential fatty acid	6441454|5497182	C16513	HMDB13123|HMDB01976|HMDB06528	CHEBI:65136|CHEBI:53488
docosatrienoate (22:3n3)	Lipid	Long chain fatty acid	5312556|5312557	C16534	HMDB02823	nan
dodecanedioate	Lipid	"Fatty acid, dicarboxylate"	12736	C02678	HMDB00623	CHEBI:4676
eicosapentaenoate (EPA; 20:5n3)	Lipid	Essential fatty acid	446284	C06428|D08061	HMDB01999	CHEBI:28364
eicosenoate (20:1n9 or 11)	Lipid	Long chain fatty acid	5282768	C16526	HMDB02231	CHEBI:32425
ergothioneine	Xenobiotics	Food component/Plant	3032311|3037043|57509571|5351619	C05570	HMDB03045	CHEBI:4828
erythritol	Xenobiotics	"Sugar, sugar substitute, starch"	222285	C00503|D08915	HMDB02994	CHEBI:17113
erythronate*	Carbohydrate	Aminosugars metabolism	2781043	nan	HMDB00613	CHEBI:37655
ethanolamine	Lipid	Glycerolipid metabolism	700	C00189|D05074	HMDB00149	CHEBI:16000
flavin adenine dinucleotide (FAD)	Cofactors and vitamins	Riboflavin metabolism	643975	C00016|D00005	HMDB01248	CHEBI:16238
fructose	Carbohydrate	"Fructose, mannose, galactose, starch, and sucrose metabolism"	5984|439163|439709	C00095|C10906|D00114|C02336	HMDB00660	CHEBI:48095|CHEBI:37721|CHEBI:28645
fructose-6-phosphate	Carbohydrate	"Glycolysis, gluconeogenesis, pyruvate metabolism"	440641|69507	C05345	HMDB00124|HMDB03971	CHEBI:16084|CHEBI:15946
fucose	Carbohydrate	Aminosugars metabolism	3034656|439650|17106	C02095|C01019	HMDB00174|HMDB03081	CHEBI:48204|CHEBI:27442|CHEBI:28419|CHEBI:2181
fumarate	Energy	Krebs cycle	444972|21883788	C00122|D02308	HMDB00134	CHEBI:18012|CHEBI:22958
galactitol (dulcitol)						
galactose	Carbohydrate	"Fructose, mannose, galactose, starch, and sucrose metabolism"	3037556|439357	C01582|C00984|D04291	HMDB00143	CHEBI:17118|CHEBI:28061|CHEBI:46953
gamma-aminobutyrate (GABA)	Amino acid	Glutamate metabolism	119|6992099	C00334|D00058	HMDB00112	CHEBI:16865|CHEBI:59888
gamma-glutamylglutamate	Peptide	gamma-glutamyl	92865	C05282	HMDB11737	CHEBI:73705
gamma-glutamylglutamine	Peptide	gamma-glutamyl	150914	C05283	HMDB11738	CHEBI:73707
gamma-glutamylisoleucine*	Peptide	gamma-glutamyl	14253342	nan	HMDB11170	nan
gamma-glutamylleucine	Peptide	gamma-glutamyl	151023|4524287	nan	HMDB11171	CHEBI:68433
gamma-glutamylphenylalanine	Peptide	gamma-glutamyl	111299	nan	HMDB00594	nan
gamma-glutamyltyrosine						
gamma-glutamylvaline	Peptide	gamma-glutamyl	5317736	nan	HMDB11172	nan
gamma-tocopherol	Cofactors and vitamins	Tocopherol metabolism	14986|92729	C02483|D02332	HMDB01492	CHEBI:18185
glucarate (saccharate)	Cofactors and vitamins	Ascorbate and aldarate metabolism	33037	C00818	HMDB00663	CHEBI:16002
gluconate	Carbohydrate	"Nucleotide sugars, pentose metabolism"	10690	C00257	HMDB00625	CHEBI:33198
glucose	Carbohydrate	"Glycolysis, gluconeogenesis, pyruvate metabolism"	79025|5793	C00031|C00267|D00009	HMDB00122|HMDB03345	CHEBI:15444|CHEBI:17925|CHEBI:4167|CHEBI:75792
glucose 1-phosphate	Carbohydrate	"Glycolysis, gluconeogenesis, pyruvate metabolism"	65533|439165	C00103	HMDB01586	CHEBI:29042|CHEBI:16077
glucose-6-phosphate (G6P)	Carbohydrate	"Glycolysis, gluconeogenesis, pyruvate metabolism"	439284|5958	C00668|C00092	HMDB01401	CHEBI:17665|CHEBI:4170
glutamate	Amino acid	Glutamate metabolism	44272391|33032|23327	C00025|D00007|C00217	HMDB03339|HMDB00148	CHEBI:16015|CHEBI:53374|CHEBI:15966|CHEBI:53375
glutamine	Amino acid	Glutamate metabolism	5961|6992086	C00064|D00015	HMDB00641	CHEBI:18050|CHEBI:58359
glutarate (pentanedioate)	Amino acid	Lysine metabolism	4418048|23322899|743	C00489	HMDB00661	CHEBI:30921|CHEBI:17859
glutaroyl carnitine						
"glutathione, oxidized (GSSG)"	Amino acid	Glutathione metabolism	11215652|65359|5255796|975	C00127|D00031	HMDB03337	CHEBI:17858
"glutathione, reduced (GSH)"	Amino acid	Glutathione metabolism	124886|25246407	C00051|C02471|D00014	HMDB00125	CHEBI:16856|CHEBI:60836
glycerate	Carbohydrate	"Glycolysis, gluconeogenesis, pyruvate metabolism"	439194	C00258	HMDB00139	CHEBI:32398
glycerol	Lipid	Glycerolipid metabolism	753	C00116|D00028|D05073	HMDB00131	CHEBI:15850|CHEBI:17522|CHEBI:17754
glycerol 2-phosphate	Xenobiotics	Chemical	2526	C02979	HMDB02520	CHEBI:17270
glycerol 3-phosphate (G3P)	Lipid	Glycerolipid metabolism	439162	C00093	HMDB00126	CHEBI:15978|CHEBI:17106
glycerophosphoethanolamine	Lipid	Glycerolipid metabolism	123874|25200464|70678815|444183|22833510	C01233	HMDB00114	CHEBI:52330|CHEBI:64574|CHEBI:67274|CHEBI:68488|CHEBI:68520|CHEBI:71825|CHEBI:71826|CHEBI:71827|CHEBI:71828|CHEBI:71829|CHEBI:71830|CHEBI:71831|CHEBI:71832|CHEBI:71833|CHEBI:71834|CHEBI:71835|CHEBI:71836|CHEBI:71837|CHEBI:71838|CHEBI:71839|CHEBI:71840|CHEBI:71841|CHEBI:71842|CHEBI:71843|CHEBI:71844|CHEBI:71845|CHEBI:71846|CHEBI:71847|CHEBI:71848|CHEBI:71849|CHEBI:71850|CHEBI:71851|CHEBI:71852|CHEBI:71853|CHEBI:71854|CHEBI:71855|CHEBI:71856|CHEBI:71857|CHEBI:71858|CHEBI:71859|CHEBI:71860|CHEBI:71861|CHEBI:71862|CHEBI:71863|CHEBI:71864|CHEBI:71865|CHEBI:71866|CHEBI:71867|CHEBI:71868|CHEBI:71869|CHEBI:71870|CHEBI:71871|CHEBI:71872|CHEBI:71873|CHEBI:71874|CHEBI:71876|CHEBI:71877|CHEBI:71878|CHEBI:71879|CHEBI:71880|CHEBI:71881|CHEBI:72381|CHEBI:72382|CHEBI:72383|CHEBI:72384|CHEBI:72385|CHEBI:72386|CHEBI:72387|CHEBI:72388|CHEBI:72389|CHEBI:72390|CHEBI:72391|CHEBI:72392|CHEBI:72393|CHEBI:72394|CHEBI:72395|CHEBI:72396|CHEBI:72397|CHEBI:72398|CHEBI:72399|CHEBI:72400|CHEBI:72401|CHEBI:72734|CHEBI:72735
glycerophosphorylcholine (GPC)	Lipid	Glycerolipid metabolism	657272|439285|58381695|71920	C00670|D07349	HMDB00086	CHEBI:30909|CHEBI:55397|CHEBI:64483|CHEBI:64539|CHEBI:64540|CHEBI:64541|CHEBI:64544|CHEBI:64563|CHEBI:64565|CHEBI:64566|CHEBI:64567|CHEBI:64568|CHEBI:67053|CHEBI:67054|CHEBI:67055|CHEBI:67056|CHEBI:67057|CHEBI:67058|CHEBI:67059|CHEBI:67060|CHEBI:67061|CHEBI:67064|CHEBI:67065|CHEBI:67066|CHEBI:67067|CHEBI:67068|CHEBI:67069|CHEBI:67070|CHEBI:67071|CHEBI:67073|CHEBI:67074|CHEBI:67075|CHEBI:67076|CHEBI:67077|CHEBI:67082|CHEBI:67083|CHEBI:67084|CHEBI:67085|CHEBI:67086|CHEBI:67087|CHEBI:67088|CHEBI:68489|CHEBI:72736|CHEBI:72737|CHEBI:74349|CHEBI:76083|CHEBI:16870
glycine	Amino acid	"Glycine, serine and threonine metabolism"	750|5257127	C00037|D00011	HMDB00123	CHEBI:15428|CHEBI:15705|CHEBI:16228|CHEBI:57305|CHEBI:59869|CHEBI:59871|CHEBI:62031|CHEBI:66884|CHEBI:66933
glycochenodeoxycholate						
glycocholate	Lipid	Bile acid metabolism	10140	C01921	NA	CHEBI:17687
glycocholenate sulfate*	Lipid	Bile acid metabolism	nan	nan	nan	nan
glycolate (hydroxyacetate)	Xenobiotics	Chemical	3698251|757	C00160|C03547	HMDB00115	CHEBI:17375|CHEBI:17497|CHEBI:17893|CHEBI:52618
glycolithocholate sulfate*	Lipid	Bile acid metabolism	72222|443113|53477756	C11301	HMDB02639	CHEBI:9347
glycylleucine	Peptide	Dipeptide	1548899|92843	C02155	HMDB00759	CHEBI:73514
glycylproline	Peptide	Dipeptide	44369312|79101	nan	HMDB00721	nan
guanine	Nucleotide	"Purine metabolism, guanine containing"	764	C00242	HMDB00132	CHEBI:16235
guanosine	Nucleotide	"Purine metabolism, guanine containing"	6802	C00387	HMDB00133	CHEBI:16750
heme*	Cofactors and vitamins	Hemoglobin and porphyrin	NA	C00032	HMDB03178	CHEBI:17627|CHEBI:26355
heptanoate (7:0)						
hexanoylcarnitine	Lipid	Carnitine metabolism	6426853|8892	C01585	HMDB00705|HMDB00535	CHEBI:70749|CHEBI:30776
hippurate	Xenobiotics	Benzoate metabolism	464	C01586	HMDB00714	CHEBI:18089
histamine	Amino acid	Histidine metabolism	774|156615	C00388|D08040	HMDB00870	CHEBI:18295|CHEBI:73337
histidine	Amino acid	Histidine metabolism	6274|6971009	C00135|D00032	HMDB00177	CHEBI:15971|CHEBI:57595
hypotaurine	Amino acid	"Cysteine, methionine, SAM, taurine metabolism"	107812|25244088	C00519	HMDB00965	CHEBI:16668|CHEBI:57853
hypoxanthine	Nucleotide	"Purine metabolism, (hypo)xanthine/inosine containing"	790	C00262	HMDB00157	CHEBI:17368
indolelactate	Amino acid	Tryptophan metabolism	92904	C02043	HMDB00671	CHEBI:24813
inosine	Nucleotide	"Purine metabolism, (hypo)xanthine/inosine containing"	6021	C00294|D00054	HMDB00195	CHEBI:17596
inositol 1-phosphate (I1P)	Lipid	Inositol metabolism	nan	C04006	HMDB00213	CHEBI:18169
"Isobar: fructose 1,6-diphosphate, glucose 1,6-diphosphate"						
"Isobar: ribulose 5-phosphate, xylulose 5-phosphate"	Carbohydrate	"Nucleotide sugars, pentose metabolism"	nan	nan	nan	nan
isobutyrylcarnitine	Amino acid	"Valine, leucine and isoleucine metabolism"	nan	nan	nan	nan
isoleucine	Amino acid	"Valine, leucine and isoleucine metabolism"	6306|7043901	C00407|D00065	HMDB00172	CHEBI:17191|CHEBI:58045
isovalerylcarnitine	Amino acid	"Valine, leucine and isoleucine metabolism"	6426851	nan	HMDB00688	nan
kynurenine	Amino acid	Tryptophan metabolism	161166|6971029	C00328	HMDB00684	CHEBI:16946|CHEBI:57959
lactate	Carbohydrate	"Glycolysis, gluconeogenesis, pyruvate metabolism"	107689	C00186	HMDB00190	CHEBI:422
laurate (12:0)	Lipid	Medium chain fatty acid	3893	C02679	HMDB00638	CHEBI:30805
laurylcarnitine	Lipid	Carnitine metabolism	10427569|168381	nan	HMDB02250	CHEBI:73054
leucine	Amino acid	"Valine, leucine and isoleucine metabolism"	6106|7045798	C00123|D00030	HMDB00687	CHEBI:15603|CHEBI:57427
lidocaine	Xenobiotics	Drug	3676	D00358|C07073	nan	CHEBI:6456
lignocerate (24:0)						
