BIOCHEMICAL,SUPER PATHWAY,SUB PATHWAY,PUBCHEM,KEGG,                                      Group HMDB
guanosine,Nucleotide,"Purine metabolism, guanine containing",6802,C00387,HMDB00133
heme*,Cofactors and vitamins,Hemoglobin and porphyrin,,,
heptaethylene glycol,Xenobiotics,Chemical,79718,,
heptanoate (7:0),Lipid,Medium chain fatty acid,8094,C17714,HMDB00666
hexaethylene glycol,Xenobiotics,Chemical,17472,,
hexanoylcarnitine (C6),Lipid,Carnitine metabolism,6426853,C01585,HMDB00705
hippurate,Xenobiotics,Benzoate metabolism,464,C01586,HMDB00714
histamine,Amino acid,Histidine metabolism,774,C00388,HMDB00870
histidine,Amino acid,Histidine metabolism,"7,733,651,426",C00135,HMDB00177
homocarnosine,Peptide,Dipeptide derivative,10243361,C00884,HMDB00745
homocysteine,Amino acid,"Cysteine, methionine, SAM, taurine metabolism",778,C00155,HMDB00742
hydroxyisovaleroylcarnitine (C5),Amino acid,"Valine, leucine and isoleucine metabolism",,,
hypotaurine,Amino acid,"Cysteine, methionine, SAM, taurine metabolism",107812,C00519,HMDB00965
hypoxanthine,Nucleotide,"Purine metabolism, (hypo)xanthine/inosine containing",790,C00262,HMDB00157
inosine,Nucleotide,"Purine metabolism, (hypo)xanthine/inosine containing",,,
inositol 1-phosphate (I1P),Lipid,Inositol metabolism,,,HMDB00213
"Isobar: 2-propylpentanoic acid, 2-ethylhexanoic acid",Xenobiotics,Chemical,,,
"Isobar: fructose 1,6-diphosphate, glucose 1,6-diphosphate",Carbohydrate,"Glycolysis, gluconeogenesis, pyruvate metabolism",,,
"Isobar: ribulose 5-phosphate, xylulose 5-phosphate",Carbohydrate,"Nucleotide sugars, pentose metabolism",,,
isobutyrylcarnitine (C4),Amino acid,"Valine, leucine and isoleucine metabolism",,,
isoleucine,Amino acid,"Valine, leucine and isoleucine metabolism",791,C00407,HMDB00172
isovalerylcarnitine (C5),Amino acid,"Valine, leucine and isoleucine metabolism",6426851,,HMDB00688
kynurenine,Amino acid,Tryptophan metabolism,"1,611,666,971,029",C00328,HMDB00684
lactate,Carbohydrate,"Glycolysis, gluconeogenesis, pyruvate metabolism",612,C00186,HMDB00190
laurate (12:0),Lipid,Medium chain fatty acid,3893,C02679,HMDB00638
leucine,Amino acid,"Valine, leucine and isoleucine metabolism","70,457,986,106",C00123,HMDB00687
leucylglutamate,Peptide,Dipeptide,"52,595,895,259,590",,
levulinate (4-oxovalerate),Amino acid,"Valine, leucine and isoleucine metabolism",11579,,HMDB00720
lidocaine,Xenobiotics,Drug,3676,D00358,
linoleate (18:2n6),Lipid,Essential fatty acid,5280450,C01595,HMDB00673
linolenate (18:3n3 or 3n6),Lipid,Essential fatty acid,,C06427,HMDB01388
lysine,Amino acid,Lysine metabolism,5962,C00047,HMDB00182
malate,Energy,Krebs cycle,525,C00149,HMDB00156
maltose,Carbohydrate,"Fructose, mannose, galactose, starch, and sucrose metabolism",439341,C00208,HMDB00163
maltotetraose,Carbohydrate,"Fructose, mannose, galactose, starch, and sucrose metabolism",446495,C02052,HMDB01296
maltotriose,Carbohydrate,"Fructose, mannose, galactose, starch, and sucrose metabolism",439586,C01835,HMDB01262
mannitol,Carbohydrate,"Fructose, mannose, galactose, starch, and sucrose metabolism",6251,C00392,HMDB00765
mannose,Carbohydrate,"Fructose, mannose, galactose, starch, and sucrose metabolism",161658,C00159,HMDB00169
mannose 6-phosphate,Carbohydrate,"Fructose, mannose, galactose, starch, and sucrose metabolism",,C00275,HMDB01078
margarate (17:0),Lipid,Long chain fatty acid,10465,,HMDB02259
mead acid (20:3n9),Lipid,Long chain fatty acid,5312531,,HMDB10378
methionine,Amino acid,"Cysteine, methionine, SAM, taurine metabolism","69,920,876,137",C00073,HMDB00696
methyl palmitate (15 or 2),Lipid,"Fatty acid, branched",,,
3-methylglutaroylcarnitine (C6),Amino acid,"Valine, leucine and isoleucine metabolism",128145,,HMDB00552
methylphosphate,Nucleotide,Purine and pyrimidine metabolism,13130,,
metoprolol,Xenobiotics,Drug,4171,"C07202,D02358",HMDB01932
metoprolol acid metabolite*,Xenobiotics,Drug,62936,,
myo-inositol,Lipid,Inositol metabolism,,C00137,HMDB00211
myristate (14:0),Lipid,Long chain fatty acid,11005,C06424,HMDB00806
myristoleate (14:1n5),Lipid,Long chain fatty acid,5281119,C08322,HMDB02000
1-methyladenosine,Nucleotide,"Purine metabolism, adenine containing",5460178,C02494,HMDB03331
N6-acetyllysine,Amino acid,Lysine metabolism,"699,197,892,832",C02727,HMDB00206
N-acetylalanine,Amino acid,Alanine and aspartate metabolism,88064,C02847,HMDB00766
N-acetylaspartate (NAA),Amino acid,Alanine and aspartate metabolism,65065,C01042,HMDB00812
N-acetyl-aspartyl-glutamate (NAAG),Amino acid,Glutamate metabolism,5255,C12270,HMDB01067
N-acetylglucosamine 6-phosphate,Carbohydrate,Aminosugars metabolism,10040501,C00357,HMDB02817
N-acetylglutamate,Amino acid,Glutamate metabolism,1549099,C00624,HMDB01138
N-acetylglycine,Amino acid,"Glycine, serine and threonine metabolism",10972,,HMDB00532
N-acetylhistidine,Amino acid,Histidine metabolism,75619,C02997,
N-acetylmethionine,Amino acid,"Cysteine, methionine, SAM, taurine metabolism",448580,C02712,HMDB11745
N-acetylneuraminate,Carbohydrate,Aminosugars metabolism,,C00270,HMDB00230
N-acetylserine,Amino acid,"Glycine, serine and threonine metabolism",65249,,HMDB02931
N-acetyltryptophan,Amino acid,Tryptophan metabolism,700653,C03137,
nicotinamide,Cofactors and vitamins,Nicotinate and nicotinamide metabolism,936,C00153,HMDB01406
NAD+,Cofactors and vitamins,Nicotinate and nicotinamide metabolism,"1,089,765,158,925,280,000",C00003,HMDB00902
oleate (18:1n9),Lipid,Long chain fatty acid,445639,C00712,HMDB00207
oleoylcarnitine (C18),Lipid,Carnitine metabolism,,,HMDB05065
ophthalmate,Amino acid,Glutathione metabolism,9817431,,HMDB05765
ornithine,Amino acid,"Urea cycle; arginine-, proline-, metabolism",6262,C00077,HMDB03374
p-acetamidophenylglucuronide,Xenobiotics,Drug,4022661,,HMDB10316
palmitate (16:0),Lipid,Long chain fatty acid,985,C00249,HMDB00220
palmitoleate (16:1n7),Lipid,Long chain fatty acid,445638,C08362,HMDB03229
palmitoyl ethanolamide,Lipid,Endocannabinoid,4671,,
palmitoyl sphingomyelin,Lipid,Sphingolipid,9939941,,
palmitoylcarnitine (C16),Lipid,Carnitine metabolism,461,,
pantothenate (Vitamin B5),Cofactors and vitamins,Pantothenate and CoA metabolism,6613,C00864,HMDB00210
p-cresol sulfate,Amino acid,Phenylalanine & tyrosine metabolism,4615422,C01468,
pelargonate (9:0),Lipid,Medium chain fatty acid,5461016,C01601,HMDB00847
pentadecanoate (15:0),Lipid,Long chain fatty acid,13849,C16537,HMDB00826
pentaethylene glycol,Xenobiotics,Chemical,62551,,
phenol sulfate,Amino acid,Phenylalanine & tyrosine metabolism,74426,C02180,
phenylacetylglutamine,Amino acid,Phenylalanine & tyrosine metabolism,306137,C05597,HMDB06344
phenylalanine,Amino acid,Phenylalanine & tyrosine metabolism,"69,256,656,140",C00079,HMDB00159
phosphate,Energy,Oxidative phosphorylation,1061,C00009,HMDB01429
phosphoenolpyruvate (PEP),Carbohydrate,"Glycolysis, gluconeogenesis, pyruvate metabolism",1005,C00074,HMDB00263
phosphoethanolamine (PE),Lipid,Glycerolipid metabolism,"52,323,241,015",C00346,HMDB00224
pipecolate,Amino acid,Lysine metabolism,849,C00408,HMDB00070
prolylhydroxyproline,Peptide,Dipeptide,11673055,,HMDB06695
proline,Amino acid,"Urea cycle; arginine-, proline-, metabolism","1,457,426,971,047",C00148,HMDB00162
propionylcarnitine (C3),Lipid,Fatty acid metabolism (also BCAA metabolism),107738,C03017,HMDB00824
pseudouridine,Nucleotide,"Pyrimidine metabolism, uracil containing",,C02067,HMDB00767
putrescine,Amino acid,Polyamine metabolism,,C00134,HMDB01414
pyroglutamine*,Amino acid,Glutamate metabolism,134508,,
pyrophosphate (PPi),Energy,Oxidative phosphorylation,644102,C00013,HMDB00250
pyruvate,Carbohydrate,"Glycolysis, gluconeogenesis, pyruvate metabolism",107735,C00022,HMDB00243
ranitidine,Xenobiotics,Drug,3001055,D00422,HMDB01930
ribitol,Carbohydrate,"Nucleotide sugars, pentose metabolism",,C00474,HMDB00508
ribose,Carbohydrate,"Nucleotide sugars, pentose metabolism",5311110,C00121,HMDB00283
ribose 5-phosphate,Carbohydrate,"Nucleotide sugars, pentose metabolism",447634,C00117,HMDB00618
ribulose,Carbohydrate,"Nucleotide sugars, pentose metabolism",79021,C00309,"HMDB00621,HMDB03371"
S-adenosylhomocysteine (SAH),Amino acid,"Cysteine, methionine, SAM, taurine metabolism",,C00021,HMDB00939
salicylate,Xenobiotics,Drug,338,C00805,HMDB01895
sarcosine (N-Methylglycine),Amino acid,"Glycine, serine and threonine metabolism","10,887,311,726",C00213,HMDB00271
scyllo-inositol,Lipid,Inositol metabolism,,C06153,HMDB06088
sedoheptulose-7-phosphate,Carbohydrate,"Nucleotide sugars, pentose metabolism",616,C05382,HMDB01068
serine,Amino acid,"Glycine, serine and threonine metabolism","59,516,857,581",C00065,HMDB03406
serylleucine,Peptide,Dipeptide,,,
S-methylcysteine,Amino acid,"Cysteine, methionine, SAM, taurine metabolism","705,817,424,417",,HMDB02108
sorbitol,Carbohydrate,"Fructose, mannose, galactose, starch, and sucrose metabolism",107428,C00794,HMDB00247
spermidine,Amino acid,Polyamine metabolism,1102,C00315,HMDB01257
sphinganine,Lipid,Sphingolipid,3126,C00836,HMDB00269
sphingosine,Lipid,Sphingolipid,5353955,C00319,HMDB00252
stachydrine,Xenobiotics,Food component/Plant,115244,C10172,HMDB04827
stearate (18:0),Lipid,Long chain fatty acid,5281,C01530,HMDB00827
sphingomyelin,Lipid,Sphingolipid,6453725,C00550,HMDB01348
stearoylcarnitine (C18),Lipid,Carnitine metabolism,,,HMDB00848
succinate,Energy,Krebs cycle,1110,C00042,HMDB00254
succinylcarnitine (C4),Energy,Krebs cycle,,,
sucrose,Carbohydrate,"Fructose, mannose, galactose, starch, and sucrose metabolism",5988,C00089,HMDB00258
taurine,Amino acid,"Cysteine, methionine, SAM, taurine metabolism","11,234,068,592",C00245,HMDB00251
tetraethylene glycol,Xenobiotics,Chemical,8200,,
threonine,Amino acid,"Glycine, serine and threonine metabolism","69,710,196,288",C00188,HMDB00167
thymine,Nucleotide,"Pyrimidine metabolism, thymine containing",1135,C00178,HMDB00262
tiglyl carnitine (C5),Amino acid,"Valine, leucine and isoleucine metabolism",,,HMDB02366
hydroxyproline,Amino acid,"Urea cycle; arginine-, proline-, metabolism","58,106,971,053",C01157,HMDB00725
triethanolamine,Xenobiotics,Chemical,,C06771,
triethyleneglycol,Xenobiotics,Chemical,,,
trizma acetate,Xenobiotics,Chemical,"8,129,116,218,782",C07182,
tryptophan,Amino acid,Tryptophan metabolism,"69,235,166,305",C00078,HMDB00929
tryptophan betaine ,Amino acid,Tryptophan metabolism,442106,C09213,
tyrosine,Amino acid,Phenylalanine & tyrosine metabolism,"60,576,942,100",C00082,HMDB00158
undecanoate (11:0),Lipid,Medium chain fatty acid,8180,,HMDB00947
uracil,Nucleotide,"Pyrimidine metabolism, uracil containing",1174,C00106,HMDB00300
urate,Nucleotide,"Purine metabolism, urate metabolism",,C00366,HMDB00289
urea,Amino acid,"Urea cycle; arginine-, proline-, metabolism","117,616,150,869",C00086,HMDB00294
uridine,Nucleotide,"Pyrimidine metabolism, uracil containing",6029,C00299,HMDB00296
valerylcarnitine (C5),Lipid,Fatty acid metabolism,6426903,,HMDB13128
valine,Amino acid,"Valine, leucine and isoleucine metabolism","69,710,186,287",C00183,HMDB00883
xanthine,Nucleotide,"Purine metabolism, (hypo)xanthine/inosine containing",1188,C00385,HMDB00292
xylitol,Carbohydrate,"Nucleotide sugars, pentose metabolism",6912,C00379,HMDB00568
xylonate,Carbohydrate,"Nucleotide sugars, pentose metabolism",6602431,"C00502,C05411",
xylulose,Carbohydrate,"Nucleotide sugars, pentose metabolism",5289590,C00310,HMDB00654
