BIOCHEMICAL	SUPER PATHWAY	SUB PATHWAY	PubChem CID	KEGG	Human Metabolome Database	ChEBI	
2-palmitoyl-GPC* (16:0)*	Lipid	Lysolipid	2-palmitoyl-GPC* (16:0)*	NA	NA	NA	NA
2-palmitoyl-GPE* (16:0)*	Lipid	Lysolipid	2-palmitoyl-GPE* (16:0)*	NA	NA	NA	NA
2-stearoyl-GPC* (18:0)*	Lipid	Lysolipid	2-stearoyl-GPC* (18:0)*	10208382	NA	NA	NA
3-(4-hydroxyphenyl)lactate (HPLA)	Amino acid	Phenylalanine & tyrosine metabolism	3-(4-hydroxyphenyl)lactate (HPLA)	9378	C03672	HMDB00755	CHEBI:17385
3-aminoisobutyrate	Nucleotide	"Pyrimidine metabolism, thymine containing; Valine, leucine and isoleucine metabolism/"	3-aminoisobutyrate	64956|25201103	C05145	HMDB03911	CHEBI:27389
3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	Lipid	"Fatty acid, dicarboxylate"	3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	123979	NA	NA	NA
3-dehydrocarnitine*	Lipid	Carnitine metabolism	3-dehydrocarnitine*	6991982|439773	C02636	HMDB12154	CHEBI:16758|CHEBI:57885
3-hydroxybutyrate (BHBA)	Lipid	Ketone bodies	3-hydroxybutyrate (BHBA)	441|92135	C01089	HMDB00357|HMDB00011	CHEBI:17066|CHEBI:20067
3-phosphoglycerate	Carbohydrate	"Glycolysis, gluconeogenesis, pyruvate metabolism"	3-phosphoglycerate	724	C00597	HMDB00807	CHEBI:17050
3-phosphoserine	Amino acid	"Glycine, serine and threonine metabolism"	3-phosphoserine	57689797|68841	C01005	HMDB00272	CHEBI:15811
4-acetamidobutanoate	Amino acid	Guanidino and acetamido metabolism	4-acetamidobutanoate	18189	C02946	HMDB03681	CHEBI:17645
4-acetaminophen sulfate	Xenobiotics	Drug	4-acetaminophen sulfate	83939|1983	C06804	HMDB01859	CHEBI:46195
"4-androsten-3beta,17beta-diol disulfate 1*"	Lipid	Sterol/Steroid	"4-androsten-3beta,17beta-diol disulfate 1*"	10634	C04295	HMDB03818	CHEBI:2710
4-guanidinobutanoate	Amino acid	Guanidino and acetamido metabolism	4-guanidinobutanoate	500|25200642	C01035	HMDB03464	CHEBI:15728|CHEBI:57486
4-methyl-2-oxopentanoate	Amino acid	"Valine, leucine and isoleucine metabolism"	4-methyl-2-oxopentanoate	70	C00233	HMDB00695	CHEBI:48430
"5,6-dihydrouracil"	Nucleotide	"Pyrimidine metabolism, uracil containing"	"5,6-dihydrouracil"	649	C00429	HMDB00076	CHEBI:15901
5-methylthioadenosine (MTA)	Amino acid	Polyamine metabolism	5-methylthioadenosine (MTA)	439176	C00170	HMDB01173	CHEBI:17509
5-oxoproline	Amino acid	Glutathione metabolism	5-oxoproline	7405	C01879	HMDB00267	CHEBI:18183
6-phosphogluconate	Carbohydrate	"Nucleotide sugars, pentose metabolism"	6-phosphogluconate	91493	C00345	HMDB01316	CHEBI:48928
7-HOCA	Lipid	Sterol/Steroid	7-HOCA	3081085|53481411	C17337	HMDB12458	NA
7-alpha-hydroxycholesterol	Lipid	Sterol/Steroid	7-alpha-hydroxycholesterol	107722|53477732	C03594	HMDB01496	CHEBI:17500
7-beta-hydroxycholesterol	Lipid	Sterol/Steroid	7-beta-hydroxycholesterol	473141|107722	C03594	HMDB06119	CHEBI:17500|CHEBI:42989
acetylcarnitine (C2)	Lipid	Carnitine metabolism	acetylcarnitine (C2)	7045767|439756|1	C02571	HMDB00201	CHEBI:15960
acetylphosphate	Energy	Oxidative phosphorylation	acetylphosphate	186	C00227	HMDB01494	CHEBI:15350
adenine	Nucleotide	"Purine metabolism, adenine containing"	adenine	190	C00147	HMDB00034	CHEBI:16708
adenosine	Nucleotide	"Purine metabolism, adenine containing"	adenosine	60961|32326	C00212|C07195	HMDB00050	CHEBI:16335
2'-AMP	Nucleotide	"Purine metabolism, adenine containing"	2'-AMP	94136|53481006	C00946	HMDB11617	CHEBI:28223
3'-AMP	Nucleotide	"Purine metabolism, adenine containing"	3'-AMP	15938966|41211	C01367	HMDB03540	CHEBI:28931
AMP	Nucleotide	"Purine metabolism, adenine containing"	AMP	15938965|6083	C00020	HMDB00045	CHEBI:16027
adrenate (22:4n6)	Lipid	Long chain fatty acid	adrenate (22:4n6)	5282844|5497181	C16527	HMDB02226	CHEBI:53487
alanine	Amino acid	Alanine and aspartate metabolism	alanine	59|507|311|724|5950|7311724	C00041	HMDB00161	CHEBI:16977|CHEBI:57972
allo-threonine	Amino acid	"Glycine, serine and threonine metabolism"	allo-threonine	992|896|995|276|6995276|99289	C05519	HMDB04041	CHEBI:28718|CHEBI:58585
alpha-hydroxyisovalerate	Amino acid	"Valine, leucine and isoleucine metabolism"	alpha-hydroxyisovalerate	99823	NA	HMDB00407	CHEBI:60645
alpha-tocopherol	Cofactors and vitamins	Tocopherol metabolism	alpha-tocopherol	14985	C02477	HMDB01893	CHEBI:18145
anserine	Peptide	Dipeptide derivative	anserine	6|992|114|112|072|112072|6992114	C01262	HMDB00194	CHEBI:18323|CHEBI:58445
arabinose	Carbohydrate	"Nucleotide sugars, pentose metabolism"	arabinose	66308|135191|439195	C00181|C00259	HMDB00646|HMDB00098	CHEBI:53455|CHEBI:17535
arabitol	Carbohydrate	"Nucleotide sugars, pentose metabolism"	arabitol	94154|439255	C00474|C00532	HMDB01851|HMDB00508	CHEBI:15963|CHEBI:18403
arabonate	Cofactors and vitamins	Ascorbate and aldarate metabolism	arabonate	122045	C00878	HMDB00539	CHEBI:20912
arachidonate (20:4n6)	Lipid	Long chain fatty acid	arachidonate (20:4n6)	444899	C00219	HMDB01043	CHEBI:15843
arginine	Amino acid	"Urea cycle; arginine-, proline-, metabolism"	arginine	5|246|487|232|28782|6322	C00062	HMDB00517	CHEBI:16467
ascorbate (Vitamin C)	Cofactors and vitamins	Ascorbate and aldarate metabolism	ascorbate (Vitamin C)	54670067	C00072	HMDB00044	CHEBI:29073
asparagine	Amino acid	Alanine and aspartate metabolism	asparagine	62|676|992|089|6267|6992089	C00152	HMDB00168	CHEBI:17196|CHEBI:58048
aspartate	Amino acid	Alanine and aspartate metabolism	aspartate	5960|44367445	C00049	HMDB00191	CHEBI:17053
aspartylleucine	Peptide	Dipeptide	aspartylleucine	332962	NA	NA	NA
benzoate	Xenobiotics	Benzoate metabolism	benzoate	243|20144841	C00180|C00539	HMDB01870	CHEBI:30746
beta-alanine	Amino acid	Alanine and aspartate metabolism	beta-alanine	2|394|755|801|239|4755801	C00099	HMDB00056	CHEBI:16958|CHEBI:57966
beta-hydroxyisovalerate	Amino acid	"Valine, leucine and isoleucine metabolism"	beta-hydroxyisovalerate	69362	NA	HMDB00754	CHEBI:37084
betaine aldehyde	Amino acid	"Glycine, serine and threonine metabolism"	betaine aldehyde	249	C00576	HMDB01252	CHEBI:15710
butyrylcarnitine (C4)	Lipid	Fatty acid metabolism (also BCAA metabolism)	butyrylcarnitine (C4)	213144	NA	NA	NA
caprate (10:0)	Lipid	Medium chain fatty acid	caprate (10:0)	2969	C01571	HMDB00511	CHEBI:30813
caproate (6:0)	Lipid	Medium chain fatty acid	caproate (6:0)	8892	C01585	HMDB00535	CHEBI:30776
caprylate (8:0)	Lipid	Medium chain fatty acid	caprylate (8:0)	379	C06423	HMDB00482	CHEBI:28837
"carbamazepine 10,11-epoxide*"	Xenobiotics	Drug	"carbamazepine 10,11-epoxide*"	2555	C07496	NA	NA
carbamazepine*	Xenobiotics	Drug	carbamazepine*	2554	C06868|D00252	NA	CHEBI:3387
carnitine	Lipid	Carnitine metabolism	carnitine	10917	NA	NA	NA
C-glycosyltryptophan*	Amino acid	Tryptophan metabolism	C-glycosyltryptophan*	NA	NA	NA	NA
chiro-inositol	Lipid	Inositol metabolism	chiro-inositol	NA	NA	NA	NA
cholesterol	Lipid	Sterol/Steroid	cholesterol	6432564|5997|11025495	C00187	HMDB00067	CHEBI:16113
phosphocholine	Lipid	Glycerolipid metabolism	phosphocholine	135437	NA	NA	NA
vaccenate (18:1n7)	Lipid	Long chain fatty acid	vaccenate (18:1n7)	5282761|5281127	C08367	NA	CHEBI:28727|CHEBI:36023
citalopram	Xenobiotics	Drug	citalopram	2771	C07572	HMDB05038	CHEBI:3723
citrate	Energy	Krebs cycle	citrate	311|19782904	C00158	HMDB00094	CHEBI:30769
citrulline	Amino acid	"Urea cycle; arginine-, proline-, metabolism"	citrulline	833|6992098|9750	C00327	HMDB00904	CHEBI:16349|CHEBI:57743
creatine	Amino acid	Creatine metabolism	creatine	586|59098743	C00300	HMDB00064	CHEBI:16919|CHEBI:57947
creatinine	Amino acid	Creatine metabolism	creatinine	588	C00791	HMDB00562	CHEBI:16737
cystathionine	Amino acid	"Cysteine, methionine, SAM, taurine metabolism"	cystathionine	4|083|111|834|25243997|439258	C02291	HMDB00099	CHEBI:17482|CHEBI:58161
cysteine	Amino acid	"Cysteine, methionine, SAM, taurine metabolism"	cysteine	58|626|419|722|5862|6419722	C00097	HMDB00574	CHEBI:17561|CHEBI:35235|CHEBI:47910|CHEBI:58717|CHEBI:61894
cysteine sulfinic acid	Amino acid	"Cysteine, methionine, SAM, taurine metabolism"	cysteine sulfinic acid	1|093|924|855|1549098|28167170|439270	C00606	HMDB00996	CHEBI:16345|CHEBI:41721
cysteine-glutathione disulfide	Amino acid	Glutathione metabolism	cysteine-glutathione disulfide	4247235|53477713	NA	HMDB00656	NA
cystine	Amino acid	"Cysteine, methionine, SAM, taurine metabolism"	cystine	595|67678|6992103	C00491	HMDB00192	CHEBI:16283|CHEBI:35491
cytidine	Nucleotide	"Pyrimidine metabolism, cytidine containing"	cytidine	6175	C00475	HMDB00089	CHEBI:17562
CDP-choline	Lipid	Glycerolipid metabolism	CDP-choline	NA	NA	NA	NA
dehydroascorbate	Cofactors and vitamins	Ascorbate and aldarate metabolism	dehydroascorbate	835|440667|210328	C05422	HMDB01264	CHEBI:27956
deoxycarnitine	Lipid	Carnitine metabolism	deoxycarnitine	725|134	C01181	HMDB01161	CHEBI:1941
dihomolinoleate (20:2n6)	Lipid	Long chain fatty acid	dihomolinoleate (20:2n6)	6439848	C16525	HMDB05060	CHEBI:73731
dihomolinolenate (20:3n3 or 3n6)	Lipid	Essential fatty acid	dihomolinolenate (20:3n3 or 3n6)	5312529|5280581	C03242	HMDB02925	CHEBI:53486
dihydrocholesterol	Lipid	Sterol/Steroid	dihydrocholesterol	6665	NA	HMDB00908	NA
dihydroxyacetone phosphate (DHAP)	Carbohydrate	"Glycolysis, gluconeogenesis, pyruvate metabolism"	dihydroxyacetone phosphate (DHAP)	4643300|668	C00111	HMDB01473	CHEBI:16108|CHEBI:17197
dimethylallyl pyrophosphate (DMAPP)	Lipid	Mevalonate metabolism	dimethylallyl pyrophosphate (DMAPP)	647	C00235	HMDB01120	CHEBI:16057
dimethylarginine (ADMA + SDMA)	Amino acid	"Urea cycle; arginine-, proline-, metabolism"	dimethylarginine (ADMA + SDMA)	123831|169148|51351707	C03626	HMDB01539|HMDB03334	CHEBI:17929|CHEBI:25682|CHEBI:61914
diphenhydramine	Xenobiotics	Drug	diphenhydramine	3100	D00300|D00520|D03360	NA	NA
docosadienoate (22:2n6)	Lipid	Long chain fatty acid	docosadienoate (22:2n6)	5282807|5312554	C16533	NA	CHEBI:75117
docosahexaenoate (DHA; 22:6n3)	Lipid	Essential fatty acid	docosahexaenoate (DHA; 22:6n3)	445580	C06429	HMDB02183	CHEBI:28125
docosapentaenoate (DPA; 22:5n3)	Lipid	Essential fatty acid	docosapentaenoate (DPA; 22:5n3)	5497182|6441454	C16513	HMDB01976|HMDB06528|HMDB13123	CHEBI:53488|CHEBI:65136
docosapentaenoate (n6 DPA; 22:5n6)	Lipid	Essential fatty acid	docosapentaenoate (n6 DPA; 22:5n6)	6441454|445580	C06429	HMDB13123|HMDB02183|HMDB01976	CHEBI:28125|CHEBI:65136
docosatrienoate (22:3n3)	Lipid	Long chain fatty acid	docosatrienoate (22:3n3)	5312556|5312557	C16534	HMDB02823	NA
eicosenoate (20:1n9 or 1n11)	Lipid	Long chain fatty acid	eicosenoate (20:1n9 or 1n11)	5282768	C16526	HMDB02231	CHEBI:32425
ergothioneine	Xenobiotics	Food component/Plant	ergothioneine	3032311|3037043|5351619|57509571	C05570	HMDB03045	CHEBI:4828
erythritol	Xenobiotics	"Sugar, sugar substitute, starch"	erythritol	222285	C00503	HMDB02994	CHEBI:17113
erythronate*	Carbohydrate	Aminosugars metabolism	erythronate*	2781043	NA	HMDB00613	CHEBI:37655
ethanolamine	Lipid	Glycerolipid metabolism	ethanolamine	700	C00189	HMDB00149	CHEBI:16000
fructose	Carbohydrate	"Fructose, mannose, galactose, starch, and sucrose metabolism"	fructose	5984|439163|439709	C00095|C02336	HMDB00660	CHEBI:37721|CHEBI:28645
fructose 1-phosphate	Carbohydrate	"Glycolysis, gluconeogenesis, pyruvate metabolism"	fructose 1-phosphate	65246|439394|10400369	C01094	HMDB01076	CHEBI:37515
fructose 6-phosphate	Carbohydrate	"Glycolysis, gluconeogenesis, pyruvate metabolism"	fructose 6-phosphate	440641|69507	C05345	HMDB00124|HMDB03971	CHEBI:16084|CHEBI:15946
fumarate	Energy	Krebs cycle	fumarate	21883788|444972	C00122	HMDB00134	CHEBI:18012|CHEBI:22958
galactosylsphingosine	Lipid	Sphingolipid	galactosylsphingosine	22833541	NA	HMDB00648	NA
gamma-aminobutyrate (GABA)	Amino acid	Glutamate metabolism	gamma-aminobutyrate (GABA)	6|992|099|119|6992099	C00334	HMDB00112	CHEBI:16865|CHEBI:59888
gamma-glutamylalanine	Peptide	gamma-glutamyl	gamma-glutamylalanine	440103	NA	NA	NA
gamma-glutamylglutamate	Peptide	gamma-glutamyl	gamma-glutamylglutamate	92865	NA	NA	NA
gamma-glutamylglutamine	Peptide	gamma-glutamyl	gamma-glutamylglutamine	150914	C05283	HMDB11738	CHEBI:73707
gamma-tocopherol	Cofactors and vitamins	Tocopherol metabolism	gamma-tocopherol	14986|92729	C02483	HMDB01492	CHEBI:18185
gluconate	Carbohydrate	"Nucleotide sugars, pentose metabolism"	gluconate	10690	C00257	HMDB00625	CHEBI:33198
glucose	Carbohydrate	"Glycolysis, gluconeogenesis, pyruvate metabolism"	glucose	79025|5793	C00293|C00031	HMDB00122	CHEBI:4167|CHEBI:75792
glucose 6-phosphate	Carbohydrate	"Glycolysis, gluconeogenesis, pyruvate metabolism"	glucose 6-phosphate	439284|5958	C00668|C00092	HMDB01401	CHEBI:17665|CHEBI:4170
glutamate	Amino acid	Glutamate metabolism	glutamate	611|33032|44272391|23327	C00025|C00217	HMDB03339|HMDB00148	CHEBI:16015|CHEBI:53374|CHEBI:15966|CHEBI:53375
glutamine	Amino acid	Glutamate metabolism	glutamine	69|920|865|961|5961|6992086	C00064	HMDB00641	CHEBI:18050|CHEBI:58359
glutarate (pentanedioate)	Amino acid	Lysine metabolism	glutarate (pentanedioate)	4418048|23322899|743	C00489	HMDB00661	CHEBI:17859
glutaroylcarnitine (C5)	Amino acid	Lysine metabolism	glutaroylcarnitine (C5)	53481622	NA	HMDB13130	NA
"glutathione, oxidized (GSSG)"	Amino acid	Glutathione metabolism	"glutathione, oxidized (GSSG)"	6|535|911|215|652|11215652|65359|5255796|975	C00127	HMDB03337	CHEBI:17858
"glutathione, reduced (GSH)"	Amino acid	Glutathione metabolism	"glutathione, reduced (GSH)"	124886|25246407	C00051|C02471	HMDB00125	CHEBI:16856|CHEBI:60836
glycerate	Carbohydrate	"Glycolysis, gluconeogenesis, pyruvate metabolism"	glycerate	752|439194	C00258	HMDB00139	CHEBI:32398
glycerol	Lipid	Glycerolipid metabolism	glycerol	753	C00116	HMDB00131	CHEBI:15850|CHEBI:17522|CHEBI:17754
glycerol 2-phosphate	Xenobiotics	Chemical	glycerol 2-phosphate	2526	C02979|D01488	HMDB02520	CHEBI:17270
glycerol 3-phosphate (G3P)	Lipid	Glycerolipid metabolism	glycerol 3-phosphate (G3P)	754|439162	C00093	HMDB00126	CHEBI:15978|CHEBI:17106
glycerophosphoethanolamine	Lipid	Glycerolipid metabolism	glycerophosphoethanolamine	123874|444183|70678815|22833510	C01233	HMDB00114	CHEBI:64574|CHEBI:67274|CHEBI:68488|CHEBI:68520|CHEBI:71825|CHEBI:71826|CHEBI:71827|CHEBI:71828|CHEBI:71829|CHEBI:71830|CHEBI:71831|CHEBI:71832|CHEBI:71833|CHEBI:71834|CHEBI:71835|CHEBI:71836|CHEBI:71837|CHEBI:71838|CHEBI:71839|CHEBI:71840|CHEBI:71841|CHEBI:71842|CHEBI:71843|CHEBI:71844|CHEBI:71845|CHEBI:71846|CHEBI:71847|CHEBI:71848|CHEBI:71849|CHEBI:71850|CHEBI:71851|CHEBI:71852|CHEBI:71853|CHEBI:71854|CHEBI:71855|CHEBI:71856|CHEBI:71857|CHEBI:71858|CHEBI:71859|CHEBI:71860|CHEBI:71861|CHEBI:71862|CHEBI:71863|CHEBI:71864|CHEBI:71865|CHEBI:71866|CHEBI:71867|CHEBI:71868|CHEBI:71869|CHEBI:71870|CHEBI:71871|CHEBI:71872|CHEBI:71873|CHEBI:71874|CHEBI:71876|CHEBI:71877|CHEBI:71878|CHEBI:71879|CHEBI:71880|CHEBI:71881|CHEBI:72381|CHEBI:72382|CHEBI:72383|CHEBI:72384|CHEBI:72385|CHEBI:72386|CHEBI:72387|CHEBI:72388|CHEBI:72389|CHEBI:72390|CHEBI:72391|CHEBI:72392|CHEBI:72393|CHEBI:72394|CHEBI:72395|CHEBI:72396|CHEBI:72397|CHEBI:72398|CHEBI:72399|CHEBI:72400|CHEBI:72401|CHEBI:72734|CHEBI:72735
glycerophosphorylcholine (GPC)	Lipid	Glycerolipid metabolism	glycerophosphorylcholine (GPC)	657272|439285|58381695|71920	C00670	HMDB00086	CHEBI:16870
glycine	Amino acid	"Glycine, serine and threonine metabolism"	glycine	5|257|127|750|5257127	C00037	HMDB00123	CHEBI:15428|CHEBI:15705|CHEBI:16228|CHEBI:57305|CHEBI:59869|CHEBI:59871|CHEBI:62031|CHEBI:66884|CHEBI:66933
glycolate (hydroxyacetate)	Xenobiotics	Chemical	glycolate (hydroxyacetate)	3|698|251|757|3698251	C00160|C03547	HMDB00115	CHEBI:17375|CHEBI:17497|CHEBI:17893|CHEBI:52618
glycylglycine	Peptide	Dipeptide	glycylglycine	154|889|711|163|11163|1548897	C02037	HMDB11733	CHEBI:16670|CHEBI:17201|CHEBI:356445
guanine	Nucleotide	"Purine metabolism, guanine containing"	guanine	764	C00242	HMDB00132	CHEBI:16235
guanosine	Nucleotide	"Purine metabolism, guanine containing"	guanosine	6802	C00387	HMDB00133	CHEBI:16750
heme*	Cofactors and vitamins	Hemoglobin and porphyrin	heme*	NA	NA	NA	NA
heptaethylene glycol	Xenobiotics	Chemical	heptaethylene glycol	79718	NA	NA	NA
heptanoate (7:0)	Lipid	Medium chain fatty acid	heptanoate (7:0)	8094	C17714	HMDB00666	CHEBI:45571
hexaethylene glycol	Xenobiotics	Chemical	hexaethylene glycol	17472	NA	NA	NA
hexanoylcarnitine (C6)	Lipid	Carnitine metabolism	hexanoylcarnitine (C6)	6426853|8892	C01585	HMDB00705|HMDB00535	CHEBI:30776|CHEBI:70749
hippurate	Xenobiotics	Benzoate metabolism	hippurate	464	C01586	HMDB00714	CHEBI:18089
histamine	Amino acid	Histidine metabolism	histamine	774|156615	C00388	HMDB00870	CHEBI:18295|CHEBI:73337
histidine	Amino acid	Histidine metabolism	histidine	7|733|651|426|6274|6971009	C00135	HMDB00177	CHEBI:15971|CHEBI:57595
homocarnosine	Peptide	Dipeptide derivative	homocarnosine	10243361	C00884	HMDB00745	NA
homocysteine	Amino acid	"Cysteine, methionine, SAM, taurine metabolism"	homocysteine	778|6971015|91552|49791978	C00155|C05330	HMDB00742	CHEBI:17588|CHEBI:58199|CHEBI:17230|CHEBI:58065
hydroxyisovaleroylcarnitine (C5)	Amino acid	"Valine, leucine and isoleucine metabolism"	hydroxyisovaleroylcarnitine (C5)	NA	NA	NA	NA
hypotaurine	Amino acid	"Cysteine, methionine, SAM, taurine metabolism"	hypotaurine	107812|25244088	C00519	HMDB00965	CHEBI:16668|CHEBI:57853
hypoxanthine	Nucleotide	"Purine metabolism, (hypo)xanthine/inosine containing"	hypoxanthine	790	C00262	HMDB00157	CHEBI:17368
inosine	Nucleotide	"Purine metabolism, (hypo)xanthine/inosine containing"	inosine	NA	NA	NA	NA
inositol 1-phosphate (I1P)	Lipid	Inositol metabolism	inositol 1-phosphate (I1P)	NA	C04006	HMDB00213	CHEBI:18169
"Isobar: 2-propylpentanoic acid, 2-ethylhexanoic acid"	Xenobiotics	Chemical	"Isobar: 2-propylpentanoic acid, 2-ethylhexanoic acid"	NA	NA	NA	NA
"Isobar: fructose 1,6-diphosphate, glucose 1,6-diphosphate"	Carbohydrate	"Glycolysis, gluconeogenesis, pyruvate metabolism"	"Isobar: fructose 1,6-diphosphate, glucose 1,6-diphosphate"	NA	NA	NA	NA
"Isobar: ribulose 5-phosphate, xylulose 5-phosphate"	Carbohydrate	"Nucleotide sugars, pentose metabolism"	"Isobar: ribulose 5-phosphate, xylulose 5-phosphate"	NA	NA	NA	NA
